Pallet: "pallet-identity", Extrinsic: "clear_identity", Steps: 10, Repeat: 100
R,S,X,time
13,50,50,683000
13,50,50,688000
13,50,50,832000
13,50,50,685000
13,50,50,677000
13,50,50,678000
13,50,50,675000
13,50,50,673000
13,50,50,680000
13,50,50,675000
13,50,50,694000
13,50,50,687000
13,50,50,682000
13,50,50,689000
13,50,50,668000
13,50,50,699000
13,50,50,679000
13,50,50,693000
13,50,50,677000
13,50,50,730000
13,50,50,698000
13,50,50,680000
13,50,50,706000
13,50,50,688000
13,50,50,686000
13,50,50,693000
13,50,50,674000
13,50,50,694000
13,50,50,700000
13,50,50,713000
13,50,50,693000
13,50,50,674000
13,50,50,688000
13,50,50,684000
13,50,50,677000
13,50,50,694000
13,50,50,895000
13,50,50,697000
13,50,50,710000
13,50,50,669000
13,50,50,687000
13,50,50,705000
13,50,50,681000
13,50,50,662000
13,50,50,696000
13,50,50,680000
13,50,50,676000
13,50,50,686000
13,50,50,682000
13,50,50,671000
13,50,50,681000
17,50,50,685000
17,50,50,682000
17,50,50,686000
17,50,50,698000
17,50,50,689000
17,50,50,704000
17,50,50,754000
17,50,50,686000
17,50,50,684000
17,50,50,689000
17,50,50,680000
17,50,50,686000
17,50,50,667000
17,50,50,683000
17,50,50,707000
17,50,50,716000
17,50,50,692000
17,50,50,689000
17,50,50,708000
17,50,50,706000
17,50,50,689000
17,50,50,694000
17,50,50,922000
17,50,50,689000
17,50,50,690000
17,50,50,675000
17,50,50,701000
17,50,50,685000
17,50,50,689000
17,50,50,738000
17,50,50,680000
17,50,50,705000
17,50,50,704000
17,50,50,690000
17,50,50,686000
17,50,50,692000
17,50,50,689000
17,50,50,702000
17,50,50,681000
17,50,50,696000
17,50,50,712000
17,50,50,679000
17,50,50,683000
17,50,50,695000
17,50,50,698000
17,50,50,684000
17,50,50,692000
17,50,50,680000
17,50,50,706000
17,50,50,709000
17,50,50,716000
17,50,50,696000
17,50,50,722000
17,50,50,685000
17,50,50,684000
17,50,50,688000
17,50,50,712000
17,50,50,713000
17,50,50,690000
17,50,50,786000
17,50,50,956000
17,50,50,681000
17,50,50,697000
17,50,50,688000
17,50,50,674000
17,50,50,703000
17,50,50,743000
17,50,50,718000
17,50,50,681000
17,50,50,707000
17,50,50,977000
17,50,50,701000
17,50,50,732000
17,50,50,814000
17,50,50,673000
17,50,50,705000
17,50,50,693000
17,50,50,1071000
17,50,50,684000
17,50,50,668000
17,50,50,693000
