Pallet: "pallet-staking", Extrinsic: "payout_validator", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
n,extrinsic_time,storage_root_time
1,2034003,178893
1,2161831,128800
1,2221059,127582
1,2117728,127195
1,2175195,126967
1,2049139,190137
1,2094774,129106
1,3392203,223101
1,2175848,125357
1,2106466,143542
2,2184367,129346
2,2009010,126631
2,2266991,129849
2,2203007,137117
2,2103027,135539
2,2056736,135622
2,2083724,144530
2,2196564,138809
2,2249914,131447
2,2103761,146136
3,2152022,139247
3,2139922,140123
3,2245170,142459
3,3357394,209298
3,2110267,204833
3,2166933,196548
3,2040170,220789
3,3327861,194921
3,2069761,161108
3,2319793,143865
4,3308514,195899
4,2159587,191809
4,2277747,148057
4,2080946,145157
4,2118806,147670
4,2162642,159755
4,2114873,140360
4,2116005,144695
4,3262156,198238
4,2184857,141815
5,2136975,139510
5,2079598,142708
5,2028342,144787
5,2352916,167251
5,2298022,143634
5,2115530,148487
5,3467316,205050
5,2219389,142973
5,2296812,143856
5,2348448,145690
6,2144941,144496
6,2203225,146600
6,2108444,142303
6,2169366,143429
6,2097223,149101
6,2116902,144128
6,2233653,149756
6,2253407,152887
6,2065345,140355
6,2101781,143795
7,2159709,145094
7,2128565,144121
7,2218203,148790
7,2230581,146910
7,2311941,144883
7,3371838,204163
7,2166926,141268
7,2087891,211649
7,2239699,143298
7,2292868,148848
8,2294161,149233
8,2161908,144927
8,2134400,162407
8,2217021,213345
8,2135646,143061
8,2109012,142734
8,2251776,147586
8,2063221,204644
8,2215289,143641
8,2168548,144620
9,2266478,148508
9,3328539,200549
9,2403165,139614
9,2177334,150299
9,2170423,148638
9,2125273,149600
9,2239438,150548
9,2136751,160098
9,2189292,145787
9,2261340,148021
10,2052142,160702
10,2204323,165991
10,2130495,165549
10,2294349,167478
10,2050612,173377
10,2140247,168380
10,3392677,233637
10,2094963,205818
10,2165660,194795
10,2306062,167609
11,3450069,240882
11,2088109,164515
11,3402823,227177
11,3228902,227144
11,3303134,226037
11,2262553,168106
11,2132783,163475
11,2217668,163571
11,2087124,168302
11,2142507,161906
12,2332370,164677
12,2244986,163316
12,2190615,173213
12,2276589,148036
12,2245249,168256
12,2098327,170541
12,2262061,173528
12,2082195,181251
12,3387189,242085
12,2188132,161619
13,2185967,165807
13,2316317,169264
13,2229644,168249
13,2205850,161975
13,2105039,163373
13,3315534,246058
13,2248842,170357
13,2052988,164906
13,2277350,159113
13,2074884,162468
14,2179172,171165
14,2104842,180589
14,2152203,180609
14,2153658,162049
14,2328059,164248
14,2322681,162821
14,2259786,168702
14,2239146,167208
14,2152966,169796
14,2303108,199552
15,2216785,180339
15,3492443,243121
15,2205887,168940
15,2207054,166516
15,2348740,165430
15,2302836,168049
15,2402376,169510
15,2151443,169088
15,2090711,179213
15,2291817,165957
16,2266291,230022
16,2140193,171533
16,2176808,169474
16,3472894,247169
16,2125407,169890
16,2207116,172903
16,2230385,167885
16,2210498,163029
16,2173977,168782
16,2165553,166478
