Pallet: "pallet-staking", Extrinsic: "set_history_depth", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
e,extrinsic_time,storage_root_time
1,163451,129001
1,210149,122179
1,296264,123167
1,159991,122860
1,171105,120816
1,169448,121680
1,163071,123458
1,345630,123944
1,163794,124154
1,159933,123208
10,1067696,346974
10,1592737,616840
10,1129632,352209
10,1197515,352954
10,1122374,346784
10,1033360,347236
10,974616,397321
10,977645,342366
10,967205,343768
10,965013,342770
19,1788876,588484
19,1859644,598145
19,2967929,915855
19,1810006,578525
19,1964561,587066
19,3014846,959872
19,1897802,590549
19,1867935,602756
19,3021613,969630
19,1837838,595555
28,2810734,844684
28,4242937,1380966
28,2734039,836521
28,2794401,845047
28,2687721,842529
28,2748442,934068
28,2764858,852881
28,2851809,851768
28,2844924,846103
28,2699587,851452
37,3727081,1083310
37,3841443,1089186
37,3669883,1159575
37,3836790,1089998
37,3747859,1081265
37,3702916,1084136
37,3635890,1087874
37,3762056,1092023
37,3688361,1089564
37,3766706,1096248
46,7297418,2166941
46,4744031,1283114
46,4550916,1295543
46,4582131,1302032
46,7268643,2086143
46,4538563,1356722
46,4507247,1336327
46,4590443,1327077
46,4561001,1370479
46,4526183,1347961
55,5551529,1539531
55,5601153,1545554
55,5615549,1608433
55,8788077,2501148
55,5467761,1594273
55,5611463,1550472
55,5622055,1593623
55,5480617,1597451
55,5706330,1585642
55,5639865,1537486
64,6966250,1878970
64,6897939,1874516
64,7376795,1866267
64,6886009,1814635
64,6826806,1856316
64,10879449,1932068
64,6957418,1878600
64,6939504,1839809
64,6946541,1870011
64,6893193,1820210
73,7603774,2187387
73,7654618,2071627
73,7656236,2080685
73,7629749,2092951
73,7709839,2094001
73,7662913,2081571
73,7672954,2084661
73,7764300,2115964
73,7637644,2172795
73,7512837,2141415
82,13103109,2335752
82,13174316,2397177
82,8891483,2446181
82,8788256,2391163
82,8825576,2394699
82,8910262,2400170
82,8781222,2390903
82,8688076,2364339
82,13062459,2402905
82,8793687,2370943
91,14321303,2585269
91,9912424,2590573
91,10067271,2592728
91,10190470,2634329
91,10126765,2591234
91,10121504,2593316
91,14746665,2652265
91,9996223,2593747
91,9948725,2571276
91,9880165,2711206
100,11203265,2848389
100,11195473,2856317
100,11480570,2897506
100,11431236,2969939
100,11621577,2915217
100,15370932,2783229
100,11280549,2858395
100,11100806,2846133
100,11088313,2800379
100,11248924,2842080
