Pallet: "balances", Extrinsic: "transfer", Steps: 100, Repeat: 10
E,U,time
353,500,1487000
353,500,1511000
353,500,1508000
353,500,1471000
353,500,1502000
353,500,1513000
362,500,1509000
362,500,1508000
362,500,1481000
362,500,1504000
362,500,1486000
362,500,1488000
362,500,1458000
362,500,1527000
362,500,1517000
362,500,1488000
371,500,1496000
371,500,1483000
371,500,1486000
371,500,1485000
371,500,1481000
371,500,1484000
371,500,1479000
371,500,1490000
371,500,1511000
371,500,1481000
380,500,1490000
380,500,1493000
380,500,1477000
380,500,1501000
380,500,1475000
380,500,1696000
380,500,1500000
380,500,1682000
380,500,1508000
380,500,1514000
389,500,1483000
389,500,1475000
389,500,1473000
389,500,1523000
389,500,1530000
389,500,1503000
389,500,1504000
389,500,1535000
389,500,1505000
389,500,1618000
398,500,1484000
398,500,1536000
398,500,1505000
398,500,1534000
398,500,1510000
398,500,1505000
398,500,1514000
398,500,1628000
398,500,1561000
398,500,1827000
407,500,1501000
407,500,1496000
407,500,1496000
407,500,1690000
407,500,1506000
407,500,1544000
407,500,1508000
407,500,1507000
407,500,1504000
407,500,1514000
416,500,1553000
416,500,1527000
416,500,1490000
416,500,1531000
416,500,1514000
416,500,1483000
416,500,1480000
416,500,1541000
416,500,1493000
416,500,1496000
425,500,1576000
425,500,1563000
425,500,1540000
425,500,1489000
425,500,1545000
425,500,1583000
425,500,1506000
425,500,1530000
425,500,1571000
425,500,1487000
434,500,1530000
434,500,1492000
434,500,1559000
434,500,1486000
434,500,1485000
434,500,1506000
434,500,1508000
434,500,1476000
434,500,1517000
434,500,1524000
443,500,1493000
443,500,1494000
443,500,1485000
443,500,1509000
443,500,1490000
443,500,1490000
443,500,1522000
443,500,1517000
443,500,1499000
443,500,1512000
452,500,1516000
452,500,1514000
452,500,1493000
452,500,1478000
452,500,1747000
452,500,1468000
452,500,1496000
452,500,1503000
452,500,1490000
452,500,1544000
461,500,1507000
461,500,1652000
461,500,1496000
461,500,1638000
461,500,1457000
461,500,1552000
461,500,1660000
461,500,1475000
461,500,1478000
461,500,1493000
470,500,1496000
470,500,1508000
470,500,1505000
470,500,1501000
470,500,1492000
470,500,1479000
470,500,1507000
470,500,1485000
470,500,1520000
470,500,1543000
479,500,1489000
479,500,1519000
479,500,1505000
479,500,1503000
479,500,1504000
479,500,1527000
479,500,1507000
479,500,1490000
479,500,1493000
479,500,1502000
488,500,1546000
488,500,1566000
488,500,1544000
488,500,1459000
488,500,1543000
488,500,1480000
488,500,1472000
488,500,1490000
488,500,1828000
488,500,1486000
497,500,1544000
497,500,1495000
497,500,1496000
497,500,1487000
497,500,1488000
497,500,1484000
497,500,1507000
497,500,1662000
497,500,1502000
497,500,1450000
506,500,1679000
506,500,1508000
506,500,1497000
506,500,1530000
506,500,1534000
506,500,1544000
506,500,1515000
506,500,1483000
506,500,1509000
506,500,1517000
515,500,1629000
515,500,1825000
515,500,1518000
515,500,1476000
515,500,1603000
515,500,1479000
515,500,1500000
515,500,1510000
515,500,1523000
515,500,1513000
524,500,1495000
524,500,1521000
524,500,1506000
524,500,1508000
524,500,1494000
524,500,1506000
524,500,1587000
524,500,1684000
524,500,1540000
524,500,1487000
533,500,1500000
533,500,1505000
533,500,1682000
533,500,1497000
533,500,1537000
533,500,1472000
533,500,1500000
533,500,1532000
533,500,1488000
533,500,1478000
542,500,1537000
542,500,1492000
542,500,1467000
542,500,1482000
542,500,1531000
542,500,1521000
542,500,1480000
542,500,1537000
542,500,1505000
542,500,1482000
551,500,1517000
551,500,1534000
551,500,2112000
551,500,1506000
551,500,1480000
551,500,1614000
551,500,1504000
551,500,1677000
551,500,1547000
551,500,1982000
560,500,1494000
560,500,1562000
560,500,1540000
560,500,1501000
560,500,1502000
560,500,1577000
560,500,1513000
560,500,1544000
560,500,1508000
560,500,1537000
569,500,1506000
569,500,1552000
569,500,1537000
569,500,1539000
569,500,1506000
569,500,1526000
569,500,1532000
569,500,1501000
569,500,1553000
569,500,1551000
578,500,1498000
578,500,1497000
578,500,1491000
578,500,1631000
578,500,1483000
578,500,1500000
578,500,1636000
578,500,1484000
578,500,1482000
578,500,1757000
587,500,1505000
587,500,1535000
587,500,1502000
587,500,1501000
587,500,1487000
587,500,1472000
587,500,1612000
587,500,1616000
587,500,1748000
587,500,1726000
596,500,1492000
596,500,1507000
596,500,2122000
596,500,1499000
596,500,1494000
596,500,1491000
596,500,1521000
596,500,1477000
596,500,1587000
596,500,1490000
605,500,1487000
605,500,1484000
605,500,1513000
605,500,1511000
605,500,1468000
605,500,1495000
605,500,1489000
605,500,1546000
605,500,1468000
605,500,1474000
614,500,1502000
614,500,1484000
614,500,1525000
614,500,1497000
614,500,1494000
614,500,1498000
614,500,1524000
614,500,1520000
614,500,1527000
614,500,1535000
623,500,1518000
623,500,1482000
623,500,1603000
623,500,1473000
623,500,1557000
623,500,1688000
623,500,1552000
623,500,1474000
623,500,1546000
623,500,1478000
632,500,1479000
632,500,1491000
632,500,1491000
632,500,1570000
632,500,1485000
632,500,1446000
632,500,1495000
632,500,1513000
632,500,1488000
632,500,1518000
641,500,1518000
641,500,1533000
641,500,1464000
641,500,1543000
641,500,1521000
641,500,1543000
641,500,1526000
641,500,1495000
641,500,1682000
641,500,1503000
650,500,1670000
650,500,1515000
650,500,1503000
650,500,1572000
650,500,1564000
650,500,1515000
650,500,1503000
650,500,1502000
650,500,1496000
650,500,1519000
659,500,1539000
659,500,1512000
659,500,1496000
659,500,1577000
659,500,1506000
659,500,1499000
659,500,1484000
659,500,1491000
659,500,1501000
659,500,1546000
668,500,1499000
668,500,1446000
668,500,1511000
668,500,1525000
668,500,1489000
668,500,1514000
668,500,1478000
668,500,1493000
668,500,1584000
668,500,1467000
677,500,1512000
677,500,1521000
677,500,1514000
677,500,1515000
677,500,1498000
677,500,1625000
677,500,1538000
677,500,1480000
677,500,1503000
677,500,1554000
686,500,1603000
686,500,1519000
686,500,1531000
686,500,1487000
686,500,1510000
686,500,1536000
686,500,1515000
686,500,1566000
686,500,1664000
686,500,1501000
695,500,1504000
695,500,1560000
695,500,1503000
695,500,1533000
695,500,1514000
695,500,1505000
695,500,1486000
695,500,1512000
695,500,1509000
695,500,1665000
704,500,1571000
704,500,1555000
704,500,1520000
704,500,1489000
704,500,1486000
704,500,1497000
704,500,1488000
704,500,1509000
704,500,1487000
704,500,1498000
713,500,1553000
713,500,1498000
713,500,1495000
713,500,1528000
713,500,1509000
713,500,1500000
713,500,1482000
713,500,1481000
713,500,1520000
713,500,1548000
722,500,1487000
722,500,1486000
722,500,1589000
722,500,1451000
722,500,1553000
722,500,1742000
722,500,1616000
722,500,1538000
722,500,1565000
722,500,1522000
731,500,1512000
731,500,1540000
731,500,1499000
731,500,1551000
731,500,1509000
731,500,1524000
731,500,1492000
731,500,1489000
731,500,1502000
731,500,1529000
740,500,1478000
740,500,1501000
740,500,1576000
740,500,1452000
740,500,1517000
740,500,1487000
740,500,1511000
