Pallet: "balances", Extrinsic: "transfer", Steps: 100, Repeat: 10
E,U,time
407,500,652000
407,500,660000
407,500,670000
407,500,666000
407,500,672000
407,500,673000
407,500,655000
407,500,650000
407,500,662000
407,500,664000
416,500,632000
416,500,1084000
416,500,644000
416,500,646000
416,500,641000
416,500,631000
416,500,656000
416,500,658000
416,500,847000
416,500,643000
425,500,680000
425,500,639000
425,500,709000
425,500,635000
425,500,630000
425,500,648000
425,500,1640000
425,500,632000
425,500,628000
425,500,658000
434,500,650000
434,500,629000
434,500,599000
434,500,636000
434,500,620000
434,500,606000
434,500,663000
434,500,783000
434,500,633000
434,500,643000
443,500,619000
443,500,635000
443,500,709000
443,500,667000
443,500,647000
443,500,664000
443,500,645000
443,500,631000
443,500,659000
443,500,648000
452,500,626000
452,500,696000
452,500,638000
452,500,622000
452,500,686000
452,500,643000
452,500,645000
452,500,629000
452,500,646000
452,500,634000
461,500,651000
461,500,635000
461,500,824000
461,500,622000
461,500,647000
461,500,635000
461,500,619000
461,500,692000
461,500,630000
461,500,661000
470,500,701000
470,500,642000
470,500,632000
470,500,632000
470,500,655000
470,500,638000
470,500,811000
470,500,644000
470,500,633000
470,500,736000
479,500,647000
479,500,639000
479,500,636000
479,500,669000
479,500,664000
479,500,655000
479,500,641000
479,500,650000
479,500,645000
479,500,816000
488,500,637000
488,500,613000
488,500,694000
488,500,717000
488,500,782000
488,500,607000
488,500,651000
488,500,634000
488,500,659000
488,500,943000
497,500,652000
497,500,646000
497,500,686000
497,500,684000
497,500,680000
497,500,898000
497,500,671000
497,500,691000
497,500,747000
497,500,709000
506,500,662000
506,500,1204000
506,500,655000
506,500,663000
506,500,723000
506,500,662000
506,500,689000
506,500,698000
506,500,938000
506,500,644000
515,500,641000
515,500,723000
515,500,742000
515,500,691000
515,500,687000
515,500,720000
515,500,713000
515,500,704000
515,500,649000
515,500,608000
524,500,673000
524,500,681000
524,500,661000
524,500,715000
524,500,648000
524,500,670000
524,500,671000
524,500,816000
524,500,843000
524,500,634000
533,500,649000
533,500,640000
533,500,701000
533,500,646000
533,500,677000
533,500,704000
533,500,629000
533,500,641000
533,500,647000
533,500,671000
542,500,668000
542,500,653000
542,500,663000
542,500,655000
542,500,673000
542,500,647000
542,500,672000
542,500,710000
542,500,625000
542,500,671000
551,500,672000
551,500,718000
551,500,634000
551,500,1192000
551,500,885000
551,500,912000
551,500,734000
551,500,707000
551,500,756000
551,500,953000
560,500,946000
560,500,709000
560,500,649000
560,500,682000
560,500,653000
560,500,721000
560,500,779000
560,500,804000
560,500,672000
560,500,644000
569,500,783000
569,500,701000
569,500,641000
569,500,1091000
569,500,783000
569,500,646000
569,500,707000
569,500,650000
569,500,663000
569,500,662000
578,500,647000
578,500,678000
578,500,640000
578,500,630000
578,500,634000
578,500,770000
578,500,667000
578,500,747000
578,500,725000
578,500,981000
587,500,700000
587,500,664000
587,500,658000
587,500,628000
587,500,948000
587,500,891000
587,500,647000
587,500,855000
587,500,617000
587,500,655000
596,500,694000
596,500,634000
596,500,760000
596,500,656000
596,500,859000
596,500,753000
596,500,689000
596,500,642000
596,500,706000
596,500,1011000
605,500,794000
605,500,982000
605,500,638000
605,500,644000
605,500,850000
605,500,712000
605,500,870000
605,500,684000
605,500,640000
605,500,693000
614,500,651000
614,500,688000
614,500,732000
614,500,673000
614,500,647000
614,500,655000
614,500,803000
614,500,851000
614,500,664000
614,500,724000
623,500,684000
623,500,1054000
623,500,618000
623,500,638000
623,500,639000
623,500,617000
623,500,854000
623,500,784000
623,500,695000
623,500,1083000
632,500,655000
632,500,648000
632,500,769000
632,500,669000
632,500,980000
632,500,996000
632,500,727000
632,500,658000
632,500,644000
632,500,620000
641,500,666000
641,500,698000
641,500,672000
641,500,731000
641,500,656000
641,500,1169000
641,500,903000
641,500,1151000
641,500,696000
641,500,870000
650,500,974000
650,500,2192000
650,500,645000
650,500,884000
650,500,644000
650,500,1310000
650,500,3983000
650,500,936000
650,500,922000
650,500,709000
659,500,1002000
659,500,719000
659,500,676000
659,500,675000
659,500,661000
659,500,722000
659,500,636000
659,500,720000
659,500,649000
659,500,668000
668,500,1007000
668,500,622000
668,500,642000
668,500,680000
668,500,832000
668,500,685000
668,500,685000
668,500,627000
668,500,1089000
668,500,675000
677,500,749000
677,500,945000
677,500,720000
677,500,780000
677,500,840000
677,500,717000
677,500,702000
677,500,646000
677,500,668000
677,500,644000
686,500,646000
686,500,691000
686,500,847000
686,500,610000
686,500,690000
686,500,637000
686,500,643000
686,500,630000
686,500,741000
686,500,671000
695,500,702000
695,500,776000
695,500,661000
695,500,888000
695,500,660000
695,500,631000
695,500,788000
695,500,668000
695,500,663000
695,500,663000
704,500,668000
704,500,866000
704,500,859000
704,500,876000
704,500,637000
704,500,650000
704,500,756000
704,500,733000
704,500,647000
704,500,682000
713,500,655000
713,500,636000
713,500,623000
713,500,643000
713,500,676000
713,500,829000
713,500,856000
713,500,685000
713,500,709000
713,500,733000
722,500,631000
722,500,737000
722,500,769000
722,500,664000
722,500,687000
722,500,665000
722,500,639000
722,500,646000
722,500,656000
722,500,622000
731,500,647000
731,500,657000
731,500,642000
731,500,660000
731,500,659000
731,500,1185000
731,500,678000
731,500,676000
731,500,638000
731,500,663000
740,500,757000
740,500,1222000
740,500,676000
740,500,654000
740,500,665000
740,500,636000
740,500,760000
740,500,725000
740,500,654000
740,500,677000
749,500,714000
749,500,710000
749,500,770000
749,500,641000
749,500,650000
749,500,639000
749,500,645000
749,500,665000
749,500,692000
749,500,686000
758,500,632000
758,500,640000
758,500,674000
758,500,655000
758,500,613000
758,500,987000
758,500,670000
758,500,666000
758,500,653000
758,500,844000
767,500,669000
767,500,626000
767,500,642000
767,500,731000
767,500,655000
767,500,721000
767,500,641000
767,500,743000
767,500,658000
767,500,694000
776,500,629000
776,500,733000
776,500,653000
776,500,653000
776,500,671000
776,500,731000
776,500,682000
776,500,640000
776,500,633000
776,500,690000
785,500,651000
785,500,638000
785,500,642000
785,500,679000
785,500,706000
785,500,700000
785,500,674000
785,500,643000
785,500,707000
785,500,710000
794,500,660000
794,500,750000
794,500,672000
794,500,638000
794,500,657000
794,500,635000
794,500,660000
794,500,637000
794,500,644000
794,500,668000
803,500,668000
803,500,656000
803,500,1013000
803,500,827000
803,500,706000
803,500,630000
803,500,666000
803,500,632000
803,500,649000
803,500,664000
812,500,656000
812,500,640000
812,500,719000
812,500,668000
812,500,657000
812,500,636000
812,500,659000
812,500,674000
812,500,643000
812,500,662000
821,500,712000
821,500,648000
821,500,693000
821,500,662000
821,500,633000
821,500,632000
821,500,643000
821,500,651000
821,500,656000
821,500,631000
830,500,674000
830,500,687000
830,500,651000
830,500,638000
830,500,664000
830,500,647000
830,500,619000
830,500,666000
830,500,670000
830,500,680000
839,500,758000
839,500,624000
839,500,712000
839,500,637000
839,500,632000
839,500,682000
839,500,749000
839,500,736000
839,500,640000
839,500,649000
848,500,723000
848,500,766000
848,500,670000
848,500,658000
848,500,667000
848,500,661000
848,500,658000
848,500,716000
848,500,655000
848,500,667000
857,500,661000
857,500,664000
857,500,665000
857,500,684000
857,500,649000
857,500,695000
857,500,644000
857,500,651000
857,500,643000
857,500,665000
866,500,694000
866,500,705000
866,500,711000
866,500,651000
866,500,713000
866,500,657000
866,500,733000
866,500,704000
866,500,722000
866,500,717000
875,500,654000
875,500,672000
875,500,634000
875,500,635000
875,500,649000
875,500,665000
875,500,633000
875,500,652000
875,500,669000
875,500,717000
884,500,645000
884,500,760000
884,500,672000
884,500,632000
884,500,649000
884,500,704000
884,500,634000
884,500,687000
884,500,673000
884,500,622000
893,500,806000
893,500,805000
893,500,676000
893,500,624000
893,500,637000
893,500,656000
893,500,676000
893,500,658000
893,500,656000
893,500,657000
902,500,661000
902,500,672000
902,500,708000
902,500,652000
902,500,665000
902,500,638000
902,500,659000
902,500,666000
902,500,633000
902,500,675000
911,500,652000
911,500,958000
911,500,685000
911,500,701000
911,500,683000
911,500,647000
911,500,735000
911,500,661000
911,500,700000
911,500,714000
920,500,630000
920,500,839000
920,500,648000
920,500,656000
920,500,632000
920,500,666000
920,500,695000
920,500,643000
920,500,646000
920,500,652000
929,500,651000
929,500,631000
929,500,642000
929,500,696000
929,500,654000
929,500,644000
929,500,651000
929,500,706000
929,500,684000
929,500,638000
938,500,679000
938,500,672000
938,500,670000
938,500,644000
938,500,643000
938,500,666000
938,500,644000
938,500,654000
938,500,652000
938,500,645000
947,500,646000
947,500,671000
947,500,651000
947,500,656000
947,500,646000
947,500,698000
947,500,646000
947,500,671000
947,500,638000
947,500,628000
956,500,661000
956,500,643000
956,500,651000
956,500,650000
956,500,680000
956,500,656000
956,500,664000
956,500,683000
956,500,769000
956,500,660000
965,500,741000
965,500,671000
965,500,681000
965,500,650000
965,500,668000
965,500,652000
965,500,675000
965,500,756000
965,500,677000
965,500,823000
974,500,646000
974,500,630000
974,500,655000
974,500,762000
974,500,650000
974,500,896000
974,500,748000
974,500,634000
974,500,667000
974,500,608000
983,500,674000
983,500,633000
983,500,650000
983,500,690000
983,500,685000
983,500,716000
983,500,654000
983,500,679000
983,500,705000
983,500,780000
501,1,640000
501,1,655000
501,1,771000
501,1,667000
501,1,720000
501,1,637000
501,1,674000
501,1,646000
501,1,636000
501,1,642000
501,10,640000
501,10,716000
501,10,633000
501,10,637000
501,10,649000
501,10,660000
501,10,769000
501,10,651000
501,10,638000
501,10,657000
501,19,643000
501,19,705000
501,19,660000
501,19,717000
501,19,658000
501,19,696000
501,19,641000
501,19,649000
501,19,653000
501,19,660000
501,28,835000
501,28,652000
501,28,667000
