Pallet: "pallet-identity", Extrinsic: "clear_identity", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
r,s,x,extrinsic_time,storage_root_time
50,91,100,2413890,611328
50,100,100,2639784,660017
50,100,100,2577972,728634
50,100,100,2563478,799072
50,100,100,2664731,669912
50,100,100,2378276,742439
50,100,100,2553632,659207
50,100,100,2521408,706636
50,100,100,2530421,701757
50,100,100,2527420,726424
50,100,100,2472326,692011
50,100,1,2562360,692590
50,100,1,2435430,736278
50,100,1,2332523,697143
50,100,1,2517547,673778
50,100,1,2447897,671207
50,100,1,3598811,1097195
50,100,1,3666692,1019066
50,100,1,2443899,759092
50,100,1,2402037,694825
50,100,1,2358614,671494
50,100,10,2528167,740529
50,100,10,2445268,706610
50,100,10,2451919,708229
50,100,10,2346119,678455
50,100,10,2580015,698305
50,100,10,2529060,696360
50,100,10,2588323,705209
50,100,10,2559423,699924
50,100,10,2437763,703387
50,100,10,2486722,740937
50,100,19,2510161,677167
50,100,19,2492286,671026
50,100,19,2396259,677527
50,100,19,2464990,659507
50,100,19,2480775,722717
50,100,19,2378167,678495
50,100,19,2381625,685977
50,100,19,2350067,700838
50,100,19,2493026,753875
50,100,19,2393370,672834
50,100,28,2522320,680843
50,100,28,3852880,1075331
50,100,28,2542920,697455
50,100,28,2401076,750235
50,100,28,2532500,694025
50,100,28,3710495,1023838
50,100,28,2470971,758017
50,100,28,2448411,680960
50,100,28,2494956,694689
50,100,28,2334422,758690
50,100,37,2479524,748953
50,100,37,2509751,676632
50,100,37,2485854,724345
50,100,37,2383437,771324
50,100,37,2561793,672840
50,100,37,2539081,670043
50,100,37,2397827,681033
50,100,37,3598585,1003940
50,100,37,2505766,748232
50,100,37,2403190,706642
50,100,46,2516772,710831
50,100,46,2584267,727566
50,100,46,2538728,662669
50,100,46,2507242,753162
50,100,46,3860495,1084315
50,100,46,2574700,718804
50,100,46,2541571,761814
50,100,46,2521020,759311
50,100,46,2460820,764187
50,100,46,2523252,735052
50,100,55,3782308,993986
50,100,55,2570804,677594
50,100,55,2455416,701561
50,100,55,2431557,671071
50,100,55,2360971,761026
50,100,55,2467603,663503
50,100,55,2528072,748681
50,100,55,2420969,758322
50,100,55,2490710,729664
50,100,55,2488166,682273
50,100,64,2421641,702712
50,100,64,3771483,1092483
50,100,64,3908015,1073848
50,100,64,2410945,699539
50,100,64,2465718,711995
50,100,64,2581324,750515
50,100,64,3844732,1055665
50,100,64,2513040,751048
50,100,64,2416969,762298
50,100,64,2593465,753559
50,100,73,2513428,723810
50,100,73,2551633,674076
50,100,73,2502862,676177
50,100,73,2422705,775960
50,100,73,2443689,681953
50,100,73,2601300,681349
50,100,73,2447379,760110
50,100,73,2449558,677000
50,100,73,2474076,665070
50,100,73,2628995,748175
50,100,82,2541889,687688
50,100,82,2399754,683267
50,100,82,3773742,1016157
50,100,82,2477609,693660
50,100,82,2534778,684643
50,100,82,2559274,667879
50,100,82,2607362,678853
50,100,82,2549190,672318
50,100,82,2579652,669121
50,100,82,2445682,684132
50,100,91,2510365,674572
50,100,91,2465467,679578
50,100,91,2386130,758145
50,100,91,2571286,663119
50,100,91,2576781,741483
50,100,91,2591463,702212
50,100,91,2597448,708536
50,100,91,2524632,714888
50,100,91,2588844,694561
50,100,91,2613449,764241
50,100,100,2583400,670826
50,100,100,2502443,669099
50,100,100,2555345,664332
50,100,100,2381847,742029
50,100,100,2686466,686031
50,100,100,2643088,678486
50,100,100,3861584,1085700
50,100,100,2485467,740900
50,100,100,2538010,760730
50,100,100,2611341,725710
