Pallet: "pallet-staking", Extrinsic: "set_invulnerables", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
v,extrinsic_time,storage_root_time
0,14240,65333
0,15604,58881
0,15373,60141
0,15286,58667
0,15241,59435
0,15783,59447
0,15079,60043
0,35150,156575
0,15153,57547
0,15347,57445
100,17634,63664
100,15334,63736
100,16367,166054
100,15365,139125
100,19500,165924
100,16584,64573
100,16937,64350
100,15430,94892
100,17071,65549
100,16437,70485
200,20504,141342
200,18809,67858
200,18868,69645
200,19776,170036
200,19175,67811
200,16984,67884
200,21173,164456
200,17845,68155
200,18324,69043
200,18210,69524
300,26383,181800
300,19246,72842
300,20148,71972
300,19241,76316
300,19202,71856
300,19618,71478
300,19158,177969
300,19966,71689
300,20528,73451
300,19813,72994
400,21598,75888
400,21333,73906
400,21081,78960
400,21811,176651
400,22333,74874
400,22639,83269
400,25385,179797
400,22068,153399
400,21498,76061
400,24004,178542
500,29433,153169
500,23285,176068
500,23442,129570
500,47416,188035
500,22902,180611
500,27638,91737
500,23811,81904
500,22976,186421
500,26639,190113
500,22811,152890
600,33465,155277
600,25781,182956
600,26669,88303
600,26077,154162
600,26473,187378
600,26115,181475
600,25439,85358
600,25475,86771
600,27692,87073
600,32494,184974
700,31696,179980
700,27340,181996
700,28443,187539
700,29651,148988
700,33147,179385
700,28558,88838
700,28519,88645
700,28821,197336
700,37678,235059
700,36759,155694
800,33398,202309
800,30750,215653
800,28932,191087
800,46128,158510
800,30426,151978
800,30899,215765
800,29944,192488
800,31600,97897
800,30207,206443
800,31373,204016
900,35462,205441
900,42402,180116
900,32488,196796
900,38366,203183
900,32286,103036
900,31719,199303
900,39361,195502
900,43607,186320
900,32606,235232
900,44902,261141
1000,34893,219487
1000,47073,204765
1000,34502,203386
1000,35122,213764
1000,48354,176307
1000,49488,197977
1000,33158,184754
1000,40613,244917
1000,41966,190839
1000,45746,201037
