Pallet: "staking", Extrinsic: "payout_validator", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
n,extrinsic_time,storage_root_time
1,603000,130000
1,457000,101000
1,604000,127000
1,583000,127000
1,596000,128000
1,605000,128000
1,529000,108000
1,717000,106000
1,600000,126000
1,656000,140000
100,897000,305000
100,689000,231000
100,972000,277000
100,704000,232000
100,1395000,346000
100,887000,227000
100,710000,275000
100,823000,275000
100,819000,274000
100,940000,302000
199,1328000,497000
199,1409000,480000
199,1875000,350000
199,929000,357000
199,967000,358000
199,1122000,419000
199,976000,347000
199,939000,341000
199,1144000,431000
199,1189000,411000
298,1670000,694000
298,1616000,628000
298,1467000,569000
298,1462000,556000
298,1466000,559000
298,1447000,589000
298,1412000,551000
298,1365000,522000
298,1379000,523000
298,1415000,604000
397,1665000,687000
397,1737000,774000
397,1706000,673000
397,1673000,687000
397,2123000,711000
397,1643000,665000
397,1873000,751000
397,1650000,681000
397,1659000,680000
397,1960000,764000
496,2542000,882000
496,2457000,831000
496,2037000,861000
496,1903000,826000
496,1908000,925000
496,2049000,789000
496,2037000,813000
496,2017000,911000
496,1872000,807000
496,2017000,804000
595,2175000,959000
595,2114000,1016000
595,2294000,1038000
595,2165000,961000
595,2378000,1387000
595,2321000,1730000
595,2208000,996000
595,2180000,989000
595,2813000,1109000
595,2990000,1085000
694,3263000,1060000
694,2582000,1106000
694,2851000,1156000
694,2563000,1076000
694,2499000,1053000
694,2427000,1048000
694,2447000,1004000
694,2584000,1063000
694,2637000,2033000
694,2552000,1045000
793,2802000,1231000
793,3321000,1442000
793,2651000,1177000
793,3206000,1325000
793,2780000,1284000
793,2979000,1294000
793,2693000,1253000
793,2744000,1319000
793,3453000,1228000
793,2769000,1284000
892,3365000,1454000
892,3178000,1391000
892,3177000,1304000
892,3421000,1528000
892,3744000,1408000
892,3103000,1308000
892,3304000,1611000
892,3116000,1341000
892,4259000,2497000
892,3065000,1559000
991,4157000,1729000
991,3205000,1402000
991,3655000,1667000
991,4164000,1779000
991,4718000,1611000
991,3446000,1648000
991,3377000,1495000
991,3214000,1366000
991,4693000,1731000
991,5370000,1735000
