Pallet: "staking", Extrinsic: "set_history_depth", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
e,extrinsic_time,storage_root_time
1,379000,79000
1,288000,58000
1,158000,78000
1,138000,67000
1,320000,63000
1,151000,75000
1,354000,70000
1,353000,71000
1,298000,68000
1,338000,68000
10,1059000,438000
10,1152000,430000
10,924000,434000
10,1123000,425000
10,926000,431000
10,992000,373000
10,1260000,500000
10,1063000,437000
10,1152000,439000
10,1131000,436000
19,1771000,777000
19,1996000,775000
19,1642000,680000
19,2026000,877000
19,1829000,777000
19,1749000,787000
19,1994000,878000
19,1811000,777000
19,1716000,773000
19,1785000,745000
28,2888000,1157000
28,2863000,1151000
28,2740000,1207000
28,2934000,1169000
28,2785000,1172000
28,3053000,1143000
28,2769000,1146000
28,3119000,1194000
28,2732000,1594000
28,2942000,1159000
37,3484000,1423000
37,2956000,1337000
37,3839000,1580000
37,3570000,1535000
37,4027000,1589000
37,3464000,1543000
37,3587000,1565000
37,3892000,1997000
37,3614000,2045000
37,3684000,1526000
46,4366000,1891000
46,4714000,1924000
46,4259000,1743000
46,4331000,2031000
46,4289000,1892000
46,4501000,1920000
46,4513000,2446000
46,4536000,2018000
46,4427000,2135000
46,4489000,2754000
55,5744000,2494000
55,5656000,2801000
55,5422000,2983000
55,5629000,3053000
55,5646000,2649000
55,5447000,2472000
55,5445000,2383000
55,5298000,2400000
55,5275000,3231000
55,5602000,2528000
64,7800000,3296000
64,7987000,3382000
64,6718000,2671000
64,6805000,2865000
64,7943000,3673000
64,7884000,3268000
64,6924000,2768000
64,7368000,3025000
64,6527000,2927000
64,6926000,2855000
73,7374000,3169000
73,8907000,3688000
73,8711000,4665000
73,7034000,3200000
73,7159000,3017000
73,7187000,2878000
73,7126000,3026000
73,7154000,2868000
73,7058000,3399000
73,7276000,3451000
82,8296000,3542000
82,8013000,3945000
82,8149000,4018000
82,8149000,3600000
82,8178000,3300000
82,7917000,3165000
82,8142000,3118000
82,8172000,3541000
82,6993000,3691000
82,7663000,3039000
91,9018000,3308000
91,9648000,3852000
91,9593000,4010000
91,10290000,4389000
91,9650000,3965000
91,9264000,3428000
91,9857000,3859000
91,9736000,4398000
91,10081000,4302000
91,9659000,3981000
100,9879000,4295000
100,9954000,4304000
100,10125000,3731000
100,9733000,3770000
100,10023000,4317000
100,10592000,4401000
100,9319000,4146000
100,10086000,6094000
100,9806000,4266000
100,10812000,5329000
