Pallet: "staking", Extrinsic: "nominate", Lowest values: [], Highest values: [], Steps: [16], Repeat: 100
n,extrinsic_time,storage_root_time
1,345000,64000
1,312000,44000
1,289000,45000
1,283000,47000
1,247000,45000
1,269000,45000
1,299000,44000
1,329000,46000
1,266000,45000
1,294000,46000
1,293000,45000
1,278000,46000
1,276000,47000
1,127000,48000
1,298000,44000
1,286000,44000
1,356000,51000
1,325000,44000
1,292000,46000
1,298000,44000
1,292000,46000
1,307000,47000
1,268000,45000
1,321000,45000
1,253000,46000
1,336000,50000
1,322000,46000
1,308000,47000
1,351000,53000
1,131000,54000
1,296000,44000
1,360000,52000
1,325000,47000
1,263000,46000
1,113000,45000
1,319000,43000
1,133000,50000
1,256000,51000
1,421000,53000
1,291000,46000
1,272000,46000
1,294000,47000
1,302000,45000
1,280000,47000
1,292000,46000
1,304000,54000
1,276000,47000
1,288000,46000
1,267000,46000
1,269000,45000
1,115000,45000
1,113000,46000
1,342000,55000
1,301000,48000
1,281000,46000
1,285000,45000
1,296000,45000
1,121000,46000
1,304000,45000
1,280000,47000
1,312000,47000
1,117000,46000
1,115000,44000
1,117000,46000
1,117000,47000
1,271000,46000
1,276000,44000
1,133000,49000
1,299000,46000
1,117000,54000
1,262000,49000
1,300000,45000
1,119000,47000
1,285000,45000
1,124000,48000
1,347000,48000
1,318000,45000
1,118000,45000
1,269000,46000
1,311000,45000
1,112000,45000
1,308000,48000
1,313000,45000
1,326000,48000
1,128000,48000
1,116000,45000
1,262000,46000
1,321000,45000
1,114000,46000
1,116000,46000
1,122000,49000
1,367000,51000
1,293000,45000
1,330000,49000
1,305000,46000
1,311000,45000
1,298000,44000
1,114000,46000
1,269000,45000
1,325000,56000
2,376000,60000
2,154000,58000
2,306000,46000
2,360000,51000
2,128000,47000
2,309000,45000
2,336000,46000
2,308000,47000
2,274000,47000
2,367000,49000
2,340000,47000
2,312000,47000
2,269000,49000
2,276000,49000
2,274000,48000
2,129000,49000
2,134000,49000
2,324000,45000
2,334000,47000
2,131000,48000
2,333000,47000
2,130000,48000
2,126000,47000
2,266000,46000
2,359000,50000
2,326000,45000
2,309000,54000
2,125000,49000
2,123000,46000
2,302000,46000
2,357000,53000
2,272000,51000
2,363000,74000
2,330000,59000
2,309000,49000
2,136000,51000
2,338000,47000
2,294000,47000
2,126000,46000
2,280000,47000
2,338000,49000
2,300000,49000
2,277000,47000
2,277000,53000
2,272000,54000
2,296000,53000
2,329000,50000
2,306000,51000
2,376000,53000
2,281000,46000
2,132000,48000
2,329000,46000
2,265000,47000
2,304000,46000
2,329000,51000
2,270000,48000
