Pallet: "balances", Extrinsic: "set_balance_killing", Steps: 100, Repeat: 10
E,U,time
407,500,315000
407,500,341000
407,500,339000
407,500,327000
407,500,345000
407,500,335000
407,500,332000
407,500,338000
407,500,334000
407,500,333000
416,500,328000
416,500,321000
416,500,337000
416,500,322000
416,500,322000
416,500,308000
416,500,314000
416,500,324000
416,500,341000
416,500,323000
425,500,309000
425,500,340000
425,500,331000
425,500,327000
425,500,330000
425,500,340000
425,500,346000
425,500,323000
425,500,337000
425,500,348000
434,500,331000
434,500,348000
434,500,325000
434,500,339000
434,500,309000
434,500,333000
434,500,335000
434,500,319000
434,500,343000
434,500,312000
443,500,334000
443,500,328000
443,500,336000
443,500,324000
443,500,330000
443,500,313000
443,500,310000
443,500,327000
443,500,329000
443,500,351000
452,500,334000
452,500,332000
452,500,331000
452,500,331000
452,500,326000
452,500,320000
452,500,334000
452,500,333000
452,500,332000
452,500,329000
461,500,337000
461,500,349000
461,500,315000
461,500,308000
461,500,334000
461,500,334000
461,500,348000
461,500,360000
461,500,338000
461,500,340000
470,500,369000
470,500,331000
470,500,340000
470,500,340000
470,500,335000
470,500,320000
470,500,322000
470,500,327000
470,500,337000
470,500,330000
479,500,331000
479,500,338000
479,500,347000
479,500,343000
479,500,332000
479,500,349000
479,500,329000
479,500,357000
479,500,367000
479,500,337000
488,500,333000
488,500,332000
488,500,336000
488,500,342000
488,500,322000
488,500,315000
488,500,323000
488,500,345000
488,500,387000
488,500,342000
497,500,331000
497,500,304000
497,500,324000
497,500,314000
497,500,362000
497,500,358000
497,500,335000
497,500,338000
497,500,333000
497,500,332000
506,500,341000
506,500,351000
506,500,329000
506,500,331000
506,500,356000
506,500,322000
506,500,325000
506,500,316000
506,500,329000
506,500,337000
515,500,395000
515,500,325000
515,500,339000
515,500,331000
515,500,337000
515,500,325000
515,500,337000
515,500,349000
515,500,316000
515,500,318000
524,500,349000
524,500,335000
524,500,308000
524,500,328000
524,500,333000
524,500,327000
524,500,346000
524,500,350000
524,500,329000
524,500,350000
533,500,345000
533,500,337000
533,500,373000
533,500,333000
533,500,335000
533,500,312000
533,500,310000
533,500,333000
533,500,317000
533,500,290000
542,500,310000
542,500,320000
542,500,328000
542,500,328000
542,500,333000
542,500,324000
542,500,336000
542,500,353000
542,500,346000
542,500,310000
551,500,316000
551,500,318000
551,500,316000
551,500,310000
551,500,319000
551,500,310000
551,500,357000
551,500,356000
551,500,334000
551,500,331000
560,500,419000
560,500,336000
560,500,345000
560,500,332000
560,500,330000
560,500,328000
560,500,331000
560,500,324000
560,500,306000
560,500,327000
569,500,344000
569,500,312000
569,500,343000
569,500,333000
569,500,336000
569,500,310000
569,500,317000
569,500,301000
569,500,329000
569,500,328000
578,500,335000
578,500,312000
578,500,334000
578,500,370000
578,500,330000
578,500,344000
578,500,341000
578,500,326000
578,500,329000
578,500,339000
587,500,322000
587,500,311000
587,500,325000
587,500,343000
587,500,316000
587,500,315000
587,500,314000
587,500,327000
587,500,338000
587,500,334000
596,500,333000
596,500,341000
596,500,311000
596,500,338000
596,500,344000
596,500,345000
596,500,311000
596,500,348000
596,500,323000
596,500,333000
605,500,330000
605,500,332000
605,500,343000
605,500,347000
605,500,328000
605,500,338000
605,500,312000
605,500,312000
605,500,340000
605,500,317000
614,500,524000
614,500,331000
614,500,318000
614,500,327000
614,500,308000
614,500,326000
614,500,339000
614,500,364000
614,500,323000
614,500,322000
623,500,338000
623,500,313000
623,500,333000
623,500,329000
623,500,391000
623,500,347000
623,500,351000
623,500,312000
623,500,308000
623,500,336000
632,500,334000
632,500,355000
632,500,328000
632,500,351000
632,500,420000
632,500,315000
632,500,331000
632,500,420000
632,500,349000
632,500,338000
641,500,344000
641,500,351000
641,500,343000
641,500,317000
641,500,346000
641,500,338000
641,500,325000
641,500,317000
641,500,338000
641,500,332000
650,500,339000
650,500,318000
650,500,316000
650,500,330000
650,500,336000
650,500,335000
650,500,335000
650,500,320000
650,500,335000
650,500,355000
659,500,316000
659,500,338000
659,500,341000
659,500,314000
659,500,333000
659,500,351000
659,500,345000
659,500,339000
659,500,339000
659,500,327000
668,500,339000
668,500,362000
668,500,316000
668,500,320000
668,500,317000
668,500,347000
668,500,343000
668,500,314000
668,500,335000
668,500,339000
677,500,317000
677,500,328000
677,500,336000
677,500,342000
677,500,312000
677,500,348000
677,500,332000
677,500,339000
677,500,326000
677,500,375000
686,500,327000
686,500,352000
686,500,327000
686,500,330000
686,500,325000
686,500,331000
686,500,307000
686,500,315000
686,500,319000
686,500,325000
695,500,335000
695,500,352000
695,500,302000
695,500,342000
695,500,318000
695,500,330000
695,500,341000
695,500,311000
695,500,324000
695,500,313000
704,500,329000
704,500,330000
704,500,314000
704,500,303000
704,500,310000
704,500,363000
704,500,311000
704,500,329000
704,500,326000
704,500,348000
713,500,340000
713,500,343000
713,500,362000
713,500,348000
713,500,326000
713,500,341000
713,500,334000
713,500,338000
713,500,354000
713,500,324000
722,500,319000
722,500,330000
722,500,358000
722,500,320000
722,500,339000
722,500,326000
722,500,341000
722,500,324000
722,500,333000
722,500,311000
731,500,327000
731,500,313000
731,500,338000
731,500,337000
731,500,313000
731,500,341000
731,500,327000
731,500,324000
731,500,342000
731,500,329000
