Pallet: "vesting", Extrinsic: "vest", Lowest values: [], Highest values: [], Steps: [10], Repeat: 100
b,l,extrinsic_time,storage_root_time
0,20,384000,77000
0,20,390000,57000
0,20,390000,59000
0,20,242000,63000
0,20,209000,57000
0,20,389000,51000
0,20,458000,65000
0,20,237000,62000
0,20,206000,54000
0,20,391000,57000
0,20,361000,55000
0,20,218000,58000
0,20,379000,60000
0,20,405000,57000
0,20,413000,64000
0,20,379000,57000
0,20,372000,57000
0,20,365000,56000
0,20,214000,58000
0,20,382000,56000
0,20,211000,58000
0,20,373000,60000
0,20,406000,56000
0,20,393000,56000
0,20,403000,56000
0,20,216000,57000
0,20,420000,59000
0,20,299000,60000
0,20,215000,57000
0,20,210000,57000
0,20,381000,57000
0,20,374000,57000
0,20,363000,56000
0,20,357000,58000
0,20,378000,75000
0,20,413000,59000
0,20,431000,59000
0,20,368000,60000
0,20,207000,59000
0,20,408000,57000
0,20,234000,64000
0,20,236000,62000
0,20,452000,63000
0,20,240000,65000
0,20,409000,54000
0,20,203000,55000
0,20,243000,63000
0,20,370000,55000
0,20,411000,65000
0,20,208000,57000
0,20,374000,56000
0,20,213000,58000
0,20,210000,56000
0,20,419000,55000
0,20,439000,63000
0,20,391000,56000
0,20,460000,65000
0,20,373000,60000
0,20,209000,57000
0,20,368000,56000
0,20,416000,56000
0,20,216000,58000
0,20,405000,57000
0,20,214000,57000
0,20,362000,56000
0,20,357000,64000
0,20,362000,58000
0,20,359000,62000
0,20,473000,66000
0,20,375000,56000
0,20,371000,60000
0,20,415000,56000
0,20,213000,59000
0,20,215000,57000
0,20,211000,58000
0,20,382000,59000
0,20,395000,55000
0,20,239000,68000
0,20,379000,59000
0,20,405000,59000
0,20,401000,61000
0,20,428000,60000
0,20,404000,59000
0,20,193000,52000
0,20,440000,60000
0,20,377000,59000
0,20,464000,65000
0,20,212000,59000
0,20,426000,59000
0,20,381000,58000
0,20,204000,56000
0,20,216000,58000
0,20,426000,59000
0,20,384000,58000
0,20,233000,63000
0,20,397000,60000
0,20,243000,63000
0,20,388000,59000
0,20,217000,59000
0,20,210000,57000
1,20,413000,85000
1,20,193000,61000
1,20,256000,81000
1,20,267000,81000
1,20,263000,80000
1,20,467000,77000
1,20,412000,71000
1,20,228000,74000
1,20,223000,71000
1,20,428000,77000
1,20,438000,72000
1,20,259000,81000
1,20,234000,73000
1,20,448000,74000
1,20,215000,68000
1,20,233000,71000
1,20,230000,71000
1,20,516000,104000
1,20,401000,73000
1,20,493000,61000
1,20,414000,73000
1,20,225000,72000
1,20,451000,73000
1,20,437000,79000
1,20,261000,82000
1,20,436000,72000
1,20,233000,72000
1,20,234000,72000
1,20,255000,81000
1,20,405000,75000
1,20,229000,72000
1,20,248000,71000
1,20,416000,77000
1,20,412000,71000
1,20,421000,74000
1,20,572000,81000
1,20,258000,80000
1,20,226000,73000
1,20,254000,79000
1,20,259000,81000
1,20,256000,81000
1,20,540000,82000
1,20,264000,81000
1,20,429000,76000
1,20,401000,72000
1,20,451000,74000
1,20,390000,72000
1,20,454000,75000
1,20,225000,72000
1,20,243000,76000
1,20,231000,73000
1,20,398000,73000
1,20,484000,81000
1,20,233000,72000
1,20,230000,72000
1,20,239000,70000
1,20,459000,81000
1,20,224000,72000
1,20,385000,74000
1,20,228000,74000
1,20,436000,81000
1,20,205000,80000
1,20,541000,81000
1,20,230000,72000
1,20,236000,74000
1,20,260000,81000
1,20,424000,70000
1,20,455000,81000
1,20,421000,77000
1,20,230000,72000
1,20,226000,72000
1,20,396000,67000
1,20,225000,71000
1,20,227000,73000
1,20,224000,71000
1,20,226000,71000
1,20,235000,72000
1,20,222000,70000
1,20,222000,70000
1,20,484000,80000
1,20,235000,73000
1,20,394000,76000
1,20,229000,72000
1,20,237000,73000
1,20,231000,72000
1,20,228000,71000
1,20,369000,72000
1,20,471000,75000
1,20,453000,71000
1,20,400000,73000
1,20,226000,71000
1,20,244000,92000
1,20,398000,77000
1,20,220000,70000
1,20,491000,81000
1,20,419000,71000
1,20,573000,95000
1,20,455000,75000
1,20,430000,61000
1,20,235000,75000
1,0,370000,59000
1,0,349000,57000
1,0,217000,58000
1,0,210000,57000
1,0,348000,56000
1,0,217000,57000
1,0,221000,58000
1,0,211000,57000
1,0,211000,57000
1,0,219000,57000
1,0,360000,57000
1,0,214000,58000
1,0,211000,58000
1,0,215000,58000
1,0,415000,56000
1,0,210000,56000
1,0,218000,57000
1,0,215000,57000
1,0,213000,56000
1,0,215000,57000
1,0,212000,58000
1,0,219000,59000
1,0,210000,56000
1,0,216000,58000
1,0,379000,56000
1,0,218000,56000
1,0,212000,57000
1,0,210000,56000
1,0,212000,58000
1,0,215000,57000
1,0,214000,56000
1,0,211000,57000
1,0,209000,56000
1,0,223000,58000
1,0,227000,61000
1,0,499000,67000
1,0,449000,61000
1,0,215000,57000
1,0,416000,56000
1,0,212000,57000
1,0,404000,58000
1,0,371000,58000
1,0,214000,59000
1,0,210000,57000
1,0,215000,57000
1,0,218000,59000
1,0,218000,58000
1,0,211000,57000
1,0,401000,57000
1,0,213000,56000
1,0,211000,57000
1,0,218000,58000
1,0,211000,57000
1,0,220000,58000
1,0,211000,58000
1,0,218000,57000
1,0,227000,59000
1,0,472000,70000
1,0,232000,61000
1,0,460000,64000
1,0,220000,57000
1,0,213000,59000
1,0,218000,58000
1,0,239000,64000
1,0,240000,63000
1,0,210000,56000
1,0,222000,59000
1,0,396000,58000
1,0,210000,56000
1,0,237000,62000
1,0,222000,60000
1,0,175000,48000
1,0,191000,51000
1,0,464000,62000
1,0,249000,65000
1,0,383000,60000
1,0,377000,59000
1,0,434000,59000
1,0,423000,73000
1,0,240000,63000
1,0,369000,57000
1,0,239000,63000
1,0,211000,55000
1,0,386000,56000
1,0,209000,56000
1,0,215000,56000
1,0,212000,82000
1,0,215000,57000
1,0,212000,57000
1,0,205000,56000
1,0,206000,56000
1,0,219000,50000
1,0,240000,63000
1,0,395000,60000
1,0,198000,53000
1,0,440000,57000
1,0,393000,58000
1,0,385000,59000
1,0,366000,56000
1,0,232000,62000
1,2,225000,73000
1,2,388000,68000
1,2,205000,64000
1,2,483000,78000
1,2,449000,70000
1,2,450000,78000
1,2,370000,75000
1,2,396000,71000
1,2,217000,68000
1,2,417000,71000
1,2,219000,70000
1,2,219000,69000
1,2,219000,70000
1,2,432000,70000
1,2,478000,77000
1,2,545000,92000
1,2,393000,68000
1,2,412000,72000
1,2,385000,72000
1,2,432000,69000
1,2,188000,60000
1,2,217000,67000
1,2,257000,69000
1,2,426000,68000
1,2,227000,70000
1,2,221000,69000
1,2,411000,69000
1,2,228000,71000
1,2,441000,73000
1,2,214000,67000
1,2,215000,69000
1,2,435000,71000
1,2,225000,71000
1,2,245000,78000
1,2,380000,70000
1,2,380000,68000
1,2,209000,65000
1,2,474000,59000
1,2,188000,59000
1,2,252000,80000
1,2,216000,68000
1,2,202000,64000
1,2,241000,75000
1,2,219000,69000
1,2,381000,68000
1,2,428000,70000
1,2,227000,73000
1,2,489000,78000
1,2,432000,68000
1,2,221000,70000
1,2,431000,69000
1,2,403000,71000
1,2,466000,77000
1,2,289000,83000
1,2,408000,74000
1,2,411000,73000
1,2,247000,78000
1,2,419000,57000
1,2,472000,80000
1,2,250000,79000
1,2,252000,79000
1,2,474000,77000
1,2,417000,78000
1,2,542000,97000
1,2,395000,70000
1,2,265000,83000
1,2,418000,70000
1,2,225000,71000
1,2,225000,71000
1,2,247000,78000
1,2,398000,70000
1,2,215000,68000
1,2,374000,68000
1,2,252000,76000
1,2,435000,68000
1,2,388000,74000
1,2,409000,70000
1,2,217000,68000
1,2,396000,74000
1,2,396000,71000
1,2,226000,70000
1,2,223000,67000
1,2,421000,70000
