Pallet: "vesting", Extrinsic: "vest_other", Lowest values: [], Highest values: [], Steps: [10], Repeat: 100
b,l,extrinsic_time,storage_root_time
1,20,325000,65000
1,20,209000,63000
1,20,346000,64000
1,20,356000,66000
1,20,616000,65000
1,20,579000,66000
1,20,591000,60000
1,20,195000,59000
1,20,784000,98000
1,20,496000,59000
1,0,177000,46000
1,0,299000,48000
1,0,185000,48000
1,0,193000,52000
1,0,427000,63000
1,0,526000,46000
1,0,221000,48000
1,0,464000,46000
1,0,412000,47000
1,0,284000,102000
1,0,219000,85000
1,0,435000,55000
1,0,388000,57000
1,0,368000,60000
1,0,358000,63000
1,0,212000,57000
1,0,376000,62000
1,0,439000,61000
1,0,216000,57000
1,0,220000,59000
1,0,406000,61000
1,0,219000,57000
1,0,422000,57000
1,0,218000,56000
1,0,212000,57000
1,0,212000,57000
1,0,212000,57000
1,0,212000,56000
1,0,307000,48000
1,0,219000,57000
1,0,648000,84000
1,0,354000,59000
1,0,266000,59000
1,0,427000,63000
1,0,473000,75000
1,0,495000,70000
1,0,431000,71000
1,0,473000,69000
1,0,426000,58000
1,0,366000,61000
1,0,402000,59000
1,0,403000,58000
1,0,370000,59000
1,0,376000,58000
1,0,217000,57000
1,0,412000,63000
1,0,399000,59000
1,0,221000,60000
1,0,364000,61000
1,0,380000,66000
1,0,368000,56000
1,0,387000,63000
1,0,353000,58000
1,0,377000,64000
1,0,343000,59000
1,0,217000,57000
1,0,358000,60000
1,0,351000,56000
1,0,360000,59000
1,0,366000,61000
1,0,350000,58000
1,0,363000,61000
1,0,376000,58000
1,0,386000,57000
1,0,442000,130000
1,0,365000,60000
1,0,351000,60000
1,0,238000,61000
1,0,543000,89000
1,0,365000,59000
1,0,402000,61000
1,0,446000,63000
1,0,374000,61000
1,0,219000,59000
1,0,368000,61000
1,0,361000,59000
1,0,380000,51000
1,0,415000,61000
1,0,406000,62000
1,0,420000,77000
1,0,476000,71000
1,0,384000,58000
1,0,218000,58000
1,0,430000,59000
1,0,212000,57000
1,0,221000,59000
1,0,217000,58000
1,0,354000,59000
1,0,367000,59000
1,0,332000,52000
1,0,352000,50000
1,0,394000,53000
1,0,416000,64000
1,0,356000,59000
1,0,399000,65000
1,0,424000,58000
1,0,351000,56000
1,0,273000,58000
1,0,379000,56000
1,0,382000,58000
1,2,425000,69000
1,2,425000,68000
1,2,357000,70000
1,2,221000,70000
1,2,232000,72000
1,2,221000,70000
1,2,389000,73000
1,2,380000,75000
1,2,362000,69000
1,2,407000,69000
1,2,389000,74000
1,2,391000,70000
1,2,376000,73000
1,2,399000,73000
1,2,373000,70000
1,2,373000,74000
1,2,366000,74000
1,2,405000,71000
1,2,390000,70000
1,2,364000,75000
1,2,390000,74000
1,2,506000,83000
1,2,627000,106000
1,2,490000,87000
1,2,495000,94000
1,2,389000,71000
1,2,373000,70000
1,2,396000,69000
1,2,398000,76000
1,2,405000,71000
1,2,375000,78000
1,2,289000,73000
1,2,414000,76000
1,2,223000,68000
1,2,226000,68000
1,2,372000,70000
1,2,234000,69000
1,2,418000,81000
1,2,416000,70000
1,2,422000,69000
1,2,219000,68000
1,2,409000,75000
1,2,221000,68000
1,2,217000,68000
1,2,399000,69000
1,2,405000,75000
1,2,360000,73000
1,2,421000,74000
1,2,422000,73000
1,2,530000,73000
1,2,363000,76000
1,2,369000,72000
1,2,416000,68000
1,2,375000,78000
1,2,235000,69000
1,2,390000,68000
1,2,409000,71000
1,2,371000,76000
1,2,385000,74000
1,2,492000,77000
1,2,416000,73000
1,2,423000,73000
1,2,370000,74000
1,2,435000,85000
1,2,493000,87000
1,2,475000,88000
1,2,451000,80000
1,2,449000,70000
1,2,437000,72000
1,2,390000,71000
1,2,435000,71000
1,2,362000,68000
1,2,437000,70000
1,2,225000,72000
1,2,221000,68000
1,2,374000,68000
1,2,217000,68000
1,2,426000,75000
1,2,227000,70000
1,2,407000,72000
1,2,442000,77000
1,2,366000,71000
1,2,433000,70000
1,2,427000,73000
1,2,374000,75000
1,2,366000,72000
1,2,220000,69000
1,2,227000,70000
1,2,492000,74000
1,2,384000,75000
1,2,409000,71000
1,2,221000,69000
1,2,361000,68000
1,2,223000,69000
1,2,225000,69000
1,2,221000,69000
1,2,363000,73000
1,2,396000,68000
1,2,396000,70000
