Pallet: "claims", Extrinsic: "eth_recover", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
i,extrinsic_time,storage_root_time
340,53657665,3087
340,53588869,2731
340,53416897,3011
340,53333248,2757
340,53400594,2869
340,53413210,2896
340,53414733,2756
340,53442338,2750
360,56740097,2766
360,56438971,2868
360,56405118,2759
360,56336458,2712
360,56399122,2738
360,56302365,2889
360,56268217,2780
360,56220050,2732
360,56194431,2882
360,56299778,2722
360,56260146,2960
360,56280355,2802
360,56226322,2792
360,56271593,2778
360,56270127,2937
360,56233172,2843
360,56282965,2968
360,56243822,2828
360,56156243,2736
360,56183779,2862
380,59830207,2742
380,59545298,2780
380,59546439,2891
380,59470526,2911
380,59526622,2865
380,59518569,2916
380,59485507,2803
380,59446926,2877
380,59490596,3162
380,59422696,2791
380,59404846,2791
380,59458862,2891
380,59464929,2954
380,59420152,2899
380,59464514,2863
380,59353398,2787
380,59419514,2764
380,59538858,2758
380,59437975,2673
380,59456858,2895
400,62666589,3027
400,62352788,2941
400,62268461,2707
400,62266605,2819
400,62148732,2986
400,62172922,2908
400,62186888,2933
400,62142408,2796
400,62311918,2943
400,62214531,2835
400,62242388,2826
400,62293255,2946
400,62212648,2906
400,62242408,2766
400,62183610,2689
400,62214265,2971
400,62217251,2818
400,62147389,3023
400,62180684,2670
400,62229435,2920
420,66148747,2995
420,65745311,2820
420,65761532,2797
420,65685398,2878
420,65809783,2818
420,65739395,2864
420,65675512,2897
420,65579653,2878
420,65554189,2866
420,65503244,2757
420,65617790,2768
420,65738285,2811
420,65706513,2980
420,65520780,2691
420,65646653,2733
420,65624119,3035
420,65641108,2848
420,65621241,2898
420,65616870,2756
420,65680347,2931
440,69202260,3027
440,69008964,2906
440,68865315,2906
440,68895566,2855
440,68797442,2837
440,68887362,2841
440,68842219,3003
440,68774222,2902
440,68970536,2866
440,68843423,2849
440,68856493,3022
440,68810731,2839
440,68842669,2880
440,68723516,2869
440,68704522,2981
440,68813811,2904
440,68864698,2843
440,68748991,2902
440,68903014,2895
440,68861929,2881
460,73136702,2741
460,72869079,3017
460,72684472,2820
460,72653918,2747
460,72654834,2990
460,72695020,2789
460,72728288,2831
460,72751390,2804
460,72582051,2881
460,72697158,2918
460,72752080,2840
460,72563731,2822
460,72615251,2830
460,72544014,2896
460,72528014,2828
460,72725517,2903
460,72580853,2793
460,72454416,2886
460,72698824,3111
460,72622849,2699
480,76049164,2830
480,75698858,2845
480,75534312,2881
480,75629845,2953
480,75432857,2765
480,75404039,2778
480,75526073,2890
480,75495187,2839
480,75446995,2905
480,75376025,2794
480,75359895,2738
480,75419934,3068
480,75399594,2861
480,75412820,2829
480,75467126,2839
480,75469972,2906
480,75467413,2953
480,75495640,2915
480,75507330,2825
480,75557980,2863
500,78431555,2948
500,78110662,2790
500,78064131,2947
500,77961537,2802
500,78206632,3074
500,77951363,2938
500,77863427,2787
500,77964103,3069
500,77863187,2890
500,77918184,2872
500,77929639,2868
500,77907740,2815
500,77947641,2803
500,77951619,2837
500,77938432,3009
500,77929967,2904
500,77898578,2808
500,77892330,3019
500,77858713,2881
500,77901669,2698
520,82125852,2961
520,81342323,2815
520,81178558,3002
520,81460220,2977
520,81142434,2956
520,81269601,2989
520,81254086,2889
520,81163393,2877
520,81176138,2930
520,81349883,3113
520,81146020,2931
520,81161378,2819
520,81243550,2928
520,81172625,2812
520,81242224,2867
520,81079457,2954
520,81099617,2874
520,81158885,2851
520,81147386,2931
520,81177527,2806
540,85841659,2949
540,85500150,2842
540,85693471,3061
540,85351091,3047
540,85375440,2844
540,85280928,3011
540,85435734,2889
540,85398372,3021
540,85394662,2716
540,85407254,2795
540,85370961,2961
540,85395433,2853
540,85431704,2869
540,85440623,3046
540,85272394,2973
540,85479640,2809
540,85433446,2950
540,85460283,2966
540,85385140,2797
540,85278088,3007
560,87972178,2874
560,87452666,2810
560,87626586,3081
560,87406531,2812
560,87330497,2981
560,87381767,3033
560,87715289,2833
560,87431870,2947
560,87354847,2900
560,87541581,2938
560,87379468,2846
560,87336959,2961
560,87323146,2816
560,87421167,2967
560,87342977,2848
560,87291253,2771
560,87435255,3262
560,87260593,2896
560,87397091,2767
560,87282051,2786
580,92782917,2943
580,92203345,2889
580,92148006,3012
580,91970461,2773
580,92014739,2814
580,92184762,2980
580,91981098,2837
580,92085583,3055
580,91986907,2951
580,91999294,2919
580,91846169,2883
580,91976301,2922
580,92099949,2928
580,91990596,2897
580,91880823,2903
580,92038698,2927
580,92038214,2809
580,91904210,2786
580,91907194,3084
580,91849764,2889
600,94691426,2910
600,94440587,3057
600,93939443,2806
600,93974254,2825
600,94002569,3054
600,93911872,2771
600,93971849,3094
600,93919583,2914
600,93935988,2715
600,94010253,3068
600,93827747,2793
600,93957761,2858
600,93969912,2914
600,94067244,2882
600,93950989,2862
600,93882464,3036
600,94051857,2917
600,94027921,2845
600,93979298,2938
600,94210623,3054
620,96960187,2916
620,96294371,2815
620,96368345,2918
620,96247307,2783
620,96224113,2988
620,96390043,2779
620,96288143,3000
620,96400905,2975
620,96264725,2959
620,96266651,2884
620,96279926,3180
620,96278723,2819
620,96329461,2819
620,96177189,2996
620,96334958,2958
620,96856978,2917
620,96276580,2953
620,96333033,2858
620,96395771,2877
620,96409684,2878
640,101061200,3144
640,100522510,2954
640,100460788,3051
640,100316297,3022
640,100279333,2819
640,100267652,2894
640,100256858,2883
640,100301179,3108
640,100285560,3110
640,100322398,2872
640,100470775,3163
640,100251039,2895
640,100415082,2901
640,100370670,2864
640,100524728,2950
640,101046987,2967
640,100375084,2892
640,100307582,3026
640,100437682,2954
640,100444281,2904
660,104195214,3244
660,103694003,2916
660,103624863,2927
660,103684870,2915
660,103627912,2922
660,103524237,2919
660,103465130,2805
660,103601728,2994
660,103505296,2760
660,103534993,3062
660,103573262,2863
660,103605805,2939
660,103561550,2931
660,103488911,2858
660,103443542,2834
660,103399497,2906
660,103476127,2910
660,103501940,2999
660,103422744,2821
660,103414969,3070
680,107643378,3735
680,107200142,3012
680,107003983,3027
680,106897304,2920
680,107174063,2903
680,107121070,2929
680,106982015,2983
680,106927886,2922
680,107030616,3082
680,107043067,2931
680,107857493,2950
680,107045970,2921
680,107372641,2897
680,107159033,2796
680,107214981,2839
680,107152441,3076
680,107212839,2901
680,107165901,2906
680,107274715,3075
680,107260244,2864
700,110877105,2827
700,110571980,2901
700,110369646,2903
700,110255777,2857
700,110516868,2896
700,110330359,2992
700,110192205,2900
700,110341224,3100
700,110233107,2764
700,110271463,2929
700,110302144,2841
700,110590561,2923
700,110383300,2943
700,110245530,2919
700,110628170,2924
700,110758669,2914
700,110532201,3145
700,110325838,2987
700,110554750,3024
700,110249180,2796
720,113766772,2901
720,113325412,2874
720,112982843,2802
720,112960309,3084
720,113074051,2930
720,112995522,3114
720,112940747,2857
720,112949536,2799
720,112931671,3024
720,112923495,2905
720,112875601,2796
720,112745404,3042
720,113024584,2822
720,112967092,2950
720,113006319,3084
720,112990139,2800
720,112818362,2886
720,112802094,2818
720,112901914,2982
720,112904877,2890
740,116834039,2851
740,116418132,2860
740,116378877,3121
740,116288471,2960
740,116258945,3046
740,116164659,2937
740,116282309,2907
740,116006397,2940
740,116057768,2880
740,116117352,3010
740,116247728,3024
740,116322874,4595
740,116203802,2901
740,116170234,2982
740,116135826,2892
740,116129861,2857
740,116142773,2882
740,116119302,3025
740,116128386,2990
740,116183351,3065
760,118430991,2881
760,117801001,2943
760,117947614,2873
760,117868679,2855
760,117873577,2941
760,117813729,2853
760,117801980,3004
760,117790205,2902
760,117908395,3162
760,117852933,2925
760,117959541,2816
760,117886231,2847
760,117728519,2848
760,117954582,2924
760,117893552,2902
760,117855654,2905
760,117797905,3057
760,117836795,3093
760,117738407,2915
760,117749438,2828
780,122988007,2884
780,122520292,2901
780,122498692,2902
780,122564818,3030
780,122303706,2884
780,122401212,3045
780,122357683,2842
780,122320835,2977
780,122342216,2910
780,122156018,2961
780,122292266,2821
780,122505206,2996
780,122520252,2844
780,122273449,3142
780,122086302,3013
780,122449859,2933
780,122148467,2958
780,122386322,2975
780,122243280,2804
780,122314387,2952
800,126186872,2947
800,125847254,3053
800,125597329,3054
800,125551258,2901
800,125394225,2943
800,125568243,3067
800,125597329,2923
800,125632049,3102
800,125393786,2879
800,125564592,3048
800,125305072,2837
800,125552431,2900
800,125610557,2913
800,125434202,2931
800,125255461,2828
800,125465677,2920
800,125447186,2922
800,125404495,3078
800,125350585,3014
800,125392919,2976
820,127791101,2822
820,127008213,3084
820,126989505,2839
820,127021778,3007
820,127091470,2982
820,127006471,2985
820,126835410,3045
820,126913299,2970
820,127233030,2908
820,127139309,2893
820,126978035,2886
820,127175026,2977
820,127256540,2878
820,127247325,3236
820,126874222,2961
820,127037336,2891
820,126866653,2928
820,126830719,2910
820,126894377,2933
820,126918584,2968
840,128817324,3127
840,128178346,2969
840,128094430,3000
840,128187133,2925
840,128070836,2867
840,128111591,2878
840,127970159,3013
840,128022707,2955
840,128127903,3147
840,127788443,3057
840,127801380,2998
840,127778220,2863
840,127974785,2793
840,127848221,2961
840,128124128,3001
840,128024154,2900
840,128018558,3153
840,128087863,2999
840,128119970,2986
840,128281362,2910
860,135423840,2991
860,134650416,2887
860,134533273,2974
860,134563396,2955
860,134563091,3145
860,134591122,2905
860,134713959,3076
860,134625290,2900
860,134526475,2882
860,134705891,2915
860,134554006,2779
860,134595894,3039
860,134601668,2876
860,134535084,3047
860,134614170,2936
860,134694815,2951
860,134637045,3016
860,134544945,3121
860,134760881,3137
860,134755994,3005
880,138518288,2954
880,137932474,2982
880,137909579,2985
880,138061847,2992
880,137936753,3065
880,137957804,2926
880,137861080,3166
880,137856670,2986
880,137886083,3118
880,137906245,2984
880,137862122,2894
880,137679282,3053
880,137777653,2947
880,137651684,3262
880,137694852,2872
880,137792401,2948
880,138065648,3056
880,137883203,2898
880,137791649,2926
880,137718872,2952
900,140789292,3126
900,140155518,2965
900,139886366,2955
900,139866186,2943
900,140350958,3054
900,140050350,3026
900,139875717,15466
900,139890339,3181
900,140004488,2994
900,140161206,3396
900,139852572,3008
900,139992217,3017
900,140001675,2995
900,139883078,2975
900,140106007,3126
900,139968077,3026
900,139910908,2979
900,139996576,2939
900,140006675,3026
900,139928134,2822
920,144611178,3000
920,143915171,2897
920,143692498,3085
920,143891971,2830
920,143923360,2937
920,143894020,3020
920,143954049,2828
920,143954680,2952
920,143991034,3203
920,143954000,3060
920,143959443,2872
920,143869520,2959
920,143993171,3065
920,143969444,2916
920,143989734,3048
920,143879803,3186
920,143862652,2919
920,144141532,2961
920,144039022,2885
920,143903339,3041
940,147367013,2804
940,146894983,3140
940,146787781,3164
940,146555201,2834
940,146650238,2970
940,146633650,2992
940,146761388,3029
940,146605162,2915
940,146800750,3070
940,146835386,3391
940,146526787,2930
940,146648287,2966
940,146623690,2970
940,146504486,3055
940,146668960,2924
940,146664121,2978
940,146650770,3163
940,146592367,2854
940,146599716,3411
940,146675285,2919
960,151631835,3012
960,151073312,2961
960,151450088,2963
960,150812444,3134
960,151037257,3050
960,151105119,2922
960,151250116,3018
960,151147883,3006
960,150808969,3105
960,151019865,3185
960,150949952,2986
960,151049596,3047
960,150845774,3016
960,150763714,3403
960,150953632,3099
960,150752601,3070
960,150876226,3141
960,150905110,2904
960,150837557,2989
960,150585568,2997
980,152705831,2980
980,151961943,2983
980,151904462,3168
980,151469683,2982
980,151647236,2909
980,151540285,2943
980,151899591,2992
980,151816495,3075
980,151874129,3111
980,152246483,3407
980,151638024,3096
980,151829889,3008
980,151864301,2930
980,151904721,2930
980,151884785,3174
980,151767245,3036
980,151909588,3172
980,151796267,2913
980,152015582,2910
980,152013687,2916
1000,157140439,3022
1000,156543079,2939
1000,156329103,3176
1000,156199580,3212
1000,156440066,2958
1000,156234063,2970
1000,156273874,3020
1000,156359425,3066
1000,156347375,3035
1000,156141859,2871
1000,156248646,2915
1000,156272370,2974
1000,156190284,2983
1000,156104908,3022
1000,156211673,3256
1000,156383872,3114
1000,156292704,2998
1000,156407195,3183
1000,156163101,3041
1000,156287801,2979

Median Slopes Analysis
========

Model:
Time ~=    82.17
    + i    156.3
              µs

Min Squares Analysis
========

Data points distribution:
    i   mean µs  sigma µs       %
    0      0.76     0.012    1.5%
   20      3216     4.144    0.1%
   40      6274      7.08    0.1%
   60      9495     15.71    0.1%
   80     12640     8.385    0.0%
  100     15650     15.54    0.0%
  120     18810     11.71    0.0%
  140     21920      13.3    0.0%
  160     24990     15.75    0.0%
  180     28100     15.45    0.0%
  200     31120     29.67    0.0%
  220     34260     24.26    0.0%
  240     37460      27.1    0.0%
  260     41020     20.95    0.0%
  280     44330     37.32    0.0%
  300     47540     25.18    0.0%
  320     49900     51.35    0.1%
  340     53450     39.59    0.0%
  360     56270     20.82    0.0%
  380     59460      22.2    0.0%
  400     62220     24.08    0.0%
  420     65660     38.15    0.0%
  440     68840     22.42    0.0%
  460     72660     42.94    0.0%
  480     75470      31.9    0.0%
  500     77930     18.96    0.0%
  520     81190     35.91    0.0%
  540     85400     22.41    0.0%
  560     87380     33.94    0.0%
  580     92000     34.46    0.0%
  600     93970     26.22    0.0%
  620     96310      38.1    0.0%
  640    100300     58.24    0.0%
  660    103500     43.88    0.0%
  680    107100     58.89    0.0%
  700    110300      97.8    0.0%
  720    112900     28.47    0.0%
  740    116100     51.59    0.0%
  760    117800     32.13    0.0%
  780    122300     63.98    0.0%
  800    125400     72.27    0.0%
  820    127000     65.88    0.0%
  840    128000     48.85    0.0%
  860    134600      38.3    0.0%
  880    137800     44.34    0.0%
  900    139900     47.48    0.0%
  920    143900      29.4    0.0%
  940    146600     39.89    0.0%
  960    150900     82.68    0.0%
  980    151800     38.71    0.0%
 1000    156200     45.84    0.0%

Quality and confidence:
param     error
i         0.102

Model:
Time ~=    234.3
    + i    155.9
              µs

