Pallet: "collective", Extrinsic: "close_early_disapproved", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
m,p,b,extrinsic_time,storage_root_time
17,100,1024,90351,48707
17,100,1024,88503,48850
17,100,1024,89691,48463
17,100,1024,90099,48718
17,100,1024,89281,48232
17,100,1024,91374,49055
17,100,1024,91190,48615
17,100,1024,93555,48020
17,100,1024,89916,48150
17,100,1024,90692,48349
17,100,1024,89708,48590
17,100,1024,89441,48521
17,100,1024,92142,48633
17,100,1024,89732,49000
17,100,1024,89178,48874
17,100,1024,89374,48948
17,100,1024,89373,47935
17,100,1024,88877,48457
17,100,1024,90296,48878
17,100,1024,91722,48382
18,100,1024,90581,48588
18,100,1024,89058,48761
18,100,1024,89932,48829
18,100,1024,89972,49142
18,100,1024,89335,48914
18,100,1024,89819,49212
18,100,1024,89502,47979
18,100,1024,89829,48550
18,100,1024,89345,48559
18,100,1024,89819,48622
18,100,1024,89285,48836
18,100,1024,92903,49008
18,100,1024,89674,48597
18,100,1024,89536,48511
18,100,1024,91213,48637
18,100,1024,89446,48469
18,100,1024,88935,48790
18,100,1024,90037,48659
18,100,1024,89459,48596
18,100,1024,91152,48011
19,100,1024,89760,48403
19,100,1024,89901,48799
19,100,1024,89364,48620
19,100,1024,91768,48560
19,100,1024,88935,48674
19,100,1024,90259,48239
19,100,1024,89473,48585
19,100,1024,89620,48965
19,100,1024,89714,48590
19,100,1024,89623,48504
19,100,1024,89507,48317
19,100,1024,89781,48395
19,100,1024,89259,48477
19,100,1024,90412,48238
19,100,1024,92233,48361
19,100,1024,89261,48394
19,100,1024,89401,48120
19,100,1024,89510,49086
19,100,1024,89623,48267
19,100,1024,89442,48938
20,100,1024,94732,49001
20,100,1024,89965,48777
20,100,1024,90438,48648
20,100,1024,89625,48697
20,100,1024,89412,48767
20,100,1024,90502,48207
20,100,1024,90399,48029
20,100,1024,90570,48550
20,100,1024,92815,49199
20,100,1024,90628,48629
20,100,1024,90183,48585
20,100,1024,89544,48648
20,100,1024,90271,48847
20,100,1024,92372,48980
20,100,1024,89858,48762
20,100,1024,89502,48075
20,100,1024,90125,48545
20,100,1024,90135,48080
20,100,1024,89732,47933
20,100,1024,90256,48387
21,100,1024,89587,48802
21,100,1024,90647,48899
21,100,1024,90147,48615
21,100,1024,93461,48774
21,100,1024,89761,48087
21,100,1024,92211,48592
21,100,1024,93576,49135
21,100,1024,90543,49000
21,100,1024,90191,48739
21,100,1024,90331,48830
21,100,1024,91195,48900
21,100,1024,90820,48339
21,100,1024,87497,48624
21,100,1024,89859,48776
21,100,1024,92760,48592
21,100,1024,90072,48859
21,100,1024,93187,48558
21,100,1024,92363,48853
21,100,1024,92636,48186
21,100,1024,90254,48752
22,100,1024,90359,48692
22,100,1024,91201,48526
22,100,1024,91272,48481
22,100,1024,90411,48495
22,100,1024,90000,48747
22,100,1024,90263,48721
22,100,1024,91535,48734
22,100,1024,90367,48543
22,100,1024,91186,48497
22,100,1024,90167,48711
22,100,1024,90722,48691
22,100,1024,90328,48290
22,100,1024,90190,48322
22,100,1024,90232,48617
22,100,1024,91323,48518
22,100,1024,90664,48389
22,100,1024,91126,48936
22,100,1024,90449,48260
22,100,1024,90049,48196
22,100,1024,91308,48971
23,100,1024,91058,48780
23,100,1024,91156,49067
23,100,1024,90486,48268
23,100,1024,91049,49017
23,100,1024,92945,48654
23,100,1024,92496,48760
23,100,1024,90856,49109
23,100,1024,90556,48356
23,100,1024,91110,49428
23,100,1024,92180,49184
23,100,1024,90532,48330
23,100,1024,91003,48043
23,100,1024,91027,48886
23,100,1024,91053,48520
23,100,1024,90840,49045
23,100,1024,90143,48787
23,100,1024,87200,48738
23,100,1024,90897,48470
23,100,1024,91596,48543
23,100,1024,91020,49057
24,100,1024,90110,48418
24,100,1024,91997,48886
24,100,1024,90827,48739
24,100,1024,91629,51431
24,100,1024,90226,48607
24,100,1024,90454,48175
24,100,1024,89972,48596
24,100,1024,90289,48809
24,100,1024,91236,47630
24,100,1024,91651,48503
24,100,1024,90599,48724
24,100,1024,90198,49046
24,100,1024,90686,49041
24,100,1024,90820,48451
24,100,1024,91400,50726
24,100,1024,90146,48573
24,100,1024,90664,48046
24,100,1024,91017,48169
24,100,1024,90573,48229
24,100,1024,90591,48223
25,100,1024,92725,48927
25,100,1024,91545,48775
25,100,1024,91096,48575
25,100,1024,91660,49110
25,100,1024,91326,48449
25,100,1024,91858,49054
25,100,1024,90831,48759
25,100,1024,91006,48800
25,100,1024,91065,48734
25,100,1024,90618,49041
25,100,1024,91004,48526
25,100,1024,91675,48496
25,100,1024,90934,48216
25,100,1024,92127,48539
25,100,1024,90540,48228
25,100,1024,91740,49012
25,100,1024,91061,48670
25,100,1024,91318,47919
25,100,1024,91171,48576
25,100,1024,91042,48361
26,100,1024,92516,49102
26,100,1024,91661,49209
26,100,1024,93729,49125
26,100,1024,91261,48475
26,100,1024,91852,49297
26,100,1024,91202,48601
26,100,1024,91095,48589
26,100,1024,92477,48908
26,100,1024,92611,49167
26,100,1024,91472,49002
26,100,1024,92734,49283
26,100,1024,91428,48850
26,100,1024,94737,49524
26,100,1024,90882,48233
26,100,1024,91197,48701
26,100,1024,91421,48827
26,100,1024,93875,48108
26,100,1024,91892,49592
26,100,1024,92315,48441
26,100,1024,92568,48997
27,100,1024,92064,48131
27,100,1024,91622,48451
27,100,1024,91184,48434
27,100,1024,91456,48363
27,100,1024,91776,48872
27,100,1024,94596,48170
27,100,1024,91272,48740
27,100,1024,91151,48851
27,100,1024,93126,48835
27,100,1024,92180,48600
27,100,1024,92081,48746
27,100,1024,92577,48669
27,100,1024,91388,48785
27,100,1024,92121,49214
27,100,1024,91751,48533
27,100,1024,91787,48513
27,100,1024,93868,49112
27,100,1024,91644,48730
27,100,1024,91568,48878
27,100,1024,90961,48175
28,100,1024,94353,48433
28,100,1024,91547,48195
28,100,1024,91106,48698
28,100,1024,92594,48877
28,100,1024,92312,49163
28,100,1024,91481,48384
28,100,1024,91530,48608
28,100,1024,91789,49071
28,100,1024,91494,48840
28,100,1024,92057,48506
28,100,1024,92093,48164
28,100,1024,91509,48788
28,100,1024,92025,48656
28,100,1024,91651,48319
28,100,1024,91554,48342
28,100,1024,92175,48467
28,100,1024,91181,48879
28,100,1024,92171,48169
28,100,1024,92678,48685
28,100,1024,92056,48312
29,100,1024,91721,48668
29,100,1024,91920,48609
29,100,1024,91486,48560
29,100,1024,91292,48528
29,100,1024,92032,48832
29,100,1024,97602,48453
29,100,1024,91069,48061
29,100,1024,91634,48894
29,100,1024,91291,48572
29,100,1024,92418,48489
29,100,1024,91770,47837
29,100,1024,90910,48773
29,100,1024,92587,48403
29,100,1024,92034,48854
29,100,1024,90885,48765
29,100,1024,91591,48614
29,100,1024,92715,48717
29,100,1024,91736,48329
29,100,1024,92533,48736
29,100,1024,91910,48391
30,100,1024,92143,48329
30,100,1024,92650,48768
30,100,1024,87599,49137
30,100,1024,86741,48665
30,100,1024,93533,48609
30,100,1024,92421,48863
30,100,1024,92961,48255
30,100,1024,92404,48887
30,100,1024,92385,48518
30,100,1024,92350,48096
30,100,1024,91992,48276
30,100,1024,92887,48964
30,100,1024,87386,48146
30,100,1024,91877,49013
30,100,1024,92299,48501
30,100,1024,92120,48531
30,100,1024,92577,48569
30,100,1024,91818,48692
30,100,1024,93484,48967
30,100,1024,92856,48873
31,100,1024,93657,48876
31,100,1024,92771,49240
31,100,1024,92228,48659
31,100,1024,92776,48962
31,100,1024,92839,48873
31,100,1024,93055,50872
31,100,1024,92067,48837
31,100,1024,92788,48527
31,100,1024,92488,48450
31,100,1024,92665,49047
31,100,1024,92798,49407
31,100,1024,92650,48508
31,100,1024,92097,48211
31,100,1024,95357,48843
31,100,1024,95229,49005
31,100,1024,92132,48659
31,100,1024,87487,47753
31,100,1024,91760,48050
31,100,1024,92869,48837
31,100,1024,93267,48438
32,100,1024,93034,48000
32,100,1024,92816,48056
32,100,1024,92978,47841
32,100,1024,92803,48033
32,100,1024,93409,47992
32,100,1024,93855,48321
32,100,1024,92275,48495
32,100,1024,92970,48540
32,100,1024,92380,48929
32,100,1024,89776,47998
32,100,1024,92719,48276
32,100,1024,93027,48083
32,100,1024,95167,47995
32,100,1024,93050,48009
32,100,1024,92877,48451
32,100,1024,95682,48507
32,100,1024,93027,48242
32,100,1024,92096,48092
32,100,1024,95551,47792
32,100,1024,87572,48839
33,100,1024,94132,48088
33,100,1024,94190,48695
33,100,1024,95112,48431
33,100,1024,94062,48759
33,100,1024,94205,49250
33,100,1024,93741,48604
33,100,1024,94581,48970
33,100,1024,93573,48347
33,100,1024,88395,48672
33,100,1024,93375,48449
33,100,1024,93918,48505
33,100,1024,94501,47891
33,100,1024,93605,48433
33,100,1024,94907,47908
33,100,1024,93480,48455
33,100,1024,94511,48487
33,100,1024,94914,48327
33,100,1024,93431,48597
33,100,1024,95323,47947
33,100,1024,93532,48545
34,100,1024,93931,47904
34,100,1024,93746,48512
34,100,1024,88095,48455
34,100,1024,94735,48389
34,100,1024,94170,49009
34,100,1024,93806,48908
34,100,1024,93972,48727
34,100,1024,93475,48349
34,100,1024,94621,48823
34,100,1024,93384,48479
34,100,1024,93827,48380
34,100,1024,93471,48751
34,100,1024,93283,48968
34,100,1024,93908,49036
34,100,1024,94561,48479
34,100,1024,94957,48728
34,100,1024,94409,48490
34,100,1024,95930,48351
34,100,1024,94480,48308
34,100,1024,94505,49414
35,100,1024,96531,48755
35,100,1024,94311,47702
35,100,1024,93598,48718
35,100,1024,94346,48476
35,100,1024,96375,48270
35,100,1024,94071,48197
35,100,1024,95492,48939
35,100,1024,95110,49203
35,100,1024,94310,49175
35,100,1024,94292,48430
35,100,1024,93380,48395
35,100,1024,93295,48794
35,100,1024,93369,48785
35,100,1024,93749,49036
35,100,1024,92780,47979
35,100,1024,97019,48741
35,100,1024,95075,48234
35,100,1024,94156,49075
35,100,1024,95144,48317
35,100,1024,94571,51029
36,100,1024,93705,48774
36,100,1024,96285,49523
36,100,1024,94342,47991
36,100,1024,90300,48851
36,100,1024,95183,48876
36,100,1024,94824,48713
36,100,1024,96619,48687
36,100,1024,95059,48376
36,100,1024,94409,48389
36,100,1024,96981,48518
36,100,1024,94545,48606
36,100,1024,94242,48447
36,100,1024,93622,49159
36,100,1024,95218,48436
36,100,1024,94094,48720
36,100,1024,94700,48137
36,100,1024,94130,48912
36,100,1024,94624,48305
36,100,1024,94110,48514
36,100,1024,94434,48190
37,100,1024,94487,47927
37,100,1024,94588,49137
37,100,1024,94676,48939
37,100,1024,94870,47740
37,100,1024,95713,48444
37,100,1024,94694,48484
37,100,1024,93851,48582
37,100,1024,95259,48224
37,100,1024,94676,48520
37,100,1024,94296,48218
37,100,1024,93858,48794
37,100,1024,94142,47879
37,100,1024,88541,48982
37,100,1024,95509,49017
37,100,1024,94666,49573
37,100,1024,95514,48038
37,100,1024,95230,48314
37,100,1024,93571,48277
37,100,1024,94520,48838
37,100,1024,95231,48262
38,100,1024,95343,49242
38,100,1024,94701,48543
38,100,1024,95226,47943
38,100,1024,94787,48476
38,100,1024,95760,48236
38,100,1024,100554,49139
38,100,1024,95886,48804
38,100,1024,93841,51491
38,100,1024,96055,48635
38,100,1024,95875,48227
38,100,1024,93808,48311
38,100,1024,94445,48616
38,100,1024,95989,48541
38,100,1024,95746,49296
38,100,1024,96127,49041
38,100,1024,94854,48495
38,100,1024,94401,48087
38,100,1024,95694,48713
38,100,1024,97640,48451
38,100,1024,96194,48503
39,100,1024,99066,48464
39,100,1024,95900,47976
39,100,1024,94296,48716
39,100,1024,95973,48569
39,100,1024,97095,48522
39,100,1024,94632,48857
39,100,1024,95647,48475
39,100,1024,95134,51228
39,100,1024,94731,49060
39,100,1024,94974,49314
39,100,1024,94715,48206
39,100,1024,94802,48471
39,100,1024,94307,48345
39,100,1024,95440,48427
39,100,1024,94956,48702
39,100,1024,94979,48423
39,100,1024,89472,48916
39,100,1024,94920,48918
39,100,1024,97306,48723
39,100,1024,95896,48906
40,100,1024,95776,48248
40,100,1024,94799,48912
40,100,1024,95465,48913
40,100,1024,95219,48592
40,100,1024,95719,48940
40,100,1024,96109,48471
40,100,1024,95401,48588
40,100,1024,97101,48661
40,100,1024,95604,49415
40,100,1024,96329,48241
40,100,1024,96410,48647
40,100,1024,95871,48160
40,100,1024,94644,48571
40,100,1024,96329,48703
40,100,1024,95866,48861
40,100,1024,95873,48833
40,100,1024,95013,48201
40,100,1024,95797,49065
40,100,1024,95284,48523
40,100,1024,90098,49314
41,100,1024,95918,48562
41,100,1024,92303,48599
41,100,1024,97075,49390
41,100,1024,95685,48458
41,100,1024,95912,48559
41,100,1024,91006,48263
41,100,1024,94936,49331
41,100,1024,95186,48797
41,100,1024,95539,48084
41,100,1024,96615,48969
41,100,1024,96726,51907
41,100,1024,95676,48963
41,100,1024,90951,48255
41,100,1024,97072,48522
41,100,1024,95091,48797
41,100,1024,95678,48843
41,100,1024,95649,47748
41,100,1024,97031,49095
41,100,1024,95303,48628
41,100,1024,96600,49091
42,100,1024,95500,47782
42,100,1024,95625,48809
42,100,1024,96207,48293
42,100,1024,96154,48198
42,100,1024,95893,48536
42,100,1024,98571,48743
42,100,1024,97808,48794
42,100,1024,95375,48743
42,100,1024,96673,47976
42,100,1024,96874,48716
42,100,1024,95449,48633
42,100,1024,95749,48734
42,100,1024,98010,49306
42,100,1024,96354,48532
42,100,1024,96652,48864
42,100,1024,95721,49161
42,100,1024,96650,49138
42,100,1024,96434,48341
42,100,1024,96354,48574
42,100,1024,96567,48503
43,100,1024,99603,48501
43,100,1024,97689,48435
43,100,1024,96927,48565
43,100,1024,96484,49009
43,100,1024,96654,48434
43,100,1024,95483,49020
43,100,1024,95675,49025
43,100,1024,96597,49123
43,100,1024,95623,48719
43,100,1024,97060,48515
43,100,1024,95298,48789
43,100,1024,97224,48660
43,100,1024,97242,49053
43,100,1024,97121,48951
43,100,1024,98272,48302
43,100,1024,95948,48750
43,100,1024,95941,48756
43,100,1024,96069,49023
43,100,1024,95961,48434
43,100,1024,96034,49561
44,100,1024,95726,48518
44,100,1024,96829,49366
44,100,1024,95561,48492
44,100,1024,95842,48724
44,100,1024,96265,48981
44,100,1024,96326,48622
44,100,1024,99077,48899
44,100,1024,96517,49087
44,100,1024,95792,48395
44,100,1024,99089,48762
44,100,1024,95472,48656
44,100,1024,96162,49314
44,100,1024,96303,48398
44,100,1024,96416,48381
44,100,1024,96769,48446
44,100,1024,95717,48129
44,100,1024,95821,48912
44,100,1024,97000,48574
44,100,1024,95737,48503
44,100,1024,96402,48074
45,100,1024,96524,48028
45,100,1024,96734,48119
45,100,1024,96331,50994
45,100,1024,97696,48639
45,100,1024,96947,48326
45,100,1024,96641,48130
45,100,1024,96856,48229
45,100,1024,96191,48313
45,100,1024,96740,48347
45,100,1024,96009,47614
45,100,1024,96687,49188
45,100,1024,97122,48706
45,100,1024,99703,49043
45,100,1024,100700,48934
45,100,1024,96965,48981
45,100,1024,96579,48265
45,100,1024,96610,48581
45,100,1024,97038,48314
45,100,1024,96586,48508
45,100,1024,96313,48827
46,100,1024,96763,48682
46,100,1024,97076,48671
46,100,1024,96219,48428
46,100,1024,97280,48577
46,100,1024,98580,49348
46,100,1024,96697,51317
46,100,1024,96726,48078
46,100,1024,97053,49066
46,100,1024,96250,48601
46,100,1024,97968,48650
46,100,1024,98583,48241
46,100,1024,97020,48205
46,100,1024,96507,47863
46,100,1024,96423,48367
46,100,1024,99102,49473
46,100,1024,96920,48962
46,100,1024,96719,48742
46,100,1024,96593,48951
46,100,1024,114149,61635
46,100,1024,95681,48802
47,100,1024,97117,48693
47,100,1024,97558,48929
47,100,1024,96609,48884
47,100,1024,97804,48712
47,100,1024,96647,48387
47,100,1024,97289,48285
47,100,1024,91709,47959
47,100,1024,96246,49027
47,100,1024,97405,48826
47,100,1024,97943,49251
47,100,1024,96075,48356
47,100,1024,98068,48976
47,100,1024,96889,48768
47,100,1024,97903,51616
47,100,1024,96839,48551
47,100,1024,97781,48231
47,100,1024,97831,48835
47,100,1024,98097,48849
47,100,1024,92561,48593
47,100,1024,97351,48174
48,100,1024,97187,48805
48,100,1024,97456,48659
48,100,1024,98860,48043
48,100,1024,99209,48299
48,100,1024,96303,48514
48,100,1024,97704,48345
48,100,1024,96722,48655
48,100,1024,97263,48576
48,100,1024,91465,49099
48,100,1024,96575,48286
48,100,1024,96636,47761
48,100,1024,97083,48684
48,100,1024,96938,48356
48,100,1024,95953,48175
48,100,1024,96911,48264
48,100,1024,99251,48452
48,100,1024,97058,48288
48,100,1024,96807,48699
48,100,1024,96534,47962
48,100,1024,95956,48266
49,100,1024,97290,49021
49,100,1024,96557,48266
49,100,1024,97125,48638
49,100,1024,97650,47660
49,100,1024,98147,48455
49,100,1024,98454,48951
49,100,1024,97857,48991
49,100,1024,98874,48339
49,100,1024,96968,48696
49,100,1024,97865,47797
49,100,1024,99397,48631
49,100,1024,97285,48633
49,100,1024,97364,48224
49,100,1024,97703,48843
49,100,1024,98306,48697
49,100,1024,97000,48281
49,100,1024,97072,48675
49,100,1024,98148,47989
49,100,1024,97138,48783
49,100,1024,92924,48530
50,100,1024,98008,47887
50,100,1024,97579,48389
50,100,1024,99410,48860
50,100,1024,99742,49441
50,100,1024,96928,49073
50,100,1024,98847,48528
50,100,1024,97605,48553
50,100,1024,97809,49684
50,100,1024,98541,49062
50,100,1024,96935,49721
50,100,1024,99901,49070
50,100,1024,96963,47806
50,100,1024,97174,48688
50,100,1024,100576,49319
50,100,1024,97271,48568
50,100,1024,98257,48396
50,100,1024,97544,48272
50,100,1024,98311,47930
50,100,1024,97859,47925
50,100,1024,92023,49485
51,100,1024,98327,48457
51,100,1024,99845,48837
51,100,1024,92340,48449
51,100,1024,97132,48343
51,100,1024,99725,48984
51,100,1024,98722,49086
51,100,1024,97913,48750
51,100,1024,98685,49114
51,100,1024,97884,48570
51,100,1024,100975,48127
51,100,1024,92658,49106
51,100,1024,98712,48351
51,100,1024,98752,48516
51,100,1024,98177,48308
51,100,1024,97912,48479
51,100,1024,98588,48005
51,100,1024,97471,48798
51,100,1024,97375,49035
51,100,1024,98272,49119
51,100,1024,101046,48503
52,100,1024,92973,49056
52,100,1024,99397,48299
52,100,1024,99017,48926
52,100,1024,99626,49079
52,100,1024,98843,48285
52,100,1024,97875,48624
52,100,1024,101033,48705
52,100,1024,100722,49140
52,100,1024,97827,49108
52,100,1024,100698,48527
52,100,1024,98557,48836
52,100,1024,98173,48912
52,100,1024,98262,48132
52,100,1024,99324,48104
52,100,1024,99670,48049
52,100,1024,98574,48650
52,100,1024,100485,48748
52,100,1024,97287,48153
52,100,1024,99720,48531
52,100,1024,97382,48578
53,100,1024,93004,48607
53,100,1024,98726,48543
53,100,1024,97732,48664
53,100,1024,98739,48295
53,100,1024,97777,49043
53,100,1024,97900,48658
53,100,1024,99292,48486
53,100,1024,98180,48245
53,100,1024,98541,48203
53,100,1024,98456,48594
53,100,1024,98725,48169
53,100,1024,98030,48489
53,100,1024,98129,48369
53,100,1024,98900,48557
53,100,1024,98005,48652
53,100,1024,98823,49004
