Pallet: "treasury", Extrinsic: "reject_bounty", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
u,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
180,43043,2317,2,7,3,3
180,43141,2293,2,7,3,3
180,43004,2299,2,7,3,3
180,43096,2284,2,7,3,3
180,42816,2228,2,7,3,3
180,42673,2251,2,7,3,3
200,43269,2308,2,7,3,3
200,43532,2313,2,7,3,3
200,43410,2336,2,7,3,3
200,43778,2354,2,7,3,3
200,43205,2298,2,7,3,3
200,43499,2240,2,7,3,3
200,43673,2278,2,7,3,3
200,43562,2296,2,7,3,3
200,43968,2378,2,7,3,3
200,43611,2339,2,7,3,3
200,43833,2232,2,7,3,3
200,43794,2333,2,7,3,3
200,44096,2315,2,7,3,3
200,43717,2314,2,7,3,3
200,43442,2279,2,7,3,3
200,43465,2301,2,7,3,3
200,44289,2312,2,7,3,3
200,44216,2350,2,7,3,3
200,43933,2271,2,7,3,3
200,43852,2251,2,7,3,3
220,43547,2312,2,7,3,3
220,43351,2255,2,7,3,3
220,43195,2230,2,7,3,3
220,43477,2295,2,7,3,3
220,43583,2336,2,7,3,3
220,43593,2362,2,7,3,3
220,42912,2241,2,7,3,3
220,43373,2281,2,7,3,3
220,43275,2248,2,7,3,3
220,42975,2208,2,7,3,3
220,42670,2341,2,7,3,3
220,43388,2326,2,7,3,3
220,42993,2203,2,7,3,3
220,42989,2241,2,7,3,3
220,43065,2198,2,7,3,3
220,43110,2351,2,7,3,3
220,43008,2282,2,7,3,3
220,42993,2213,2,7,3,3
220,43741,2311,2,7,3,3
220,43501,2268,2,7,3,3
240,42911,2278,2,7,3,3
240,42949,2229,2,7,3,3
240,43364,2222,2,7,3,3
240,42814,2302,2,7,3,3
240,42632,2296,2,7,3,3
240,43185,2327,2,7,3,3
240,42805,2334,2,7,3,3
240,42650,2291,2,7,3,3
240,42737,2240,2,7,3,3
240,43401,2224,2,7,3,3
240,42969,2236,2,7,3,3
240,42697,2224,2,7,3,3
240,42669,2240,2,7,3,3
240,42747,2266,2,7,3,3
240,42711,2250,2,7,3,3
240,42592,2242,2,7,3,3
240,42850,2252,2,7,3,3
240,44538,2287,2,7,3,3
240,42755,2324,2,7,3,3
240,45571,2340,2,7,3,3
260,43542,2380,2,7,3,3
260,44315,2333,2,7,3,3
260,43690,2340,2,7,3,3
260,43699,2416,2,7,3,3
260,43479,2330,2,7,3,3
260,43513,2247,2,7,3,3
260,44083,2336,2,7,3,3
260,43910,2346,2,7,3,3
260,44257,2325,2,7,3,3
260,44064,2298,2,7,3,3
260,43862,2361,2,7,3,3
260,43970,2287,2,7,3,3
260,43844,2305,2,7,3,3
260,43985,2353,2,7,3,3
260,44375,2386,2,7,3,3
260,43262,2317,2,7,3,3
260,44108,2311,2,7,3,3
260,44007,2292,2,7,3,3
260,43566,2303,2,7,3,3
260,44445,2314,2,7,3,3
280,43453,2264,2,7,3,3
280,43510,2294,2,7,3,3
280,43801,2331,2,7,3,3
280,44325,2286,2,7,3,3
280,43439,2304,2,7,3,3
280,43947,2219,2,7,3,3
280,43988,2331,2,7,3,3
280,43381,2313,2,7,3,3
280,43710,2265,2,7,3,3
280,43489,2312,2,7,3,3
280,43473,2277,2,7,3,3
280,44058,2328,2,7,3,3
280,43948,2260,2,7,3,3
280,43528,2324,2,7,3,3
280,44087,2334,2,7,3,3
280,43692,2225,2,7,3,3
280,43392,2383,2,7,3,3
280,43735,2276,2,7,3,3
280,43931,2338,2,7,3,3
280,43343,2317,2,7,3,3
300,43755,2228,2,7,3,3
300,43865,2331,2,7,3,3
300,43487,2290,2,7,3,3
300,43058,2320,2,7,3,3
300,43165,2338,2,7,3,3
300,43427,2268,2,7,3,3
300,43409,2300,2,7,3,3
300,43160,2326,2,7,3,3
300,43501,2211,2,7,3,3
300,43604,2270,2,7,3,3
300,43495,2295,2,7,3,3
300,43237,2263,2,7,3,3
300,43670,2245,2,7,3,3
300,43698,2304,2,7,3,3
300,43047,2346,2,7,3,3
300,43361,2343,2,7,3,3
300,42846,2189,2,7,3,3
300,43129,2250,2,7,3,3
300,43441,2399,2,7,3,3
300,43607,2347,2,7,3,3
320,43669,2341,2,7,3,3
320,43880,2314,2,7,3,3
320,43208,2371,2,7,3,3
320,43402,2287,2,7,3,3
320,43707,2260,2,7,3,3
320,43325,5130,2,7,3,3
320,43421,2260,2,7,3,3
320,43157,2159,2,7,3,3
320,43856,2255,2,7,3,3
320,43280,2290,2,7,3,3
320,43269,2295,2,7,3,3
320,43325,2267,2,7,3,3
320,43768,2275,2,7,3,3
320,43507,2300,2,7,3,3
320,44012,2405,2,7,3,3
320,43624,2376,2,7,3,3
320,43923,2316,2,7,3,3
320,43278,2286,2,7,3,3
320,43582,2277,2,7,3,3
320,43490,2297,2,7,3,3
340,43610,2289,2,7,3,3
340,43455,2359,2,7,3,3
340,43752,2403,2,7,3,3
340,43553,2348,2,7,3,3
340,43472,2363,2,7,3,3
340,43198,2193,2,7,3,3
340,43388,2266,2,7,3,3
340,43336,2316,2,7,3,3
340,43766,2208,2,7,3,3
340,42942,2335,2,7,3,3
340,43503,2345,2,7,3,3
340,43647,2327,2,7,3,3
340,43115,2275,2,7,3,3
340,43706,2317,2,7,3,3
340,43737,2297,2,7,3,3
340,43532,2300,2,7,3,3
340,43607,2314,2,7,3,3
340,43717,2305,2,7,3,3
340,43269,2383,2,7,3,3
340,48414,2373,2,7,3,3
360,44311,2291,2,7,3,3
360,44495,2291,2,7,3,3
360,44201,2301,2,7,3,3
360,44309,2308,2,7,3,3
360,43903,2282,2,7,3,3
360,44049,2301,2,7,3,3
360,43772,2319,2,7,3,3
360,43647,2258,2,7,3,3
360,43655,2338,2,7,3,3
360,44208,2359,2,7,3,3
360,44006,2323,2,7,3,3
360,43971,2300,2,7,3,3
360,44286,2319,2,7,3,3
360,44145,2325,2,7,3,3
360,44058,2294,2,7,3,3
360,43706,2380,2,7,3,3
360,44185,2320,2,7,3,3
360,43841,2361,2,7,3,3
360,43961,2290,2,7,3,3
360,44186,2333,2,7,3,3
380,43832,2321,2,7,3,3
380,43267,2260,2,7,3,3
380,43412,2284,2,7,3,3
380,44081,2339,2,7,3,3
380,43526,2286,2,7,3,3
380,43523,2251,2,7,3,3
380,43337,2198,2,7,3,3
380,43649,2221,2,7,3,3
380,43305,2281,2,7,3,3
380,43355,2177,2,7,3,3
380,43505,2309,2,7,3,3
380,43147,2254,2,7,3,3
380,44307,2317,2,7,3,3
