Pallet: "treasury", Extrinsic: "reject_bounty", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
u,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
840,43680,2386,2,7,3,3
840,43380,2312,2,7,3,3
840,43629,2319,2,7,3,3
840,43779,2255,2,7,3,3
840,43761,2346,2,7,3,3
840,43281,2342,2,7,3,3
840,43485,2320,2,7,3,3
840,43299,2320,2,7,3,3
840,43712,2363,2,7,3,3
860,42772,2227,2,7,3,3
860,42750,2306,2,7,3,3
860,42835,2346,2,7,3,3
860,42694,2278,2,7,3,3
860,42727,2327,2,7,3,3
860,43327,2239,2,7,3,3
860,42944,2244,2,7,3,3
860,43006,2259,2,7,3,3
860,42489,2301,2,7,3,3
860,42661,2344,2,7,3,3
860,45046,2396,2,7,3,3
860,42550,2264,2,7,3,3
860,42822,2297,2,7,3,3
860,42920,2230,2,7,3,3
860,42817,2286,2,7,3,3
860,42705,2299,2,7,3,3
860,42711,2268,2,7,3,3
860,42904,2355,2,7,3,3
860,42591,2284,2,7,3,3
860,42542,2319,2,7,3,3
880,43439,2374,2,7,3,3
880,43255,2364,2,7,3,3
880,43536,2310,2,7,3,3
880,43817,2294,2,7,3,3
880,43925,2327,2,7,3,3
880,43371,2308,2,7,3,3
880,43370,2314,2,7,3,3
880,43254,2309,2,7,3,3
880,43618,2293,2,7,3,3
880,43113,2318,2,7,3,3
880,43410,2309,2,7,3,3
880,44126,2338,2,7,3,3
880,43220,2237,2,7,3,3
880,43496,2223,2,7,3,3
880,43504,2329,2,7,3,3
880,43582,2252,2,7,3,3
880,43196,2280,2,7,3,3
880,43145,2224,2,7,3,3
880,43167,2228,2,7,3,3
880,43509,2341,2,7,3,3
900,43296,2293,2,7,3,3
900,43400,2316,2,7,3,3
900,43450,2257,2,7,3,3
900,42901,2264,2,7,3,3
900,42965,2248,2,7,3,3
900,43076,2253,2,7,3,3
900,43475,2319,2,7,3,3
900,43016,2310,2,7,3,3
900,42912,2334,2,7,3,3
900,42777,2296,2,7,3,3
900,43560,2270,2,7,3,3
900,42846,2285,2,7,3,3
900,43159,2158,2,7,3,3
900,42956,2298,2,7,3,3
900,42930,2254,2,7,3,3
900,43010,2295,2,7,3,3
900,42914,2288,2,7,3,3
900,43976,2267,2,7,3,3
900,42873,2266,2,7,3,3
900,43018,2258,2,7,3,3
920,43253,2311,2,7,3,3
920,43288,2258,2,7,3,3
920,43443,2334,2,7,3,3
920,43491,2278,2,7,3,3
920,43540,2283,2,7,3,3
920,43147,2261,2,7,3,3
920,43317,2293,2,7,3,3
920,42899,2273,2,7,3,3
920,43440,2229,2,7,3,3
920,43716,2359,2,7,3,3
920,43131,2258,2,7,3,3
920,43503,2263,2,7,3,3
920,43287,2305,2,7,3,3
920,43389,2336,2,7,3,3
920,43253,2338,2,7,3,3
920,43515,2325,2,7,3,3
920,42767,2254,2,7,3,3
920,43341,2249,2,7,3,3
920,43388,2329,2,7,3,3
920,43500,2335,2,7,3,3
940,43007,2293,2,7,3,3
940,44106,2240,2,7,3,3
940,43485,2249,2,7,3,3
940,43290,2189,2,7,3,3
940,43056,2292,2,7,3,3
940,43645,2300,2,7,3,3
940,43689,2249,2,7,3,3
940,43480,2329,2,7,3,3
940,43177,2361,2,7,3,3
940,43330,2343,2,7,3,3
940,43191,2327,2,7,3,3
940,43973,2409,2,7,3,3
940,43099,2311,2,7,3,3
940,43234,2343,2,7,3,3
940,43161,2270,2,7,3,3
940,43642,2301,2,7,3,3
940,43303,2245,2,7,3,3
940,43458,2294,2,7,3,3
940,43720,2207,2,7,3,3
940,43874,2289,2,7,3,3
960,43514,2286,2,7,3,3
960,43504,2275,2,7,3,3
960,43482,2353,2,7,3,3
960,43247,2235,2,7,3,3
960,43391,2202,2,7,3,3
960,43246,2283,2,7,3,3
960,43091,2246,2,7,3,3
960,43433,2335,2,7,3,3
960,43543,2312,2,7,3,3
960,43458,2224,2,7,3,3
960,43496,2177,2,7,3,3
960,43521,2245,2,7,3,3
960,43252,2217,2,7,3,3
960,43499,2212,2,7,3,3
960,43451,2258,2,7,3,3
960,43529,2281,2,7,3,3
960,42669,2321,2,7,3,3
960,43514,2306,2,7,3,3
960,43503,2280,2,7,3,3
960,43339,2296,2,7,3,3
980,43677,2376,2,7,3,3
980,43115,2267,2,7,3,3
980,42746,2303,2,7,3,3
980,43155,2296,2,7,3,3
980,43220,2235,2,7,3,3
980,42806,2240,2,7,3,3
980,42831,2235,2,7,3,3
980,42733,2336,2,7,3,3
980,43026,2404,2,7,3,3
980,42836,2257,2,7,3,3
980,43088,2335,2,7,3,3
980,42990,2246,2,7,3,3
980,42737,2280,2,7,3,3
980,42621,2190,2,7,3,3
980,42761,2281,2,7,3,3
980,42594,2175,2,7,3,3
980,42699,2342,2,7,3,3
980,42788,2268,2,7,3,3
980,42636,2255,2,7,3,3
980,43040,2303,2,7,3,3
1000,43387,2305,2,7,3,3
1000,43119,2364,2,7,3,3
1000,71666,2335,2,7,3,3
1000,43306,2328,2,7,3,3
1000,43966,2350,2,7,3,3
1000,43472,2285,2,7,3,3
1000,43612,2237,2,7,3,3
1000,43676,2265,2,7,3,3
1000,43209,2360,2,7,3,3
1000,43066,2249,2,7,3,3
1000,43460,2253,2,7,3,3
1000,43702,2299,2,7,3,3
1000,43264,2294,2,7,3,3
1000,43025,2184,2,7,3,3
1000,43574,2300,2,7,3,3
1000,43539,2283,2,7,3,3
1000,43741,2285,2,7,3,3
1000,43576,2290,2,7,3,3
1000,43223,2311,2,7,3,3
1000,43775,2301,2,7,3,3

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    43.59
    + u        0
              µs

Reads = 2 + (0 * u)
Writes = 3 + (0 * u)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    u   mean µs  sigma µs       %
    0     43.79      0.08    0.1%
   20     43.13     0.121    0.2%
   40     43.36     0.056    0.1%
   60     43.71     0.155    0.3%
   80     43.73     0.108    0.2%
  100     43.42     0.113    0.2%
  120     43.63     0.169    0.3%
  140     43.67     0.121    0.2%
  160     43.73      0.13    0.2%
  180     42.92     0.104    0.2%
  200     43.68     0.122    0.2%
  220     43.22     0.164    0.3%
  240     42.82     0.087    0.2%
  260     43.91     0.131    0.2%
  280     43.68     0.168    0.3%
  300     43.41     0.123    0.2%
  320      43.5      0.13    0.2%
  340     43.54     0.091    0.2%
  360     44.06     0.101    0.2%
  380     43.42     0.074    0.1%
  400     43.59     0.125    0.2%
  420     43.42     0.082    0.1%
  440      43.6     0.083    0.1%
  460     43.11     0.116    0.2%
  480     43.17     0.063    0.1%
  500     43.24     0.077    0.1%
  520      43.3     0.139    0.3%
  540     43.53     0.051    0.1%
  560     43.11     0.088    0.2%
  580     43.41     0.116    0.2%
  600      43.4     0.048    0.1%
  620      43.8      0.08    0.1%
  640     43.78     0.143    0.3%
  660     43.75      0.11    0.2%
  680     43.28      0.05    0.1%
  700     42.55     0.104    0.2%
  720      43.5     0.124    0.2%
  740     42.82     0.106    0.2%
  760     43.16     0.087    0.2%
  780     43.14     0.077    0.1%
  800     43.24     0.067    0.1%
  820     43.55     0.094    0.2%
  840     43.56     0.115    0.2%
  860     42.77     0.065    0.1%
  880     43.41     0.096    0.2%
  900     43.03     0.111    0.2%
  920     43.36     0.074    0.1%
  940      43.4     0.152    0.3%
  960     43.45     0.052    0.1%
  980     42.85     0.111    0.2%
 1000     43.48     0.127    0.2%

Quality and confidence:
param     error
u             0

Model:
Time ~=    43.57
    + u        0
              µs

Reads = 2 + (0 * u)
Writes = 3 + (0 * u)
