Pallet: "staking", Extrinsic: "cancel_deferred_slash", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
s,extrinsic_time,storage_root_time
324,19004660,68151
324,18975798,68139
324,19010209,68554
324,18976174,68338
324,18978293,67838
324,18976800,67908
324,18980366,67843
324,18980965,68286
324,18979243,68005
324,19004911,67998
324,19006572,68074
343,19848319,66883
343,19851219,66806
343,19911501,68700
343,19847019,67192
343,19845083,67232
343,19847319,66851
343,19847295,66891
343,19850661,67385
343,19880519,68034
343,19847278,67602
343,19878585,67001
343,19845895,66970
343,19847112,67305
343,20076361,68593
343,20298621,68433
343,20002555,67482
343,19881085,67903
343,19846361,67338
343,19904230,67082
343,19846073,67171
362,20717689,65763
362,20691968,65725
362,20694496,65771
362,20782356,66440
362,20691297,65540
362,20688697,65808
362,21089160,69241
362,20696316,65756
362,20746839,65876
362,20695216,65800
362,20782079,65793
362,20826800,65934
362,20716879,65971
362,20718971,65732
362,20690463,65761
362,20691754,65567
362,20692034,65439
362,20692508,67521
362,20748549,65758
362,20690482,65601
381,21542052,64373
381,21512846,64150
381,21513256,64257
381,21533805,64347
381,21510796,64233
381,21509809,64235
381,21508759,64213
381,21565106,63890
381,21529680,63911
381,21512401,64288
381,21509147,64130
381,21509947,64444
381,21538837,64606
381,21512208,64367
381,21508315,64356
381,21510944,64424
381,21509443,64372
381,21598157,65301
381,21513390,64391
381,21514117,64407
400,22307413,62836
400,22309380,62814
400,22332345,62631
400,22308581,63122
400,22308597,62953
400,22303261,62608
400,22385141,62865
400,22331725,62786
400,22304857,63088
400,22370513,63724
400,22309181,63027
400,22336656,63121
400,22331765,62997
400,22329916,62822
400,22306279,62898
400,22356861,62849
400,22331502,62723
400,22303867,62735
400,22302424,62933
400,22303710,62988
419,23101356,61607
419,23128423,61554
419,23076409,63442
419,23071116,61509
419,23102390,61911
419,23104210,61413
419,23073251,61631
419,23077618,61580
419,23073643,61500
419,23074262,61469
419,23075718,61638
419,23079310,61821
