Pallet: "treasury", Extrinsic: "award_bounty", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
u,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
160,27360,2305,1,5,1,2
160,27457,2264,1,5,1,2
160,27791,2241,1,5,1,2
160,27160,2243,1,5,1,2
160,27431,2276,1,5,1,2
160,27621,2286,1,5,1,2
160,27601,2245,1,5,1,2
160,27354,2228,1,5,1,2
160,27156,2341,1,5,1,2
160,27235,2225,1,5,1,2
160,27273,2204,1,5,1,2
160,26981,2156,1,5,1,2
160,27478,2251,1,5,1,2
160,27466,2253,1,5,1,2
160,27199,2211,1,5,1,2
160,27508,2259,1,5,1,2
160,27226,2304,1,5,1,2
160,27332,2332,1,5,1,2
160,27363,2285,1,5,1,2
180,27163,2179,1,5,1,2
180,27169,2169,1,5,1,2
180,27538,2219,1,5,1,2
180,26987,2260,1,5,1,2
180,27168,2199,1,5,1,2
180,27258,2195,1,5,1,2
180,27325,2212,1,5,1,2
180,27538,2305,1,5,1,2
180,27182,2194,1,5,1,2
180,27072,2323,1,5,1,2
180,27197,2268,1,5,1,2
180,27069,2238,1,5,1,2
180,27103,2259,1,5,1,2
180,26952,2272,1,5,1,2
180,27142,2255,1,5,1,2
180,27176,2243,1,5,1,2
180,26832,2232,1,5,1,2
180,26967,2227,1,5,1,2
180,27108,2192,1,5,1,2
180,27126,2356,1,5,1,2
200,27351,2349,1,5,1,2
200,27401,2311,1,5,1,2
200,27104,2224,1,5,1,2
200,27606,2267,1,5,1,2
200,27545,2264,1,5,1,2
200,27347,2214,1,5,1,2
200,27738,2194,1,5,1,2
200,27309,2264,1,5,1,2
200,27460,2256,1,5,1,2
200,27409,2259,1,5,1,2
200,27132,2250,1,5,1,2
200,27518,2284,1,5,1,2
200,27471,2258,1,5,1,2
200,27408,2386,1,5,1,2
200,27568,2239,1,5,1,2
200,27416,2240,1,5,1,2
200,27392,2268,1,5,1,2
200,27485,2189,1,5,1,2
200,27576,2325,1,5,1,2
200,27345,2350,1,5,1,2
220,27359,2248,1,5,1,2
220,27573,2245,1,5,1,2
220,27682,2241,1,5,1,2
220,27536,2171,1,5,1,2
220,27240,2236,1,5,1,2
220,27696,2210,1,5,1,2
220,27382,2362,1,5,1,2
220,27682,2237,1,5,1,2
