Pallet: "treasury", Extrinsic: "award_bounty", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
u,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
840,40776,2243,1,5,1,2
840,27661,2227,1,5,1,2
840,27264,2181,1,5,1,2
840,27576,2214,1,5,1,2
840,27290,2185,1,5,1,2
840,27225,2184,1,5,1,2
840,27453,2222,1,5,1,2
840,27665,2167,1,5,1,2
840,27362,2182,1,5,1,2
840,27351,2254,1,5,1,2
840,26947,2213,1,5,1,2
840,27370,2198,1,5,1,2
840,27681,2180,1,5,1,2
840,27587,2255,1,5,1,2
840,27546,2206,1,5,1,2
840,27531,2256,1,5,1,2
840,27597,2155,1,5,1,2
840,27282,2233,1,5,1,2
840,27303,2123,1,5,1,2
840,27358,2298,1,5,1,2
860,27308,2181,1,5,1,2
860,27199,2274,1,5,1,2
860,26935,2314,1,5,1,2
860,27045,2259,1,5,1,2
860,27004,2122,1,5,1,2
860,26970,2345,1,5,1,2
860,30041,2226,1,5,1,2
860,27357,2241,1,5,1,2
860,27407,2211,1,5,1,2
860,27191,2310,1,5,1,2
860,27052,2300,1,5,1,2
860,27456,2300,1,5,1,2
860,27139,2198,1,5,1,2
860,27120,2264,1,5,1,2
860,27104,2253,1,5,1,2
860,27213,2282,1,5,1,2
860,27137,2250,1,5,1,2
860,27079,2350,1,5,1,2
860,27112,2212,1,5,1,2
860,27107,2310,1,5,1,2
880,27524,2237,1,5,1,2
880,27313,2286,1,5,1,2
880,27413,2244,1,5,1,2
880,27438,2235,1,5,1,2
880,27230,2244,1,5,1,2
880,27195,2222,1,5,1,2
880,27090,2207,1,5,1,2
880,27314,2199,1,5,1,2
880,27400,2296,1,5,1,2
880,27271,2238,1,5,1,2
880,27024,2213,1,5,1,2
880,27169,2281,1,5,1,2
880,27256,2249,1,5,1,2
880,27062,2245,1,5,1,2
880,27280,2216,1,5,1,2
880,27436,2251,1,5,1,2
880,27629,2267,1,5,1,2
880,27236,2270,1,5,1,2
880,27390,2205,1,5,1,2
880,27206,2259,1,5,1,2
900,27594,2320,1,5,1,2
900,27101,2258,1,5,1,2
900,27460,2236,1,5,1,2
900,27504,2227,1,5,1,2
900,27336,2270,1,5,1,2
900,27190,2336,1,5,1,2
900,27543,2276,1,5,1,2
900,27204,2200,1,5,1,2
900,27190,2253,1,5,1,2
900,27216,2312,1,5,1,2
900,27060,2177,1,5,1,2
900,27192,2228,1,5,1,2
900,26941,2203,1,5,1,2
900,27234,2265,1,5,1,2
900,27247,2174,1,5,1,2
900,27232,2242,1,5,1,2
900,27132,2215,1,5,1,2
900,27033,2208,1,5,1,2
900,26823,2288,1,5,1,2
900,27572,2278,1,5,1,2
920,27427,2263,1,5,1,2
920,27088,2293,1,5,1,2
920,27301,2230,1,5,1,2
920,27630,2220,1,5,1,2
920,27759,2284,1,5,1,2
920,27415,2220,1,5,1,2
920,27346,2326,1,5,1,2
920,27586,2240,1,5,1,2
920,27402,2156,1,5,1,2
920,27769,2258,1,5,1,2
920,27514,2224,1,5,1,2
920,27369,2291,1,5,1,2
920,27740,2290,1,5,1,2
920,27423,2206,1,5,1,2
920,27063,2194,1,5,1,2
920,27131,2289,1,5,1,2
920,27290,2279,1,5,1,2
920,27181,2167,1,5,1,2
920,27363,2229,1,5,1,2
920,27189,2218,1,5,1,2
940,27362,2105,1,5,1,2
940,27729,2335,1,5,1,2
940,27380,2229,1,5,1,2
940,27688,2249,1,5,1,2
940,27153,2232,1,5,1,2
940,28094,2225,1,5,1,2
940,27642,2233,1,5,1,2
940,27385,2263,1,5,1,2
940,27408,2258,1,5,1,2
940,27281,2228,1,5,1,2
940,27325,2218,1,5,1,2
940,27465,2235,1,5,1,2
940,27440,2247,1,5,1,2
940,27279,2157,1,5,1,2
940,27499,2332,1,5,1,2
940,27274,2227,1,5,1,2
940,27381,2274,1,5,1,2
940,27375,2268,1,5,1,2
940,27457,2207,1,5,1,2
940,27228,2194,1,5,1,2
960,27622,2220,1,5,1,2
960,27477,2351,1,5,1,2
960,27289,2181,1,5,1,2
960,27591,2282,1,5,1,2
960,27576,2243,1,5,1,2
960,27472,2312,1,5,1,2
960,27723,2295,1,5,1,2
960,27561,2341,1,5,1,2
960,27312,2386,1,5,1,2
960,27265,2307,1,5,1,2
960,27173,2330,1,5,1,2
960,27405,2317,1,5,1,2
960,27166,2208,1,5,1,2
960,27244,2260,1,5,1,2
960,27475,2257,1,5,1,2
960,27334,2303,1,5,1,2
960,27076,2318,1,5,1,2
960,27377,2287,1,5,1,2
960,27379,2249,1,5,1,2
960,27459,2249,1,5,1,2
980,27075,2181,1,5,1,2
980,27010,2260,1,5,1,2
980,26940,2273,1,5,1,2
980,26981,2261,1,5,1,2
980,27255,2204,1,5,1,2
980,27238,2287,1,5,1,2
980,27110,2248,1,5,1,2
980,27082,2271,1,5,1,2
980,26979,2280,1,5,1,2
980,26985,2329,1,5,1,2
980,26899,2259,1,5,1,2
980,26923,2238,1,5,1,2
980,26809,2211,1,5,1,2
980,27051,2296,1,5,1,2
980,27155,2173,1,5,1,2
980,26811,2280,1,5,1,2
980,26843,2246,1,5,1,2
980,27197,2327,1,5,1,2
980,27037,2258,1,5,1,2
980,27374,2293,1,5,1,2
1000,27513,2247,1,5,1,2
1000,27417,2245,1,5,1,2
1000,27391,2245,1,5,1,2
1000,27567,2245,1,5,1,2
1000,27279,2189,1,5,1,2
1000,27487,2261,1,5,1,2
1000,27265,2219,1,5,1,2
1000,27660,2166,1,5,1,2
1000,40216,2153,1,5,1,2
1000,27155,2216,1,5,1,2
1000,27461,2286,1,5,1,2
1000,27515,2215,1,5,1,2
1000,27243,2202,1,5,1,2
1000,27197,2181,1,5,1,2
1000,27443,2311,1,5,1,2
1000,27716,2187,1,5,1,2
1000,27345,2292,1,5,1,2
1000,27074,2282,1,5,1,2
1000,27558,2319,1,5,1,2
1000,27393,2262,1,5,1,2

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    27.44
    + u        0
              µs

Reads = 1 + (0 * u)
Writes = 1 + (0 * u)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    u   mean µs  sigma µs       %
    0     27.64     0.087    0.3%
   20     27.38     0.068    0.2%
   40     27.65     0.071    0.2%
   60     27.49     0.057    0.2%
   80     27.26     0.073    0.2%
  100     27.37     0.045    0.1%
  120     27.41     0.065    0.2%
  140     27.23     0.048    0.1%
  160     27.36     0.072    0.2%
  180     27.14     0.035    0.1%
  200     27.43     0.047    0.1%
  220     27.47     0.087    0.3%
  240     27.23     0.052    0.1%
  260     27.53     0.041    0.1%
  280     27.58      0.06    0.2%
  300     27.33     0.039    0.1%
  320     27.25     0.108    0.3%
  340     27.51     0.105    0.3%
  360     27.43     0.034    0.1%
  380     27.68     0.096    0.3%
  400     27.51     0.083    0.3%
  420     27.38      0.06    0.2%
  440     27.42     0.072    0.2%
  460     27.26     0.051    0.1%
  480     27.41      0.08    0.2%
  500     27.23     0.096    0.3%
  520      27.4      0.04    0.1%
  540     27.27     0.074    0.2%
  560     27.22     0.055    0.2%
  580     27.28     0.026    0.0%
  600     27.35     0.085    0.3%
  620     27.48     0.055    0.2%
  640     27.28     0.065    0.2%
  660     27.35     0.059    0.2%
  680     27.32     0.067    0.2%
  700     27.44     0.103    0.3%
  720      27.4     0.081    0.2%
  740     27.07     0.097    0.3%
  760     27.27     0.076    0.2%
  780      27.3     0.046    0.1%
  800     27.23     0.072    0.2%
  820     27.43     0.061    0.2%
  840     27.44     0.102    0.3%
  860     27.14     0.043    0.1%
  880     27.28     0.061    0.2%
  900     27.21      0.05    0.1%
  920     27.38     0.062    0.2%
  940     27.39     0.042    0.1%
  960     27.39     0.067    0.2%
  980     27.02     0.051    0.1%
 1000     27.42     0.071    0.2%

Quality and confidence:
param     error
u             0

Model:
Time ~=    27.44
    + u        0
              µs

Reads = 1 + (0 * u)
Writes = 1 + (0 * u)
