Pallet: "treasury", Extrinsic: "report_awesome", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
r,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
13080,74494,2222,2,8,2,3
13080,74554,2195,2,8,2,3
13080,74877,2125,2,8,2,3
13080,74309,2262,2,8,2,3
13080,74620,2226,2,8,2,3
13080,74854,2318,2,8,2,3
13080,75025,2218,2,8,2,3
13080,74979,2215,2,8,2,3
13080,75011,2207,2,8,2,3
13080,75062,2249,2,8,2,3
13080,75019,2372,2,8,2,3
13080,75130,2280,2,8,2,3
13080,74737,2238,2,8,2,3
13080,75115,2240,2,8,2,3
13080,74519,2255,2,8,2,3
13080,74846,2204,2,8,2,3
13080,74679,2177,2,8,2,3
13080,75164,2238,2,8,2,3
13080,74792,2244,2,8,2,3
13407,75464,2212,2,8,2,3
13407,75109,2209,2,8,2,3
13407,75110,2170,2,8,2,3
13407,75073,2228,2,8,2,3
13407,75084,2267,2,8,2,3
13407,75000,2290,2,8,2,3
13407,75607,2238,2,8,2,3
13407,74611,2245,2,8,2,3
13407,75638,2213,2,8,2,3
13407,74940,2254,2,8,2,3
13407,75278,2170,2,8,2,3
13407,74930,2095,2,8,2,3
13407,75178,2213,2,8,2,3
13407,75577,2154,2,8,2,3
13407,74892,2173,2,8,2,3
13407,75336,2241,2,8,2,3
13407,74990,2247,2,8,2,3
13407,75016,2150,2,8,2,3
13407,74806,2297,2,8,2,3
13407,74720,2247,2,8,2,3
13734,75644,2274,2,8,2,3
13734,75741,2393,2,8,2,3
13734,76022,2310,2,8,2,3
13734,75948,2273,2,8,2,3
13734,76432,2295,2,8,2,3
13734,77562,2371,2,8,2,3
13734,76381,2349,2,8,2,3
13734,76777,2306,2,8,2,3
13734,76056,2315,2,8,2,3
13734,76411,2321,2,8,2,3
13734,76042,2230,2,8,2,3
13734,76342,2329,2,8,2,3
13734,76139,2263,2,8,2,3
13734,76402,2350,2,8,2,3
13734,76292,2270,2,8,2,3
13734,76540,2276,2,8,2,3
13734,76558,2281,2,8,2,3
13734,76301,2309,2,8,2,3
13734,76433,2391,2,8,2,3
13734,76216,2360,2,8,2,3
14061,76707,2227,2,8,2,3
14061,76821,2216,2,8,2,3
14061,77193,2176,2,8,2,3
14061,76623,2261,2,8,2,3
14061,77305,2189,2,8,2,3
14061,77254,2354,2,8,2,3
14061,77343,2282,2,8,2,3
14061,76551,2257,2,8,2,3
14061,76330,2158,2,8,2,3
14061,76936,2228,2,8,2,3
14061,76840,2283,2,8,2,3
14061,77171,2267,2,8,2,3
14061,76874,2231,2,8,2,3
14061,76990,2215,2,8,2,3
14061,76901,2237,2,8,2,3
14061,77284,2235,2,8,2,3
14061,76827,2200,2,8,2,3
14061,76811,2307,2,8,2,3
14061,77033,2215,2,8,2,3
14061,77680,2246,2,8,2,3
14388,78192,2262,2,8,2,3
14388,78072,2222,2,8,2,3
14388,77661,2283,2,8,2,3
14388,78261,2328,2,8,2,3
14388,77679,2337,2,8,2,3
14388,77750,2327,2,8,2,3
14388,77650,2228,2,8,2,3
14388,77581,2255,2,8,2,3
14388,77468,2317,2,8,2,3
14388,77728,2225,2,8,2,3
14388,78017,2282,2,8,2,3
14388,77707,2201,2,8,2,3
14388,77662,2199,2,8,2,3
14388,77387,2190,2,8,2,3
14388,77366,2242,2,8,2,3
14388,77039,2179,2,8,2,3
14388,77103,2258,2,8,2,3
14388,77726,2292,2,8,2,3
14388,76731,2271,2,8,2,3
14388,76811,2210,2,8,2,3
14715,77562,2206,2,8,2,3
14715,80939,2378,2,8,2,3
14715,78025,2254,2,8,2,3
14715,78239,2245,2,8,2,3
14715,77893,2243,2,8,2,3
14715,78001,2288,2,8,2,3
14715,77719,2248,2,8,2,3
14715,77819,2234,2,8,2,3
14715,77519,2241,2,8,2,3
14715,77814,2269,2,8,2,3
14715,77842,2250,2,8,2,3
14715,77503,2286,2,8,2,3
14715,77765,2273,2,8,2,3
14715,78363,2306,2,8,2,3
14715,77937,2206,2,8,2,3
14715,77423,2250,2,8,2,3
14715,77365,2277,2,8,2,3
14715,78014,2266,2,8,2,3
14715,77803,2216,2,8,2,3
14715,77786,2297,2,8,2,3
15042,79786,2267,2,8,2,3
15042,78818,2220,2,8,2,3
15042,78916,2261,2,8,2,3
15042,78995,2232,2,8,2,3
15042,78716,2301,2,8,2,3
15042,78782,2280,2,8,2,3
15042,78665,2250,2,8,2,3
15042,78651,2251,2,8,2,3
15042,78962,2257,2,8,2,3
15042,78988,2246,2,8,2,3
15042,79081,2225,2,8,2,3
15042,78849,2183,2,8,2,3
15042,79157,2233,2,8,2,3
15042,79001,2278,2,8,2,3
15042,78873,2288,2,8,2,3
15042,78619,2242,2,8,2,3
15042,78664,2273,2,8,2,3
15042,78739,2296,2,8,2,3
15042,81514,2262,2,8,2,3
15042,79214,2217,2,8,2,3
15369,80026,2139,2,8,2,3
15369,79844,2263,2,8,2,3
15369,80005,2196,2,8,2,3
15369,79380,2284,2,8,2,3
15369,79192,2247,2,8,2,3
15369,79178,2181,2,8,2,3
15369,79320,2278,2,8,2,3
15369,79456,2266,2,8,2,3
15369,79265,2326,2,8,2,3
15369,79289,2247,2,8,2,3
15369,79391,2322,2,8,2,3
15369,79648,2215,2,8,2,3
15369,79441,2212,2,8,2,3
15369,79641,2230,2,8,2,3
15369,79090,2249,2,8,2,3
15369,80046,2291,2,8,2,3
15369,79784,2297,2,8,2,3
15369,80019,2213,2,8,2,3
15369,79468,2255,2,8,2,3
15369,79593,2248,2,8,2,3
15696,79807,2196,2,8,2,3
15696,80243,2164,2,8,2,3
15696,80332,2276,2,8,2,3
15696,80223,2263,2,8,2,3
15696,80310,2322,2,8,2,3
15696,80032,2355,2,8,2,3
15696,80096,2162,2,8,2,3
15696,80201,2307,2,8,2,3
15696,79966,2244,2,8,2,3
15696,80104,2204,2,8,2,3
15696,79711,2183,2,8,2,3
15696,80062,2200,2,8,2,3
15696,79653,2285,2,8,2,3
15696,79780,2229,2,8,2,3
15696,80260,2344,2,8,2,3
15696,97734,2220,2,8,2,3
15696,79884,2203,2,8,2,3
15696,80077,2261,2,8,2,3
15696,80341,2256,2,8,2,3
15696,79989,2231,2,8,2,3
16023,80679,2145,2,8,2,3
16023,80650,2190,2,8,2,3
16023,80148,2239,2,8,2,3
16023,80659,2250,2,8,2,3
16023,80187,2203,2,8,2,3
16023,80563,2222,2,8,2,3
16023,80618,2215,2,8,2,3
16023,80661,2124,2,8,2,3
16023,80421,2200,2,8,2,3
16023,80348,2168,2,8,2,3
16023,80366,2282,2,8,2,3
16023,80393,2242,2,8,2,3
16023,80512,2269,2,8,2,3
16023,80844,2303,2,8,2,3
16023,81341,2300,2,8,2,3
16023,80671,2267,2,8,2,3
16023,80834,2283,2,8,2,3
16023,80311,2274,2,8,2,3
16023,80434,2189,2,8,2,3
16023,80238,2338,2,8,2,3
16350,81157,2264,2,8,2,3
16350,81198,2254,2,8,2,3
16350,80772,2265,2,8,2,3
16350,81037,2164,2,8,2,3
16350,81063,2175,2,8,2,3
16350,80791,2195,2,8,2,3
16350,80762,2268,2,8,2,3
16350,80843,2280,2,8,2,3
16350,81270,2211,2,8,2,3
16350,81082,2293,2,8,2,3
16350,81066,2304,2,8,2,3
16350,81073,2203,2,8,2,3
16350,81840,2257,2,8,2,3
16350,81275,2202,2,8,2,3
16350,81200,2248,2,8,2,3
16350,80993,2195,2,8,2,3
16350,81245,2231,2,8,2,3
16350,81033,2238,2,8,2,3
16350,81377,2201,2,8,2,3
16350,81041,2137,2,8,2,3

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    50.74
    + r    0.001
              µs

Reads = 2 + (0 * r)
Writes = 2 + (0 * r)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    r   mean µs  sigma µs       %
    0     51.01     0.197    0.3%
  327     51.37     0.119    0.2%
  654     51.83     0.056    0.1%
  981     52.34     0.073    0.1%
 1308     53.32     0.084    0.1%
 1635     53.53     0.047    0.0%
 1962     54.47     0.074    0.1%
 2289     54.91     0.126    0.2%
 2616     55.58     0.124    0.2%
 2943     56.34     0.137    0.2%
 3270     56.81     0.112    0.1%
 3597     57.33     0.072    0.1%
 3924     58.04     0.105    0.1%
 4251      58.6     0.091    0.1%
 4578     59.43     0.096    0.1%
 4905     59.97     0.126    0.2%
 5232     60.37     0.103    0.1%
 5559      60.7     0.099    0.1%
 5886     61.17     0.092    0.1%
 6213     62.33     0.159    0.2%
 6540      62.8     0.091    0.1%
 6867     62.98     0.082    0.1%
 7194     64.09     0.118    0.1%
 7521     64.81     0.053    0.0%
 7848     65.42     0.091    0.1%
 8175     66.11      0.09    0.1%
 8502     66.82     0.072    0.1%
 8829     67.37     0.111    0.1%
 9156        68     0.079    0.1%
 9483     68.21     0.173    0.2%
 9810     68.52     0.136    0.1%
10137     69.31     0.132    0.1%
10464     70.25      0.12    0.1%
10791     70.55     0.071    0.1%
11118     71.04      0.13    0.1%
11445      71.5     0.126    0.1%
11772     71.86     0.146    0.2%
12099     72.99     0.101    0.1%
12426     73.46     0.161    0.2%
12753     74.06     0.061    0.0%
13080     74.88     0.117    0.1%
13407     75.07     0.094    0.1%
13734     76.29     0.118    0.1%
14061     76.95     0.129    0.1%
14388     77.62     0.108    0.1%
14715     77.83     0.079    0.1%
15042     78.89     0.089    0.1%
15369     79.51     0.139    0.1%
15696     80.09      0.09    0.1%
16023     80.52     0.111    0.1%
16350     81.09     0.061    0.0%

Quality and confidence:
param     error
r             0

Model:
Time ~=    50.72
    + r    0.002
              µs

Reads = 2 + (0 * r)
Writes = 2 + (0 * r)
