Pallet: "treasury", Extrinsic: "report_awesome", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
r,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
3597,57272,2364,2,8,2,3
3597,57554,2296,2,8,2,3
3597,57358,2264,2,8,2,3
3597,57165,2270,2,8,2,3
3597,57275,2270,2,8,2,3
3597,57432,2268,2,8,2,3
3597,58079,2236,2,8,2,3
3597,57274,2376,2,8,2,3
3597,57436,2288,2,8,2,3
3597,57383,2217,2,8,2,3
3597,57883,2265,2,8,2,3
3597,57406,2208,2,8,2,3
3597,57115,2302,2,8,2,3
3597,57727,2135,2,8,2,3
3597,57239,2198,2,8,2,3
3597,57226,2193,2,8,2,3
3924,58146,2175,2,8,2,3
3924,57840,2173,2,8,2,3
3924,58326,2204,2,8,2,3
3924,57887,2258,2,8,2,3
3924,58300,2275,2,8,2,3
3924,58184,2228,2,8,2,3
3924,58229,2098,2,8,2,3
3924,58174,2206,2,8,2,3
3924,58051,2226,2,8,2,3
3924,57697,2246,2,8,2,3
3924,58047,2222,2,8,2,3
3924,57994,2199,2,8,2,3
3924,57685,2183,2,8,2,3
3924,58482,2172,2,8,2,3
3924,58028,2189,2,8,2,3
3924,58205,2244,2,8,2,3
3924,58100,2142,2,8,2,3
3924,57859,2250,2,8,2,3
3924,57697,2133,2,8,2,3
3924,57779,2153,2,8,2,3
4251,61414,2244,2,8,2,3
4251,59029,2213,2,8,2,3
4251,58990,2185,2,8,2,3
4251,58681,2245,2,8,2,3
4251,58687,2224,2,8,2,3
4251,58635,2158,2,8,2,3
4251,61338,2200,2,8,2,3
4251,58615,2234,2,8,2,3
4251,58037,2257,2,8,2,3
4251,58479,2163,2,8,2,3
4251,58689,2284,2,8,2,3
4251,58258,2254,2,8,2,3
4251,58325,2194,2,8,2,3
4251,58417,2218,2,8,2,3
4251,58264,2277,2,8,2,3
4251,58449,2264,2,8,2,3
4251,58519,2288,2,8,2,3
4251,58850,2190,2,8,2,3
4251,58734,2164,2,8,2,3
4251,58607,2232,2,8,2,3
4578,59752,2185,2,8,2,3
4578,59235,2164,2,8,2,3
4578,59497,2218,2,8,2,3
4578,59344,2269,2,8,2,3
4578,59582,2085,2,8,2,3
4578,59488,2173,2,8,2,3
4578,59164,2220,2,8,2,3
4578,59626,2269,2,8,2,3
4578,59739,2225,2,8,2,3
4578,60001,2278,2,8,2,3
4578,59293,2221,2,8,2,3
4578,59470,2215,2,8,2,3
4578,59450,2236,2,8,2,3
4578,59380,2113,2,8,2,3
4578,59608,2216,2,8,2,3
4578,58912,2222,2,8,2,3
4578,58882,2262,2,8,2,3
4578,59280,2218,2,8,2,3
4578,58888,2170,2,8,2,3
4578,59520,2155,2,8,2,3
4905,60014,2305,2,8,2,3
4905,60001,2271,2,8,2,3
4905,60616,2289,2,8,2,3
4905,59690,2345,2,8,2,3
4905,59732,2281,2,8,2,3
4905,59598,2318,2,8,2,3
4905,60156,2272,2,8,2,3
4905,60020,2232,2,8,2,3
4905,59721,2214,2,8,2,3
4905,60046,2325,2,8,2,3
4905,59889,2270,2,8,2,3
4905,69067,2313,2,8,2,3
4905,60448,2349,2,8,2,3
4905,59802,2235,2,8,2,3
4905,60143,2276,2,8,2,3
4905,59768,2233,2,8,2,3
4905,60368,2294,2,8,2,3
4905,60163,2181,2,8,2,3
4905,59845,2305,2,8,2,3
4905,59788,2212,2,8,2,3
5232,60831,2214,2,8,2,3
5232,60675,2338,2,8,2,3
5232,60479,2253,2,8,2,3
5232,60287,2334,2,8,2,3
5232,60310,2197,2,8,2,3
