Pallet: "democracy", Extrinsic: "veto_external", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
v,extrinsic_time,storage_root_time
38,37532,28278
38,37494,28209
38,37175,45621
38,37379,28362
38,37529,28079
38,37527,28208
38,37009,27799
38,37513,28145
38,37442,28177
40,38034,28299
40,38053,28419
40,37843,28644
40,37787,28397
40,38031,28327
40,37883,28592
40,37689,28420
40,37990,28551
40,38085,27809
40,37950,28008
40,37880,28211
40,37706,28144
40,37949,28108
40,37503,27795
40,37911,27884
40,38204,28234
40,38231,27801
40,37822,28344
40,38272,28259
40,38101,28294
42,38399,31592
42,38765,28727
42,38208,28333
42,38216,28900
42,38244,28554
42,37931,28397
42,37911,28609
42,38189,28706
42,38279,28495
42,38267,28607
42,38079,28627
42,38064,28382
42,38138,28245
42,38338,28434
42,37977,28389
42,38368,28656
42,38081,28516
42,38007,28280
42,38067,28347
42,37986,28111
44,39002,28800
44,38360,28555
44,38577,28368
44,38269,28190
44,38516,28105
44,38328,28472
44,38359,27705
44,51819,28020
44,38480,28210
44,38342,27938
44,38673,28246
44,38135,27924
44,37928,27910
44,38350,28105
44,38389,28062
44,38000,28247
44,38464,28259
44,38475,28071
44,37981,28017
44,38306,28117
46,39051,28686
46,38626,28670
46,38386,28620
46,38661,28730
46,38812,28326
46,38927,28463
46,38559,28762
46,38501,28247
46,38674,28252
46,37965,28346
46,38567,28324
46,38623,28696
46,38488,28386
46,38777,28315
46,40847,28831
46,38726,28266
46,38314,28578
46,38697,28254
46,38229,28462
46,38446,28141
48,39498,28778
48,39291,28958
48,39188,28431
48,39210,28598
48,39040,28477
48,38876,28217
48,38976,28416
48,39078,28857
48,38539,28368
48,39037,28519
48,39145,28077
48,38992,28374
48,39050,28331
48,39280,28187
48,39442,29054
48,38916,28346
48,38938,28334
48,39127,28480
48,39067,30899
48,39168,28425
50,40262,28654
50,39612,28965
50,39802,28522
50,39577,28405
50,39689,28742
50,39583,28834
50,39805,28340
50,39411,28450
50,39498,28605
50,39731,28173
50,39782,28357
50,39758,28838
50,39869,28969
50,42344,28904
50,39739,28928
50,39541,28801
50,39951,28934
50,39662,28462
50,39237,28830
50,39511,28603
52,40482,28625
52,40063,28625
52,39564,28527
52,40019,31490
52,40027,28613
52,40393,28622
52,40142,29103
52,40202,28776
52,40109,28815
52,40218,28703
52,40320,28803
52,40160,29175
52,39920,28890
52,40015,28995
52,40128,29143
52,39995,28926
52,40255,28506
52,39922,28961
52,39986,28688
52,39868,28798
54,40459,28866
54,40139,29541
54,40247,28816
54,40389,29527
54,39801,28964
54,39977,29176
54,40085,29266
54,39738,28824
54,40783,28880
54,40075,29144
54,40290,28792
54,40294,29015
54,39925,28578
54,39670,28672
54,40042,28533
54,39946,28946
54,40231,28748
54,40141,29048
54,39848,28561
54,39761,28656
56,40399,29157
56,40791,28859
56,40494,29170
56,41054,29083
56,40625,29020
56,40399,28684
56,40535,28498
56,40313,28934
56,40337,28330
56,40519,28960
56,40292,28625
56,40325,28742
56,42819,29110
56,40397,28734
56,40616,28979
56,40355,28537
56,39964,28565
56,40308,28271
56,40107,28689
56,40220,28925
58,41134,29105
58,40731,29431
58,40890,29057
58,40807,29004
58,40687,28993
58,40938,28982
58,40624,28862
58,41036,28833
58,40823,28871
58,40745,29096
58,40651,29069
58,40715,29171
58,40465,28918
58,40891,29077
58,40748,29063
58,40731,28724
58,59020,41905
58,40794,28747
58,40663,28968
58,41030,28974
60,41045,29317
60,40582,28776
60,41396,28854
60,41234,29283
60,40945,28839
60,40828,28999
60,40962,28700
60,41171,29188
60,41024,29000
60,40914,29207
60,40742,29054
60,40849,28838
60,40928,29176
60,41183,28579
60,41122,29134
60,40779,28719
60,41044,28966
60,40769,29149
60,41152,28965
