Pallet: "treasury", Extrinsic: "cancel_bounty", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
u,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
180,65382,2345,2,13,3,3
180,65667,2253,2,13,3,3
180,65541,2362,2,13,3,3
180,65106,2289,2,13,3,3
180,66231,2330,2,13,3,3
180,65849,2288,2,13,3,3
200,66310,2361,2,13,3,3
200,66100,2407,2,13,3,3
200,66419,2352,2,13,3,3
200,66173,2425,2,13,3,3
200,66338,2307,2,13,3,3
200,66033,2290,2,13,3,3
200,66454,2364,2,13,3,3
200,65607,2372,2,13,3,3
200,66285,2323,2,13,3,3
200,66665,2322,2,13,3,3
200,66025,2296,2,13,3,3
200,66022,2426,2,13,3,3
200,66010,2319,2,13,3,3
200,66040,2249,2,13,3,3
200,65855,2398,2,13,3,3
200,65988,2293,2,13,3,3
200,66682,2384,2,13,3,3
200,66235,2387,2,13,3,3
200,65955,2282,2,13,3,3
200,66042,2389,2,13,3,3
220,65754,2348,2,13,3,3
220,65898,2304,2,13,3,3
220,65348,2378,2,13,3,3
220,65781,2353,2,13,3,3
220,65526,2438,2,13,3,3
220,65437,2291,2,13,3,3
220,65898,2334,2,13,3,3
220,65567,2331,2,13,3,3
220,65346,2349,2,13,3,3
220,65283,2302,2,13,3,3
220,65940,2426,2,13,3,3
220,66098,2349,2,13,3,3
220,66265,2418,2,13,3,3
220,65639,2352,2,13,3,3
220,65596,2248,2,13,3,3
220,65578,2311,2,13,3,3
220,65628,2254,2,13,3,3
220,65791,2320,2,13,3,3
220,65029,2227,2,13,3,3
220,65713,2315,2,13,3,3
240,65510,2320,2,13,3,3
240,66192,2306,2,13,3,3
240,68710,2445,2,13,3,3
240,65825,2259,2,13,3,3
240,65117,2311,2,13,3,3
240,65762,2412,2,13,3,3
240,65622,2336,2,13,3,3
240,65717,2402,2,13,3,3
240,65677,2488,2,13,3,3
240,65696,2315,2,13,3,3
240,65872,2339,2,13,3,3
240,65631,2363,2,13,3,3
240,65623,2311,2,13,3,3
240,65743,2363,2,13,3,3
240,65112,2252,2,13,3,3
240,65766,2362,2,13,3,3
240,65357,2370,2,13,3,3
240,66048,2437,2,13,3,3
240,65609,2381,2,13,3,3
240,65132,2375,2,13,3,3
260,66091,2341,2,13,3,3
260,65527,2296,2,13,3,3
260,65897,2351,2,13,3,3
