Pallet: "scheduler", Extrinsic: "schedule_named", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
s,extrinsic_time,storage_root_time
19,32651,31392
19,32423,31516
19,32450,31635
19,32179,31746
19,32489,31519
19,32283,31343
19,32334,31078
19,32307,31663
19,32910,31309
20,32981,33428
20,32606,32916
20,32376,33011
20,32840,33545
20,32616,33495
20,32425,33220
20,33032,32708
20,32306,32951
20,33027,32960
20,32979,33151
20,32566,32908
20,32689,33046
20,32607,33118
20,32685,33054
20,32482,32977
20,33174,33010
20,32597,32796
20,32634,32852
20,32388,32634
20,32393,32514
21,32986,32840
21,32375,32820
21,32440,32494
21,32802,32956
21,32766,33306
21,60963,33111
21,32717,32469
21,32868,32508
21,32855,32733
21,32626,32579
21,32800,32673
21,32822,32623
21,33126,32181
21,32820,32778
21,32829,32827
21,32505,32574
21,33958,31891
21,32758,32637
21,32627,32154
21,32581,32805
22,33695,35274
22,33361,34880
22,33347,34959
22,33145,35078
22,33299,34667
22,32718,34964
22,33569,34982
22,33097,34684
22,33191,34812
22,32742,35032
22,33545,35060
22,32791,34497
22,33363,34760
22,33266,34618
22,33022,34382
22,32871,34435
22,33316,34777
22,32954,34589
22,33121,35031
22,33326,34416
23,33342,36515
23,33217,36376
23,32851,37206
23,33473,37050
23,33520,36310
23,33293,37010
23,57015,50250
23,32996,37382
23,33067,37120
23,33098,36905
23,33012,36749
23,33400,36401
23,33311,36632
23,33295,37094
23,33441,36779
23,33394,36734
23,32952,36263
23,33284,36261
23,33592,36719
23,33016,36618
24,36416,34261
24,34637,34249
24,34539,33936
24,34271,34123
24,34538,33586
24,34104,33958
24,34702,34204
24,34847,33785
24,34854,33917
24,34571,33564
24,34730,33702
24,34376,33905
24,34740,33908
24,34259,33852
24,34123,33740
24,34608,33834
24,34575,33721
24,34873,33784
24,34344,33564
24,33976,33566
25,34697,35305
25,34118,34903
25,34449,35199
25,34700,35617
25,34560,35628
25,34327,35662
25,34924,35002
25,33984,35113
25,34538,35237
25,34845,35163
25,34665,35044
25,34791,35303
25,34643,35019
25,34964,35407
25,34668,35367
25,34673,35554
25,34812,34921
25,34629,35164
25,34942,35789
25,35175,35047
26,33463,34039
26,34804,33054
26,34311,32741
26,34911,32580
26,35064,32582
26,34808,32422
26,35868,33007
26,34617,32420
26,34798,32262
26,34457,32717
26,34737,32634
26,34309,32365
26,34402,32233
26,34757,32418
26,34828,32533
26,34301,32417
26,34513,32690
26,34426,32203
26,34542,32458
26,34871,32356
27,34667,32333
27,34580,31933
27,34318,32290
27,34437,32375
27,34419,32483
27,34884,32197
27,34203,32329
27,34454,34922
27,34879,32422
27,34521,31919
27,34346,32207
27,34582,32144
27,34449,32071
27,34406,32030
27,34823,32470
27,34397,32472
27,34543,32840
27,34297,32184
27,34594,32204
27,34459,32323
28,33894,32073
28,34727,31894
28,34874,32451
28,33958,31978
28,34329,31827
28,34672,31620
28,34618,32271
28,34706,32206
28,34357,32183
28,34857,32234
28,34562,32199
28,34240,32398
28,34663,32305
28,34024,32479
28,34435,32355
28,34418,31986
28,34861,32315
28,33862,32095
28,34863,31788
28,34697,32099
29,33281,31737
29,35986,30876
29,33672,31031
29,33093,31370
29,34221,30853
29,32791,32356
29,33829,30732
29,33203,32256
29,34581,31080
29,34279,30769
29,33789,30475
29,34571,30533
29,34004,30924
29,33687,30756
29,34305,30832
29,34478,30942
29,33915,31007
29,33643,30848
29,33702,30700
29,34010,30847
30,34688,33754
30,34134,33707
30,34237,33294
30,34358,33374
30,35041,33427
30,34520,33376
30,34588,33598
30,34821,33704
30,34667,33439
30,35072,33404
30,34955,33374
