Pallet: "utility", Extrinsic: "batch", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
c,extrinsic_time,storage_root_time
380,389554,14864
380,389373,14879
380,390057,14889
380,389421,14676
380,402323,14993
380,389417,14701
380,390223,14716
380,389452,14717
380,389514,14843
400,409211,14789
400,411902,15014
400,409291,14656
400,409036,14912
400,408877,14673
400,408925,14698
400,408940,14721
400,414676,15378
400,410067,14712
400,408957,14705
400,409240,14757
400,409070,14862
400,409227,14756
400,411819,15000
400,409092,15069
400,409207,14891
400,408869,14848
400,409075,14697
400,409175,14854
400,411752,15068
420,428771,14889
420,428788,14889
420,428692,14762
420,428548,14742
420,428561,14747
420,431657,15208
420,428815,14939
420,428677,14939
420,428731,14720
420,428722,14825
420,428660,14865
420,428880,14926
420,428757,14597
420,428790,14612
420,428725,14662
420,428715,14635
420,428726,14701
420,429353,15078
420,428696,14827
420,428744,14897
440,448539,14845
440,448741,15024
440,451083,15023
440,448468,14786
440,448653,14640
440,449675,14751
440,448480,14862
440,448425,14978
440,451175,15026
440,456234,15602
440,448766,14628
440,448559,14601
440,448199,14753
440,448550,14777
440,448412,14826
440,448441,14856
440,448405,14755
440,448399,14837
440,448447,14871
440,454337,15369
460,468409,14849
460,468173,14893
460,468210,14706
460,469327,14917
460,468195,14709
460,468352,14600
460,468224,14719
460,468244,14932
460,468349,14673
460,468404,14728
460,471895,14748
460,468560,14915
460,468296,14681
460,469455,14784
460,468318,14580
460,468448,14690
460,468230,14950
460,469311,14811
460,468489,15108
460,469232,14837
480,487822,14810
480,490899,14962
480,487836,14852
480,488072,14837
480,487885,14767
480,487689,14794
480,492344,15216
480,488063,14875
480,487840,14774
480,487837,14716
480,487647,14776
480,490717,15192
480,487795,14617
480,487882,14796
480,487976,14739
480,487999,14618
480,487746,14876
480,488779,14730
480,487975,14889
480,488023,14766
500,507243,14669
500,508589,14551
500,510156,14926
500,508072,14637
500,507851,14670
500,507500,14924
500,507691,14771
500,513200,15269
500,508369,14752
500,507583,14769
500,507530,14714
500,507361,14568
500,511211,14935
500,509017,14812
500,507565,14885
500,507343,14885
500,507739,14753
500,510882,15118
500,507768,14863
500,507544,14503
520,529735,14897
520,527455,14659
520,528073,14561
520,527273,14864
520,527163,14652
520,527258,14786
520,530381,14701
520,527299,14804
520,527164,14939
520,527319,14753
520,529694,14699
520,527331,14758
520,527121,14598
520,528805,14686
520,527266,14756
520,527377,14711
520,527125,14542
520,527217,14725
520,528706,14747
520,529937,15120
540,547072,14744
540,546823,14715
540,547733,14737
540,549673,14867
540,547458,14688
540,546901,14773
540,547016,14476
540,553459,15371
540,548024,14639
540,547244,14798
540,547100,14858
540,546913,14948
540,547315,14754
540,546988,14805
540,547063,14765
540,546799,14744
540,548416,14810
540,546981,14719
540,547089,14704
540,547216,14816
560,566813,14845
560,566508,14624
560,566703,14826
560,566726,14744
560,569560,15035
560,566918,14644
560,566719,14633
560,566928,14821
560,597425,14890
560,566700,14821
560,566554,14553
560,566607,14712
560,598117,14933
560,566985,14928
560,568196,14805
560,566709,14749
560,596622,15186
560,566658,14787
560,566571,14688
560,566631,14881
580,621170,15099
580,586434,14819
580,586353,14963
580,586277,14600
580,644232,15096
580,586360,14809
580,586205,14737
580,586542,14788
580,616844,14925
580,587889,14838
580,586449,14656
580,586388,14716
580,590246,14970
580,587182,14886
580,586452,14469
580,586329,14824
580,589171,15114
580,587774,14645
580,587711,14899
580,586323,14813
600,608892,15064
600,606071,14700
600,605932,14653
600,606129,14844
600,608624,15052
600,606173,14792
600,606229,14735
600,605997,14938
600,606520,14749
600,606389,14832
600,606213,14658
600,606058,14845
600,607888,14840
600,605925,14670
600,606120,14722
600,605978,14805
600,606144,14823
600,607611,14844
600,606147,14949
600,610802,15409
620,625954,14990
620,625686,14747
620,625792,14692
620,630326,15314
620,625782,14956
620,625807,14893
620,627339,14872
620,628436,15004
620,625737,14728
620,625959,14845
620,625801,14832
620,625904,14881
620,627349,15093
620,625734,14894
620,625688,14771
620,625733,14939
620,625429,14989
620,625495,14766
620,629810,15042
620,626090,14769
640,645909,14831
640,645590,15028
640,648201,15025
640,645595,14800
640,645740,14779
640,645581,14789
640,645562,14669
640,645213,14797
640,645460,14740
640,645587,14801
640,645614,14610
640,645505,14836
640,645815,14774
640,650680,15235
640,645601,14836
640,646996,15037
640,645611,14914
640,648454,14973
640,645567,14988
640,645809,14923
660,665217,14963
660,665707,15166
660,664881,14938
660,665370,14805
660,667987,15022
660,665018,14839
660,665294,14601
660,665162,14899
660,667595,15011
660,665267,14756
660,665725,14764
660,665101,14825
660,664914,14760
660,665043,14668
660,665665,14936
660,667428,15114
660,665569,14839
660,665526,14593
660,666873,14666
660,665331,14768
680,687275,14770
680,686813,14989
680,687344,15011
680,687477,14798
680,687539,14768
680,687143,14805
680,687410,15134
680,687139,14817
680,687283,14827
680,687197,14781
680,687567,14912
680,686895,14858
680,687235,14711
680,687277,14930
680,687419,14821
680,687405,14845
680,687212,14939
680,687569,15461
680,687218,15087
680,687506,14928
700,707368,14999
700,706961,15331
700,706745,14890
700,706943,14676
700,706990,14788
700,707231,15411
700,706836,14662
700,707604,14940
700,706897,14937
700,708958,15232
700,706910,14749
700,707334,14804
700,706956,14877
700,708668,14793
700,707504,14799
700,706928,14853
700,708614,14670
700,707027,15266
700,708591,14935
700,706764,14853
720,726433,15053
720,726623,15114
720,726624,14956
720,726823,14915
720,726464,15069
720,728794,14888
720,726796,15080
720,725954,14689
720,726550,14736
720,726598,15103
720,728172,14768
720,727984,15244
720,726523,15029
720,726701,14758
720,726503,14839
720,727074,15062
720,726969,14799
720,726347,14790
720,727910,15210
720,726418,14734
740,747896,14726
740,746851,14999
740,746041,14865
740,746169,14803
740,746121,14786
740,746375,14900
740,746816,15125
740,746456,15313
740,746359,14933
740,746455,14849
740,746276,14733
740,746242,14958
740,746444,14854
740,746395,14977
740,746305,15032
740,746247,14952
740,746190,14809
740,746153,14707
740,746200,14821
740,746294,14925
760,765905,14812
760,766004,14949
760,765852,14841
760,765723,14781
760,765658,15315
760,766179,14983
760,765918,14982
760,765588,14773
760,766049,14901
760,766060,14569
760,765899,14751
760,766137,14921
760,765878,14793
760,766022,14776
760,767761,14845
760,768023,14766
760,766227,14899
760,765503,14912
760,765981,14706
760,766066,14829
780,785414,14803
780,787777,15071
780,787901,15400
780,787623,14828
780,785646,14908
780,785536,14638
780,785900,14804
780,785517,14992
780,787882,14908
780,785394,14789
780,785857,14791
780,785689,14825
780,785340,14776
780,785697,14880
780,785447,14782
780,785482,14732
780,785281,14507
780,815882,14798
780,786121,14890
780,785646,15021
800,805590,14941
800,807475,14669
800,805582,14803
800,805455,15044
800,805170,14643
800,805338,14686
800,805268,15024
800,805202,14783
800,805441,15878
800,805198,14759
800,807333,14832
800,805263,14928
800,805332,14778
800,805335,14932
800,805431,14854
800,805271,14812
800,805152,14695
800,805335,14729
800,807472,14826
800,807685,15018
820,825209,14685
820,825129,15072
820,825273,15134
820,824949,15088
820,825230,14799
820,827467,15346
820,825451,15038
820,824618,14895
820,825735,15062
820,825069,14961
820,825054,14854
820,825449,14986
820,824407,14956
820,825231,15084
820,825280,14979
820,825163,15242
820,825135,15037
820,826938,15184
820,825063,14875
820,825075,14883
840,844722,17894
840,844583,14973
840,845219,14682
840,845244,14740
840,845094,15402
840,844754,14949
840,844528,14905
840,844669,14891
840,845056,15098
840,844922,14798
840,844691,14763
840,845011,15009
840,844994,14840
840,844911,14880
840,846949,14771
840,844676,15155
840,844688,15082
840,844675,14920
840,844747,14838
840,844701,14840
860,866816,14863
860,864549,14927
860,864797,14875
860,866683,14860
860,864378,14629
860,864571,14960
860,864221,14764
860,864491,15724
860,864460,15039
860,864099,14827
860,864529,15046
860,865103,15103
860,864648,14893
860,864377,14876
860,864616,14914
860,864492,14697
860,866528,14967
860,864814,14790
860,893482,16033
860,867735,15243
880,884431,14758
880,884355,14807
880,886611,15098
880,886257,14819
880,883812,14705
880,884135,14879
880,884573,14784
880,886250,14809
880,886004,14959
880,884286,15044
880,884398,15065
880,884234,15165
880,884431,14807
880,884086,14988
880,884246,15084
880,885495,14730
880,885508,14625
880,886286,14969
880,883935,14937
880,884390,14751
900,906419,14952
900,903811,15040
900,903921,14876
900,903695,14820
900,903734,14785
900,904228,14916
900,903754,14924
900,903886,14819
900,906986,15050
900,903817,14813
900,903739,14744
900,907640,14898
900,905995,14885
900,903950,15153
900,904025,15266
900,904194,15007
900,903879,14716
900,903824,15093
900,903827,14896
900,903918,14880
920,925980,14921
920,923904,14864
920,923957,14830
920,923500,14998
920,923601,15011
920,923415,14902
920,923266,14804
920,923450,14773
920,927733,14972
920,925739,14835
920,923641,14819
920,923627,14962
920,923774,14874
920,923604,14832
920,925004,15210
920,924065,14953
920,924982,14789
920,926020,15036
920,923176,14911
920,926176,15430
940,944177,14891
940,942909,14866
940,945634,15073
940,943218,14948
940,943341,14807
940,970684,15168
940,943415,14877
940,942971,14831
940,950035,15518
940,945517,14886
940,943236,14887
940,943527,14945
940,943486,15282
940,943617,14877
940,943264,15044
940,943723,14851
940,943396,14928
940,943093,14874
940,943582,15005
940,971150,15078
960,962954,14817
960,963345,15363
960,963740,15756
960,962890,14831
960,963265,17831
960,962583,14926
960,962557,14895
960,964660,15185
960,963023,15019
960,962832,15042
960,965075,15233
960,963000,14901
960,963005,14876
960,962990,15173
960,965503,14783
960,965306,15026
960,963015,14850
960,963164,14970
960,963190,14930
960,962924,14899
980,982771,15178
980,985121,15192
980,982793,14797
980,982488,14949
980,983062,14950
980,982622,15147
980,984405,15129
980,982598,14847
980,982551,14936
980,984759,15050
980,982481,14865
980,982823,14969
980,982787,15014
980,982252,14769
980,984681,15108
980,982840,14895
980,982625,14878
980,985085,15073
980,982627,14568
980,982680,15128
1000,1003411,14966
1000,1002384,14753
1000,1002920,15062
1000,1002543,15109
1000,1002179,14839
1000,1043749,15451
1000,1002263,15127
1000,1002136,17834
1000,1002491,15089
1000,1002555,14740
1000,1002698,14923
1000,1005007,14871
1000,1002419,14760
1000,1002588,14888
1000,1002613,15026
1000,1031544,15102
1000,1002711,14954
1000,1002253,14967
1000,1005163,14898
1000,1002135,14925

Median Slopes Analysis
========

Model:
Time ~=    14.77
    + c    0.987
              µs

Min Squares Analysis
========

Data points distribution:
    c   mean µs  sigma µs       %
    0     14.66     0.114    0.7%
   20     34.77      0.04    0.1%
   40     54.41     0.046    0.0%
   60     74.15     0.031    0.0%
   80     94.03     0.072    0.0%
  100     113.6     0.053    0.0%
  120     133.3     0.068    0.0%
  140       153     0.093    0.0%
  160     172.8     0.109    0.0%
  180     192.4     0.081    0.0%
  200     212.2     0.087    0.0%
  220     231.8     0.057    0.0%
  240     251.6     0.186    0.0%
  260     271.3     0.141    0.0%
  280     290.9     0.064    0.0%
  300     310.8     0.284    0.0%
  320     330.3     0.085    0.0%
  340       350     0.075    0.0%
  360     370.2     0.391    0.1%
  380     389.4     0.063    0.0%
  400     409.1     0.082    0.0%
  420     428.7     0.026    0.0%
  440     448.5     0.112    0.0%
  460     468.3     0.089    0.0%
  480     487.9      0.08    0.0%
  500     507.8     0.338    0.0%
  520     527.5     0.453    0.0%
  540     547.1     0.141    0.0%
  560     566.7      0.11    0.0%
  580     586.9     0.614    0.1%
  600     606.2     0.131    0.0%
  620     625.8      0.11    0.0%
  640     645.6     0.089    0.0%
  660     665.4     0.182    0.0%
  680     687.3     0.076    0.0%
  700     707.1     0.203    0.0%
  720     726.6     0.142    0.0%
  740     746.3     0.073    0.0%
  760     765.9     0.068    0.0%
  780     785.7     0.188    0.0%
  800     805.3     0.092    0.0%
  820     825.1     0.072    0.0%
  840     844.8     0.123    0.0%
  860     864.6     0.183    0.0%
  880     884.6     0.452    0.0%
  900     903.9     0.108    0.0%
  920       924     0.511    0.0%
  940     943.5     0.245    0.0%
  960       963     0.128    0.0%
  980     982.7     0.128    0.0%
 1000      1002     0.148    0.0%

Quality and confidence:
param     error
c             0

Model:
Time ~=    14.39
    + c    0.988
              µs

