Pallet: "offences", Extrinsic: "report_offence_babe", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
r,n,extrinsic_time,storage_root_time
1,16,604850,164642
1,16,589752,158508
1,16,593361,160035
1,16,591198,156992
1,16,586813,158487
1,16,586721,158016
1,16,587250,157884
1,16,591615,157541
1,16,592474,156534
1,16,593980,155917
1,16,594844,156728
1,16,588290,157117
1,16,593327,156956
1,16,590899,156563
1,16,592320,157213
1,16,593381,158803
1,16,591893,157657
1,16,590425,156546
1,16,596352,157284
1,16,587977,158844
2,16,587724,158221
2,16,594098,156996
2,16,591164,156769
2,16,591645,158137
2,16,619844,156904
2,16,594122,157769
2,16,588985,157046
2,16,594717,157121
2,16,588582,157258
2,16,590130,155944
2,16,590951,159366
2,16,592121,157366
2,16,588666,155537
2,16,607872,170818
2,16,590732,157962
2,16,589996,156272
2,16,588405,159944
2,16,588393,158045
2,16,593584,159687
2,16,589362,160180
3,16,590259,157095
3,16,590285,157070
3,16,592510,157954
3,16,586609,157914
3,16,586916,158900
3,16,590221,156657
3,16,594264,158441
3,16,583226,158381
3,16,590806,157154
3,16,594159,157862
3,16,591973,157510
3,16,588443,156601
3,16,591518,157536
3,16,587752,156583
3,16,589091,156271
3,16,591970,157365
3,16,586656,158242
3,16,592992,156990
3,16,590664,157881
3,16,589305,156916
4,16,586664,157514
4,16,587332,157960
4,16,593480,158527
4,16,588184,158090
4,16,585517,156369
4,16,593264,157570
4,16,591774,157213
4,16,586616,157484
4,16,592560,156558
4,16,588004,158598
4,16,589676,158711
4,16,596780,156986
4,16,587526,156490
4,16,588601,157140
4,16,616467,157846
4,16,589151,158719
4,16,589418,158499
4,16,595967,157084
4,16,589131,157863
4,16,591706,158229
5,16,591960,158264
5,16,587393,157439
5,16,585710,159438
5,16,591095,159078
5,16,587304,157433
5,16,589943,156623
5,16,584744,161861
5,16,590537,158440
5,16,591589,158480
5,16,593272,160402
5,16,585933,157673
5,16,591352,157120
5,16,590602,161140
5,16,583979,157739
5,16,590093,157906
5,16,590200,157472
5,16,584179,158318
5,16,590606,157658
5,16,588198,157247
5,16,582889,156736
6,16,589366,158063
6,16,584928,159337
6,16,590382,159498
6,16,591571,157462
6,16,590165,157240
6,16,591707,158009
6,16,591834,157986
6,16,588476,157863
6,16,594446,158887
6,16,595081,157686
6,16,591240,159836
6,16,591917,157407
6,16,585364,157249
6,16,589590,157130
6,16,588822,157359
6,16,592871,157533
6,16,585762,158162
6,16,589436,158386
6,16,626148,160253
6,16,590401,159120
7,16,587866,159145
7,16,596075,159158
7,16,592855,157952
7,16,591690,158547
7,16,586694,158547
7,16,592806,156613
7,16,590101,157409
7,16,589039,159293
7,16,592324,156823
7,16,593328,159331
7,16,586822,157885
7,16,593422,158536
7,16,591478,157091
7,16,592286,157360
7,16,592525,158201
7,16,595499,157607
7,16,593995,157368
7,16,589788,158167
7,16,594144,158606
7,16,592918,159068
8,16,593044,158201
8,16,593799,158406
8,16,592944,187106
8,16,589949,157500
8,16,590183,158339
8,16,591725,161698
8,16,585071,157419
8,16,589976,158953
8,16,589762,160837
8,16,593215,158607
8,16,591219,158627
8,16,595365,164742
8,16,591051,159055
8,16,596923,158110
8,16,589382,160205
8,16,588145,157997
8,16,591045,157914
8,16,592455,156682
8,16,592402,157925
8,16,590636,156579
9,16,588600,157840
9,16,590699,158109
9,16,594368,159582
9,16,593413,157528
9,16,591289,157454
9,16,596927,157976
9,16,593574,157925
9,16,589540,158669
9,16,587109,157710
9,16,588778,158987
9,16,587534,159087
9,16,588476,159131
9,16,592790,158011
9,16,588734,158084
9,16,592748,157861
9,16,593995,160316
9,16,592537,159116
9,16,586758,159381
9,16,582548,157769
9,16,587533,158812
10,16,591834,158750
10,16,590740,158878
10,16,591965,158202
10,16,596121,158652
10,16,590363,158341
10,16,594489,158185
10,16,596590,159598
10,16,595185,158502
10,16,595459,158183
10,16,597496,159465
10,16,594202,158641
10,16,587084,158810
10,16,596233,160304
10,16,594393,157875
10,16,594326,161733
10,16,598855,159168
10,16,593762,157719
10,16,596613,159689
10,16,597966,159237
10,16,593257,159373
11,16,594087,159333
11,16,598412,160644
11,16,595495,158619
11,16,595182,157890
11,16,598225,158745
11,16,596434,159640
11,16,590942,159904
11,16,594615,159959
11,16,594748,160015
11,16,595639,158339
11,16,592415,158934
11,16,598702,159357
11,16,591739,160863
11,16,598792,159546
11,16,596275,159495
11,16,593058,159050
11,16,586234,159174
11,16,585940,160746
11,16,590493,159918
11,16,596088,158914
12,16,591960,159608
12,16,594749,159025
12,16,598146,160263
12,16,593702,158598
12,16,593865,160687
12,16,599177,158902
12,16,594676,158874
12,16,591033,160692
12,16,589379,189329
12,16,587613,158186
12,16,589163,159153
12,16,593391,160390
12,16,591557,159618
12,16,590599,159946
12,16,594977,163459
12,16,593367,160814
12,16,591949,160622
12,16,596448,162181
12,16,598422,158622
12,16,598390,158298
13,16,599073,161967
13,16,593268,158406
13,16,593449,160844
13,16,589462,159230
13,16,587902,159652
13,16,597467,160114
13,16,593673,159798
13,16,594703,159164
13,16,587345,159462
13,16,581841,159126
13,16,589910,158751
13,16,597251,158979
13,16,590361,158688
13,16,588763,159143
13,16,592526,159318
13,16,589956,158959
13,16,592825,159276
13,16,595711,159733
13,16,595695,158893
13,16,584419,160537
14,16,594561,159213
14,16,593847,159207
14,16,597208,160464
14,16,596709,160495
14,16,595452,158235
14,16,591702,158781
14,16,585714,160931
14,16,596039,160804
14,16,593148,159020
14,16,595646,159311
14,16,595346,158208
14,16,586657,159008
14,16,596614,159017
14,16,595031,159537
14,16,592720,160908
14,16,595442,159533
14,16,590001,159414
14,16,592443,160526
14,16,596719,159478
14,16,588359,159543
15,16,592339,159827
15,16,598225,160633
15,16,595350,159773
15,16,596168,159075
15,16,600456,160556
15,16,596575,159749
15,16,591342,158763
15,16,590920,160702
15,16,593973,158098
15,16,595479,158501
15,16,599834,158962
15,16,591544,159585
15,16,593210,159520
15,16,595819,160641
15,16,595399,160487
15,16,595042,159856
15,16,598790,160355
15,16,594825,159431
15,16,595022,159474
15,16,626888,158244
16,16,593178,158667
16,16,588300,157726
16,16,593707,162568
16,16,591181,157986
16,16,597350,158853
16,16,626017,160600
16,16,593757,160600
16,16,596540,158972
16,16,597228,160204
16,16,589843,159109
16,16,588710,158482
16,16,600680,161714
16,16,590949,160899
16,16,591951,160974
16,16,594624,159727
16,16,594250,159594
16,16,592038,160292
16,16,593575,160129
16,16,591488,159018
16,16,594235,161665
17,16,657197,160400
17,16,596101,160868
17,16,596139,159792
17,16,600059,160075
17,16,594348,159926
17,16,594597,158514
17,16,598463,160037
17,16,595502,158433
17,16,594673,159192
17,16,595917,158649
17,16,595729,159855
17,16,595474,162393
17,16,600027,159872
17,16,594550,161012
17,16,593756,158795
17,16,598726,159658
17,16,590477,159683
17,16,593262,160596
17,16,628515,159512
17,16,596742,159483
18,16,589916,159847
18,16,595749,160593
18,16,589208,160638
18,16,600554,158699
18,16,626980,160700
18,16,596379,157600
18,16,591727,160256
18,16,603120,159855
18,16,592630,160917
