Pallet: "staking", Extrinsic: "payout_all", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
v,n,extrinsic_time,storage_root_time
10,4,2349798,201866
10,4,2358189,201737
10,4,2346590,202621
10,4,2360193,202631
10,4,2351932,202624
10,4,2358168,202953
10,4,2354343,204002
10,4,2386669,202690
10,4,2352009,202983
10,4,2355558,203738
10,4,2359770,203123
10,4,2361809,203345
10,5,2733262,211815
10,5,2711286,211561
10,5,2693778,212134
10,5,2704224,213023
10,5,2706123,212855
10,5,2724680,211904
10,5,2715921,212892
10,5,2704259,211953
10,5,2708929,211300
10,5,2697213,212805
10,5,2719184,211683
10,5,2710064,216220
10,5,2717080,212524
10,5,2703392,211577
10,5,2714711,212290
10,5,2699296,213036
10,5,2716390,212040
10,5,2696384,211474
10,5,2715902,211918
10,5,2702847,212837
10,6,3049755,224262
10,6,3063187,224076
10,6,3055199,223295
10,6,3054004,223750
10,6,3084666,223659
10,6,3063129,224705
10,6,3045474,227081
10,6,3071255,224580
10,6,3052966,223722
10,6,3042723,222758
10,6,3061313,224005
10,6,3072528,224125
10,6,3051670,222835
10,6,3066838,223615
10,6,3061482,223967
10,6,3075299,223295
10,6,3055797,224252
10,6,3085085,224740
10,6,3058338,223551
10,6,3066525,227013
10,7,3436216,233578
10,7,3424213,233314
10,7,3417040,232817
10,7,3410685,236855
10,7,3416076,235197
10,7,3435165,232681
10,7,3452389,233200
10,7,3406124,233677
10,7,3404367,233369
10,7,3416371,232839
10,7,3416967,234017
10,7,3457079,232496
10,7,3423001,234649
10,7,3415972,234815
10,7,3444946,233289
10,7,3414711,233056
10,7,3405366,233300
10,7,3423785,232927
10,7,3415421,231991
10,7,3420117,232934
10,8,3774576,243386
10,8,3754075,247822
10,8,3775608,244203
10,8,3758996,244777
10,8,3759219,243933
10,8,3789717,244251
10,8,3763167,245108
10,8,3767078,244298
10,8,3801270,245489
10,8,3767250,242773
10,8,3762106,244580
10,8,3771205,245576
10,8,3762961,274110
10,8,3767449,244022
10,8,3752942,243879
10,8,3760137,245803
10,8,3749357,244313
10,8,3763574,243830
10,8,3794813,245165
10,8,3769486,243976
10,9,4127690,256696
10,9,4143730,254352
10,9,4146739,256543
10,9,4108410,255400
10,9,4114831,256369
10,9,4155466,254563
10,9,4139743,256383
10,9,4148571,255590
10,9,4116284,255179
10,9,4128738,254542
10,9,4114911,255527
10,9,4124204,284436
10,9,4112238,254642
10,9,4116543,255213
10,9,4120821,254946
10,9,4103922,254905
10,9,4117272,257176
10,9,4120425,256855
10,9,4125990,255338
10,9,4115013,256423
10,10,4452970,264502
10,10,4466829,264246
10,10,4455647,263982
10,10,4462496,263643
10,10,4470679,263420
10,10,4486975,264082
10,10,4471258,264431
10,10,4508361,264108
10,10,4466805,263961
10,10,4472541,263579
10,10,4470427,264678
10,10,4486075,262962
10,10,4455124,263625
10,10,4473593,263778
10,10,4474679,263782
10,10,4477646,263778
10,10,4473070,263561
10,10,4490246,262642
10,10,4466203,264216
10,10,4466788,263231
10,11,4814542,272882
10,11,4827662,272655
10,11,4817987,272806
10,11,4835070,273129
10,11,4815688,271999
10,11,4834567,286886
10,11,4817561,273483
10,11,4821695,272797
10,11,4845376,302228
10,11,4818303,271867
10,11,4808443,272636
10,11,4825346,272585
10,11,4816028,272765
10,11,4944402,277872
10,11,4893435,272299
10,11,4844951,271040
10,11,4839108,289527
10,11,4809335,273565
10,11,4807565,273214
10,11,4830765,272657
10,12,5173597,282831
10,12,5231007,283403
10,12,5181737,281578
10,12,5218775,281558
10,12,5208697,281902
10,12,5226032,280987
10,12,5212272,282055
10,12,5226000,283003
10,12,5194074,282261
10,12,5231523,281962
10,12,5193583,282666
10,12,5175455,281344
10,12,5200706,283785
10,12,5180533,281763
10,12,5188752,281812
10,12,5202054,282448
10,12,5168725,280671
10,12,5170955,282434
10,12,5178123,283385
10,12,5176406,283707
10,13,5540934,307231
10,13,5519200,307510
10,13,5592167,307729
10,13,5543283,307059
10,13,5533513,308265
10,13,5555420,307224
10,13,5515851,309227
10,13,5510134,305687
10,13,5521594,308244
10,13,5511258,310722
10,13,5528416,305967
10,13,5509852,307909
10,13,5538521,309842
10,13,5515873,307539
10,13,5559621,307983
10,13,5625841,321812
10,13,5554889,308758
10,13,5597139,307373
10,13,5514224,337692
10,13,5544528,307553
10,14,5882907,322687
10,14,5903575,323509
10,14,5934997,336953
10,14,5902938,323572
10,14,5956435,323260
10,14,5912390,325074
10,14,5946872,323684
10,14,5950500,321902
10,14,5922498,322442
10,14,5880560,320801
10,14,5876432,322858
10,14,5872836,321144
10,14,5882081,321651
10,14,5924842,321254
10,14,5916046,351318
10,14,5894674,322678
10,14,5880050,320531
10,14,5868775,322354
