Pallet: "elections", Extrinsic: "phragmen", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
c,v,e,extrinsic_time,storage_root_time
13,500,16,43786983,45048
13,500,16,43926621,46127
13,500,16,43915006,45632
13,500,16,43850609,45431
13,500,16,43771211,45552
13,500,16,43906073,45016
13,500,16,43803154,45219
13,500,16,43989565,46037
13,500,16,43728769,45560
13,500,16,43879665,45303
13,500,16,43877183,45537
13,500,16,43854675,44304
13,500,16,43770906,45962
13,500,16,43833445,45332
13,500,16,43946856,44870
13,500,16,43956121,45010
13,500,16,43882352,45065
13,500,16,43840631,45733
13,500,16,43841823,45258
13,500,16,43822388,44200
14,500,16,48972385,44289
14,500,16,49082433,45241
14,500,16,49052556,44991
14,500,16,49071582,44267
14,500,16,48853365,44849
14,500,16,49161070,46198
14,500,16,49032196,44921
14,500,16,49062630,45430
14,500,16,48972140,45775
14,500,16,49072532,43944
14,500,16,49026631,45290
14,500,16,49094237,46613
14,500,16,49085938,45217
14,500,16,49091500,45805
14,500,16,49014797,44790
14,500,16,49026524,44808
14,500,16,48991855,44628
14,500,16,49077830,45080
14,500,16,49013325,44337
14,500,16,49038089,45496
15,500,16,54784076,49642
15,500,16,54553091,47295
15,500,16,54482175,46338
15,500,16,54494472,46566
15,500,16,54483904,45155
15,500,16,54562884,47283
15,500,16,54441268,46619
15,500,16,54513397,47194
15,500,16,54512023,46809
15,500,16,54578225,45819
15,500,16,54510500,46859
15,500,16,54622316,46086
15,500,16,54521695,46552
15,500,16,54454117,46144
15,500,16,54491189,46826
15,500,16,54485303,46286
15,500,16,54442517,45802
15,500,16,54607622,46529
15,500,16,54573787,46030
15,500,16,54636546,47219
16,500,16,60516228,47718
16,500,16,60550418,46320
16,500,16,60470480,46912
16,500,16,60633536,47025
16,500,16,60365825,46151
16,500,16,60545160,46636
16,500,16,60410828,45581
16,500,16,60425899,45413
16,500,16,60365254,46880
16,500,16,60435200,46038
16,500,16,60416065,46455
16,500,16,60379758,46067
16,500,16,60458690,46009
16,500,16,60490672,47096
16,500,16,60400413,47218
16,500,16,60498864,46277
16,500,16,60394194,46334
16,500,16,60539187,47094
16,500,16,60517214,46999
16,500,16,60475956,47944
17,500,16,62972107,47446
17,500,16,62988888,45906
17,500,16,62880037,46510
17,500,16,63132218,47555
17,500,16,62838392,45064
17,500,16,62943287,47489
17,500,16,62830755,45664
17,500,16,63032187,47493
17,500,16,62825531,45981
17,500,16,63046562,46339
17,500,16,62858932,45427
17,500,16,63076633,46892
17,500,16,62863721,46393
17,500,16,63006515,46555
17,500,16,62912145,46629
17,500,16,62955633,46605
17,500,16,62937232,46337
17,500,16,62982175,46322
17,500,16,62813256,45022
17,500,16,63068132,46807
18,500,16,66083132,45681
18,500,16,66167809,47176
18,500,16,66066089,47667
18,500,16,66186421,46696
18,500,16,66125281,48338
18,500,16,66092180,47334
18,500,16,66100471,46432
18,500,16,66206048,46973
18,500,16,66041847,48440
18,500,16,66126572,47650
18,500,16,66070205,47405
18,500,16,66174013,48258
18,500,16,66054029,46548
18,500,16,66104954,47161
18,500,16,66173146,47346
18,500,16,66104751,46589
18,500,16,66165360,47186
18,500,16,66189081,47494
18,500,16,66075162,45580
18,500,16,66155038,47314
19,500,16,68936213,47774
19,500,16,68885579,47933
19,500,16,68842817,47600
19,500,16,68809785,48753
19,500,16,68719791,45995
19,500,16,68928967,46701
19,500,16,68781714,47153
19,500,16,68890569,46664
19,500,16,68718653,48112
19,500,16,68892886,47244
19,500,16,68648953,46128
19,500,16,68912569,48215
19,500,16,68752902,47259
19,500,16,68768500,45948
19,500,16,68721727,47702
19,500,16,68721115,45685
19,500,16,68838922,47399
19,500,16,68889712,46989
19,500,16,68789933,47450
19,500,16,68828738,45921
20,500,16,71741347,47262
20,500,16,71798474,47999
20,500,16,71536934,50095
20,500,16,71782813,46660
20,500,16,71643805,47819
20,500,16,71803061,47580
20,500,16,71599105,46029
20,500,16,71617230,46346
20,500,16,71697920,46517
20,500,16,71747524,47197
20,500,16,71740240,48453
20,500,16,71768576,47870
20,500,16,71670125,46178
20,500,16,71813842,46804
20,500,16,71536196,47270
20,500,16,71695920,48828
20,500,16,71660488,46550
20,500,16,71790142,45828
20,500,16,71692820,46405
20,500,16,71742120,47723
21,500,16,73910250,70018
21,500,16,73944035,68419
21,500,16,73776328,68167
21,500,16,73880180,68087
21,500,16,73798208,67630
21,500,16,73791558,68955
21,500,16,73790404,67922
21,500,16,73969555,67911
21,500,16,73720224,67874
21,500,16,73888823,67653
21,500,16,73676076,67711
21,500,16,73892679,67996
21,500,16,73686627,68153
21,500,16,73752952,67721
