Pallet: "elections", Extrinsic: "report_defunct_voter_correct", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
c,v,extrinsic_time,storage_root_time
16,16,235671,67133
16,16,235971,67577
16,16,236327,67942
16,16,235525,67450
16,16,235937,67318
16,16,235566,67200
16,16,235894,67547
16,16,236706,68090
17,16,237072,67549
17,16,237171,67639
17,16,238230,67258
17,16,236743,67970
17,16,237583,67634
17,16,237395,67440
17,16,237127,66698
17,16,237596,67071
17,16,237060,66841
17,16,238148,67635
17,16,237406,67674
17,16,237636,66636
17,16,241793,67461
17,16,236676,67621
17,16,237218,67014
17,16,238456,67122
17,16,238044,66940
17,16,238166,67991
17,16,236993,66668
17,16,237329,67660
18,16,239636,69081
18,16,238704,67674
18,16,241059,67661
18,16,239581,67308
18,16,239095,67639
18,16,238454,67565
18,16,239374,68010
18,16,239483,68368
18,16,239684,67739
18,16,238534,67800
18,16,239653,67388
18,16,239446,67522
18,16,238190,67322
18,16,239042,67878
18,16,239777,67806
18,16,238332,66648
18,16,238923,68802
18,16,238736,67863
18,16,238795,68760
18,16,239759,67412
19,16,244386,67828
19,16,241469,67897
19,16,240154,67815
19,16,239664,68002
19,16,239762,66880
19,16,238562,67909
19,16,241265,68134
19,16,242435,67247
19,16,240349,68710
19,16,240250,68505
19,16,240069,68740
19,16,239710,69099
19,16,239137,68576
19,16,239745,69149
19,16,239487,68845
19,16,240766,68396
19,16,239209,68048
19,16,240152,68113
19,16,240146,68338
19,16,243308,68716
20,16,241332,68759
20,16,241490,69083
20,16,242596,68881
20,16,241912,69582
20,16,244903,62858
20,16,242198,68076
20,16,241958,68607
20,16,243250,67644
20,16,242872,67412
20,16,242755,67625
20,16,243410,67784
20,16,245899,62395
20,16,242505,67229
20,16,241427,67628
20,16,241187,67941
20,16,241505,68026
20,16,245005,68218
20,16,242974,67686
20,16,241615,67062
20,16,242005,67690
21,16,244388,66323
21,16,242950,67666
21,16,243461,68149
21,16,244259,67867
21,16,243624,67644
21,16,243700,67938
21,16,245158,68213
21,16,248169,67599
21,16,244359,67656
21,16,243358,66184
21,16,245631,66292
21,16,245035,66590
21,16,244062,97834
21,16,244745,66210
21,16,244242,66207
21,16,244585,66960
21,16,244743,68358
21,16,243897,68277
21,16,243804,68434
21,16,242795,69044
22,16,243711,68228
22,16,245321,67848
22,16,247518,62348
22,16,244492,68621
22,16,246180,66286
22,16,247980,62473
22,16,244827,68047
22,16,243854,67947
22,16,246011,67295
22,16,245533,67806
22,16,248426,62626
22,16,245491,66178
22,16,245855,68992
22,16,246278,65632
22,16,245132,66611
22,16,246714,65926
22,16,246868,66170
22,16,250562,67112
22,16,246559,66811
22,16,247096,66234
23,16,249110,66651
23,16,247116,66408
23,16,248583,66609
23,16,248207,66559
23,16,248041,65885
23,16,248974,65977
