Pallet: "offences", Extrinsic: "report_offence_im_online", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
r,o,n,extrinsic_time,storage_root_time
1,100,16,78357608,10833774
1,100,16,78167001,10845413
1,100,16,78107841,10833243
1,100,16,78288155,10838883
1,100,16,78633336,10794916
1,100,16,78362488,10844762
1,100,16,78732820,10810914
1,100,16,78194410,10779507
1,100,16,78611687,10802206
1,100,16,78309450,10807828
1,100,16,78834531,10835482
1,100,16,78016321,10811929
1,100,16,78653715,10851692
1,100,16,77921629,10802357
1,100,16,78964184,10871481
1,100,16,78612423,10836353
1,100,16,78177963,10775519
1,100,16,78543957,10796887
1,100,16,78419260,10805196
1,100,16,78182382,10839380
2,100,16,79003348,10838485
2,100,16,79565148,10892207
2,100,16,79047422,10783688
2,100,16,79615118,10816750
2,100,16,79227150,10762134
2,100,16,79136293,10803927
2,100,16,78740917,10741268
2,100,16,78908307,10804424
2,100,16,78557615,10797600
2,100,16,79235652,10789891
2,100,16,78956491,10805894
2,100,16,79269371,10780606
2,100,16,79107028,10819999
2,100,16,79587103,10800458
2,100,16,79390334,10804119
2,100,16,79378022,10806491
2,100,16,79051009,10810207
2,100,16,79163063,10797746
2,100,16,78736915,10799556
2,100,16,79177872,10771548
3,100,16,80394805,10874086
3,100,16,79616122,10839955
3,100,16,79358336,10782983
3,100,16,79515254,10796440
3,100,16,79785256,10789590
3,100,16,79902355,10783774
3,100,16,79738466,10842927
3,100,16,79217161,10834230
3,100,16,79783188,10760961
3,100,16,79743073,10825274
3,100,16,79438412,10798877
3,100,16,79809782,10806363
3,100,16,79565558,10788882
3,100,16,79989299,10774825
3,100,16,79865877,10804845
3,100,16,79563658,10799947
3,100,16,79875016,10814165
3,100,16,79927941,10845442
3,100,16,79431074,10814284
3,100,16,79583379,10764736
4,100,16,80576123,10811422
4,100,16,80107777,10844362
4,100,16,80208019,10806364
4,100,16,79909404,10823049
4,100,16,79909993,10827384
4,100,16,80140218,10809610
4,100,16,80269825,10796343
4,100,16,80371045,10834459
4,100,16,80252171,10779038
4,100,16,80642531,10813592
4,100,16,80594240,10872497
4,100,16,80409661,10889635
4,100,16,81042227,10786789
4,100,16,80436185,10797642
4,100,16,80157845,10829083
4,100,16,80005347,10793918
4,100,16,80471241,10780145
4,100,16,79875553,10841579
4,100,16,80973178,10791825
4,100,16,79906909,10809983
5,100,16,81131578,10814867
5,100,16,80712860,10776406
5,100,16,81092957,10814145
5,100,16,81224138,10842729
5,100,16,81052301,10842718
5,100,16,81070298,10845251
5,100,16,80751818,10828705
5,100,16,80541546,10815598
5,100,16,80969622,10869509
5,100,16,80836243,10820444
5,100,16,81024490,10787975
5,100,16,81108654,10815516
5,100,16,80496696,10827043
5,100,16,81196191,10854941
5,100,16,80919250,10837267
5,100,16,80667454,10797857
5,100,16,80908471,10872835
5,100,16,80613414,10872207
5,100,16,80442696,10830927
5,100,16,80895149,10804551
6,100,16,81684680,10845143
6,100,16,81042012,10820382
6,100,16,81424221,10817285
6,100,16,81504770,10811002
6,100,16,81389763,10827741
6,100,16,81143713,10888813
6,100,16,81566168,10806160
6,100,16,82019151,10834316
6,100,16,81320805,10861006
6,100,16,81725698,10790552
6,100,16,81611652,10827200
6,100,16,81383858,10862826
6,100,16,81729117,10830637
6,100,16,81474901,10836432
6,100,16,81616801,10811126
6,100,16,81474496,10866773
6,100,16,81466252,10829316
6,100,16,81544869,10818952
6,100,16,81552676,10794243
6,100,16,81700495,10835692
7,100,16,81734796,10833519
7,100,16,82285772,10843538
7,100,16,82240837,10849337
7,100,16,82580183,10819724
7,100,16,82192827,10827992
7,100,16,82442360,10804980
7,100,16,82295394,10822882
7,100,16,82173330,10789113
7,100,16,81735753,10884036
7,100,16,82052501,10765860
7,100,16,82027023,10796234
7,100,16,82082066,10857236
7,100,16,81870193,10853370
7,100,16,82506277,10852298
7,100,16,82251497,10820663
7,100,16,82020041,10860983
7,100,16,81844093,10838218
7,100,16,82048316,10830528
7,100,16,82273151,10835272
7,100,16,82491539,10819398
8,100,16,82511944,10917201
8,100,16,83169784,10872474
8,100,16,83077097,10868423
8,100,16,83190618,10869468
8,100,16,82949740,10874227
8,100,16,83076812,10860327
8,100,16,82624561,10877111
8,100,16,82738669,10865667
8,100,16,82974418,10885466
8,100,16,82495385,10872033
8,100,16,82983688,10874171
8,100,16,83452040,10867967
8,100,16,83424922,10830359
8,100,16,82669297,10836057
8,100,16,83034181,10873398
8,100,16,82816442,10834759
8,100,16,82771854,10813301
8,100,16,82994375,10855932
8,100,16,82712432,10888470
8,100,16,82974416,10856907
9,100,16,83494678,10865420
9,100,16,83892373,10879777
9,100,16,83365379,10882316
9,100,16,84088403,10877068
9,100,16,84182219,10858690
9,100,16,83483547,10853030
9,100,16,84058614,10962849
9,100,16,83529071,10898311
9,100,16,84515312,10894865
9,100,16,83430052,10914298
9,100,16,83634433,10856660
9,100,16,83731479,10854214
9,100,16,84252242,10910320
9,100,16,83707212,10907634
9,100,16,83368757,10895041
9,100,16,83524348,10890251
9,100,16,84059520,10875251
9,100,16,83752134,10861516
9,100,16,83589247,10880502
9,100,16,83723560,10901029
10,100,16,85143578,10956101
10,100,16,84226403,10906587
10,100,16,84424922,10912636
10,100,16,85100525,10944000
10,100,16,84746829,10902760
10,100,16,84417401,10873915
10,100,16,85136227,10950918
10,100,16,84442395,10937735
10,100,16,84637802,10915494
10,100,16,84516734,10875010
10,100,16,84357200,10915013
10,100,16,85191932,10908253
10,100,16,84660057,10916497
10,100,16,84705141,10881262
10,100,16,84878044,10899480
10,100,16,84263657,10900106
10,100,16,84468120,10887347
10,100,16,84946229,10888374
10,100,16,84762078,10897502
10,100,16,84353371,10867237
11,100,16,85142944,10886143
11,100,16,85435440,10931894
11,100,16,85163608,10894119
11,100,16,84932003,10943805
11,100,16,84798556,10862091
11,100,16,84793549,10904794
11,100,16,85234349,10880604
11,100,16,85342811,10870083
11,100,16,85222846,10914682
11,100,16,85263496,10940903
11,100,16,85131443,10864658
11,100,16,85042902,10879543
11,100,16,85721176,10910745
11,100,16,85490861,10951337
11,100,16,85442861,10889327
11,100,16,85302331,10909526
11,100,16,84813399,10881665
11,100,16,84843058,11012399
11,100,16,85171252,10861135
11,100,16,84816806,10885447
12,100,16,86199056,10945295
12,100,16,85671791,10900183
12,100,16,85622457,10924289
12,100,16,85721328,10884254
12,100,16,86031105,10889370
12,100,16,86360973,10943686
12,100,16,85659478,10900982
12,100,16,85477389,10869961
12,100,16,85630439,10923129
12,100,16,86186461,10915815
12,100,16,86135746,10903418
12,100,16,86025649,10882636
12,100,16,85750237,10890767
12,100,16,86038911,10901205
12,100,16,85558918,10902792
12,100,16,86027882,10976356
12,100,16,86365043,10912099
12,100,16,85931260,10904792
12,100,16,85906123,10899610
12,100,16,86525088,10910073
13,100,16,86341187,10927853
13,100,16,86381036,10919499
13,100,16,86235265,10915436
13,100,16,86177035,10971385
13,100,16,86821106,10957486
13,100,16,87480915,10925477
13,100,16,87091140,10916146
13,100,16,86329733,10917906
13,100,16,86275480,10916714
13,100,16,86646208,10947488
13,100,16,87117216,10909861
13,100,16,86388412,10939463
13,100,16,86263872,10883656
13,100,16,86608639,10961440
13,100,16,86615504,10936362
13,100,16,86428597,10921540
13,100,16,86421003,10908524
13,100,16,86356720,10906834
13,100,16,86654750,10950464
13,100,16,86866680,10945685
14,100,16,86833261,10932241
14,100,16,86619898,10967905
14,100,16,87276364,10926081
14,100,16,87735587,10981796
14,100,16,87174116,10927323
14,100,16,87207746,10940375
14,100,16,87798959,10923020
14,100,16,87134291,10927884
14,100,16,87908331,10922180
14,100,16,87324304,10978396
14,100,16,87726342,10926874
14,100,16,86798584,10915418
14,100,16,87371867,10952334
14,100,16,87285422,10928726
14,100,16,88303853,10954632
14,100,16,87582081,10950706
14,100,16,87759199,10915983
14,100,16,87344423,10968057
14,100,16,87721449,10933403
14,100,16,88382075,10940745
15,100,16,87614939,10944415
15,100,16,87938939,10983329
15,100,16,88209443,10914367
15,100,16,87964987,10945437
15,100,16,88321802,10925779
15,100,16,87959347,10917738
15,100,16,87945765,10923737
15,100,16,88258321,10918781
15,100,16,88668427,10902909
15,100,16,88083250,10904725
15,100,16,88795680,10920401
15,100,16,88006152,10909120
15,100,16,87693473,10918071
15,100,16,88510598,10891978
15,100,16,88476598,10920717
15,100,16,88277542,10996473
15,100,16,88196957,10928485
15,100,16,87553632,10908897
15,100,16,87485034,10951797
15,100,16,88999460,10920361
16,100,16,89270818,10960175
16,100,16,88568896,10936835
16,100,16,88726859,10957510
16,100,16,88521553,10925340
16,100,16,88880301,10963403
16,100,16,88732636,10932814
16,100,16,88442868,10932042
16,100,16,88784820,10934726
16,100,16,88780208,10890032
16,100,16,88858941,10985256
16,100,16,89063050,10949566
16,100,16,88608316,10957521
16,100,16,88946915,10935225
16,100,16,88974113,10944789
16,100,16,89117519,10928932
16,100,16,88771989,10956512
16,100,16,89027394,10941741
16,100,16,88828661,10922115
16,100,16,89233563,10981834
16,100,16,88804483,10947260
17,100,16,89949300,10958854
17,100,16,89573397,11025033
17,100,16,88852281,10974999
17,100,16,89080034,10973185
17,100,16,89386336,10961453
17,100,16,89694953,10941412
17,100,16,89092654,10993149
17,100,16,90187830,10959509
17,100,16,89441812,11043039
17,100,16,89272577,10948230
17,100,16,89465606,11004918
17,100,16,89840828,10976746
17,100,16,89782554,11025765
17,100,16,89254718,11031476
17,100,16,88992438,10940335
17,100,16,90028570,10953985
17,100,16,89462138,10952463
17,100,16,89387075,10982660
17,100,16,89428694,11026440
17,100,16,89763802,10957027
18,100,16,94731321,10982689
18,100,16,95537415,10955611
18,100,16,95315090,10978124
18,100,16,95610486,10974631
18,100,16,95436626,10942213
18,100,16,94815836,11000974
18,100,16,95038794,10963842
18,100,16,94814049,10997871
18,100,16,95011633,11166431
18,100,16,94994905,11043890
18,100,16,94741678,10988303
18,100,16,95214889,11010924
18,100,16,95597001,10995365
18,100,16,95150791,11032211
18,100,16,95422203,10968167
18,100,16,94937631,10993539
18,100,16,94841243,10952904
18,100,16,95092224,10968761
18,100,16,94885949,10986898
18,100,16,94815483,11012976
19,100,16,96219844,10953148
19,100,16,96399196,10996446
19,100,16,96705844,11014565
19,100,16,96553581,10962611
19,100,16,96793054,11033812
19,100,16,96388452,11010428
19,100,16,95896986,10980256
19,100,16,96483472,10994679
19,100,16,96613394,10981045
19,100,16,96755277,11002834
19,100,16,96628782,10958786
19,100,16,96619364,11004872
19,100,16,96361310,11041480
19,100,16,96166869,11001666
19,100,16,96055240,11067599
19,100,16,96805948,11002062
19,100,16,96717388,10979054
19,100,16,96598133,11037451
19,100,16,96001493,11020407
19,100,16,96221743,10995618
20,100,16,96718668,10971517
20,100,16,96866172,11012832
20,100,16,96728859,10960428
20,100,16,97291532,11031437
20,100,16,96869699,11028837
20,100,16,97373096,10990132
20,100,16,96770858,11041783
20,100,16,97188168,10991822
20,100,16,97543346,10954335
20,100,16,98034311,11018237
20,100,16,96880893,10968733
20,100,16,97255667,10982688
