Pallet: "collective", Extrinsic: "execute", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
m,b,extrinsic_time,storage_root_time
1,1024,38394,24145
1,1024,27386,18743
1,1024,26692,17782
1,1024,26078,17437
1,1024,26284,17246
1,1024,26370,17124
1,1024,26226,17147
1,1024,26173,16788
1,1024,26038,17006
1,1024,28669,17385
1,1024,25959,16813
1,1024,26251,16734
1,1024,26083,16655
1,1024,26083,17071
1,1024,25697,16929
1,1024,25958,16824
1,1024,25609,16707
1,1024,26160,16983
1,1024,25854,16819
1,1024,25915,17026
2,1024,25991,16822
2,1024,26167,16986
2,1024,26017,16888
2,1024,25801,16926
2,1024,25694,16914
2,1024,26296,16952
2,1024,26152,16842
2,1024,26145,17012
2,1024,25861,16743
2,1024,25828,16724
2,1024,25903,16410
2,1024,25766,16667
2,1024,25833,16678
2,1024,25905,16643
2,1024,26255,16758
2,1024,25811,16623
2,1024,25852,16519
2,1024,26057,16880
2,1024,25757,16649
2,1024,25920,16830
3,1024,26003,16810
3,1024,25956,16896
3,1024,25835,16295
3,1024,25950,16697
3,1024,26096,16584
3,1024,26133,16629
3,1024,25758,16387
3,1024,25837,16606
3,1024,26205,16520
3,1024,25788,16673
3,1024,26048,16596
3,1024,25913,16670
3,1024,25788,16665
3,1024,25839,16637
3,1024,25724,16851
3,1024,25803,16441
3,1024,25614,16597
3,1024,25911,16539
3,1024,26089,16510
3,1024,25653,16370
4,1024,26118,16510
4,1024,26391,16813
4,1024,26090,17216
4,1024,26230,17147
4,1024,26020,16761
4,1024,26126,16874
4,1024,26056,16756
4,1024,25920,16585
4,1024,25990,16682
4,1024,29260,17086
4,1024,26288,16860
4,1024,26090,16790
4,1024,25933,16517
4,1024,25951,16685
4,1024,26248,16629
4,1024,25938,16588
4,1024,25761,16492
4,1024,25713,16666
4,1024,26057,16869
4,1024,25853,16770
5,1024,26621,17084
5,1024,26212,16597
5,1024,26452,16947
5,1024,26184,16717
5,1024,26486,16679
5,1024,26407,16706
5,1024,26416,16567
5,1024,26792,16841
5,1024,26356,16723
5,1024,26478,16558
5,1024,26578,16638
5,1024,26353,16717
5,1024,26348,16469
5,1024,26339,16870
5,1024,26242,16611
5,1024,26212,16622
5,1024,26543,16631
5,1024,26463,16732
5,1024,26305,16671
5,1024,26632,16767
6,1024,26348,17184
6,1024,26289,17146
6,1024,26931,17149
6,1024,26587,17428
6,1024,26485,16974
