Pallet: "pallet-staking", Extrinsic: "set_history_depth", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
e,extrinsic_time,storage_root_time
1,353602,282902
1,404202,252802
1,319402,246801
1,316502,222301
1,517603,268102
1,445103,201901
1,339602,222801
1,315602,221802
1,315002,212201
1,327302,243401
10,2054312,846305
10,2320414,673404
10,1944412,751304
10,2094813,633103
10,2257614,631503
10,1970212,729704
10,2034612,690204
10,2037012,624604
10,2142212,782905
10,2041812,647504
19,8317149,1170007
19,8268849,1106207
19,8501450,1059606
19,8299049,1197507
19,7925847,1031306
19,8432050,1039906
19,7759946,1052506
19,8267749,1024306
19,7963447,1148107
19,9119254,1064606
28,10338561,5073730
28,10365961,5388832
28,9904259,1424308
28,9912459,1416608
28,9504856,1470008
28,5973436,10159159
28,10192860,1411808
28,10428361,5231531
28,10178159,5535133
28,9932359,1530709
37,15369891,3693321
37,11810569,1809711
37,11730069,4574527
37,11376667,1719310
37,15920294,1998312
37,11789070,4215424
37,14819387,2009912
37,14769687,2375213
37,11666869,5182730
37,20228019,2135513
46,18591809,3717421
46,17684104,2281713
46,18169206,3284320
46,18189507,3190019
46,17698804,2664815
46,19760116,2240613
46,17909705,2105612
46,18049206,3478820
46,17140201,3507720
46,16919799,2337714
55,18523009,2835516
55,16235095,2872617
55,20289919,2763416
55,17887605,2840117
55,17196801,2717115
55,18101006,3094618
55,20374719,2808317
55,18529909,2888416
55,19591414,2824117
55,21702727,2904017
64,22572432,3082918
64,23422837,3474620
64,28775268,2858317
64,22378831,3041117
64,21108123,3309320
64,22258730,4729428
64,21461126,2970517
64,20827122,3321719
64,22785033,3419520
64,22541432,3350019
73,22953433,3844923
73,27137358,3738522
73,25796751,3384019
73,23874039,3834823
73,26219752,3667122
73,27617960,3549621
73,23253635,3657821
73,24622943,3552421
73,23086234,3612021
73,25398547,3507521
82,27098157,4247825
82,24352442,3836822
82,27852461,4171825
82,27413559,4072923
82,27520259,4201725
82,24433642,4052624
82,26067151,3945723
82,24655243,4267825
82,24412542,4172624
82,26041151,4250025
91,29228069,4478626
91,34725201,5393431
91,29628671,4563727
91,31770684,4293225
91,30643377,4442126
91,32191887,4610426
91,27598460,4482626
91,24652443,4502926
91,30552277,5070029
91,32888790,5891234
100,28668466,4555226
100,30765078,5182330
100,30394475,5184130
100,38740924,5646532
100,32755889,4979529
100,32713589,4919429
100,33408893,4491826
100,31934685,4817428
100,35293404,5268631
100,29653971,5046429
