Pallet: "pallet-identity", Extrinsic: "clear_identity", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
r,s,x,extrinsic_time,storage_root_time
50,82,100,8319280,939409
50,82,100,3594235,5029849
50,82,100,3706835,5321752
50,91,100,3655735,5357752
50,91,100,8130678,1099010
50,91,100,7921975,1075211
50,91,100,3728835,1412814
50,91,100,3424132,5340851
50,91,100,3738135,5246250
50,91,100,3532233,5366751
50,91,100,3548933,5320650
50,91,100,3927837,1565215
50,91,100,3597434,5503752
50,100,100,3765135,1051710
50,100,100,8265277,1099411
50,100,100,3669434,5534552
50,100,100,3644934,5146348
50,100,100,7493469,1120511
50,100,100,3710235,5608551
50,100,100,3507533,5413950
50,100,100,3737035,5267148
50,100,100,11853409,1103010
50,100,100,8281075,1069910
50,100,1,3579032,1116410
50,100,1,3366331,5537050
50,100,1,3295030,5072246
50,100,1,3566833,5427949
50,100,1,3633733,5108446
50,100,1,3637732,5375349
50,100,1,3410431,5501650
50,100,1,4350539,1238011
50,100,1,11228701,1240111
50,100,1,7948372,1509913
50,100,10,3690433,5413449
50,100,10,8057572,1232111
50,100,10,3651433,5483949
50,100,10,3555132,5531249
50,100,10,8664277,1046009
50,100,10,3604732,6881261
50,100,10,3419130,5178646
50,100,10,8173672,1395712
50,100,10,8008570,1340112
50,100,10,9417183,1111909
50,100,19,8593075,1231111
50,100,19,8411973,1292012
50,100,19,3583632,5231045
50,100,19,3468831,5661549
50,100,19,3563330,1224811
50,100,19,9358081,1019609
50,100,19,8810176,1314511
50,100,19,3790133,5131244
50,100,19,3452530,8542573
50,100,19,8449773,1096109
50,100,28,3274128,5792050
50,100,28,3428029,5074343
50,100,28,7896868,1137409
50,100,28,3555530,5274045
50,100,28,8295971,1127909
50,100,28,3266327,5169744
50,100,28,3114827,5130343
50,100,28,3956033,8640373
50,100,28,3606930,5340645
50,100,28,3660831,5508446
50,100,37,14844125,1179210
50,100,37,8075768,1049409
50,100,37,3088226,5358545
50,100,37,3178027,5367644
50,100,37,3586830,5213543
50,100,37,3269527,5189243
50,100,37,3583230,5409945
50,100,37,3639630,5214343
50,100,37,11653897,1737714
50,100,37,3505829,1085309
50,100,46,3105726,5034341
50,100,46,3268827,5497945
50,100,46,7103358,1028808
50,100,46,11301293,1271710
50,100,46,3691630,5248143
50,100,46,3424628,5108042
50,100,46,3580029,5547245
50,100,46,3003725,5716846
50,100,46,3611829,5451244
50,100,46,3191726,5546245
50,100,55,3582729,5453845
50,100,55,3567828,5150342
50,100,55,3417628,5370443
50,100,55,3608829,9538877
50,100,55,3614929,5115041
50,100,55,3600929,5035440
50,100,55,3663929,5471444
50,100,55,3448428,5442143
50,100,55,3480028,5442144
50,100,55,4017232,1108609
50,100,64,3656929,5395443
50,100,64,3416027,5439943
50,100,64,8245166,1169709
50,100,64,7848562,1239710
50,100,64,3516228,5494843
50,100,64,3575828,5591045
50,100,64,6110549,5405042
50,100,64,3446827,5142841
50,100,64,3789230,5558944
50,100,64,3386426,5504944
50,100,73,7858462,1183709
50,100,73,3590028,5548444
50,100,73,3809030,5489643
50,100,73,3744430,5479342
50,100,73,3652128,5216441
50,100,73,3530628,5531843
50,100,73,3711629,5305841
50,100,73,3557128,11668890
50,100,73,3624328,5848145
50,100,73,3915430,1131509
50,100,82,3761529,5406541
50,100,82,3735629,5346241
50,100,82,8045062,1148709
50,100,82,3963930,4807737
50,100,82,3353226,1019308
50,100,82,7867461,1070708
50,100,82,7919861,1260610
50,100,82,7952961,1159409
50,100,82,3598927,5257140
50,100,82,3537527,5103539
50,100,91,3238625,5516842
50,100,91,8030461,1270610
50,100,91,3521927,5425941
50,100,91,3149124,5386941
50,100,91,8186962,1214609
50,100,91,7858360,1559511
50,100,91,4252732,1082709
50,100,91,3491526,5438941
50,100,91,3595927,5403141
50,100,91,3362825,5562142
50,100,100,4171931,1145009
50,100,100,3812829,1187009
50,100,100,3489326,5343640
50,100,100,8080861,1201909
50,100,100,3771728,5501041
50,100,100,18133636,1259509
50,100,100,3420825,5517542
50,100,100,12022889,1610512
50,100,100,3623327,5366440
50,100,100,3787128,5121138
