Pallet: "claims", Extrinsic: "keccak256", Lowest values: [], Highest values: [], Steps: [50], Repeat: 50
i,extrinsic_time,storage_root_time
1400,1364000,8000
1400,1381000,8000
1400,1439000,8000
1400,1366000,9000
1400,1362000,7000
1400,1363000,8000
1400,1534000,7000
1400,1385000,7000
1400,1369000,7000
1400,1404000,6000
1400,1385000,6000
1400,1362000,7000
1400,1457000,7000
1400,1536000,7000
1400,1385000,7000
1400,1331000,7000
1400,1646000,7000
1400,1373000,6000
1400,1163000,6000
1400,1117000,5000
1400,1118000,5000
1400,1196000,6000
1400,1533000,7000
1400,1358000,7000
1400,1291000,7000
1400,1362000,6000
1400,1365000,6000
1400,1293000,7000
1400,1368000,7000
1400,1137000,7000
1400,1258000,7000
1400,1290000,6000
1600,1514000,7000
1600,1779000,9000
1600,1558000,6000
1600,1278000,6000
1600,1892000,8000
1600,1689000,7000
1600,1558000,7000
1600,1561000,6000
1600,1731000,8000
1600,1279000,6000
1600,1358000,7000
1600,1435000,8000
1600,1598000,7000
1600,1559000,7000
1600,2031000,9000
1600,1754000,7000
1600,1562000,7000
1600,1359000,6000
1600,1498000,8000
1600,1297000,6000
1600,1482000,6000
1600,1519000,7000
1600,1579000,7000
1600,1277000,7000
1600,1752000,9000
1600,1559000,7000
1600,1569000,6000
1600,1478000,7000
1600,1583000,8000
1600,1558000,6000
1600,1564000,7000
1600,1559000,7000
1600,1562000,8000
1600,1623000,7000
1600,1543000,7000
1600,1474000,7000
1600,2149000,10000
1600,1751000,7000
1600,1560000,7000
1600,1276000,8000
1600,1279000,6000
1600,1739000,6000
1600,1558000,6000
1600,1653000,7000
1600,1751000,7000
1600,1560000,8000
1600,1563000,6000
1600,1976000,8000
1600,1885000,7000
1600,1561000,7000
1800,1751000,7000
1800,1500000,6000
1800,1586000,7000
1800,1978000,6000
1800,1756000,9000
1800,1771000,7000
1800,1741000,7000
1800,1515000,6000
1800,1975000,9000
1800,1974000,8000
1800,1753000,7000
1800,1665000,9000
1800,1456000,6000
1800,1990000,7000
1800,1851000,7000
1800,1665000,7000
1800,1797000,7000
1800,1755000,7000
1800,2052000,9000
1800,2078000,7000
1800,1756000,7000
1800,1573000,6000
1800,1817000,7000
1800,1762000,8000
1800,1755000,8000
1800,1634000,7000
1800,1756000,8000
1800,1658000,6000
1800,1975000,7000
1800,1754000,6000
1800,1505000,8000
1800,1839000,7000
1800,1744000,7000
1800,1573000,7000
1800,1661000,7000
1800,1760000,7000
1800,1755000,7000
1800,1435000,6000
1800,1434000,6000
1800,1662000,9000
1800,1626000,6000
1800,1629000,9000
1800,1537000,7000
1800,1681000,7000
1800,1687000,8000
1800,1752000,7000
1800,1951000,7000
1800,1862000,7000
1800,1756000,7000
1800,1663000,7000
2000,2305000,9000
2000,1953000,9000
2000,1947000,7000
2000,2045000,7000
2000,1958000,8000
2000,1950000,8000
2000,1948000,6000
2000,1954000,8000
2000,2547000,11000
2000,1957000,7000
2000,1971000,7000
2000,1950000,7000
2000,1947000,7000
2000,1955000,8000
2000,1949000,7000
2000,1951000,7000
2000,1745000,7000
2000,2191000,8000
2000,1940000,7000
2000,1599000,8000
2000,2158000,7000
2000,1986000,7000
2000,2146000,6000
2000,2027000,8000
2000,1595000,7000
