Pallet: "system", Extrinsic: "kill_storage", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
i,extrinsic_time,storage_root_time
362,136167,572653
362,136925,572643
362,135535,574668
362,137135,574168
362,132679,577897
362,134638,574240
362,132628,577228
362,136883,574615
362,132648,577821
381,144300,605742
381,148183,609708
381,143052,606563
381,138861,610906
381,139542,607752
381,139006,611320
381,139182,608250
381,139209,608535
381,138757,609715
381,138129,608551
381,139507,608199
381,138197,607244
381,141833,608712
381,139192,609702
381,143249,605461
381,138864,606971
381,138571,606781
381,139081,610442
381,139034,608625
381,138212,608361
400,147608,628200
400,150832,627020
400,146669,628507
400,146612,661040
400,147226,628542
400,146590,627209
400,146038,628559
400,154945,628020
400,147065,630706
400,147069,629469
400,146902,626800
400,149482,623445
400,149990,626263
400,149410,625103
400,146847,632098
400,150564,624478
400,147276,631852
400,146350,631665
400,164370,643763
400,147044,631807
419,153803,666322
419,153441,665453
419,154091,665143
419,152704,665257
419,153274,664662
419,154556,665577
419,154209,664189
419,154311,663840
419,153418,664840
419,222915,666050
419,153795,664734
419,154153,664694
419,154321,668670
419,154105,666007
419,154623,667454
419,153740,666165
419,153928,667663
419,153008,666313
419,154103,662811
419,156976,664748
438,164665,691058
438,173930,690603
438,160629,696211
438,160222,694591
438,163605,694780
438,159448,695163
438,162902,697415
438,159969,695392
438,160292,699031
438,159544,694906
438,160145,697796
438,161095,728129
438,159740,696296
438,160495,698456
438,160230,696478
438,160061,695970
438,158977,705867
438,160609,697782
438,163527,694263
438,163767,690452
457,171468,708896
457,171759,712544
457,174439,706595
457,171013,707781
457,170739,707663
457,170286,707941
457,170910,709150
457,170484,709030
457,171342,710697
457,171453,708016
457,167106,716178
457,183592,709850
457,183106,708119
457,182465,708563
457,172053,710442
457,166479,710751
457,170459,705273
457,165441,714972
457,167111,714172
457,171526,714144
476,184501,740481
476,181712,736845
476,190340,733395
476,178988,735997
476,181242,732451
476,173941,739232
476,176510,733888
476,174095,741623
476,181468,740732
476,173600,738654
476,173647,739892
476,188785,734409
476,175147,740015
476,173766,740516
476,179162,735486
476,195915,746482
476,177757,733198
476,178134,734453
476,178816,736501
476,190160,737128
495,186717,758728
495,182033,765671
495,181510,761452
495,184841,760512
495,185522,757873
495,181103,763749
495,182056,764360
495,186934,755143
495,181359,762797
495,195900,758126
495,187192,764715
495,181213,765987
495,189411,758399
495,181253,765271
495,185304,759631
495,187938,762028
495,182280,767769
495,180714,764855
495,182279,765253
495,181807,765409
514,186810,779491
514,194079,803682
514,195904,782137
514,188980,781373
514,223406,777877
514,193167,775370
514,192697,774823
514,189406,784610
514,188262,780658
514,188227,782477
514,188913,782521
514,187488,778418
514,192431,775043
514,189069,785903
514,194072,807673
514,188456,779814
514,188292,781954
514,188069,783812
514,192385,777692
514,188460,782410
533,199651,815858
533,196020,816437
533,198975,811720
533,228773,819125
533,199518,810321
533,194541,815398
533,203316,817142
533,195166,819576
533,198934,816077
533,196695,817121
533,195327,818117
533,195670,815673
533,195846,812801
533,196031,815620
533,194970,814466
533,196725,818524
533,196070,816072
533,213652,813109
533,194176,815911
533,196814,816317
552,206091,855241
552,204611,854705
552,205415,848703
552,204502,850984
552,203688,853910
552,204450,853070
552,203168,852164
552,207364,851786
552,209838,855322
552,203359,851825
552,218411,855751
552,213737,853959
552,202876,852589
552,211878,852055
552,202397,853070
552,206283,852767
552,203008,852257
552,204787,848084
552,204061,850600
552,203655,884765
571,210474,871176
571,209641,874886
571,212959,870396
571,212190,873118
571,209604,873465
571,209526,869962
571,209900,868959
571,219544,872242
571,225029,869766
571,210275,872075
571,214761,862924
571,209232,870992
571,213484,864163
571,213622,866075
571,213791,864314
571,214979,865774
571,213466,862403
571,214436,864994
571,210072,870640
571,210120,871154
590,219807,891274
590,221270,890911
590,219748,889662
590,219762,891128
590,217997,929367
590,221078,891229
590,220569,893895
590,221601,890135
590,220529,897535
590,220901,889494
590,215718,899932
590,216896,894926
590,215763,897683
590,251772,923222
590,220867,893872
590,219772,892683
590,219222,892739
590,234494,891741
590,223001,890328
590,221808,889186
609,224087,913975
609,227933,904532
609,229150,906250
609,229413,900641
609,229210,901336
609,230310,903570
609,229403,905474
609,244315,934191
609,227656,900361
609,229210,902806
609,223402,909220
609,228171,911203
609,223931,910322
609,228224,903447
609,230431,903060
609,231017,903592
609,229292,910651
609,229455,906617
609,228001,904439
609,246213,906663
628,230722,996033
628,255084,986208
628,248919,997697
628,234926,995305
628,230916,990517
628,230012,991422
628,233773,986629
628,229735,994189
628,229983,998625
628,235414,986106
628,236129,986925
628,251659,985269
628,234913,982405
628,230882,993941
628,232929,995265
628,235699,990811
628,232125,993750
628,229813,992583
628,230217,993980
628,234412,985794
647,238615,1052285
647,245396,1041241
647,237785,1052333
647,244019,1047094
647,239454,1048537
647,239219,1047262
647,243257,1040115
647,244753,1042779
647,245179,1043672
647,238976,1053240
647,242828,1053319
647,239260,1055480
647,238067,1050067
647,239900,1046970
647,255925,1050526
647,239083,1048695
647,239457,1046220
647,260078,1037077
647,237428,1052288
647,239973,1051611
666,245283,1065601
666,257154,1060599
666,246036,1059271
666,244857,1058555
666,250696,1050616
666,246432,1060754
666,243955,1059681
666,252399,1048292
666,250584,1052830
666,250780,1053886
666,244077,1058646
666,246483,1059470
666,244915,1056934
666,245899,1057360
666,245280,1066046
666,262649,1063755
666,245745,1062290
666,262647,1067303
666,246921,1066764
666,251942,1067227
685,253097,1094768
685,253830,1094721
685,270873,1097478
685,252526,1095149
685,251951,1095837
685,254405,1098114
685,252305,1095399
685,253606,1098033
685,291563,1098451
685,256303,1098535
685,252532,1099406
685,270259,1101863
685,272040,1099035
685,252979,1098808
685,252553,1099262
685,252556,1096769
685,253698,1097620
685,253115,1097940
685,252150,1094907
685,254368,1094753
704,273759,1129934
704,259228,1129698
704,258836,1129014
704,276749,1121022
704,269230,1121128
704,258465,1132558
704,278334,1129229
704,259942,1161410
704,257415,1134377
704,263756,1122433
704,258108,1130284
704,259042,1133984
704,277674,1130350
704,259152,1129640
704,277151,1135964
704,285265,1124394
704,264717,1119148
704,267601,1125142
704,258594,1130739
704,277447,1130895
723,271496,1110996
723,271890,1111205
723,284438,1119529
723,272019,1113494
723,266251,1123021
723,267789,1123299
723,267862,1121768
723,266693,1124710
723,269818,1116143
723,290491,1115032
723,276421,1118312
723,271172,1116559
723,270714,1116609
723,271905,1131587
723,270739,1118948
723,271455,1113218
723,264606,1122042
723,265030,1125491
723,264940,1123282
723,266590,1124954
742,274295,1171651
742,273846,1170042
742,293409,1168842
742,273684,1168323
742,289324,1168145
742,293575,1172003
742,273154,1170602
742,280513,1160575
742,277495,1158815
742,274240,1174328
742,280044,1159587
742,279708,1161720
742,279265,1159129
742,280784,1160078
742,279619,1159680
742,279399,1163367
742,293928,1167859
742,273429,1170723
742,273338,1172169
742,294103,1172511
761,287146,1186266
761,288206,1187037
761,287212,1185549
761,282071,1197310
761,280383,1196824
761,281944,1197470
761,280946,1193941
761,281198,1191420
761,280672,1196879
761,280412,1197173
761,281347,1196247
761,301497,1195242
761,280940,1197226
761,281278,1195442
761,283279,1201367
761,280028,1195786
761,299936,1196071
761,281358,1197058
761,280291,1199565
761,281791,1202091
780,288962,1213707
780,310870,1239811
780,289557,1243262
780,290115,1213062
780,288710,1210817
780,288910,1212181
780,290241,1214594
780,291880,1211728
780,291241,1212130
780,293411,1210301
780,309172,1209623
780,310677,1213188
780,288897,1212410
780,290384,1212392
780,289528,1213751
780,290076,1212861
780,288611,1211436
780,287991,1211663
780,295904,1200085
780,310452,1210170
799,301452,1218338
799,302118,1214292
799,323644,1214426
799,303816,1218683
799,302023,1217366
799,303143,1251344
799,299220,1247205
799,303009,1217112
799,301194,1219753
799,317202,1233766
799,304803,1215621
799,307852,1217745
799,302469,1213732
799,296224,1229438
799,295778,1226626
799,321892,1213127
799,295043,1224212
799,295205,1226462
799,295525,1224999
799,296112,1227832
818,302707,1252053
818,302148,1254463
818,301869,1250893
818,324708,1259432
818,303161,1251206
818,325318,1256240
818,303288,1254394
818,312193,1253079
818,302832,1253527
818,325453,1254630
818,301137,1254586
818,302122,1250779
818,303605,1250627
818,311055,1242384
818,309552,1239127
818,302393,1249679
818,302151,1256087
818,322511,1256111
818,301001,1256215
818,302664,1253857
837,310699,1287282
837,309226,1285748
837,310015,1284225
837,310031,1287154
837,308057,1286740
837,311687,1285200
837,309229,1286666
837,308468,1286128
837,310683,1288439
837,330427,1285764
837,313003,1285564
837,309887,1284681
837,308288,1287048
837,308340,1285153
837,308552,1290829
837,309656,1286984
837,309455,1286780
837,309846,1286350
837,310014,1288404
837,332597,1288184
856,326634,1301214
856,316178,1319701
856,340187,1317136
856,317462,1314235
856,323459,1302528
856,318855,1316318
856,339554,1319335
856,340132,1318146
856,342687,1320103
856,316834,1319344
856,316052,1317906
856,320966,1305551
856,323765,1303480
856,318522,1320756
856,324165,1304804
856,316933,1318770
856,325060,1303466
856,321496,1304935
856,323714,1304034
856,325217,1303948
875,333120,1320101
875,332839,1319351
875,323601,1337036
875,330272,1320146
875,329091,1321810
875,347525,1331589
875,324484,1335520
875,322473,1327145
875,324546,1332495
875,323977,1331363
875,356629,1320995
875,333998,1315877
875,331142,1320681
875,332449,1323107
875,330676,1323382
875,332303,1321497
875,328820,1319550
875,354274,1316233
875,354961,1319889
875,329928,1314920
894,361005,1342251
894,341235,1348968
894,361735,1352183
894,341242,1345393
894,346957,1343455
894,340368,1344526
894,333469,1357172
894,338460,1349189
894,339747,1346602
894,356902,1358819
894,357853,1353591
894,362017,1343957
894,336861,1344446
894,339770,1382646
894,337872,1356601
894,339760,1352013
894,340543,1344919
894,334610,1366078
894,340423,1346171
894,333039,1361415
913,373268,1374721
913,344242,1372609
913,339296,1392343
913,346552,1371692
913,346243,1379877
913,370573,1405331
913,339076,1389113
913,346810,1370945
913,354264,1372532
913,339551,1387154
913,340327,1391169
913,339481,1386063
913,338169,1384285
913,364204,1388016
913,340524,1393722
913,346156,1384990
913,345206,1379499
913,340098,1384901
913,346768,1376238
913,340665,1385880
932,354811,1401133
932,364815,1411586
932,346594,1411599
932,348553,1411847
932,347582,1410543
932,348382,1408557
932,347486,1412755
932,349790,1416237
932,347809,1422430
932,373070,1414384
932,347952,1413049
932,348930,1410577
932,353373,1395261
932,363636,1401180
932,346726,1418260
932,373462,1411401
932,353215,1397126
932,353537,1400591
932,354374,1403941
932,371923,1395958
951,360013,1434956
951,361781,1429044
951,353277,1446420
951,367321,1434873
951,360850,1431480
951,352471,1441506
951,352342,1451296
951,378938,1441590
951,377688,1448980
951,354367,1442907
951,353431,1451161
951,352177,1457697
951,353586,1449831
951,379004,1449146
951,352692,1448383
951,352591,1447968
951,353218,1445865
951,352605,1446956
951,360182,1436296
951,363089,1438201
970,360653,1469355
970,361156,1467502
970,367641,1482999
970,426529,1450817
970,367817,1449322
970,367934,1449206
970,359174,1470239
970,389608,1466387
970,360050,1466961
970,360946,1468967
970,387181,1468328
970,360910,1465906
970,405430,1451787
970,361491,1470920
970,361023,1470100
970,387252,1474418
970,360824,1471632
970,388058,1520167
970,381409,1490237
970,396151,1500489
989,404093,1514408
989,379508,1519667
989,376981,1514299
989,377047,1513801
989,370282,1513912
989,369739,1480482
989,368731,1478149
989,370714,1475663
989,390438,1475018
989,376166,1479034
989,369659,1472423
989,368557,1509270
989,399830,1474915
989,369309,1475238
989,367742,1480580
989,368798,1482664
989,370332,1481103
989,370203,1480096
989,397348,1483241
989,383893,1476443

Median Slopes Analysis
========

Model:
Time ~=        0
    + i    0.375
              µs

Min Squares Analysis
========

Data points distribution:
    i   mean µs  sigma µs       %
    1     1.234     0.011    0.8%
   20     7.553     0.044    0.5%
   39     14.22     0.072    0.5%
   58     20.75     0.035    0.1%
   77      27.6     0.078    0.2%
   96     34.63     0.151    0.4%
  115     42.11      0.57    1.3%
  134     48.65     0.373    0.7%
  153     55.03     0.181    0.3%
  172     62.45     0.097    0.1%
  191     69.36     0.144    0.2%
  210     75.86     0.156    0.2%
  229     82.89     0.131    0.1%
  248     89.64     0.207    0.2%
  267     96.99     0.153    0.1%
  286     104.3     0.193    0.1%
  305       112     0.965    0.8%
  324     118.1     0.214    0.1%
  343     126.1     0.101    0.0%
  362     135.6     0.475    0.3%
  381     139.1     0.221    0.1%
  400     147.5     0.948    0.6%
  419       154     0.184    0.1%
  438     160.6     0.798    0.4%
  457     171.1     0.435    0.2%
  476     178.8     2.043    1.1%
  495     183.4      1.83    0.9%
  514     189.9     1.729    0.9%
  533     196.7     1.149    0.5%
  552     204.7     0.869    0.4%
  571       212     1.538    0.7%
  590     220.4     0.574    0.2%
  609     228.9     0.547    0.2%
  628     233.1     1.745    0.7%
  647     240.6     1.822    0.7%
  666     247.4     2.137    0.8%
  685     253.4     0.635    0.2%
  704     265.3     6.071    2.2%
  723     269.9     1.754    0.6%
  742     278.5     2.293    0.8%
  761     281.6     0.666    0.2%
  780     290.5     1.245    0.4%
  799     301.4     2.122    0.7%
  818     304.3     3.026    0.9%
  837     309.8     0.415    0.1%
  856     322.5     2.305    0.7%
  875       331     1.477    0.4%
  894     340.8     2.176    0.6%
  913     343.6     2.761    0.8%
  932     351.2     2.644    0.7%
  951     356.3     3.613    1.0%
  970     370.3     10.24    2.7%
  989       373     3.659    0.9%

Quality and confidence:
param     error
i             0

Model:
Time ~=        0
    + i    0.378
              µs

