Pallet: "timestamp", Extrinsic: "on_finalize", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
t,extrinsic_time,storage_root_time
20,4928,8647
20,4887,8586
20,4806,8632
20,4954,8610
20,4967,8578
20,4903,8649
20,4822,8730
20,4982,8703
20,4863,8741
21,5120,8731
21,5059,8661
21,4882,8788
21,5009,8554
21,4861,8651
21,4972,8678
21,4984,8737
21,4905,8732
21,5037,8694
21,4928,8538
21,4882,8654
21,4924,8695
21,4941,8617
21,4943,8697
21,4893,8507
21,4837,8591
21,4968,8729
21,4939,8722
21,4919,8667
21,4869,8628
22,4870,8740
22,4894,8802
22,4936,8567
22,4925,8608
22,4916,8753
22,4874,8610
22,4942,8691
22,4781,8732
22,4887,8675
22,4793,8540
22,4868,8564
22,4999,8624
22,4962,8833
22,4927,8586
22,4874,8505
22,4793,8714
22,4849,8576
22,4928,8632
22,4895,8612
22,4872,8769
23,4975,8975
23,4983,8647
23,5011,8669
23,4969,8606
23,5026,8676
23,4976,8623
23,5017,11133
23,4977,8774
23,5029,8776
23,4901,8642
23,4956,8574
23,4788,8712
23,4799,8592
23,4826,8610
23,4796,8562
23,4866,8548
23,4805,8664
23,4955,9100
23,4989,8547
23,4875,8693
24,4990,8539
24,4895,8565
24,4882,8572
24,4997,8643
24,4937,8640
24,4910,8584
24,4941,8601
24,5002,8604
24,4883,8523
24,4881,8605
24,4953,8630
24,4893,8632
24,4987,8662
24,4882,8777
24,4927,8678
24,4847,8685
24,4807,8649
24,4805,8617
24,4886,8687
24,4898,8681
25,4964,8702
25,5090,8763
25,5048,8725
25,4971,8750
25,4988,8753
25,5037,8713
25,4912,8605
25,4923,8624
25,4927,8641
25,4948,8733
25,4969,8621
25,4947,8724
25,5005,8694
25,4897,8551
25,4881,8843
25,4919,8568
25,5022,8708
25,4996,8648
25,5002,8674
25,4885,8640
26,5063,8735
26,5062,8548
26,4993,8672
26,5005,8651
26,4915,8582
26,4799,8677
26,4929,8553
26,4945,8644
26,4915,8754
26,4958,8674
26,4946,8666
26,4956,8719
26,4942,8619
26,6230,8870
26,5050,8593
26,5015,8851
26,5078,8661
26,4927,8688
26,4913,8644
26,4916,8703
27,4983,8756
27,4981,8686
27,4957,8557
27,5100,8769
27,5107,8542
27,4944,8547
27,5002,8654
27,4952,8579
27,7156,9172
27,4980,8722
27,5002,8518
27,4950,8717
27,4980,8732
27,5099,8769
27,4915,8658
27,5113,8660
27,5013,8730
27,5114,8676
27,5054,8704
27,4955,8613
28,4983,8531
28,4929,8487
28,4894,8515
28,5027,8549
28,4904,8638
28,4855,8617
28,4883,8642
28,4905,8594
28,4835,8621
28,4814,8533
28,4844,8615
28,4953,8553
28,4821,8597
28,4883,8561
28,4946,8504
28,4852,8681
28,4902,8681
28,4961,8616
28,4875,8535
28,4897,8569
29,4934,8536
29,4821,8536
29,4911,8741
29,4966,8662
29,4823,8608
29,4924,8607
29,4930,8691
29,4900,8589
29,4972,8581
29,4904,8685
29,4959,8550
29,4860,8566
29,4944,8576
29,4941,8617
29,6424,8896
29,4953,8653
29,4865,8636
29,4832,8574
29,4987,8617
29,4905,8547
30,4985,8946
30,4996,8640
30,4896,8791
30,4911,8714
30,4932,8822
30,4812,8649
30,4920,8707
30,4916,8675
30,4804,8755
30,4901,8697
30,4875,8627
30,4842,8583
30,4993,8627
30,4884,8688
30,4920,8808
30,4875,8742
30,4946,8725
30,4878,8718
30,4869,8649
30,4919,8777
31,5054,8805
31,5010,8739
31,4927,8610
31,4956,8549
31,4773,8713
31,4951,8756
31,4842,8562
31,4887,8714
31,4851,8718
31,4963,8793
31,4911,8829
31,5179,21375
31,5026,8739
31,4935,8663
31,5002,8600
31,4921,8784
31,4946,8562
31,4913,8707
31,4905,8726
31,4835,8720
32,4880,8750
32,4871,8809
32,4914,8638
32,4902,8604
32,4904,8735
32,4928,8574
32,4851,8605
32,4948,8563
32,4848,8543
32,4884,8574
32,4977,8711
32,4883,8679
32,4897,8592
32,4941,8568
32,4859,8696
32,4939,8602
32,4836,8590
32,4931,8622
32,4865,8589
32,4929,8563
33,4997,8827
33,4969,8580
33,4996,8743
33,5016,8631
33,4987,8570
33,4920,8640
33,4906,8675
33,4928,8701
33,4929,8669
33,4948,8660
33,4965,8673
33,4924,8590
33,4877,8479
33,4891,8546
33,5044,8649
33,4912,8721
33,4928,8546
33,4905,9096
33,4963,8755
33,4981,8574
34,5020,8791
34,5002,8662
34,5037,8558
34,4934,8510
34,5005,8649
34,4985,8553
34,4937,8613
34,4936,8719
34,4892,8513
34,5030,8596
34,4965,8577
34,5060,8607
34,5000,8625
34,4889,8617
34,4918,8558
34,4859,8636
34,4926,8572
34,4962,8693
34,4927,8794
34,4946,8639
35,4979,8799
35,4946,8769
35,4846,8540
35,4939,8718
35,4792,8540
35,4836,8777
35,4838,8612
35,4868,8511
35,4759,8599
35,4798,8592
35,4755,8584
35,4911,8696
35,4845,8508
35,5227,8770
35,4804,8626
35,4862,8640
35,4906,8483
35,4942,8594
35,4800,8523
35,4879,8563
36,5070,8667
36,4981,8700
36,4880,8834
36,4982,8624
36,4949,8820
36,4924,8627
36,4881,8759
36,4919,8727
36,4946,8732
36,4821,8667
36,4949,8778
36,4942,8756
36,4857,8694
36,4816,8746
36,4985,8749
36,4912,8668
36,4983,8826
36,4924,8642
36,4860,8654
36,4875,8646
37,4895,8665
37,4938,8630
37,4862,8619
37,4928,8580
37,4859,8598
37,4862,8590
37,4882,8742
37,4931,8646
37,4996,8749
37,4892,8714
37,4986,8710
37,4887,8746
37,4937,8668
37,5004,8699
37,4909,8817
37,4979,8876
37,4912,8579
37,4857,8727
37,5012,8638
37,4866,8683
38,5106,8771
38,4938,8598
38,4938,8745
38,4902,8693
38,4861,8769
38,4914,8625
38,4863,8640
38,4809,8703
38,4809,8701
38,4921,8638
38,4954,8745
38,4938,8847
38,4984,8623
38,4930,8675
38,4822,8680
38,4873,8660
38,4830,8666
38,4944,8648
38,4888,8550
38,4941,8616
39,4945,8754
39,4982,8685
39,4878,8775
39,4931,8765
39,4881,8711
39,4975,8886
39,4962,8796
39,4875,8797
39,4903,8657
39,4868,8781
39,4901,8630
39,4924,8620
39,4897,8749
39,4927,8739
39,4865,8496
39,4959,11106
39,4983,8826
39,4909,8695
39,4905,8770
39,5044,8568
40,5060,8778
40,5011,8684
40,5033,8671
40,4935,8679
40,5030,8712
40,5080,8568
40,5051,8567
40,4936,8678
40,4978,8669
40,5071,8704
40,4954,8585
40,4945,8805
40,4921,8654
40,4980,8644
40,4965,8640
40,4982,8656
40,5023,8506
40,5032,8591
40,4975,8592
40,4953,8620
41,5056,8652
41,5021,8683
41,4868,8765
41,4864,8675
41,4832,8604
41,4853,8762
41,4924,8632
41,4886,8776
41,4836,8789
41,4902,8775
41,4820,8801
41,4900,8647
41,4875,8726
41,4879,8727
41,4905,8583
41,4822,8607
41,4866,8571
41,4943,8627
41,4894,8535
41,4902,8705
42,5158,8845
42,4996,8790
42,5026,8652
42,4928,8646
42,4992,8718
42,5014,8831
42,4949,8647
42,4906,8713
42,4956,8598
42,4939,8714
42,6552,8913
42,4905,8599
42,4879,8572
42,5005,8706
42,4837,8639
42,4964,8716
42,4999,8588
42,4983,8791
42,4897,8661
42,4988,8628
43,4834,8767
43,4930,8732
43,4915,8651
43,4898,8714
43,4922,8626
43,4915,8733
43,4854,8652
43,4968,8745
43,4935,8839
43,4956,8652
43,4898,8707
43,4896,8604
43,4856,8677
43,4926,8568
43,4819,8637
43,4891,8627
43,4827,8686
43,4885,9079
43,5284,8879
43,4861,8714
44,5105,8810
44,4953,8745
44,4944,8763
44,4992,8689
44,4913,8673
44,4857,8742
44,4987,8744
44,4845,8645
44,4903,8664
44,4870,8657
44,4911,8723
44,5036,8722
44,4867,8630
44,4866,8617
44,5024,8624
44,4917,8778
44,4919,8724
44,4826,8792
44,4869,8723
44,4923,8620
45,4971,8618
45,4895,8719
45,4863,8666
45,4732,8648
45,4790,8782
45,4890,8587
45,4925,8722
45,4871,8610
45,4901,8620
45,4836,8750
45,4908,8587
45,4845,8680
45,4840,8623
45,4845,8569
45,4837,8636
45,4784,8645
45,4856,8573
45,4860,8681
45,4796,8635
45,4869,8568
46,4965,8703
46,4999,8639
46,4926,8778
46,4991,8646
46,4928,8705
46,4895,8719
46,4851,8797
46,4858,8676
46,4863,8613
46,4975,8748
46,4947,8659
46,4989,8766
46,4865,8589
46,4935,8676
46,4922,8689
46,4901,8651
46,4869,8594
46,4856,8727
46,4868,8649
46,4908,8720
47,4945,8722
47,5015,8624
47,4944,8722
47,4976,8605
47,4857,8757
47,4905,8558
47,4889,8591
47,4863,8720
47,4843,8630
47,4863,8625
47,4849,8705
47,4870,8635
47,4892,8680
47,4945,8601
47,4881,8687
47,4896,8642
47,5020,8734
47,4860,8725
47,4813,8750
47,4899,8665
48,4970,8633
48,4949,8941
48,4864,8689
48,4872,8811
48,4848,8833
48,4910,8619
48,4816,8614
48,4978,8521
48,4874,8722
48,4852,8695
48,5032,8700
48,4783,8579
48,4796,8695
48,4869,8624
48,4832,8751
48,4814,8576
48,4886,8644
48,4905,8690
48,5015,8738
48,4891,8603
49,5192,8897
49,4985,8825
49,4923,8875
49,4987,8695
49,4892,8765
49,4918,8880
49,5008,8557
49,4873,8707
49,4971,8718
49,4909,8816
49,4934,8784
49,4922,8613
49,4905,8642
49,4914,8825
49,4880,8808
49,4915,8777
49,4813,8685
49,4799,8693
49,4858,8533
49,4866,8797
50,5004,8751
50,4982,8654
50,4886,8650
50,4934,8787
50,4818,8819
50,5072,8536
50,4816,8577
50,4955,8839
50,4836,8711
50,4911,8721
50,4909,8731
50,4853,8673
50,4978,8789
50,4981,8627
50,4962,8674
50,4894,8757
50,4931,8723
50,4876,8709
50,4777,8740
50,4847,8700
51,4858,8725
51,4892,8563
51,4881,8735
51,4792,8694
51,4906,8529
51,4813,8719
51,4859,8737
51,4822,8648
51,4836,8652
51,4804,8495
51,4913,8543
51,4848,8636
51,4867,8462
51,4846,8613
51,4852,8582
51,4881,8563
51,4938,8477
51,4877,8672
51,4935,8644
51,4842,8602
52,5072,8633
52,4988,8792
52,4848,8661
52,5155,8959
52,4733,8743
52,6174,8860
52,4961,8684
52,4934,8521
52,4789,8640
52,4816,8650
52,4828,8707
52,4906,8681
52,4828,8622
52,4866,8607
52,4866,8566
52,4829,8686
52,4895,8644
52,4923,8551
52,4892,8624
52,4931,8644
53,4857,8641
53,4933,8749
53,4856,8722
53,4819,8703
53,4838,8620
53,4879,8789
53,5027,8841
53,4889,8727
53,4900,8637
53,4887,8686
53,4927,8691
53,4762,8636
53,4919,8612
53,4798,8811
53,4863,8623
53,4911,8702
53,4911,8659
53,4825,9131
53,4888,8584
53,4912,8768
54,4994,8736
54,4972,8784
54,4917,8739
54,4944,8686
54,4809,8673
54,4829,8790
54,4876,8643
54,4823,8740
54,4888,8869
54,4907,8690
54,4948,8728
54,4869,8666
54,4825,8631
54,4959,8669
54,4870,8550
54,4924,8830
54,4785,8591
54,4792,8690
54,4849,8664
54,4799,8710
55,4928,8697
55,4801,8676
55,4910,8643
55,4950,8574
55,4901,8796
55,8304,8992
55,5037,8742
55,4810,8813
55,4878,8597
55,4822,8698
55,4878,8496
55,4775,8538
55,4884,8756
55,4854,8600
55,4916,8670
55,4842,8731
55,4942,8820
55,4858,8796
55,4938,8668
55,4872,8538
56,4990,8740
56,4964,8691
56,4720,8565
56,4789,8605
56,4844,11113
56,4911,8763
56,4757,8770
56,4870,8627
56,4894,8751
56,4861,8665
56,4891,8638
56,4826,8664
56,4761,8642
56,4848,8624
56,4884,8623
56,4906,8648
56,4905,8576
56,4813,8813
56,4850,8628
56,4739,8785
57,5030,8745
57,4973,8784
57,4945,8741
57,4979,8672
57,4879,8764
57,5038,8718
57,4839,8557
57,4885,8602
57,4941,8633
57,5001,8833
57,4985,8818
57,5035,8577
57,4941,8773
57,4842,8792
57,4862,8598
57,4885,8644
57,4954,8589
57,4997,8657
57,4916,8665
57,4976,8552
58,4966,8771
58,4961,8798
58,5104,8609
58,4916,8772
58,4944,8664
58,4891,8671
58,4918,8715
58,4901,8581
58,4815,8686
58,4947,8645
58,4878,8611
58,4908,8672
58,4942,8586
58,4902,8688
58,4962,8734
58,4933,8572
58,4910,8613
58,4820,8624
58,4865,8801
58,4784,8641
59,4992,8791
59,4878,8724
59,4949,8837
59,4920,8752
59,4830,8671
59,4854,8796
59,4902,8545
59,4901,8727
59,4869,8677
59,4809,8751
59,4922,8559
59,4991,8803
59,4886,8606
59,4859,8696
59,4901,8715
59,4932,8731
59,4901,8693
59,4883,8955
59,4954,8686
59,4955,8747
60,4943,8629
60,4846,8883
60,4964,8621
60,4868,8712
