Pallet: "treasury", Extrinsic: "close_tip", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
t,extrinsic_time,storage_root_time
17,102132,75973
17,102969,77871
17,101703,76679
17,102006,77376
17,101858,76364
17,104621,75962
17,103308,77280
17,101346,75709
17,101990,75785
17,102991,77185
17,102808,76044
17,102323,78213
17,101640,75729
17,101943,76180
17,102948,76780
17,102120,75677
17,101700,76176
18,105322,72548
18,102407,70992
18,102977,72447
18,103064,71325
18,102689,72948
18,102072,71777
18,101931,70944
18,102643,72727
18,102268,71411
18,103162,72740
18,102906,71069
18,103107,72480
18,101932,70888
18,101657,71410
18,102179,72217
18,102634,71191
18,103674,73220
18,101509,71432
18,102740,72190
18,101906,72195
19,105312,72678
19,104603,74078
19,104310,72517
19,104635,73546
19,103786,72147
19,105413,73827
19,103700,72184
19,104976,73974
19,103861,72585
19,105250,73990
19,103457,72058
19,105076,74166
19,104308,72437
19,106169,74793
19,103511,72705
19,105447,73666
19,104295,72825
19,104189,73244
19,103595,73705
19,104793,72374
20,105312,72447
20,102968,71931
20,102914,72003
20,103397,73504
20,102172,70861
20,103901,72728
20,102866,70888
20,103968,72633
20,102078,70962
20,104030,71843
20,101957,71239
20,101959,72339
20,101987,71167
20,103071,72215
20,103135,71152
20,102578,72705
20,102460,72004
20,102427,72236
20,103166,72880
20,103966,71643
21,108013,70778
21,103566,69090
21,106482,70503
21,104159,68698
21,104455,69453
21,107829,70560
21,103999,68500
21,105026,69806
21,104390,68079
21,104739,70015
21,105267,70450
21,104676,68197
21,106172,69820
21,105066,68600
21,104691,69380
21,104783,69365
21,104114,68350
21,104939,69908
21,103990,69095
21,104708,69930
22,109870,75983
22,105276,74920
22,106026,76484
22,104322,74445
22,104755,75857
22,105714,76432
22,104558,74542
22,104791,75967
22,106526,75859
22,105252,74596
22,105153,75661
22,105931,76368
22,105407,74389
22,106122,76077
22,106198,76294
22,105229,74613
22,105636,75766
22,105341,74962
22,105052,74821
22,105858,76294
23,107111,75818
23,104872,76092
23,105284,75700
23,106632,76817
23,104906,74736
23,105417,75827
23,107575,77073
23,108183,75422
23,105075,75805
23,105979,76726
23,105208,75703
23,104698,76161
23,105523,76345
23,105858,76348
23,105386,74619
23,104621,75716
23,106999,76637
23,105503,74963
23,104687,76113
23,106519,76032
24,108551,76900
24,104719,74856
24,104407,75323
24,105367,76367
24,105441,76646
24,104509,74767
24,103746,76007
24,105456,75566
24,105640,76441
24,103834,74646
24,104851,75963
24,104861,75523
24,108608,76722
24,104342,75135
24,104523,75536
24,105419,76094
24,106792,76359
24,104044,74804
24,104362,76336
24,104888,76123
25,109206,77222
25,106189,75790
25,105661,75395
25,105822,75784
25,105531,75926
25,106217,76798
25,105760,77039
25,105101,75232
25,105163,75851
25,105440,75977
25,106457,76208
25,106426,76610
25,105410,75222
25,104913,76166
25,106090,76097
25,105966,76957
25,106516,76430
25,104963,74965
25,104998,75652
25,106104,76313
26,109664,78177
26,108675,79227
26,108621,78654
26,106685,78019
26,106727,76481
26,107374,77571
26,106744,78006
26,110227,78636
26,108334,78653
26,107963,78311
26,108071,79391
26,106656,77811
26,106503,78032
26,107023,77595
26,106506,78181
26,107154,77722
26,108195,78209
26,108941,78848
26,107652,78580
26,105751,76682
27,110450,76666
27,106905,76384
27,110316,76239
27,107745,75798
27,106832,76444
27,107358,76738
27,107495,76558
27,107302,76654
27,107969,77262
27,108116,76820
27,107385,76611
27,106605,75570
27,106919,76454
27,106629,76426
27,106660,76178
27,107377,76542
27,106792,75830
27,106970,76273
27,107298,76425
27,107248,77414
28,109825,77284
28,108833,77194
28,108107,76714
28,107672,77315
28,107940,76924
28,108069,77586
28,107144,77384
28,107862,76358
28,106933,76394
28,107013,75818
28,106761,79424
28,106718,77355
28,106046,76490
28,106289,76396
28,106687,76147
28,107340,76569
28,106710,76719
28,107083,76024
28,107110,76237
28,106590,76121
29,110402,72760
29,106971,72734
29,106619,72358
29,106760,73065
29,107044,73702
29,107930,73602
29,107112,73362
29,106464,73726
29,107428,73424
29,107003,73599
29,107323,73391
29,106940,73600
29,106415,73518
29,107088,73001
29,106638,73214
29,107206,73791
29,107213,73305
29,107428,73874
29,107620,73338
29,108591,74474
30,112108,74885
30,138502,74681
30,108636,73719
30,108979,77454
30,108177,74158
30,108096,73914
30,108221,73680
30,107387,73796
30,107718,73149
30,107766,73441
30,107778,74017
30,108703,73710
30,108105,73478
30,107869,73716
30,108713,74240
30,109561,74107
30,109372,73973
30,109600,74054
30,108599,73680
30,107715,73481
31,110513,75438
31,108266,74963
31,108490,75672
31,108821,75382
31,108697,76289
31,108849,76207
31,109642,75471
31,108272,75519
31,108241,74948
31,107802,74689
31,108309,75606
31,108205,75397
31,110382,75633
31,109309,75407
31,109464,74909
31,107543,75459
31,108650,74591
31,107575,75173
31,110896,75065
31,108861,75199
32,111850,75455
32,109597,75736
32,109987,75245
32,108296,75339
32,108225,74791
32,110334,76057
32,109543,75149
32,109644,75382
32,109810,74980
32,108761,75169
32,109551,78065
32,110606,75124
32,110472,75010
32,110005,74626
32,109188,74409
32,108695,74653
32,109798,75603
32,109434,75518
32,109151,75517
32,109110,74543
33,110986,73679
33,108754,73733
33,108957,73399
33,109285,73638
33,108997,73155
33,109483,73592
33,108844,73293
33,108313,73387
33,108603,73171
33,109511,74324
33,109163,73381
33,108604,73275
