Pallet: "treasury", Extrinsic: "create_sub_bounty", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
u,r,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
0,16384,112307,3149,4,14,6,2
0,16384,100498,2428,4,14,6,2
0,16384,99368,2394,4,14,6,2
0,16384,99370,2432,4,14,6,2
0,16384,99141,2427,4,14,6,2
0,16384,98458,2399,4,14,6,2
0,16384,99326,2458,4,14,6,2
0,16384,99399,2427,4,14,6,2
0,16384,101866,2526,4,14,6,2
0,16384,99450,2402,4,14,6,2
0,16384,99029,2362,4,14,6,2
0,16384,99421,2487,4,14,6,2
0,16384,98869,2526,4,14,6,2
0,16384,98933,2460,4,14,6,2
0,16384,99255,2398,4,14,6,2
0,16384,98705,2435,4,14,6,2
0,16384,99365,2432,4,14,6,2
0,16384,99924,2402,4,14,6,2
0,16384,99686,2385,4,14,6,2
0,16384,99465,2480,4,14,6,2
20,16384,99229,2485,4,14,6,2
20,16384,99389,2456,4,14,6,2
20,16384,99946,2381,4,14,6,2
20,16384,100381,2408,4,14,6,2
20,16384,99626,2483,4,14,6,2
20,16384,99168,2347,4,14,6,2
20,16384,99535,2416,4,14,6,2
20,16384,99510,2429,4,14,6,2
20,16384,99842,2505,4,14,6,2
20,16384,98843,2409,4,14,6,2
20,16384,99192,2281,4,14,6,2
20,16384,99247,2349,4,14,6,2
20,16384,99884,2412,4,14,6,2
20,16384,102701,2431,4,14,6,2
20,16384,100043,2348,4,14,6,2
20,16384,99628,2350,4,14,6,2
20,16384,99543,2414,4,14,6,2
20,16384,99587,2392,4,14,6,2
20,16384,98866,2402,4,14,6,2
20,16384,99687,2350,4,14,6,2
40,16384,99840,2291,4,14,6,2
40,16384,99035,4851,4,14,6,2
40,16384,99387,2365,4,14,6,2
40,16384,98918,2312,4,14,6,2
40,16384,99855,2245,4,14,6,2
40,16384,99882,2305,4,14,6,2
40,16384,99679,2359,4,14,6,2
40,16384,99612,2393,4,14,6,2
40,16384,98795,2326,4,14,6,2
40,16384,99374,2351,4,14,6,2
40,16384,99332,2340,4,14,6,2
40,16384,99273,2292,4,14,6,2
40,16384,99482,2325,4,14,6,2
40,16384,99808,2400,4,14,6,2
40,16384,99242,2346,4,14,6,2
40,16384,99791,2448,4,14,6,2
40,16384,99616,2333,4,14,6,2
40,16384,100096,2318,4,14,6,2
40,16384,100192,2419,4,14,6,2
40,16384,99168,2398,4,14,6,2
60,16384,99147,2340,4,14,6,2
60,16384,99214,2359,4,14,6,2
60,16384,98923,2372,4,14,6,2
60,16384,99584,2369,4,14,6,2
60,16384,99175,2384,4,14,6,2
60,16384,100283,2336,4,14,6,2
60,16384,101886,2345,4,14,6,2
60,16384,99435,2399,4,14,6,2
60,16384,99792,2374,4,14,6,2
60,16384,99110,2345,4,14,6,2
60,16384,99384,2366,4,14,6,2
60,16384,99027,2391,4,14,6,2
60,16384,99303,2395,4,14,6,2
60,16384,99354,2402,4,14,6,2
60,16384,99480,2369,4,14,6,2
60,16384,99117,2456,4,14,6,2
60,16384,99556,2348,4,14,6,2
60,16384,99373,2285,4,14,6,2
60,16384,99541,2288,4,14,6,2
60,16384,99195,2454,4,14,6,2
80,16384,98850,2403,4,14,6,2
80,16384,99429,2342,4,14,6,2
80,16384,99559,2290,4,14,6,2
80,16384,99886,2312,4,14,6,2
80,16384,99074,2283,4,14,6,2
80,16384,98532,2435,4,14,6,2
80,16384,98935,2327,4,14,6,2
80,16384,99564,2352,4,14,6,2
80,16384,99200,2353,4,14,6,2
80,16384,99520,2449,4,14,6,2
80,16384,99300,2457,4,14,6,2
80,16384,130981,2314,4,14,6,2
80,16384,98825,2390,4,14,6,2
80,16384,98960,2308,4,14,6,2
80,16384,98866,2461,4,14,6,2
80,16384,99044,2363,4,14,6,2
80,16384,98650,2392,4,14,6,2
80,16384,98737,2308,4,14,6,2
80,16384,98778,2340,4,14,6,2
80,16384,98671,2480,4,14,6,2
100,16384,99845,2319,4,14,6,2
100,16384,99617,2385,4,14,6,2
100,16384,99351,2442,4,14,6,2
100,16384,99061,2401,4,14,6,2
100,16384,99187,2441,4,14,6,2
100,16384,98539,2450,4,14,6,2
100,16384,98983,2402,4,14,6,2
100,16384,98541,2370,4,14,6,2
100,16384,99497,2369,4,14,6,2
100,16384,99108,2341,4,14,6,2
100,16384,98879,2421,4,14,6,2
100,16384,98299,2369,4,14,6,2
100,16384,99472,2414,4,14,6,2
100,16384,98923,2439,4,14,6,2
100,16384,99051,2438,4,14,6,2
100,16384,98498,2354,4,14,6,2
100,16384,101626,2370,4,14,6,2
100,16384,99108,2397,4,14,6,2
100,16384,99298,2378,4,14,6,2
100,16384,99433,2408,4,14,6,2
120,16384,99696,2406,4,14,6,2
120,16384,99300,2489,4,14,6,2
120,16384,99285,2464,4,14,6,2
120,16384,98895,2408,4,14,6,2
120,16384,99478,2524,4,14,6,2
120,16384,99256,2472,4,14,6,2
120,16384,99354,2385,4,14,6,2
120,16384,99227,2392,4,14,6,2
120,16384,98684,2408,4,14,6,2
120,16384,99654,2427,4,14,6,2
120,16384,99303,2352,4,14,6,2
120,16384,99818,2317,4,14,6,2
120,16384,99250,2293,4,14,6,2
120,16384,99505,2515,4,14,6,2
120,16384,99319,2453,4,14,6,2
120,16384,99260,2434,4,14,6,2
120,16384,97965,2401,4,14,6,2
120,16384,98909,2486,4,14,6,2
120,16384,100202,2463,4,14,6,2
120,16384,99367,2380,4,14,6,2
140,16384,98888,2353,4,14,6,2
140,16384,100245,2407,4,14,6,2
140,16384,98961,2428,4,14,6,2
140,16384,99031,2451,4,14,6,2
140,16384,98571,2363,4,14,6,2
140,16384,98804,2399,4,14,6,2
140,16384,98205,2356,4,14,6,2
140,16384,99232,2320,4,14,6,2
140,16384,99366,2325,4,14,6,2
140,16384,99230,2457,4,14,6,2
140,16384,98824,2413,4,14,6,2
140,16384,98487,2388,4,14,6,2
140,16384,98690,2376,4,14,6,2
140,16384,98395,2452,4,14,6,2
140,16384,98526,2408,4,14,6,2
140,16384,98879,2396,4,14,6,2
140,16384,98493,2373,4,14,6,2
140,16384,99246,2446,4,14,6,2
140,16384,99239,2429,4,14,6,2
140,16384,98804,2387,4,14,6,2
160,16384,99550,2301,4,14,6,2
160,16384,98528,2430,4,14,6,2
160,16384,98927,2306,4,14,6,2
160,16384,99283,2322,4,14,6,2
160,16384,99417,2362,4,14,6,2
160,16384,98869,2346,4,14,6,2
160,16384,98884,2423,4,14,6,2
160,16384,99036,2348,4,14,6,2
160,16384,99437,2376,4,14,6,2
160,16384,99693,2404,4,14,6,2
160,16384,99988,2478,4,14,6,2
160,16384,99872,2409,4,14,6,2
160,16384,99566,2373,4,14,6,2
160,16384,99156,2463,4,14,6,2
160,16384,99615,2416,4,14,6,2
160,16384,99451,2344,4,14,6,2
160,16384,98778,2475,4,14,6,2
160,16384,98838,2374,4,14,6,2
160,16384,99582,2269,4,14,6,2
160,16384,99068,2454,4,14,6,2
180,16384,99550,2421,4,14,6,2
180,16384,99037,2423,4,14,6,2
180,16384,99482,2352,4,14,6,2
180,16384,99633,2421,4,14,6,2
180,16384,99599,2446,4,14,6,2
180,16384,99107,2372,4,14,6,2
180,16384,99254,2404,4,14,6,2
180,16384,99164,2400,4,14,6,2
180,16384,99416,2378,4,14,6,2
180,16384,99455,2422,4,14,6,2
180,16384,99294,2404,4,14,6,2
180,16384,101861,2394,4,14,6,2
180,16384,99846,2453,4,14,6,2
180,16384,99312,2457,4,14,6,2
180,16384,98909,2384,4,14,6,2
180,16384,99807,2417,4,14,6,2
180,16384,99080,2453,4,14,6,2
180,16384,99231,2426,4,14,6,2
180,16384,99360,2333,4,14,6,2
180,16384,99730,2404,4,14,6,2
200,16384,98912,2531,4,14,6,2
200,16384,98919,2385,4,14,6,2
200,16384,99347,2352,4,14,6,2
200,16384,98969,2432,4,14,6,2
200,16384,99006,2402,4,14,6,2
200,16384,100015,2397,4,14,6,2
200,16384,99240,2388,4,14,6,2
200,16384,98638,2375,4,14,6,2
200,16384,99450,2439,4,14,6,2
200,16384,99115,2476,4,14,6,2
200,16384,99480,2403,4,14,6,2
200,16384,99365,2535,4,14,6,2
200,16384,99140,2439,4,14,6,2
200,16384,98966,2476,4,14,6,2
200,16384,99081,2362,4,14,6,2
200,16384,99302,2531,4,14,6,2
200,16384,98833,2452,4,14,6,2
200,16384,99355,2425,4,14,6,2
200,16384,99491,2425,4,14,6,2
200,16384,99575,2461,4,14,6,2
220,16384,99668,2333,4,14,6,2
220,16384,99164,2393,4,14,6,2
220,16384,99371,2324,4,14,6,2
220,16384,99512,2403,4,14,6,2
220,16384,99156,2398,4,14,6,2
220,16384,99138,2436,4,14,6,2
220,16384,99342,2384,4,14,6,2
220,16384,99495,2277,4,14,6,2
220,16384,99542,2407,4,14,6,2
220,16384,100042,2524,4,14,6,2
220,16384,99748,2436,4,14,6,2
220,16384,99691,2365,4,14,6,2
220,16384,99782,2458,4,14,6,2
220,16384,99122,2465,4,14,6,2
220,16384,98828,2395,4,14,6,2
220,16384,99884,2444,4,14,6,2
220,16384,99590,2410,4,14,6,2
220,16384,99487,2467,4,14,6,2
220,16384,98895,2442,4,14,6,2
220,16384,98823,2421,4,14,6,2
240,16384,99340,2416,4,14,6,2
240,16384,129387,2370,4,14,6,2
240,16384,99128,2260,4,14,6,2
240,16384,99191,2354,4,14,6,2
240,16384,98891,2357,4,14,6,2
240,16384,99328,2230,4,14,6,2
240,16384,99019,2357,4,14,6,2
240,16384,99091,2378,4,14,6,2
240,16384,99183,2321,4,14,6,2
240,16384,99335,2355,4,14,6,2
240,16384,99747,2246,4,14,6,2
240,16384,98756,2275,4,14,6,2
240,16384,99114,2279,4,14,6,2
240,16384,99322,2331,4,14,6,2
240,16384,99360,2342,4,14,6,2
240,16384,98658,2460,4,14,6,2
240,16384,99146,2287,4,14,6,2
240,16384,99185,2282,4,14,6,2
240,16384,99567,2468,4,14,6,2
240,16384,99690,2406,4,14,6,2
260,16384,99879,2400,4,14,6,2
260,16384,99440,2460,4,14,6,2
260,16384,99866,2517,4,14,6,2
260,16384,99548,2482,4,14,6,2
260,16384,99779,2375,4,14,6,2
260,16384,100059,2350,4,14,6,2
260,16384,99771,2479,4,14,6,2
260,16384,99546,2458,4,14,6,2
260,16384,99729,2403,4,14,6,2
260,16384,99937,2433,4,14,6,2
260,16384,99645,2378,4,14,6,2
260,16384,99953,2507,4,14,6,2
260,16384,99415,2472,4,14,6,2
260,16384,99677,2387,4,14,6,2
260,16384,99533,2336,4,14,6,2
260,16384,99650,2441,4,14,6,2
260,16384,99499,2503,4,14,6,2
