Pallet: "collective", Extrinsic: "vote_disapproved", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
m,p,b,extrinsic_time,storage_root_time
590,100,16384,850137,152938
590,100,16384,837559,149331
590,100,16384,869921,152694
590,100,16384,826811,149203
590,100,16384,845030,149534
590,100,16384,827089,147171
590,100,16384,876655,162198
590,100,16384,820284,145381
590,100,16384,857825,160581
590,100,16384,849486,152112
590,100,16384,837106,154521
590,100,16384,849603,169321
590,100,16384,842514,149997
590,100,16384,830318,150693
590,100,16384,851886,147615
590,100,16384,888208,148063
590,100,16384,923319,145738
590,100,16384,840205,150560
590,100,16384,834698,145714
590,100,16384,826294,144597
639,100,16384,864138,157920
639,100,16384,879308,150858
639,100,16384,897600,151827
639,100,16384,966239,204090
639,100,16384,861584,151644
639,100,16384,911771,152750
639,100,16384,893640,173269
639,100,16384,892087,147334
639,100,16384,863870,147313
639,100,16384,882794,150661
639,100,16384,881066,147409
639,100,16384,874567,148535
639,100,16384,881310,146651
639,100,16384,864248,144973
639,100,16384,869822,143563
639,100,16384,890151,148016
639,100,16384,892496,158904
639,100,16384,888404,151702
639,100,16384,862512,153313
639,100,16384,925614,180970
688,100,16384,949652,151771
688,100,16384,930766,150387
688,100,16384,961671,167513
688,100,16384,921481,168155
688,100,16384,912770,167005
688,100,16384,928900,148831
688,100,16384,929690,148784
688,100,16384,934759,188488
688,100,16384,914711,152011
688,100,16384,1004352,155485
688,100,16384,948999,154379
688,100,16384,931484,203030
688,100,16384,926855,147578
688,100,16384,917250,148500
688,100,16384,945448,157937
688,100,16384,946392,164817
688,100,16384,1008282,153005
688,100,16384,974898,150073
688,100,16384,919408,153577
688,100,16384,948048,150019
737,100,16384,972438,153170
737,100,16384,970391,153393
737,100,16384,988208,151951
737,100,16384,979956,152512
737,100,16384,966020,155409
737,100,16384,1041146,152761
737,100,16384,993641,154723
737,100,16384,980980,179053
737,100,16384,973072,151355
737,100,16384,976496,147434
737,100,16384,996480,156030
737,100,16384,952548,149635
737,100,16384,980131,155272
737,100,16384,1038173,154142
737,100,16384,956781,146350
737,100,16384,1102971,193345
737,100,16384,970241,149383
737,100,16384,1005346,149434
737,100,16384,954204,145761
737,100,16384,958406,146810
786,100,16384,1016412,154373
786,100,16384,1031229,152013
786,100,16384,1172113,230141
786,100,16384,1059310,149972
786,100,16384,1005619,153075
786,100,16384,1007699,153290
786,100,16384,1019141,153376
786,100,16384,1026164,152834
786,100,16384,997836,146546
786,100,16384,1242255,201935
786,100,16384,1013971,152305
786,100,16384,1038707,152187
786,100,16384,1038922,153314
786,100,16384,1035648,156683
786,100,16384,1008689,153476
786,100,16384,1131649,212306
786,100,16384,1018973,153418
786,100,16384,1007025,150142
786,100,16384,1033736,152751
786,100,16384,1115146,151904
835,100,16384,1082198,150268
835,100,16384,1057746,154253
