Pallet: "claims", Extrinsic: "mint_claim", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
c,extrinsic_time,storage_root_time
3400,10629,36816
3400,10552,36904
3600,10800,38983
3600,10688,35793
3600,10480,35591
3600,10619,35883
3600,10320,35712
3600,10167,35523
3600,10526,35833
3600,10310,35544
3600,10423,35347
3600,10542,35375
3600,10318,35784
3600,10562,35604
3600,10675,35548
3600,10327,35697
3600,10272,35300
3600,10428,35467
3600,10381,35257
3600,10338,35607
3600,10493,35434
3600,10380,35678
3800,10894,38792
3800,10846,36929
3800,10513,36606
3800,10567,36626
3800,10519,36192
3800,10416,36214
3800,10601,39032
3800,10576,36144
3800,10567,36263
3800,10385,36727
3800,10543,36143
3800,10582,36324
3800,10476,36537
3800,10314,36182
3800,10492,36260
3800,10447,36661
3800,10470,36379
3800,10834,36193
3800,10566,36233
3800,10427,36217
4000,10959,33904
4000,10888,32835
4000,10475,32315
4000,10687,32109
4000,10522,32119
4000,10485,32066
4000,10599,32035
4000,10884,33310
4000,10708,32105
4000,10443,32335
4000,10524,31998
4000,10681,32228
4000,10675,32042
4000,10812,32273
4000,10805,32501
4000,10801,32077
4000,10655,32255
4000,10551,32144
4000,10754,32146
4000,10683,32191
4200,10935,39862
4200,10916,36610
4200,10708,36195
4200,10711,36001
4200,10599,35780
4200,10645,36126
4200,10489,36010
4200,10723,36293
4200,10662,36068
4200,10741,35715
4200,10539,35710
4200,10606,35937
4200,10780,35989
4200,10584,35600
4200,10650,35826
4200,10629,35811
4200,10687,35542
4200,10667,35963
4200,10869,36040
4200,10611,36008
4400,10811,36288
4400,10605,35252
4400,10613,35228
4400,10629,35468
4400,10587,35496
4400,10501,35514
4400,10550,35263
4400,10942,35867
4400,10695,35248
4400,10581,35157
4400,10424,35978
4400,10515,35481
4400,10422,35393
4400,10609,35250
4400,10493,35075
4400,10447,35132
4400,10620,35228
4400,10620,35292
4400,10642,34968
4400,10555,35302
4600,10986,39376
4600,10583,36125
4600,10696,36439
4600,10633,36322
4600,10408,36017
4600,10527,36224
4600,10308,35829
4600,10512,35870
4600,10648,35926
4600,10806,35669
4600,11005,35952
4600,10638,35968
4600,10548,36120
4600,10419,35988
4600,10585,35849
4600,10383,36116
4600,10427,36016
4600,10727,36267
4600,10402,35995
4600,10538,35969
4800,10856,39577
4800,10553,37649
4800,10768,37388
4800,10731,36886
4800,10742,36562
4800,10606,36781
4800,10900,37161
4800,10560,40611
4800,10639,36952
4800,10487,36781
4800,10760,36653
4800,10567,36898
4800,10900,36971
4800,10583,36657
4800,10649,36910
4800,10610,36800
4800,10561,36616
4800,10642,36640
4800,10521,37222
4800,10501,36673
5000,11015,38013
5000,10588,35775
5000,10580,35593
5000,10566,35573
5000,10814,35739
5000,10577,35863
5000,10711,35726
5000,13599,36122
5000,10517,35620
5000,10594,35813
5000,10693,36527
5000,10621,35967
5000,10858,35335
5000,10602,35661
5000,10557,35406
5000,10552,35503
5000,10643,36114
5000,10584,35404
5000,10609,35790
5000,10607,35422
5200,10776,38003
5200,10510,35784
5200,10758,35441
5200,10522,35059
5200,10632,35301
5200,10924,35257
5200,10552,35407
5200,10905,35351
5200,10606,35202
5200,10825,35315
5200,11029,35419
5200,10549,35335
5200,10888,35221
5200,10713,35082
5200,10542,34972
5200,10637,35399
5200,10620,35217
5200,10447,35050
5200,10480,34892
5200,10471,34888
5400,10596,39760
5400,10539,36768
5400,10407,36471
5400,10594,36454
5400,10332,35912
5400,10560,36429
5400,10518,36440
5400,10763,39374
5400,10582,36500
5400,10655,36441
5400,10627,36709
5400,10519,36299
5400,10591,36414
5400,10479,36230
5400,10480,36418
5400,10484,36374
5400,10509,36240
5400,10679,36246
5400,10537,36465
5400,10387,36330
5600,10816,37446
5600,10757,35691
5600,10824,35384
5600,10839,35558
5600,10695,35487
5600,10872,35559
5600,10670,35354
5600,10535,35579
5600,10771,35368
5600,10624,35113
5600,10752,35029
5600,11058,35446
5600,10675,35617
5600,10586,35280
5600,10598,35309
5600,10744,34974
5600,10488,35080
5600,10637,35620
5600,10693,35501
5600,10723,35611
5800,11185,34218
5800,10883,31876
5800,10805,31891
5800,10569,31995
5800,10586,31735
5800,10665,31622
5800,10486,31904
5800,10701,31605
5800,10722,31933
5800,10835,32213
5800,10700,31887
5800,10475,31710
5800,10463,31645
5800,10679,31673
5800,10926,31758
5800,10703,31941
5800,10741,32041
5800,10547,31610
5800,10414,31691
5800,10487,31753
6000,10735,38618
6000,10760,35829
6000,10726,35948
6000,10615,35653
6000,10545,35702
6000,10569,35740
6000,10714,35906
6000,10422,35607
6000,10822,35706
6000,10637,35909
6000,10472,35622
6000,10387,35483
6000,10653,35766
6000,10610,35815
6000,10597,35775
6000,10497,35684
6000,10441,35847
6000,10687,35501
6000,10601,35769
6000,10497,35764
6200,10765,37165
6200,10509,36308
6200,10552,35901
6200,10435,35987
6200,10462,35937
6200,10409,36296
6200,10424,37151
6200,10513,35859
6200,10488,39220
6200,10639,35800
6200,10647,35859
6200,10539,35731
6200,10604,36262
6200,10432,35975
6200,10466,36097
6200,10410,35671
6200,10440,35678
6200,10413,35632
6200,10519,35448
6200,10292,35746
6400,10889,38793
6400,10702,36513
6400,10601,36430
6400,10527,35891
6400,10643,35686
6400,10496,36210
6400,10689,36329
6400,10776,36007
6400,10754,35852
6400,10950,35807
6400,10725,35727
6400,10569,35992
6400,10734,35848
6400,10617,36039
6400,10541,35884
6400,10587,35931
6400,10456,35786
6400,10632,35997
6400,10615,35825
6400,10789,35943
6600,11159,33711
6600,10724,32030
6600,10822,32086
6600,10725,32317
6600,10524,31962
6600,10834,31931
6600,10565,31895
6600,10648,31517
6600,10620,31844
6600,10984,31922
6600,10927,31934
6600,10699,31569
6600,10731,31665
6600,10550,31695
6600,10805,31850
6600,10633,31612
6600,10594,32039
6600,10765,31823
6600,10573,31652
6600,10533,31792
6800,10899,39369
6800,10632,37054
6800,10625,36714
6800,10621,36503
6800,10436,36526
6800,10787,36585
6800,10548,36514
6800,10544,36326
6800,10610,36449
6800,10811,36716
6800,10630,36520
6800,10670,36329
6800,10689,36504
6800,10561,36341
6800,10509,36581
6800,10721,36079
6800,10601,36458
6800,10585,36471
6800,10661,36464
6800,10572,36711
7000,10680,37359
7000,10650,35399
7000,10803,35088
7000,10470,35166
7000,10382,35254
7000,10487,35064
7000,10861,35321
7000,10648,35237
7000,10641,35796
7000,10484,34926
7000,10570,35276
7000,10656,35420
7000,10581,35176
7000,10496,35090
7000,10780,35020
7000,10696,35029
7000,10640,34945
7000,10879,35462
7000,10627,34961
7000,10874,34988
7200,11390,38707
7200,10686,37257
7200,10876,37030
7200,10650,36896
7200,10773,36793
7200,10853,37053
7200,10935,36720
7200,10745,37055
7200,11270,37391
7200,11168,37184
7200,10687,36973
7200,10767,37081
7200,10768,36911
7200,10777,37119
7200,10858,37108
7200,10857,36860
7200,10649,36968
7200,10938,36844
7200,10684,36712
7200,10682,36815
7400,10838,33581
7400,10573,32018
7400,10555,31322
7400,10463,31341
7400,10387,31219
7400,10364,31364
7400,10589,31297
7400,10677,31213
7400,13310,60087
7400,10268,31479
7400,10889,30775
7400,10438,31131
7400,10339,31080
7400,10362,31657
7400,10340,31256
7400,10406,31014
7400,10455,31043
7400,10334,31084
7400,10514,31027
7400,10415,31298
7600,10787,33344
7600,10495,31891
7600,10621,32035
7600,10588,31665
7600,10610,31679
7600,10595,31781
7600,10533,31958
7600,10419,31923
7600,10489,31594
7600,11018,31838
7600,10548,31803
7600,10692,31576
7600,10589,31820
7600,10452,31690
7600,10638,31716
7600,10671,31744
7600,10587,31774
7600,10807,31678
7600,10598,31934
7600,10511,32044
7800,10580,32619
7800,10652,31662
7800,10655,31714
7800,10445,31525
7800,10355,31458
7800,10642,31444
7800,10580,31639
7800,10552,31306
7800,10462,31275
7800,10577,34261
7800,10673,31804
7800,10466,31569
7800,10452,31643
7800,10579,31530
7800,10396,31249
7800,10540,31244
7800,10491,31228
7800,10639,31446
7800,10471,31305
7800,10417,31390
8000,10641,33473
8000,10494,31777
8000,10431,31247
8000,10433,31552
8000,10307,31203
8000,10374,31123
8000,10384,31411
8000,10412,32044
8000,10333,31078
8000,10261,31081
8000,11193,34227
8000,10375,31155
8000,10600,31403
8000,10234,31397
8000,10393,31046
8000,10356,30929
8000,10282,31269
8000,10229,31550
8000,10161,31203
8000,10437,31168
8200,10487,32977
8200,10561,31926
8200,10388,31719
8200,10387,31685
8200,10237,31394
8200,10077,31571
8200,10621,31524
8200,10390,31595
8200,10202,31486
8200,10245,31606
8200,10576,31768
8200,10401,31657
8200,10583,31847
8200,10351,31512
8200,10443,31643
8200,10313,31522
8200,10314,31587
8200,10373,31522
8200,10354,31483
8200,10282,31699
8400,10651,33069
8400,10632,31366
8400,10454,31285
8400,10602,31364
8400,10620,31347
8400,10335,31273
8400,10549,31106
8400,10402,31292
8400,10644,31275
8400,10498,31418
8400,10685,31417
8400,10746,31376
8400,10431,31096
8400,10659,31214
8400,10353,30836
8400,10552,31328
8400,10421,31194
8400,10269,31225
8400,10471,31265
8400,10344,31206
8600,11002,38135
8600,10876,35942
8600,10797,36420
8600,10788,35817
8600,10515,35714
8600,10618,35687
8600,10665,35880
8600,10595,35558
8600,10568,36245
8600,10566,35758
8600,10618,35710
8600,10409,35604
8600,10316,35577
8600,13273,36114
8600,10743,36120
8600,10428,35842
8600,10706,35770
8600,10720,35575
8600,10691,35342
8600,10622,35529
8800,10954,38158
8800,10633,36595
8800,10799,36736
8800,10648,36235
8800,10785,36370
8800,10695,36118
8800,10864,36494
8800,10677,36197
8800,10664,36526
8800,10424,36300
8800,10515,36127
8800,10732,36240
8800,10706,36320
8800,10563,36345
8800,10844,36679
8800,10739,36541
8800,10688,36241
8800,10658,36380
8800,10704,36417
8800,10696,36341
9000,10468,39682
9000,10700,36194
9000,10582,35934
9000,10436,35904
9000,10473,35674
9000,10511,35981
9000,10506,36530
9000,10623,35659
9000,10607,35565
9000,10419,36035
9000,10612,35994
9000,10620,36480
9000,10505,35822
9000,10553,35984
9000,13127,36591
9000,10687,35929
9000,10507,35895
9000,10617,36095
9000,10407,36032
9000,10395,36092
9200,10916,38053
9200,10831,36763
9200,10577,36118
9200,10645,36154
9200,10569,36233
9200,10586,36184
9200,10462,35959
9200,10450,36052
9200,10611,36114
9200,10748,36356
9200,10594,36175
9200,10758,36367
9200,10688,36151
9200,10693,36078
9200,10607,35974
9200,10775,36211
9200,10613,35945
9200,10491,36047
9200,10546,36061
9200,10624,35978
9400,11128,39830
9400,10670,36959
9400,10496,36520
9400,10552,36566
9400,10621,36103
9400,10398,36121
9400,10549,35861
9400,10457,36122
9400,10782,36494
9400,10477,36186
9400,10616,36156
9400,10645,36084
9400,10537,36280
9400,10742,36310
9400,10651,36485
9400,10661,36268
9400,10711,36188
9400,10794,35899
9400,10835,36107
9400,10400,36406
9600,10537,33185
9600,10570,32279
9600,10543,32289
9600,10584,32048
9600,10429,31688
9600,10572,31668
9600,10641,31821
9600,10903,31892
9600,10638,32234
9600,10495,31759
9600,10435,32706
9600,10543,32027
9600,10418,32028
9600,11104,31932
9600,10256,31857
9600,10502,32008
9600,10499,32279
9600,10482,31775
9600,10577,31737
9600,10527,31841
9800,11001,32597
9800,11097,31474
9800,10836,31527
9800,10685,31512
9800,10835,31458
9800,10597,31447
9800,10682,31334
9800,10728,31500
9800,10812,31418
9800,10626,31351
9800,10730,31357
9800,10657,31150
9800,10595,31576
9800,10749,31707
9800,10654,31418
9800,10735,31188
9800,12009,32190
9800,10843,31569
9800,10791,31854
9800,10762,31454
10000,11129,38387
10000,11022,36025
10000,10855,35887
10000,10621,35971
10000,11145,35984
10000,10963,35655
10000,10661,35799
10000,10643,35550
10000,10851,35654
10000,10780,35695
10000,10705,36206
10000,10810,35724
10000,11023,36035
10000,10703,35660
10000,10842,35729
10000,10677,35653
10000,10828,35780
10000,10570,35791
10000,10773,36066
10000,10446,35593

Median Slopes Analysis
========

Model:
Time ~=    10.61
    + c        0
              µs

Min Squares Analysis
========

Data points distribution:
    c   mean µs  sigma µs       %
    0     10.79      0.09    0.8%
  200     10.56     0.052    0.4%
  400     10.79     0.055    0.5%
  600     10.64     0.046    0.4%
  800      10.7     0.057    0.5%
 1000     10.62     0.032    0.3%
 1200     10.46     0.048    0.4%
 1400     10.43     0.032    0.3%
 1600     10.67     0.066    0.6%
 1800     10.57     0.047    0.4%
 2000     10.67     0.048    0.4%
 2200     10.63     0.066    0.6%
 2400     10.53     0.047    0.4%
 2600     10.58     0.034    0.3%
 2800     10.75      0.04    0.3%
 3000     10.39     0.045    0.4%
 3200     10.48     0.032    0.3%
 3400     10.65     0.046    0.4%
 3600     10.43     0.072    0.6%
 3800     10.52     0.038    0.3%
 4000     10.67     0.066    0.6%
 4200     10.66     0.035    0.3%
 4400     10.58     0.033    0.3%
 4600     10.56     0.064    0.6%
 4800     10.63     0.059    0.5%
 5000     10.61     0.032    0.3%
 5200     10.63      0.08    0.7%
 5400     10.54     0.035    0.3%
 5600     10.71     0.042    0.3%
 5800     10.66     0.065    0.6%
 6000      10.6     0.051    0.4%
 6200     10.48     0.036    0.3%
 6400     10.65      0.05    0.4%
 6600     10.69     0.064    0.5%
 6800     10.62     0.029    0.2%
 7000     10.63     0.037    0.3%
 7200     10.79     0.058    0.5%
 7400     10.45     0.066    0.6%
 7600     10.59     0.029    0.2%
 7800     10.52     0.048    0.4%
 8000     10.37     0.038    0.3%
 8200     10.37     0.037    0.3%
 8400     10.52     0.074    0.7%
 8600     10.65     0.055    0.5%
 8800     10.69     0.024    0.2%
 9000     10.54      0.05    0.4%
 9200     10.62     0.037    0.3%
 9400     10.62     0.055    0.5%
 9600     10.53     0.029    0.2%
 9800     10.75     0.047    0.4%
10000     10.78     0.063    0.5%

Quality and confidence:
param     error
c             0

Model:
Time ~=    10.61
    + c        0
              µs

