Pallet: "staking", Extrinsic: "payout_all", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
v,n,extrinsic_time,storage_root_time
10,13,17130188,923087
10,13,17366762,840423
10,13,17170300,845829
10,13,17372341,814770
10,13,17005799,828330
10,13,16760280,842304
10,13,16944323,849625
10,13,16840166,895100
10,13,16906879,802431
10,13,17583363,819281
10,13,16960398,882216
10,13,16892676,854474
10,13,17252781,868147
10,13,17100717,912121
10,17,21909775,1030490
10,17,21819319,969116
10,17,22740650,1168962
10,17,22397306,920774
10,17,21756460,964017
10,17,21790910,936037
10,17,22409101,930853
10,17,22097580,971383
10,17,22150478,967224
10,17,22177326,1024809
10,17,22514053,936399
10,17,23084493,1089148
10,17,21936507,941101
10,17,22665504,1063431
10,17,22974665,1020538
10,17,22204980,974849
10,17,22214023,907553
10,17,21712930,1041800
10,17,21902010,941048
10,17,22464090,916789
10,21,28238207,1095340
10,21,27822708,1051962
10,21,28161635,1031079
10,21,27640077,1085622
10,21,27538226,1031459
10,21,27849240,1479902
10,21,28556012,1137193
10,21,27667280,1238269
10,21,27601555,1045734
10,21,27784732,1111050
10,21,28009229,1095235
10,21,27641646,1070170
10,21,27698484,1024011
10,21,28056710,1046640
10,21,27356353,1072343
10,21,27734593,1277171
10,21,27080089,1043768
10,21,27854519,1096646
10,21,27141471,1018434
10,21,27754260,1044611
10,25,33913941,1159221
10,25,34402318,1183160
10,25,33025597,1203733
10,25,32766834,1115728
10,25,34442201,1143941
10,25,33979194,1149615
10,25,34207834,1267120
10,25,33727977,1176306
10,25,33776364,1293534
10,25,32969398,1157160
10,25,33301974,1164152
10,25,32879068,1236477
10,25,33205129,1160093
10,25,33727586,1161943
10,25,32962531,1152566
10,25,32916195,1198174
10,25,33442828,1157882
10,25,33264637,1153566
10,25,32908179,1152445
10,25,33259974,1128501
10,29,39333767,1260284
10,29,38848085,1242740
10,29,39306322,1298179
10,29,39424385,1221770
10,29,39083997,1403860
10,29,38973256,1248662
10,29,38643279,1250492
10,29,39042985,1289403
10,29,40095893,1237348
10,29,38625431,1288989
10,29,38354293,1269868
10,29,38274077,1294448
10,29,39016412,1279020
10,29,38668912,1248311
10,29,39195324,1257727
10,29,39051844,1272854
10,29,38252448,1254697
