Pallet: "democracy", Extrinsic: "on_initialize_public", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
r,extrinsic_time_ns,storage_root_time_ns
6,252655,58357
6,252748,59284
6,252213,58650
7,287753,63723
7,282554,63164
7,283198,62760
7,283775,62977
7,283246,63078
7,284102,63325
7,283670,63846
7,284698,63881
7,282944,63049
7,285052,64444
7,283286,63478
7,285496,64095
7,284837,63220
7,287187,62958
7,283359,63163
7,284414,64021
7,284518,62580
7,283901,63629
7,283562,62909
7,282964,63047
8,312690,61270
8,313039,60931
8,312249,60895
8,312750,61264
8,314348,61550
8,313883,61319
8,313826,61410
8,312097,61670
8,312407,61408
8,316733,61063
8,313775,60863
8,313949,60842
8,313070,60582
8,315264,61547
8,312169,61900
8,312727,61682
8,313415,62078
8,316574,61969
8,313457,61364
8,314313,60930
9,344633,66461
9,346397,66460
9,345614,67386
9,344143,66445
9,345484,66916
9,346089,66595
9,344606,67301
9,346428,66937
9,345053,67380
9,343630,67160
9,344092,67229
9,345404,66959
9,344098,67164
9,346083,67107
9,344183,67898
9,348148,68017
9,343132,66269
9,344519,67489
9,345310,67220
9,344031,66541
10,376794,71843
10,375362,72428
10,377086,71476
10,376229,72370
10,376738,71317
10,379680,71904
10,376984,72269
10,376061,71351
10,377288,74634
10,376016,71945
10,377076,72240
10,376123,71697
10,374847,72622
10,375058,71586
10,374289,70758
10,375201,71635
10,376465,71235
10,375435,70999
10,379578,71797
10,377766,71642
11,407402,70616
11,435312,71502
11,404806,70155
11,406356,70780
11,408085,71625
11,404983,71582
11,405900,70576
11,410087,71551
11,405997,70599
11,405570,71011
11,408132,71385
11,405743,70884
11,406280,70827
11,410057,71032
11,405325,70801
11,406490,71089
11,408993,70375
11,406648,70261
11,405799,71272
11,407434,71613
12,436639,75148
12,438874,74270
12,436281,74302
12,436192,74178
12,438354,75308
12,438248,74776
12,436693,74653
12,434175,75232
12,438042,75135
12,434741,74140
12,435944,76878
12,436464,74750
12,436738,73834
12,438418,74957
12,436247,75085
12,437976,74063
12,436243,74920
12,436057,74542
12,435964,74545
12,436446,73823
13,463927,76046
13,465703,76934
13,465465,75245
13,466225,75050
13,467444,75403
13,464770,75614
13,465434,76227
13,465903,74454
13,464495,76183
13,467043,76058
13,465127,75822
13,467048,74631
13,464920,76540
13,464856,75279
13,464965,75235
13,464685,75584
13,465328,75140
13,467615,75824
13,466777,75650
13,465398,75215
14,499386,81833
14,498690,81576
14,499117,80872
14,499338,80694
14,498903,80809
14,500987,80987
14,500896,79827
14,499733,80709
14,500823,80850
14,500987,81820
14,500934,80805
14,499065,81883
14,497850,81643
14,498207,81625
14,531642,81882
14,499332,82011
14,499529,81543
14,496919,81173
14,498596,81144
14,498019,81462
15,532184,80004
15,535345,81262
15,530863,80049
15,533605,80370
15,532632,80680
15,531221,80249
15,530948,80716
15,531012,80105
15,536326,81981
15,532972,80473
15,534451,80550
15,529887,80921
15,532039,80407
15,532404,81295
15,531496,80535
15,530376,80965
15,530585,80848
15,535635,81109
15,532807,80943
15,534219,81095
16,562825,84875
16,557970,84117
16,560028,84139
16,558705,83542
16,562411,85129
16,559549,84452
16,562030,84701
16,557940,84595
16,598452,85100
16,560826,84270
16,562582,84511
16,559364,84881
16,559312,84400
16,559571,85609
16,561287,84305
16,563827,84727
16,561625,84638
16,561838,84700
16,561495,84477
16,562198,84672
17,599746,93709
17,595507,93512
17,596042,92762
17,597946,93338
17,595102,92380
17,598746,92009
17,595550,92591
17,599519,93773
17,595082,92727
17,598226,93066
17,595621,93348
17,599439,93219
17,598510,93934
17,600399,94104
17,595886,92866
17,598877,94722
17,595867,92784
17,597788,93867
17,595391,93312
17,598260,94953
18,626628,90000
18,627376,90821
18,623331,90594
18,626252,91683
18,625984,89842
18,627816,90926
18,625252,89765
18,629541,91092
18,623714,90635
18,626907,90173
18,625788,90721
18,625297,90538
18,628117,89779
18,624360,90651
18,625647,90082
18,624007,89896
18,625585,89419
18,625909,90468
18,625680,91151
18,627603,90167
19,654265,98181
19,657218,99150
19,654566,100866
19,657177,99202
19,660749,98946
19,651826,97761
19,655975,98280
19,656826,98537
19,656098,99067
19,653718,98119
19,654040,98298
19,655650,98601
19,657195,99575
19,652412,101688
19,655008,99140
19,658617,99879
19,656790,99850
19,654036,98655
19,653784,97938
19,654614,99100
20,683084,101945
20,684726,102378
20,683960,101767
20,685771,102396
20,686750,102211
20,687118,102924
20,684281,102879
20,685965,102418
20,684921,103021
20,684222,105386
20,686279,102050
20,692343,103200
20,682804,102671
20,684700,101964
20,685193,103242
20,686870,102944
20,686380,104417
20,684968,102629
20,687618,103452
20,687064,102335
21,719397,101144
21,716138,101098
21,716331,102378
21,726744,102460
21,714688,101982
21,717733,101866
21,743445,101505
21,712621,101106
21,718464,101566
21,711583,101822
21,716148,101684
21,716249,101339
21,716867,100466
21,715749,100923
21,711619,101259
21,718632,101023
21,713939,100635
21,712221,102023
21,718591,101863
21,714550,101523
22,745442,109668
22,747985,109433
22,746568,109342
22,754110,109503
22,748691,108750
22,749434,109353
22,751525,109324
22,746958,108602
22,747891,109065
22,747710,108857
22,747914,109180
22,752671,109534
22,749380,109298
22,747998,109209
22,753590,108887
22,749692,109391
22,745514,109165
22,744276,108978
22,749402,108454
22,756321,110428
23,776271,110588
23,778459,111170
23,777592,111418
23,776031,110653
23,772207,110970
23,785787,112451
23,777262,111180
23,779458,111015
23,776779,113070
23,778593,110573
23,777462,110783
23,777822,111660
23,774886,109848
23,776642,110235
23,774639,111298
23,777932,110729
23,778275,110951
23,778263,110654
23,777922,111883
23,782690,111780
24,807726,112715
24,807907,112865
24,811924,112324
24,807504,113007
24,807293,112286
24,807850,112557
24,807184,112800
24,807118,112829
24,810416,112530
24,806933,112770
24,808970,112823
24,809735,112036
24,809413,113019
24,807196,112346
24,807548,112794
24,806581,114900
24,808700,112674
24,808376,111935
24,809871,112596
24,810081,113005
25,838994,112920
25,839738,113910
25,834543,113020
25,836454,112381
25,839929,112642
25,838813,113488
25,839489,112444
25,840221,113201
25,843671,113088
25,838315,113106
25,842343,112611
25,839710,114169
25,836655,113079
25,834821,112622
25,837355,112829
25,835482,112498
25,835466,112986
25,839653,113570
25,840778,113900
25,836454,112388
26,871925,117656
26,871803,117229
26,897678,118143
26,867001,118122
26,865479,117593
26,872415,117561
26,867894,117256
26,868572,117738
26,866994,117850
26,904900,119328
26,868400,118125
26,870411,116834
26,867892,118097
26,874152,148363
26,870262,118666
26,872003,118514
26,875717,118180
26,870208,117728
26,870014,117697
26,871617,118038
27,902928,120769
27,901588,121533
27,900581,120522
27,901400,120043
27,903482,120896
27,899573,120662
27,896605,120935
27,899491,120316
27,901259,120116
27,899556,121074
27,897509,120831
27,901042,120014
27,906909,120024
27,897799,123352
27,898885,119724
27,898365,120349
27,903995,120742
27,904497,122594
27,902964,119649
27,904543,120063
28,934167,125148
28,935079,125118
28,937319,124954
28,936359,124952
28,933138,125420
28,934518,125006
28,937677,125697
28,937276,125802
28,935532,125830
28,934620,125108
28,940530,124873
28,937352,125573
28,937994,126469
28,936630,125308
28,940486,125911
28,936023,126225
28,933331,125453
28,932788,124732
28,936824,125404
28,935828,125809
29,967375,125359
29,967856,124432
29,965831,125351
29,965279,124444
29,966485,125313
29,969008,124348
29,964578,124958
29,967534,124387
29,967762,124937
29,968458,124500
29,968284,125276
29,964995,123862
29,965809,125809
29,967113,124597
29,965912,125453
29,974824,124552
29,971586,125396
29,966057,125770
29,972183,125182
29,964796,125313
30,996900,127345
30,1033140,128612
30,999089,126405
30,994227,127452
30,992087,126940
30,993457,127403
30,1002062,126305
30,992801,129716
30,990183,129427
30,985741,126800
30,990082,128176
30,995107,127227
30,998830,127913
30,1026394,127045
30,992790,130330
30,994460,127037
30,996112,126869
30,996987,127299
30,989770,127657
30,1002446,127899
31,1076558,133354
31,1026199,132180
31,1024389,130730
31,1019658,131152
31,1024446,131760
31,1023382,131242
31,1024475,132417
31,1027571,131206
31,1022328,131810
31,1019994,131125
31,1016922,130923
31,1024259,131765
31,1025735,131604
31,1023103,131303
31,1024224,131654
31,1021999,134022
31,1024311,132236
31,1023271,130140
31,1024499,131242
31,1028298,130604
32,1057139,133069
32,1083288,132503
32,1058856,133674
32,1057822,136595
32,1065107,133158
32,1060937,133762
32,1057420,132903
32,1059678,133170
32,1054291,132984
32,1060512,133412
32,1056451,133572
32,1059763,132672
32,1054712,134735
32,1060548,133349
32,1058736,133805
32,1054973,132298
32,1059604,132112
32,1055241,132608
32,1058616,132843
32,1065626,133307
33,1089436,136652
33,1117383,136827
33,1086838,136218
33,1090091,136791
33,1087210,137762
33,1087290,136098
33,1091723,136758
33,1091613,136130
33,1088181,136754
33,1087373,136579
33,1089086,136896
33,1091048,136835
33,1117432,136579
33,1091379,136828
33,1084696,153547
33,1081593,136788
33,1187913,141955
33,1086791,137257
33,1085417,136470
33,1090224,136825
34,1118189,138939
34,1118047,138813
34,1117596,137111
34,1116681,138874
34,1115183,138648
34,1124125,140505
34,1123510,139883
34,1119215,139320
34,1125332,139373
34,1116881,138531
34,1118145,142286
34,1119472,140269
34,1118535,138856
34,1117289,138147
34,1116132,139518
34,1120662,138750
34,1121413,139615
34,1119750,139426
34,1121074,139131
34,1119615,137811
35,1149485,139882
35,1155324,140076
35,1152533,139730
35,1153261,140024
35,1155439,140274
35,1156027,140812
35,1150427,139876
35,1153427,140613
35,1157099,139761
35,1159128,139641
35,1158291,139480
35,1153283,139369
35,1153706,140042
35,1150390,140018
35,1155373,143170
35,1158887,141015
35,1161525,140791
35,1153143,140213
35,1155379,140812
35,1151440,140976
36,1178051,144523
36,1180334,144501
36,1175943,144626
36,1183901,144403
36,1180533,144275
36,1184098,143964
36,1183800,144405
36,1184147,144444
36,1179610,143530
36,1179672,145212
36,1183881,144362
36,1183756,144088
36,1180068,144561
36,1177862,144588
36,1178937,143825
36,1176010,143688
36,1181571,142892
36,1187269,144581
36,1180856,144935
36,1183961,143926
37,1214532,144315
37,1218202,146007
37,1213907,144607
37,1214643,144900
37,1222884,142890
37,1215768,144864
37,1216770,143782
37,1211620,143591
37,1220603,144841
37,1211541,147789
37,1212268,146093
37,1220247,144527
37,1219950,145041
37,1221069,144746
37,1217171,145096
37,1218989,145143
37,1223738,144392
37,1217846,143694
37,1218561,144259
37,1214817,144388
38,1246773,147533
38,1249648,147482
38,1243864,147621
38,1244299,147999
38,1246769,148903
38,1246640,147426
38,1245240,149347
38,1247316,147551
38,1248547,148753
38,1251544,148265
38,1244399,148322
38,1242031,147822
38,1244076,149493
38,1241083,148818
38,1251839,148972
38,1242221,148779
38,1251284,147966
38,1250266,148771
38,1245425,148817
38,1245735,149484
39,1279899,149094
39,1275784,146594
39,1273149,147962
39,1267364,147800
39,1268201,146835
39,1268705,147952
39,1277927,148549
39,1265881,148274
39,1266575,146755
39,1264856,147091
39,1268824,146907
39,1274833,148056
39,1273050,147806
39,1280750,148593
39,1276407,148168
39,1272813,146913
39,1279689,147420
39,1269629,147287
39,1262067,146863
39,1265455,147791
40,1309775,151493
40,1315481,151791
40,1307923,151782
40,1301550,151101
40,1305762,150597
40,1304404,150951
40,1336325,151035
40,1299134,151036
40,1301617,150679
40,1311018,151194
40,1307192,152088
40,1305251,150266
40,1308751,151855
40,1326777,165775
40,1338376,152189
40,1341976,150855
40,1305240,150387
40,1307698,151829
40,1310855,151728
40,1306801,150577
41,1335016,153794
41,1333671,152364
41,1336692,154383
41,1333025,153978
41,1341765,153615
41,1331460,152989
41,1329819,153639
41,1332785,153387
41,1336562,154305
41,1334198,154446
41,1331515,155112
41,1329819,153285
41,1329316,153178
41,1334553,153598
41,1331268,154005
41,1331346,153151
41,1333675,152999
41,1335834,162365
41,1334342,155335
41,1340526,154568
42,1357194,155772
42,1361451,157351
42,1360807,157632
42,1364912,156463
42,1359601,157350
42,1360005,157819
42,1362502,157402
42,1361710,157571
42,1367324,157297
42,1362262,156620
42,1357622,156185
42,1358932,156031
42,1367938,157509
42,1362522,155650
42,1359083,155757
42,1362741,156254
42,1367902,155131
42,1366311,155714
42,1397456,156464
42,1355211,157288
43,1393907,160956
43,1396260,161157
43,1395093,160817
43,1402698,162088
43,1395857,161252
43,1398186,161125
43,1393959,160653
43,1392700,160540
43,1395252,160525
43,1397039,160494
43,1394498,160604
43,1391044,160251
43,1393160,160045
43,1391062,160529
43,1391500,162258
43,1401489,161102
43,1400232,161296
43,1390853,162198
43,1390437,161167
43,1398446,159851
44,1428265,167191
44,1433176,167846
44,1435857,167242
44,1430303,168298
44,1437833,167914
44,1433587,167176
44,1425447,167408
44,1434161,166846
44,1430445,170385
44,1441013,168475
44,1426693,166499
44,1424670,167679
44,1428820,167142
44,1432807,166683
44,1435558,167645
44,1426224,166334
44,1423838,167151
44,1430076,167733
44,1440219,166476
44,1422371,167621
45,1454988,163498
45,1453986,163014
45,1475408,162634
45,1473790,162840
45,1461205,163914
45,1462182,162317
45,1463108,166387
45,1464647,163708
45,1455985,162247
45,1461584,163696
45,1453846,163837
45,1472700,163725
45,1461228,162664
45,1457560,162129
45,1457978,163605
45,1464702,163548
45,1454815,163272
45,1459953,162548
45,1462650,162993
45,1459538,163337
46,1489629,167941
46,1490337,167853
46,1480282,167256
46,1485227,167681
46,1501128,166304
46,1481679,168248
46,1489765,167174
46,1501237,167438
46,1480655,167729
46,1479255,167770
46,1495447,168232
46,1491714,167986
46,1488395,167562
46,1488602,168171
46,1496633,169578
46,1484108,167656
46,1483913,167602
46,1487600,168614
46,1485231,165953
46,1490889,168980
47,1515024,171007
47,1516234,171206
47,1539817,172085
47,1518370,172251
47,1527349,171021
47,1528701,171241
47,1527648,171551
47,1519320,171416
47,1512653,171725
47,1530384,172811
47,1518426,170925
47,1518420,171479
47,1525457,172069
47,1512037,171054
47,1509490,172767
47,1542970,201959
47,1548001,170907
47,1516811,172639
47,1513955,171778
47,1524716,171557
48,1554764,172491
48,1547480,170959
48,1556710,171462
48,1547317,171959
48,1546485,172023
48,1556633,171988
48,1543065,171893
48,1551093,171756
48,1552114,172422
48,1557748,171210
48,1549305,172404
48,1547225,174986
