Pallet: "system", Extrinsic: "set_changes_trie_config", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
d,extrinsic_time,storage_root_time
0,14850,3868468
0,8274,3055714
0,7846,3067385
0,7633,3001849
0,7252,3001460
0,7628,3033965
0,7425,3004034
0,7301,2996195
0,7258,3004431
0,7501,2994249
0,7239,2995200
0,7414,2991277
0,7182,3028489
0,7563,2999262
0,7361,3003755
0,7306,2991390
0,7095,2997796
0,16924,3028829
0,7354,2999583
0,7360,2996554
20,7836,3001410
20,7330,3002588
20,7140,2999508
20,7108,2997552
20,7179,2990894
20,7359,2997502
20,7079,2999048
20,7092,2999135
20,7195,2991168
20,7000,3036299
20,6968,2998099
20,7002,3003713
20,7225,2999264
20,12074,3001477
20,7250,3178798
20,7463,3001920
20,7009,3003826
20,7240,3000284
20,7157,2999128
20,7000,2991614
40,7184,3027152
40,7117,2993009
40,7187,3004532
40,7365,3032556
40,7071,3010132
40,6953,3007757
40,7452,2999610
40,7473,3001436
40,7256,3002115
40,7589,3001163
40,7302,2994152
40,6756,3003195
40,6915,2997476
40,7060,3032179
40,7007,2997756
40,6964,2992966
40,6965,3002540
40,7153,2997327
40,7266,3000665
40,6988,2994082
60,7261,2997605
60,7026,3001046
60,7192,2997665
60,6918,2994814
60,7050,2994812
60,8736,3031411
60,6837,3036778
60,7217,3007160
60,7340,3000610
60,6996,3006264
60,7311,3000724
60,6965,3000009
60,7139,2996209
60,7040,2993734
60,7161,3000986
60,7016,3002251
60,7036,3026334
60,7141,2993898
60,7081,3028806
60,7039,2991745
80,7055,2990187
80,7478,2995108
80,7064,2989116
80,7220,2993215
80,7224,2992165
80,7184,2993211
80,7179,2985870
80,6989,2987569
80,7050,3028553
80,6997,3000853
80,7273,2999725
80,7414,2993384
80,7261,3003122
80,7762,3001296
80,7197,2996660
80,7089,3000412
80,7150,2995266
80,6962,3000384
80,7192,2999350
80,6980,3029093
100,7306,3001802
100,7216,2992335
100,7325,3003357
100,7218,3002638
100,7216,3001953
100,6940,2994806
100,7089,2995781
100,7409,3003707
100,7521,2997187
100,7356,2999644
100,7049,2992421
100,7402,3027627
100,7080,2999104
100,7593,3001472
100,7415,2998008
100,7461,2992179
100,7125,3004339
100,6888,2997489
100,7085,3000582
100,7649,3002644
120,7442,2997454
120,7354,3003205
120,7017,3022374
120,7425,3004356
120,7772,3004135
120,7966,2996002
120,7187,3022094
120,7274,2989624
120,7145,2989288
120,8724,2994196
120,7177,2989009
120,7434,2991510
120,7416,2990943
120,7202,2993589
120,7034,2988542
120,7212,2986953
120,7045,3034406
120,6910,3026545
120,7142,3007037
120,7306,3002560
140,7604,3001592
140,7345,2998162
140,6951,3030153
140,6774,3002139
140,7390,3001426
140,7135,2998814
140,7840,3005300
140,7390,3003946
140,7780,3033970
140,7098,3007124
140,7423,3005902
140,7342,2996491
140,7180,3007718
140,7224,3007102
140,7163,3001881
140,7392,2999070
140,7198,2996437
140,7045,3004024
140,7117,2996584
140,6883,2998305
160,7349,3000038
160,7337,2992892
160,7788,3005298
160,7478,3003007
