Pallet: "elections", Extrinsic: "renounce_candidacy_member_runner_up", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
c,m,extrinsic_time,storage_root_time
16,20,46388,48781
16,20,45871,48746
16,20,45632,48943
16,20,45764,49016
16,20,45503,48718
16,20,45917,49652
16,20,45377,48766
16,20,44717,49751
16,20,46788,45136
16,20,45826,49384
16,20,45574,48701
16,20,45567,48972
16,20,45663,49242
17,20,44867,49784
17,20,45371,50161
17,20,45328,50070
17,20,44999,49432
17,20,45623,46960
17,20,44604,49810
17,20,44908,49805
17,20,44756,49341
17,20,44993,49788
17,20,44982,50052
17,20,45280,50168
17,20,45130,49585
17,20,45015,50366
17,20,45294,50279
17,20,44903,49677
17,20,44765,49417
17,20,45299,49318
17,20,45478,49560
17,20,45500,49518
17,20,45143,47393
18,20,46904,45285
18,20,46824,44862
18,20,45675,47342
18,20,47244,45289
18,20,45724,52167
18,20,45887,49347
18,20,45716,48874
18,20,45556,49171
18,20,46240,49789
18,20,45561,49476
18,20,45959,49123
18,20,45052,49726
18,20,45234,49825
18,20,45518,49000
18,20,45734,49190
18,20,45864,49270
18,20,47214,46219
18,20,45524,49362
18,20,46177,49343
18,20,44604,49465
19,20,46595,49370
19,20,45937,52322
19,20,45632,49393
19,20,45819,48868
19,20,45669,50009
19,20,46159,49431
19,20,46380,49521
19,20,46316,50293
19,20,46544,49294
19,20,45955,49451
19,20,45208,50501
19,20,46340,49437
19,20,45904,49330
19,20,46910,49612
19,20,46237,49590
19,20,46584,49358
19,20,46460,49592
19,20,46757,49249
19,20,46560,49400
19,20,46209,49625
20,20,45364,50099
20,20,45902,49533
20,20,46549,49906
20,20,45980,49181
20,20,46369,48333
20,20,46789,48927
20,20,46857,48339
20,20,46925,47789
20,20,45265,52173
20,20,46407,49633
20,20,46188,49406
20,20,45549,49585
20,20,46005,49538
20,20,46108,49429
20,20,45414,49512
20,20,46608,49731
20,20,46453,49243
20,20,45651,49586
20,20,45749,49404
20,20,45891,49116
21,20,46170,49270
21,20,45849,49388
21,20,49729,49900
21,20,46193,49632
21,20,46083,49361
21,20,46064,49451
21,20,46193,49266
21,20,46880,48398
21,20,46084,49655
21,20,45803,50068
21,20,45853,49515
21,20,45540,49504
21,20,45473,49713
21,20,45170,49247
21,20,46719,49068
21,20,46154,50287
21,20,46906,48663
21,20,46941,48146
21,20,46259,49021
21,20,46145,49829
22,20,46270,49763
22,20,46065,49363
22,20,46065,50019
22,20,46396,49755
22,20,46037,49409
22,20,46347,50252
22,20,46822,49429
22,20,46221,52597
22,20,46316,49706
22,20,45994,49390
22,20,46407,50053
22,20,45789,49231
22,20,45319,50372
22,20,46246,49460
22,20,46067,49734
22,20,45473,50685
22,20,46580,49451
22,20,46854,49882
22,20,45804,49031
22,20,46419,49523
23,20,46020,50184
23,20,46400,49863
23,20,45557,50460
23,20,45603,49496
23,20,46495,49515
23,20,45863,49918
23,20,46235,49787
23,20,45444,50521
23,20,46615,49702
23,20,45690,49966
23,20,46161,49961
23,20,45644,50417
23,20,46163,49953
23,20,46499,50090
23,20,47016,49564
23,20,45561,49309
23,20,46047,49852
23,20,46353,49546
23,20,46343,49758
23,20,46416,49887
24,20,46272,50325
24,20,47084,49916
24,20,46076,49797
24,20,46120,49502
24,20,46367,49448
24,20,46461,50700
24,20,46372,49540
24,20,46041,49648
24,20,46343,49568
24,20,45894,50094
24,20,45895,49976
24,20,46017,51331
24,20,45816,49730
24,20,45929,49931
24,20,46607,50248
24,20,46392,50318
24,20,45901,50208
24,20,46172,53717
24,20,46465,49853
24,20,46284,49699
25,20,45836,49525
25,20,45208,50255
25,20,48982,45960
25,20,46463,49560
25,20,46467,50012
25,20,45808,49418
25,20,45849,50027
25,20,46051,50023
25,20,46367,50407
25,20,45519,49691
25,20,46148,49136
25,20,45673,49618
25,20,45511,49446
25,20,45922,49779
25,20,45364,50884
25,20,46026,50368
25,20,45309,50064
25,20,45854,49478
25,20,48175,45205
25,20,46151,49435
26,20,46577,50279
26,20,45826,49826
26,20,46492,50271
26,20,45835,49751
26,20,45891,49520
26,20,46021,49846
26,20,45753,49607
26,20,45740,50416
26,20,46038,50173
26,20,46522,49780
26,20,45427,50446
26,20,45593,49407
26,20,46233,50030
26,20,46042,50193
26,20,46098,49830
26,20,46573,50001
26,20,45572,50797
26,20,45907,50320
26,20,46386,49942
26,20,46487,49874
27,20,45877,49604
27,20,46146,50350
27,20,45706,49889
27,20,46499,50682
27,20,45907,49865
27,20,46456,49817
27,20,45572,50506
27,20,46531,49456
27,20,46446,49528
27,20,46296,50014
27,20,46060,49482
27,20,45997,50211
27,20,45768,50050
27,20,45474,50730
27,20,46291,49542
27,20,46185,49617
27,20,46067,50429
27,20,45896,50274
27,20,45563,53055
27,20,45720,49949
28,20,46092,50044
28,20,45499,51018
28,20,46277,49422
28,20,45388,50275
28,20,45326,50995
28,20,46011,49800
28,20,49034,50893
28,20,46276,50824
28,20,45184,50572
28,20,46077,50143
28,20,45678,51426
28,20,46188,49394
28,20,46104,50010
28,20,45663,49472
28,20,49673,50087
28,20,46105,50105
28,20,46467,50113
28,20,45976,49719
28,20,45798,49971
28,20,46104,50373
29,20,45794,49927
29,20,45962,50249
29,20,46523,50411
29,20,45307,50479
29,20,45271,50765
29,20,46105,49953
29,20,46665,50452
29,20,45819,50044
29,20,45744,51382
29,20,45393,50371
29,20,45742,49823
29,20,45664,51152
29,20,45164,50689
29,20,45458,50554
29,20,45283,51044
29,20,45094,50913
29,20,46324,49868
29,20,45918,50219
29,20,45595,50052
29,20,45824,49500
30,20,46876,50360
30,20,46117,50034
30,20,46061,50309
30,20,45188,51355
30,20,45534,50921
30,20,46159,49771
30,20,46321,50089
30,20,46032,50498
30,20,46423,50134
30,20,46353,50113
30,20,46796,50349
30,20,45755,50118
30,20,46444,50183
30,20,45314,51159
30,20,46408,49663
30,20,46026,50615
30,20,46091,50121
30,20,46195,50949
30,20,46307,50352
30,20,45907,50594
31,20,46666,50742
31,20,46178,50399
31,20,45836,50049
31,20,46299,50224
31,20,46129,50416
31,20,46737,50691
31,20,45798,50985
31,20,46521,50716
31,20,46859,50613
31,20,46482,50583
31,20,46649,50474
31,20,46517,50706
31,20,46638,51019
31,20,46652,50782
31,20,46064,51090
31,20,46049,50782
31,20,46228,50314
31,20,46313,50839
31,20,46368,50951
31,20,46252,50729
32,20,45315,51251
32,20,45775,51527
32,20,46469,50525
32,20,46230,51060
32,20,46083,51279
32,20,46243,51817
32,20,46203,50497
32,20,46655,50849
32,20,45797,51212
32,20,46342,50638
32,20,46741,50495
32,20,46859,50279
32,20,47049,50476
32,20,46384,50911
32,20,46247,50317
32,20,46069,50187
32,20,46611,53780
32,20,46698,50991
32,20,45800,50992
32,20,45624,49842
33,20,46144,50399
33,20,45468,51635
33,20,45869,50189
33,20,47681,45295
33,20,46379,50534
33,20,46418,50530
33,20,45768,50725
33,20,45556,50817
33,20,45936,50179
33,20,46078,51055
33,20,46180,51186
33,20,45434,50130
33,20,45905,50748
33,20,46252,50694
33,20,46110,51027
33,20,46104,50595
33,20,46214,51049
33,20,46752,50808
33,20,46324,50364
33,20,46242,50332
34,20,46176,50311
34,20,45854,50636
34,20,46349,50664
34,20,46105,50717
34,20,46401,50637
34,20,46261,50785
34,20,45877,51169
34,20,45601,51408
34,20,45303,50974
34,20,45680,51591
34,20,45402,51253
34,20,45603,51088
34,20,45910,50656
34,20,46362,50787
34,20,48538,45592
34,20,46160,50812
34,20,45967,50574
34,20,45803,50713
34,20,45911,50355
34,20,45999,50665
35,20,46214,50703
35,20,45789,51649
35,20,45708,51422
35,20,46306,50636
35,20,46884,51042
35,20,45319,51836
35,20,46842,50477
35,20,46478,51450
35,20,45492,55079
35,20,45462,51355
35,20,45678,51170
35,20,45885,50705
35,20,45824,51614
35,20,46661,51398
35,20,45766,51343
35,20,45708,51361
35,20,45395,51370
35,20,45621,51437
35,20,46104,50564
35,20,46507,50910
36,20,46042,50892
36,20,45965,50603
36,20,45290,51102
36,20,46218,50744
36,20,45961,51171
36,20,45854,52000
36,20,46599,50980
36,20,45862,51016
36,20,45766,51124
36,20,46303,50829
36,20,46284,50559
36,20,46847,50843
36,20,45633,51530
36,20,45686,50840
36,20,45510,51273
36,20,46545,50378
36,20,46771,51223
36,20,46203,50502
36,20,46254,53673
36,20,45266,51939
37,20,46579,50772
37,20,47125,50972
37,20,46755,51229
37,20,46403,50641
37,20,46691,51252
37,20,45564,52018
37,20,45913,51841
37,20,46929,51383
37,20,46962,50918
37,20,47052,50714
37,20,45384,51731
37,20,45753,51693
37,20,45996,50605
37,20,45637,51756
37,20,45849,52035
37,20,46598,50283
37,20,46094,51550
37,20,46373,50672
37,20,45439,51527
37,20,46277,51585
38,20,46610,51055
38,20,46040,51685
38,20,46060,51605
38,20,46248,52264
38,20,46690,50884
38,20,45629,51728
38,20,46458,52097
38,20,45503,51948
38,20,46703,50850
38,20,46814,51065
38,20,46131,50921
38,20,46155,52134
38,20,46583,51774
38,20,47321,51032
38,20,45605,52011
38,20,46030,52439
38,20,45842,52242
38,20,46583,52291
38,20,46597,51202
38,20,46955,50537
39,20,46077,50960
39,20,45234,51626
39,20,46142,51011
39,20,46003,50612
39,20,45871,50479
39,20,46266,50977
39,20,46101,50776
39,20,45379,52502
39,20,45481,50564
39,20,46031,51362
39,20,45545,51016
39,20,45365,51454
39,20,45357,51890
39,20,46265,50726
39,20,46042,50886
39,20,45605,51331
39,20,45145,51786
39,20,45580,51771
39,20,45847,51224
39,20,46224,51795
40,20,46998,51234
40,20,46685,50786
40,20,46364,50823
40,20,46781,51161
40,20,45323,52034
40,20,45630,51802
40,20,45491,51048
40,20,46541,51077
40,20,46478,51407
40,20,46624,51413
