Pallet: "identity", Extrinsic: "kill_identity", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
r,s,x,extrinsic_time,storage_root_time
25,100,100,910004,632356
25,100,100,933028,628482
25,100,100,887288,608958
27,100,100,931087,659205
27,100,100,907748,639251
27,100,100,926271,612515
27,100,100,924410,651072
27,100,100,913897,643615
27,100,100,985488,635077
27,100,100,986922,702671
27,100,100,903827,621073
27,100,100,931484,716326
27,100,100,967218,666825
27,100,100,1036030,709084
27,100,100,1007689,639205
27,100,100,922094,676050
27,100,100,945378,647613
27,100,100,917700,657872
27,100,100,897898,622394
27,100,100,1126071,659431
27,100,100,1063879,685039
27,100,100,963835,613454
27,100,100,943860,676724
29,100,100,987118,643245
29,100,100,897839,616789
29,100,100,937553,672690
29,100,100,894260,696405
29,100,100,971611,747948
29,100,100,900081,650712
29,100,100,1037369,728991
29,100,100,941998,650956
29,100,100,898592,668047
29,100,100,912602,657453
29,100,100,1099650,618133
29,100,100,946288,665831
29,100,100,891575,721177
29,100,100,899031,667154
29,100,100,912638,712775
29,100,100,1017555,761755
29,100,100,1061038,637647
29,100,100,1074022,665813
29,100,100,904135,649088
29,100,100,987848,728155
31,100,100,912116,654037
31,100,100,998695,635958
31,100,100,1037775,743073
31,100,100,1612211,993987
31,100,100,967184,652465
31,100,100,1045566,696464
31,100,100,907965,750142
31,100,100,900896,667277
31,100,100,942083,659850
31,100,100,1003328,695131
31,100,100,1231386,683463
31,100,100,966483,632742
31,100,100,970163,748768
31,100,100,1047670,647537
31,100,100,893197,666951
31,100,100,903956,634189
31,100,100,961103,756028
31,100,100,906740,636841
31,100,100,923982,630746
31,100,100,937353,724282
33,100,100,923845,763071
33,100,100,954250,651575
33,100,100,1112884,677622
33,100,100,978868,621936
33,100,100,910148,666842
33,100,100,959133,650012
33,100,100,982235,654117
33,100,100,940858,616199
33,100,100,1081543,710864
33,100,100,906337,746996
33,100,100,978917,751874
33,100,100,928389,663311
33,100,100,941952,689669
33,100,100,916368,635179
33,100,100,985282,627714
33,100,100,1016871,895698
33,100,100,953845,661010
33,100,100,959695,676766
33,100,100,1012294,639040
33,100,100,961197,658250
35,100,100,956475,671828
35,100,100,969918,693639
35,100,100,929294,664093
35,100,100,958430,641219
35,100,100,910156,612951
35,100,100,905991,650038
35,100,100,903396,695240
35,100,100,921624,635764
35,100,100,994459,635155
35,100,100,910941,641467
35,100,100,972936,639535
35,100,100,933842,630558
35,100,100,1091563,800665
35,100,100,942905,676692
35,100,100,934806,651343
35,100,100,914278,627320
35,100,100,931139,677163
35,100,100,1031802,678048
35,100,100,1028122,675138
35,100,100,934985,638416
37,100,100,1027442,683962
37,100,100,929319,668331
37,100,100,1001547,650995
37,100,100,908068,614017
37,100,100,937556,637424
37,100,100,922412,616672
37,100,100,965216,636768
37,100,100,918752,649315
37,100,100,949946,636068
37,100,100,887578,649735
37,100,100,929939,649040
37,100,100,926066,676007
37,100,100,905215,687511
37,100,100,929563,674825
37,100,100,952452,723017
37,100,100,953946,625932
37,100,100,917177,654937
37,100,100,923564,787270
37,100,100,1002731,660308
37,100,100,897664,619845
39,100,100,919784,723687
39,100,100,926690,642196
39,100,100,1178791,638522
39,100,100,936908,810920
39,100,100,896020,689188
39,100,100,929809,652854
39,100,100,968569,682335
