Pallet: "claims", Extrinsic: "keccak256", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
i,extrinsic_time,storage_root_time
3400,2418937,2306
3400,2418324,2557
3400,2420138,2506
3400,2424075,2412
3400,2422286,2446
3400,2420048,2310
3400,2418647,2429
3400,2414250,2525
3400,2416756,2326
3400,2425922,2895
3400,2416799,2387
3400,2445049,2469
3400,2418010,2439
3400,2420664,2292
3400,2421324,2547
3400,2422310,2492
3400,2417013,2426
3400,10204024,8792
3400,2420951,2486
3400,2420190,2580
3600,2565682,2487
3600,2560704,2347
3600,2592690,2486
3600,2563961,2515
3600,2566487,2420
3600,2559810,2434
3600,2562593,2344
3600,2561831,2414
3600,2590672,2771
3600,2561902,2408
3600,2561735,2536
3600,2556897,2416
3600,2559131,2377
3600,2561899,2471
3600,2555596,2480
3600,2560949,2355
3600,2587186,2420
3600,2561578,2397
3600,2563759,2366
3600,2564226,2377
3800,2707375,2509
3800,2705154,2374
3800,2707650,2515
3800,2704271,2540
3800,2699030,2402
3800,2707770,2428
3800,2703259,2441
3800,2703391,2306
3800,2705274,2488
3800,2704301,2513
3800,2703735,2358
3800,2703912,2442
3800,2702242,2494
3800,2697290,2339
3800,2704862,2387
3800,2706970,2425
3800,2700563,2374
3800,2705091,2430
3800,2704121,2417
3800,2706465,2471
4000,2842315,2337
4000,2847466,2412
4000,2851010,2433
4000,2844660,2345
4000,2879095,2632
4000,2874329,2586
4000,2843320,2485
4000,2848511,2354
4000,2846499,2476
4000,2847816,2495
4000,2845461,2383
4000,2847638,2549
4000,2847657,2485
4000,2845395,2415
4000,2841915,2330
4000,2842663,2452
4000,2844982,2422
4000,2845378,2297
4000,2848490,2426
4000,2851697,2436
4200,2983756,2422
4200,2991650,2317
4200,2993012,2825
4200,3021340,2515
4200,2982162,2503
4200,2987071,2359
4200,2981674,2474
4200,2989354,2405
4200,2984315,2383
4200,2990497,2323
4200,2989341,2455
4200,2988618,2460
4200,2988724,2459
4200,2988841,2368
