Pallet: "utility", Extrinsic: "as_multi_create", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
s,z,extrinsic_time,storage_root_time
16,10000,65990,26094
16,10000,66490,26052
16,10000,66293,26054
16,10000,65741,25823
16,10000,65451,25907
16,10000,65722,25665
16,10000,65629,25799
16,10000,66033,25772
16,10000,65538,25836
16,10000,65924,25858
16,10000,65925,25855
16,10000,65995,25929
16,10000,66262,25679
16,10000,66080,25815
16,10000,65787,26161
16,10000,65764,25845
17,10000,66293,26216
17,10000,66083,26067
17,10000,66281,26012
17,10000,66083,25741
17,10000,66478,26207
17,10000,65891,25912
17,10000,66005,26082
17,10000,65958,25828
17,10000,65796,26071
17,10000,65871,25994
17,10000,65817,25942
17,10000,65914,25824
17,10000,66016,25963
17,10000,66141,26017
17,10000,65709,25911
17,10000,66179,25926
17,10000,65952,25976
17,10000,65950,26069
17,10000,65882,26237
17,10000,66143,26014
18,10000,66619,26322
18,10000,66361,26297
18,10000,66612,26522
18,10000,66515,26092
18,10000,66356,26227
18,10000,66325,26167
18,10000,66648,26215
18,10000,65918,25733
18,10000,66319,26007
18,10000,66382,26173
18,10000,66884,25932
18,10000,66186,26382
18,10000,66920,26442
18,10000,66158,26071
18,10000,66396,26258
18,10000,66230,26174
18,10000,66618,26088
18,10000,65962,25909
18,10000,66524,26003
18,10000,66124,25991
19,10000,66040,26479
19,10000,66335,26005
19,10000,66704,26249
19,10000,65970,25971
19,10000,66487,26118
19,10000,66020,25927
19,10000,66133,26075
19,10000,66025,25918
19,10000,66346,26369
19,10000,66201,26094
19,10000,67575,26265
19,10000,65918,26212
19,10000,65983,26166
19,10000,65903,26225
19,10000,66572,26144
19,10000,66969,26458
19,10000,65962,26365
19,10000,66409,26317
19,10000,66577,26199
19,10000,66184,25986
20,10000,66737,26630
20,10000,66630,26067
20,10000,66539,26132
20,10000,90207,39716
20,10000,66606,26253
20,10000,66668,26205
20,10000,66802,26221
20,10000,66659,26551
20,10000,66600,26199
20,10000,67050,26398
20,10000,66502,25969
20,10000,67341,26508
20,10000,66981,26237
20,10000,66498,26036
20,10000,66635,26286
20,10000,66820,26191
20,10000,66966,26265
20,10000,66738,26383
20,10000,67242,26224
20,10000,67457,26140
21,10000,67035,26589
21,10000,66666,26369
21,10000,66283,26511
21,10000,66424,26101
21,10000,66476,26205
21,10000,66412,26501
21,10000,66627,26168
21,10000,66408,26088
21,10000,66563,26174
21,10000,66191,26211
21,10000,66491,26345
21,10000,66445,26399
21,10000,66980,26317
21,10000,66645,26266
21,10000,66492,26216
21,10000,66611,26230
21,10000,66778,26256
21,10000,66061,26156
21,10000,66621,26102
21,10000,66222,26137
22,10000,66912,26251
22,10000,66732,26372
22,10000,67033,26577
22,10000,66810,26523
22,10000,66836,26593
22,10000,66679,26391
22,10000,67023,26564
22,10000,67482,26531
22,10000,66605,26418
22,10000,66775,28975
22,10000,66745,26631
22,10000,66663,26614
22,10000,67143,26277
22,10000,65914,26592
22,10000,66612,26485
22,10000,66520,26083
22,10000,66814,26550
22,10000,66870,26193
22,10000,66509,26249
22,10000,67034,26212
23,10000,67160,26712
23,10000,67362,26594
23,10000,66808,26545
23,10000,67554,26421
23,10000,67497,26397
23,10000,67061,26479
23,10000,66638,26636
23,10000,66946,26349
23,10000,67086,26375
23,10000,66627,26626
23,10000,66518,26149
23,10000,66948,26277
23,10000,66841,26304
23,10000,67526,26976
23,10000,67272,26373
23,10000,66720,26419
23,10000,67082,26287
23,10000,67335,26553
23,10000,67430,26364
23,10000,66765,26363
24,10000,67766,27055
24,10000,67701,26989
24,10000,67653,26886
24,10000,66839,26802
24,10000,66948,26503
24,10000,67029,27440
24,10000,67015,26528
24,10000,66821,26655
24,10000,67025,26471
24,10000,66937,26532
24,10000,67239,26662
24,10000,67368,26727
24,10000,67775,26756
24,10000,66945,26733
24,10000,66811,26786
24,10000,67696,26992
24,10000,67150,26504
24,10000,66701,26018
24,10000,67239,26744
24,10000,67563,26712
25,10000,67858,27032
25,10000,67703,26972
25,10000,66909,26618
25,10000,67346,27819
25,10000,67430,26786
25,10000,70813,26557
25,10000,67714,26963
25,10000,67681,26976
25,10000,67824,27012
25,10000,67454,26684
25,10000,67495,26756
25,10000,67908,27251
25,10000,67681,26554
25,10000,68017,26702
25,10000,68228,26981
25,10000,68395,27241
25,10000,67584,26828
25,10000,67520,26926
25,10000,67979,26794
25,10000,68098,26598
26,10000,67617,27103
26,10000,68024,26909
26,10000,68089,27037
26,10000,67230,26539
26,10000,67588,26786
26,10000,67520,26460
26,10000,67598,26845
26,10000,67595,26831
26,10000,67330,28785
26,10000,67598,26636
26,10000,67700,26502
26,10000,67839,26915
26,10000,68692,26890
26,10000,68342,27251
