Pallet: "elections", Extrinsic: "phragmen", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
c,v,e,extrinsic_time,storage_root_time
1,500,16,7822075,44381
1,500,16,7670741,41717
1,500,16,7738944,41646
1,500,16,7824052,41673
1,500,16,7744598,42042
1,500,16,7718877,41504
1,500,16,7791293,42032
1,500,16,7665160,41793
1,500,16,7684912,41492
1,500,16,7652865,41648
1,500,16,7579209,42134
1,500,16,7662762,42126
1,500,16,7647608,41947
1,500,16,7622742,41494
1,500,16,7714602,41619
1,500,16,7711194,41780
1,500,16,7692738,42035
1,500,16,7712175,41612
1,500,16,7689991,41800
1,500,16,7769970,41456
2,500,16,9236781,42404
2,500,16,9105270,41638
2,500,16,9121459,41996
2,500,16,9077431,42085
2,500,16,9154658,42179
2,500,16,9119754,41901
2,500,16,9096378,41583
2,500,16,8999294,41808
2,500,16,9158182,41750
2,500,16,9151839,42028
2,500,16,9121795,41538
2,500,16,9101719,41411
2,500,16,9181731,41914
2,500,16,9149620,41946
2,500,16,9212741,42177
2,500,16,9105459,41986
2,500,16,9067033,42398
2,500,16,9096926,41314
2,500,16,9033543,42026
2,500,16,9090095,41372
3,500,16,10815238,42744
3,500,16,10675755,42259
3,500,16,10715833,42520
3,500,16,10672035,42899
3,500,16,10709939,41851
3,500,16,10932970,42097
3,500,16,10729538,41884
3,500,16,10676726,41859
3,500,16,10729891,41941
3,500,16,10736013,42185
3,500,16,10652674,41898
3,500,16,10761953,42191
3,500,16,10651765,42722
3,500,16,10626739,42111
3,500,16,10636119,42436
3,500,16,10667901,42568
3,500,16,10686051,42276
3,500,16,10687236,41895
3,500,16,10743442,41811
3,500,16,10702211,42346
4,500,16,12460472,42903
4,500,16,12425267,42599
4,500,16,12342220,42972
4,500,16,12455218,42396
4,500,16,12284518,42468
4,500,16,12315744,42039
4,500,16,12419379,42770
4,500,16,12321480,42035
4,500,16,12384479,42474
4,500,16,12345827,41657
4,500,16,12434824,42218
4,500,16,12393838,44489
4,500,16,12410875,41594
4,500,16,12487407,42032
4,500,16,12365493,42577
4,500,16,12344318,42180
4,500,16,12402257,43040
4,500,16,12359964,42406
4,500,16,12331336,42655
4,500,16,12404621,42624
5,500,16,14699186,42235
5,500,16,14614987,43051
5,500,16,14836280,42988
5,500,16,14678571,43254
5,500,16,14654578,42479
5,500,16,14772122,42568
5,500,16,14733346,43211
5,500,16,14671178,42972
5,500,16,14716897,43021
5,500,16,14693591,42750
5,500,16,14713560,42456
5,500,16,14753846,42869
5,500,16,14738758,42787
5,500,16,14747076,43486
5,500,16,14665301,42706
5,500,16,14739421,43110
5,500,16,14754683,42958
5,500,16,14662104,43043
5,500,16,14716950,42106
5,500,16,14631131,42915
6,500,16,16921522,42572
6,500,16,16967501,42947
6,500,16,16963069,42992
6,500,16,16920680,42687
6,500,16,16910127,42971
6,500,16,16840699,42600
6,500,16,16846758,42531
6,500,16,16971791,42571
6,500,16,17056594,43733
6,500,16,16889497,43085
6,500,16,16829730,42929
6,500,16,16983260,43135
6,500,16,16893244,42679
6,500,16,17033487,43728
6,500,16,16932330,42976
6,500,16,16899677,42688
6,500,16,16936113,42357
6,500,16,17008218,43053
6,500,16,17073100,42735
6,500,16,16791540,42905
7,500,16,19609930,43303
7,500,16,19712489,43614
7,500,16,19589667,42270
7,500,16,19601821,43309
7,500,16,19591512,42690
7,500,16,19741074,42474
7,500,16,19717172,43273
7,500,16,19649686,43915
7,500,16,19784793,43304
7,500,16,19662274,42390
7,500,16,19567982,43272
7,500,16,19522743,42463
7,500,16,19602685,43397
7,500,16,19658173,43427
7,500,16,19615757,42519
7,500,16,19663903,42938
7,500,16,19674085,43462
7,500,16,19612068,42745
7,500,16,19598372,43158
7,500,16,19729644,43224
8,500,16,22913271,44396
8,500,16,22850899,43613
8,500,16,22819656,44368
8,500,16,22919927,44290
8,500,16,22825306,44728
8,500,16,22849049,43980
8,500,16,22788064,43319
8,500,16,22790614,43663
8,500,16,22815794,43976
8,500,16,22771499,43408
8,500,16,22825020,44004
8,500,16,22833097,44249
8,500,16,22833643,44113
8,500,16,22916424,43945
8,500,16,22904696,46718
8,500,16,22788120,43863
8,500,16,22815347,43890
8,500,16,22872948,44814
8,500,16,22865449,43259
8,500,16,22978341,44735
9,500,16,26732661,45640
9,500,16,26562676,44859
9,500,16,26511842,45436
9,500,16,26537114,44911
9,500,16,26470263,43426
9,500,16,26576433,45332
9,500,16,26543065,44915
9,500,16,26554824,44959
9,500,16,26576335,44620
9,500,16,26606758,44889
9,500,16,26587275,45449
9,500,16,26643629,44722
9,500,16,26545729,44881
9,500,16,26546644,44756
9,500,16,26531420,44304
9,500,16,26574802,44982
9,500,16,26493815,44258
9,500,16,26659996,45464
9,500,16,26536975,44986
9,500,16,26589412,44959
10,500,16,30416096,45622
10,500,16,30408890,45198
10,500,16,30342588,44268
10,500,16,30384798,46892
10,500,16,30296767,44406
10,500,16,30316458,44384
10,500,16,30380300,44861
10,500,16,30321464,44100
10,500,16,30304648,43910
10,500,16,30501871,45813
10,500,16,30302437,44210
10,500,16,30360380,44907
10,500,16,30330486,44462
10,500,16,30365832,45105
10,500,16,30362004,44494
10,500,16,30461840,44869
10,500,16,30435255,44728
10,500,16,30313788,43576
10,500,16,30444586,44947
10,500,16,30415543,44864
11,500,16,34353631,45044
11,500,16,34574142,43860
11,500,16,34433270,45080
11,500,16,34355642,43813
11,500,16,34367937,44909
11,500,16,34431206,45046
11,500,16,34324626,43748
11,500,16,34594995,45560
11,500,16,34382265,44953
11,500,16,34386120,44414
11,500,16,34344272,44010
11,500,16,34441307,44720
11,500,16,34416642,44617
11,500,16,34464854,45868
11,500,16,34427457,44779
11,500,16,34393381,44543
11,500,16,34392104,45000
11,500,16,34484873,45292
11,500,16,34399452,44896
11,500,16,34514572,45688
12,500,16,38797126,45749
12,500,16,38907502,45846
12,500,16,38863017,44158
12,500,16,38835455,45226
12,500,16,38747930,45523
12,500,16,38987986,45744
12,500,16,38924265,44978
12,500,16,38858544,44784
12,500,16,38877238,45676
12,500,16,38992621,45599
12,500,16,38774084,44062
12,500,16,38973521,45087
12,500,16,38819266,44195
12,500,16,38809417,45343
12,500,16,38794675,45236
12,500,16,38918400,45427
12,500,16,38838131,45060
12,500,16,38774283,44965
12,500,16,38660851,45084
12,500,16,38862403,44845
13,500,16,43643413,46414
13,500,16,43531399,45932
13,500,16,43643083,45662
13,500,16,43597076,45241
13,500,16,43714308,45880
13,500,16,43685114,45490
13,500,16,43527768,44832
13,500,16,43773201,45427
13,500,16,43611753,44453
13,500,16,43761604,46174
