Pallet: "staking", Extrinsic: "do_slash", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
l,extrinsic_time,storage_root_time
362,86185,69860
362,86027,69607
362,85973,69922
362,86799,70356
362,86043,70506
362,85547,69712
362,85769,70022
362,86510,70539
362,85811,69980
381,87634,70624
381,86869,70301
381,87819,70437
381,87414,69701
381,86653,70031
381,86670,70213
381,88037,70068
381,87597,70455
381,87223,69800
381,87649,70279
381,86821,69699
381,87057,69940
381,87211,69408
381,87487,70440
381,88556,71056
381,86813,69502
381,87879,69811
381,87269,70015
381,86811,69793
381,87692,70328
400,89066,70056
400,89195,70028
400,89667,70613
400,88744,70334
400,88742,70099
400,88529,69975
400,88890,70681
400,89562,69979
400,88646,70192
400,88934,69874
400,89278,69798
400,89259,70211
400,89171,70299
400,89011,70089
400,89250,70085
400,88818,70663
400,89087,69797
400,87971,69525
400,89589,70860
400,88884,70132
419,90180,71401
419,89162,69939
419,89781,70709
419,89494,70079
419,89760,70538
419,89529,70293
419,90780,70624
419,89548,70330
419,89700,70340
419,89376,69900
419,90044,70486
419,90054,70068
419,90020,69823
419,89657,70076
419,90198,70531
419,89503,69600
419,89856,70199
419,89605,70397
419,89497,69663
419,90072,70336
438,90949,70464
438,90606,69831
438,90628,70685
438,90115,69979
438,90614,69949
438,90737,70202
438,89664,69731
438,90268,69795
438,90685,70026
438,90428,88579
438,90084,69910
438,90944,70200
438,89948,69698
438,89768,69669
438,89601,70162
438,90357,70229
438,90454,70417
438,92875,70182
438,90741,70512
438,89962,69896
457,91607,69649
457,91755,70087
457,91781,70078
457,92376,70260
457,91851,69770
457,95413,70552
457,92524,70842
457,92326,70209
457,92113,70327
457,91987,70207
457,92163,70621
457,92607,70601
457,91662,70228
457,92337,70436
457,91201,69653
457,91411,70057
457,91810,69715
457,92145,69711
457,92140,70686
457,119913,70000
476,93932,69869
476,94728,70575
476,94481,71076
476,94261,70452
476,93338,70259
476,94365,70778
476,94216,70379
476,94402,70339
476,94602,70425
476,94301,70554
476,94021,70760
476,94172,70036
476,93620,69956
476,93837,70418
476,93896,70156
476,94329,70892
476,94449,70651
476,93907,70497
476,94349,70244
476,93967,70385
495,99417,72165
495,96005,71042
495,96352,70339
495,95971,70371
495,99491,70756
495,95602,70598
495,95286,70686
495,95490,70462
495,95670,70176
495,95994,70328
495,95425,70014
495,95947,70392
495,96841,69870
495,96671,70062
495,96044,70547
495,95552,70310
495,95627,70172
495,96009,70065
495,95749,70010
495,96267,69748
514,97387,70277
514,96813,70905
514,96448,70188
514,96530,70287
514,96640,70007
514,96600,70116
514,96809,71038
514,96690,101149
514,97296,70250
514,97048,70565
514,96799,70765
514,96637,70427
514,97392,70349
514,96472,70510
514,96478,70124
514,97349,70632
514,96745,70310
514,97027,70412
514,96538,70756
514,96303,70242
533,97915,70135
533,98413,70268
533,97683,73655
533,98336,70219
533,98657,70603
533,97893,70557
533,98325,70187
533,98207,70955
533,98430,70595
533,98345,70725
533,98956,71239
533,97812,70206
533,97727,69953
533,98726,70071
533,98128,70799
533,97954,70670
533,98022,70571
533,98784,70687
533,98451,70726
533,98125,70567
552,99286,70353
552,99764,70484
552,99445,70469
552,98669,70215
552,99120,70842
552,100071,70583
552,99222,70409
552,100195,70229
552,99223,70074
552,98804,70627
552,99197,70162
552,99422,70119
552,99115,70367
552,99717,70609
552,99153,70590
552,99293,70151
552,99114,69988
552,99057,69851
552,98843,70150
552,99087,70574
571,103753,70473
571,100181,70482
571,100311,70303
571,99506,70404
571,99484,69799
571,100445,70329
571,100764,70784
571,100214,70255
571,100479,69893
571,100495,70065
571,100271,70255
571,100391,70132
