Pallet: "treasury", Extrinsic: "tip_new", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
r,t,extrinsic_time,storage_root_time
4578,100,62302,52081
4578,100,61885,51409
4578,100,61536,50542
4578,100,63155,52869
4578,100,62604,51676
4578,100,61560,50262
4578,100,62535,52229
4578,100,62579,51905
4578,100,61969,51139
4905,100,64583,53308
4905,100,65968,51572
4905,100,62942,52255
4905,100,63303,52464
4905,100,62120,50835
4905,100,63253,53173
4905,100,63542,52216
4905,100,62613,51136
4905,100,63282,52725
4905,100,63090,52073
4905,100,62832,50977
4905,100,63602,52521
4905,100,63304,51226
4905,100,62436,51981
4905,100,63831,52295
4905,100,62538,53369
4905,100,63292,53071
4905,100,63505,52052
4905,100,62226,51110
4905,100,62987,52334
5232,100,65738,55958
5232,100,63510,51791
5232,100,65310,53008
5232,100,64304,51912
5232,100,63297,52248
5232,100,65002,52926
5232,100,64212,51917
5232,100,63841,53680
5232,100,64516,52772
5232,100,63634,54755
5232,100,64040,53112
5232,100,64684,52931
5232,100,63075,51617
5232,100,64503,53335
5232,100,64484,52024
5232,100,63108,52590
5232,100,64631,53277
5232,100,64147,51658
5232,100,63850,53420
5232,100,63826,53229
5559,100,64070,52938
5559,100,64471,52994
5559,100,65036,52671
5559,100,63802,54469
5559,100,64754,53323
5559,100,64795,52369
5559,100,64465,52888
5559,100,65812,53278
5559,100,65004,52249
5559,100,64650,53176
5559,100,65055,53007
5559,100,64820,52201
5559,100,64853,52450
5559,100,65379,52388
5559,100,64534,51391
5559,100,64949,52928
5559,100,64743,51976
5559,100,66270,80424
5559,100,65134,53375
5559,100,64652,52000
5886,100,66207,56149
5886,100,66457,54248
5886,100,65457,53162
5886,100,64879,54129
5886,100,65856,53521
5886,100,64895,53627
5886,100,65928,54174
5886,100,65591,53255
5886,100,65652,54043
5886,100,66248,54930
5886,100,65184,52939
5886,100,65816,54690
5886,100,65801,54356
5886,100,66044,53586
5886,100,65941,54091
5886,100,65654,53849
5886,100,65027,53499
5886,100,65787,53988
5886,100,65151,52966
5886,100,65069,54022
6213,100,70484,59536
6213,100,66138,54870
6213,100,66839,56900
6213,100,66161,56325
6213,100,66216,55277
6213,100,65834,57242
6213,100,66593,55935
6213,100,65472,54947
6213,100,66060,56383
6213,100,66167,55248
6213,100,64535,56215
6213,100,66544,56428
6213,100,65839,54801
6213,100,65383,57457
6213,100,66231,56121
6213,100,66054,54934
6213,100,66171,56746
6213,100,66912,55949
6213,100,64635,55129
6213,100,66524,56310
6540,100,67934,53668
6540,100,66174,54092
6540,100,67467,56932
6540,100,66206,52578
6540,100,66561,54699
6540,100,66949,54344
6540,100,66460,53110
6540,100,67065,54457
6540,100,67441,53366
6540,100,66176,53592
6540,100,67000,54264
6540,100,66416,52482
6540,100,66270,53910
6540,100,67722,54155
6540,100,66326,53074
6540,100,66361,54831
6540,100,70100,53959
6540,100,65610,53125
6540,100,66514,54499
6540,100,67073,53620
6867,100,66896,54911
6867,100,66897,54737
6867,100,66908,53081
6867,100,66488,53844
6867,100,67442,54445
6867,100,66569,53053
6867,100,66540,55265
6867,100,67879,54424
6867,100,65970,52760
6867,100,66515,54815
6867,100,67331,54019
6867,100,65844,53518
6867,100,67353,54509
6867,100,67144,53342
6867,100,66772,54255
6867,100,68752,54781
6867,100,66385,53180
6867,100,66830,55399
6867,100,67248,54175
6867,100,66377,52962
7194,100,69514,56334
7194,100,68268,54250
7194,100,66848,53943
7194,100,69120,55545
7194,100,68160,53545
7194,100,67396,54676
7194,100,69360,55621
7194,100,67823,56838
7194,100,68039,54530
7194,100,68903,54833
7194,100,67701,54512
7194,100,68470,55405
7194,100,68879,54200
7194,100,67059,54212
7194,100,69371,55157
7194,100,68098,53924
7194,100,67544,54391
7194,100,69098,55213
7194,100,67935,53600
7194,100,67899,55218
7521,100,70392,62641
7521,100,68353,60456
7521,100,69045,60770
7521,100,70264,60505
7521,100,68009,59787
7521,100,69882,61392
7521,100,68682,59403
7521,100,68034,60570
7521,100,70029,61022
7521,100,69292,59652
7521,100,69285,61036
7521,100,69817,60693
7521,100,69242,59903
7521,100,68601,61009
7521,100,69766,60883
7521,100,68142,60630
7521,100,69061,61039
7521,100,69728,60437
7521,100,71074,59794
7521,100,69702,61287
7848,100,69846,58278
7848,100,69004,58025
