Pallet: "proxy", Extrinsic: "remove_proxy", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
p,extrinsic_time,storage_root_time
20,17732,21233
20,18020,21005
20,17813,21000
20,17701,21046
20,17615,20922
20,17481,20729
20,17691,20922
20,17771,20909
20,17724,21057
21,17871,21064
21,17770,21131
21,17702,21203
21,17437,21001
21,17688,21323
21,17695,21263
21,17681,21079
21,17678,21060
21,17710,21241
21,17475,21233
21,17962,21191
21,17727,21052
21,17683,21037
21,17625,21268
21,17405,21014
21,17674,21273
21,17630,21066
21,17563,21081
21,17439,21243
21,17451,21212
22,18175,21273
22,18243,21522
22,17757,21528
22,18005,21392
22,17980,21210
22,18060,21270
22,17846,21402
22,18031,21062
22,17943,21199
22,17834,21067
22,18045,21138
22,17688,21320
22,18162,21110
22,18083,21199
22,17800,20958
22,18056,20942
22,17858,21198
22,18116,21250
22,17994,21197
22,17947,21048
23,18021,21367
23,17829,21263
23,18030,21076
23,18140,21299
23,18053,21244
23,17925,21131
23,18023,21402
23,17971,21137
23,17819,21241
23,18018,21036
23,17968,21248
23,17922,20822
23,17903,20933
23,18021,20963
23,18004,21300
23,17860,21099
23,17848,21066
23,17998,21197
23,17860,21401
23,17962,21279
24,18468,21373
24,18223,21311
24,18159,21257
24,18110,21384
24,18112,21411
24,18224,21432
24,18060,21618
24,18250,21295
24,18123,21319
24,18176,21268
24,18009,21058
24,18079,20955
24,18205,21340
24,18172,21462
24,18228,21289
24,18224,21202
24,18040,21169
24,17937,20884
24,18067,21147
24,18211,21222
25,18134,21513
25,18478,21375
25,18189,21158
25,18480,24033
25,18007,21327
25,18064,21047
25,18116,21076
25,18371,21085
25,18320,21334
25,18202,21235
25,18042,21161
25,18353,21195
25,18264,21363
25,18477,21422
25,18195,21128
25,18508,21107
25,18527,21358
25,18301,21087
25,18455,21054
25,18256,21278
26,18552,21447
26,18388,21543
26,18185,21199
26,18605,21635
26,18406,21271
26,18355,21374
26,18490,21319
26,18260,21588
26,18490,21407
26,18539,21722
26,18458,21505
26,18443,21272
26,18233,21468
26,18577,21483
26,18462,21487
26,18286,21322
26,18235,21299
26,18126,21172
26,18192,21456
26,18116,21131
27,18548,21489
27,18690,21488
27,18573,21402
27,18455,21546
27,18482,21594
27,18450,20997
27,18407,21252
27,18388,21333
27,18457,21457
27,18525,21283
27,19321,34354
27,18271,21248
27,18465,21746
27,18446,21289
27,18289,21414
27,18525,21397
27,18380,21444
27,18714,21432
27,18300,21413
27,31518,21443
28,18855,21571
28,18666,21243
28,18670,21479
28,18833,21360
28,18585,21305
28,18629,21384
28,18549,21193
28,18582,21448
28,18800,21405
28,18761,21719
28,18577,21180
28,18596,21388
28,18657,21116
28,18664,21410
28,18496,21170
28,18714,21232
28,18640,21337
28,19071,21545
28,18628,21570
28,18685,21356
29,19418,21452
29,19339,21379
29,19361,21382
29,19386,21626
29,19228,21307
29,19427,21690
29,19368,21290
29,19260,21212
29,19222,21281
29,19228,21386
29,19425,21392
29,19326,21353
29,19260,21504
29,19254,21531
29,19362,21433
29,19218,21400
29,19556,21365
29,19232,21132
29,19588,21294
29,19322,21464
30,19632,21603
30,19372,21734
30,19677,21578
30,19224,21628
30,19318,21897
30,19309,21312
30,19478,21612
30,19501,21689
30,19526,21719
30,19313,21445
30,19516,21604
30,19563,21797
30,19329,21742
30,19420,21649
30,19466,21764
30,19431,21717
30,19304,21629
30,19446,21671
30,19307,24116
30,19431,21859
31,20337,22223
31,20141,22062
31,20217,22187
31,20155,21820
31,20016,21763
31,19822,21829
31,19772,24146
31,19968,21589
31,19719,21604
31,20039,21712
31,19743,21504
31,19808,21466
31,19940,21746
31,19974,21904
31,22318,22003
31,19956,21869
31,19996,21975
31,20041,21874
31,19992,21748
31,20017,22073

Median Slopes Analysis
========

Model:
Time ~=     14.4
    + p    0.162
              µs

Min Squares Analysis
========

Data points distribution:
    p   mean µs  sigma µs       %
    1     14.21     0.065    0.4%
    2     14.65     0.041    0.2%
    3      14.8     0.054    0.3%
    4     15.05     0.061    0.4%
    5     15.18     0.038    0.2%
    6     15.33     0.053    0.3%
    7      15.6     0.053    0.3%
    8     15.77     0.044    0.2%
    9     15.95     0.047    0.2%
   10     16.09     0.046    0.2%
   11     16.31     0.049    0.3%
   12      16.4     0.052    0.3%
   13     16.61     0.054    0.3%
   14     16.86     0.046    0.2%
   15     16.84     0.039    0.2%
   16     16.97     0.026    0.1%
   17     17.19     0.039    0.2%
   18     17.51     0.035    0.1%
   19     17.44     0.052    0.2%
   20     17.74     0.041    0.2%
   21     17.66      0.04    0.2%
   22     17.99     0.059    0.3%
   23     17.96     0.039    0.2%
   24     18.15     0.046    0.2%
   25     18.29     0.082    0.4%
   26     18.37     0.086    0.4%
   27     18.47     0.041    0.2%
   28     18.65     0.031    0.1%
   29     19.32     0.046    0.2%
   30     19.41     0.058    0.2%
   31     19.99     0.032    0.1%

Quality and confidence:
param     error
p         0.001

Model:
Time ~=    14.37
    + p    0.164
              µs

