Pallet: "system", Extrinsic: "remark", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
b,extrinsic_time,storage_root_time
6540,671,1784
6540,697,1757
6540,702,1751
6540,677,1743
6540,682,1824
6540,672,1782
6540,692,1826
6540,646,1771
6540,692,1795
6540,660,1772
6540,685,1772
6540,716,1750
6540,694,1731
6540,692,1749
6540,714,1763
6540,693,1776
6540,681,1748
6540,705,1822
6540,740,1786
6867,720,1767
6867,685,1744
6867,687,1796
6867,679,1761
6867,710,1792
6867,696,1736
6867,682,1774
6867,708,1735
6867,697,1799
6867,683,1797
6867,691,1756
6867,701,1717
6867,689,1795
6867,678,1760
6867,682,1760
6867,692,1792
6867,701,1806
6867,705,1721
6867,686,1781
6867,707,1721
7194,694,1803
7194,670,1754
7194,684,1777
7194,720,1757
7194,693,1740
7194,689,1762
7194,675,1794
7194,698,1768
7194,687,1764
7194,697,1763
7194,683,1765
7194,690,1754
7194,702,1754
7194,697,1763
7194,680,1705
7194,679,1789
7194,701,1722
7194,676,1762
7194,677,1708
7194,717,1703
7521,692,1738
7521,668,1732
7521,677,1733
7521,690,1751
7521,696,1719
7521,692,1740
7521,724,1725
7521,719,1772
7521,696,1672
7521,734,1780
7521,693,1787
7521,689,1768
7521,675,1722
7521,715,1729
7521,712,1725
7521,698,1710
7521,697,1777
7521,667,1700
7521,732,1714
7521,728,1767
7848,684,1788
7848,683,1733
7848,699,1702
7848,684,1749
7848,722,1789
7848,694,1787
7848,688,1732
7848,696,1737
7848,663,1717
7848,689,1777
7848,677,1753
7848,692,1726
7848,672,1749
7848,695,1725
7848,681,1723
7848,696,1749
7848,688,1755
7848,702,1769
7848,669,1764
7848,682,1736
8175,685,1738
8175,660,1730
8175,723,1769
8175,700,1692
8175,693,1758
8175,692,1705
8175,694,1711
8175,664,1682
8175,659,1678
8175,688,1699
8175,684,1753
8175,689,1756
8175,700,1701
8175,763,1796
8175,698,1799
8175,748,1780
8175,704,1746
8175,686,1758
8175,696,1767
8175,714,1756
8502,717,1793
8502,722,1730
8502,688,1728
8502,693,1737
8502,685,1775
8502,704,1744
8502,680,1790
8502,740,1747
8502,690,1728
8502,690,1788
8502,681,1749
8502,705,1803
8502,691,1771
8502,725,1782
8502,676,1745
8502,689,1743
8502,689,1780
8502,744,1737
8502,699,1787
8502,693,1728
8829,744,1756
8829,710,1737
8829,718,1736
8829,701,1743
8829,713,1767
8829,701,1759
8829,718,1758
8829,703,1740
8829,698,1765
8829,694,1779
8829,704,1779
8829,709,1749
8829,739,1818
8829,728,1778
8829,689,1851
8829,771,1786
8829,707,1807
8829,697,1692
8829,757,1835
8829,711,1833
9156,712,1774
9156,728,1761
9156,743,1763
9156,714,1764
9156,716,1787
9156,700,1755
9156,701,1729
9156,742,1699
9156,704,1789
9156,700,1746
9156,731,1759
9156,718,1684
9156,725,1823
9156,722,1750
9156,715,1780
9156,684,1738
9156,701,1720
9156,702,1747
9156,688,1822
9156,708,1750
9483,695,1762
9483,698,1749
9483,699,1740
9483,721,1774
9483,705,1772
9483,686,1742
9483,728,1756
9483,685,1768
9483,701,1792
9483,687,1780
9483,699,1799
9483,695,1707
9483,705,1805
9483,726,1755
9483,693,1782
9483,685,1724
9483,736,1715
9483,733,1769
9483,716,1812
9483,731,1758
9810,736,1742
9810,699,1706
9810,729,1798
9810,699,1762
9810,683,1774
9810,724,1752
9810,705,1690
9810,706,1784
9810,702,1748
9810,727,1752
9810,692,1765
9810,700,1746
9810,694,1736
9810,688,1738
9810,697,1752
9810,707,1781
9810,733,1748
9810,705,1784
9810,730,1785
9810,696,1721
10137,708,1773
10137,698,1762
10137,689,1862
10137,719,1794
10137,697,1751
10137,722,1707
10137,669,1686
10137,719,1757
10137,698,1778
10137,688,1750
10137,681,1712
10137,703,1752
10137,721,1790
10137,715,1799
10137,691,1817
10137,691,1728
10137,713,1768
10137,704,1795
10137,708,1798
10137,681,1774
10464,692,1676
10464,705,1748
10464,714,1754
10464,720,1785
10464,705,1763
10464,704,1740
10464,719,1764
10464,688,1742
10464,713,1797
10464,713,1782
10464,703,1744
10464,694,1811
10464,693,1771
10464,700,1801
10464,701,1785
10464,716,1695
10464,696,1817
10464,727,1779
10464,706,1782
10464,674,1744
10791,690,1775
10791,710,1773
10791,706,1791
10791,728,1770
10791,690,1841
10791,688,1723
10791,696,1785
10791,688,1772
10791,699,1761
10791,696,1888
10791,711,1763
10791,714,1823
10791,708,1770
10791,704,1795
10791,674,1768
10791,690,1743
10791,702,1790
10791,691,1779
10791,670,1752
10791,726,1773
11118,678,1705
11118,755,1791
11118,692,1773
11118,685,1785
11118,674,1757
11118,709,1781
11118,699,1790
11118,702,1782
11118,712,1805
11118,707,1772
11118,692,1770
11118,718,1734
11118,708,1773
11118,691,1758
11118,673,1710
11118,719,1762
11118,695,1749
11118,684,1782
11118,724,1768
11118,709,1738
11445,733,1793
11445,685,1740
11445,698,1806
11445,673,1749
11445,710,1771
11445,687,1761
11445,703,1792
11445,696,1857
11445,672,1762
11445,706,1757
11445,686,1751
11445,698,1760
11445,702,1763
11445,689,1785
11445,683,1806
11445,668,1768
11445,686,1791
11445,682,1771
11445,715,1709
11445,700,1712
11772,665,1770
11772,693,1764
11772,689,1818
11772,667,1676
11772,711,1738
11772,699,1786
11772,674,1792
11772,709,1748
11772,717,1781
11772,715,1724
11772,701,1813
11772,686,1793
11772,686,1775
11772,701,1778
11772,718,1787
11772,702,1801
11772,732,1779
11772,702,1759
11772,708,1744
11772,709,1767
12099,697,1809
12099,697,1838
12099,672,1821
12099,695,1715
12099,747,1836
12099,707,1808
12099,697,1783
12099,705,1772
12099,703,1750
12099,722,1810
12099,708,1809
12099,707,1749
12099,682,1759
12099,736,1755
12099,696,1780
12099,685,1828
12099,706,1791
12099,729,1807
12099,694,1713
12099,684,1765
12426,701,1787
12426,695,1755
12426,697,1738
12426,692,1741
12426,677,1754
12426,724,1757
12426,707,1771
12426,688,1781
12426,707,1721
12426,706,1762
12426,689,1760
12426,695,1759
12426,674,1751
12426,712,1741
12426,662,1784
12426,685,1784
12426,671,1755
12426,678,1778
12426,681,1717
12426,693,1747
12753,688,1775
12753,705,1784
12753,676,1785
12753,708,1736
12753,683,1795
12753,681,1781
12753,716,1821
12753,718,1832
12753,688,1798
12753,671,1773
12753,726,1760
12753,699,1798
12753,680,1704
12753,684,1767
12753,685,1780
12753,672,1732
12753,695,1782
12753,664,1762
12753,708,1730
12753,702,1777
