Pallet: "offences", Extrinsic: "report_offence", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
r,o,n,extrinsic_time,storage_root_time
41,100,100,1278731821,176488054
41,100,100,1326391680,178765848
41,100,100,1299614147,179691195
41,100,100,1268435898,178895558
41,100,100,1271911773,174155776
41,100,100,1251903357,175037200
41,100,100,1314143197,174333884
41,100,100,1287226649,178159164
41,100,100,1241710710,177940452
41,100,100,1281840364,177951174
41,100,100,1308371650,176836441
41,100,100,1274165329,174517878
45,100,100,1268101056,182061069
45,100,100,1256325483,176459732
45,100,100,1290963163,177345746
45,100,100,1284688487,178517715
45,100,100,1300775312,175913916
45,100,100,1277062295,182029531
45,100,100,1256068079,173321649
45,100,100,1250026946,177812039
45,100,100,1269412701,175512161
45,100,100,1268343744,177147610
45,100,100,1284480060,176501374
45,100,100,1286523381,179117725
45,100,100,1275761029,174711045
45,100,100,1292698237,180769525
45,100,100,1262169602,172654955
45,100,100,1292297211,172320589
45,100,100,1289654031,178153377
45,100,100,1275888659,175934793
45,100,100,1277783872,176522909
45,100,100,1299627066,176659176
49,100,100,1295078604,175130255
49,100,100,1283623051,179017877
49,100,100,1303743666,179981840
49,100,100,1265428985,178473309
49,100,100,1325203497,178590564
49,100,100,1291155271,175952486
49,100,100,1289913410,176884511
49,100,100,1283351405,178376351
49,100,100,1285980895,174960246
49,100,100,1276261004,176261550
49,100,100,1282000114,177538604
49,100,100,1296515400,212616161
49,100,100,1270677613,175187159
49,100,100,1281141474,173918283
49,100,100,1275906337,177406100
49,100,100,1314666761,182039240
49,100,100,1286596072,179568671
49,100,100,1289386326,176270275
49,100,100,1289960052,178371425
49,100,100,1301160899,181506367
53,100,100,1284301219,177236958
53,100,100,1368919094,176046689
53,100,100,1309305660,174678862
53,100,100,1293702339,177076123
53,100,100,1286092560,174540409
53,100,100,1280237565,179957929
53,100,100,1299787945,178280490
53,100,100,1268987872,174926679
53,100,100,1311242583,180326574
53,100,100,1307323496,184229112
53,100,100,1342571463,177053350
53,100,100,1319366477,179067179
53,100,100,1313675688,177723317
53,100,100,1325761211,179222112
53,100,100,1313183523,180452861
53,100,100,1331373633,180853528
53,100,100,1356362612,182646062
53,100,100,1307433321,178051109
53,100,100,1314865280,177236085
53,100,100,1319548767,178017803
57,100,100,1329502197,182057214
57,100,100,1348084575,181258475
57,100,100,1352474948,183875079
57,100,100,1310538379,176973850
57,100,100,1299500753,180148949
57,100,100,1333685055,184868642
57,100,100,1318227807,181867404
57,100,100,1324258552,177307976
57,100,100,1317153642,181947795
57,100,100,1293320583,179758674
57,100,100,1296977941,177721200
57,100,100,1298380844,173888647
57,100,100,1287520320,176133894
57,100,100,1323770905,177573213
57,100,100,1287351922,178669008
57,100,100,1292512532,184590887
57,100,100,1299997546,177397209
57,100,100,1344080410,174453047
57,100,100,1285608697,176984808
57,100,100,1303503609,178050389
61,100,100,1302443991,176230447
61,100,100,1297277280,174767492
61,100,100,1338944512,176108268
61,100,100,1285169943,172208302
61,100,100,1303165467,177626997
61,100,100,1317896301,176433815
61,100,100,1284719457,176206317
61,100,100,1289098771,174564881
61,100,100,1278396523,173859926
61,100,100,1303780852,174853928
61,100,100,1276949793,173848804
61,100,100,1295700224,176583996
61,100,100,1301425572,175806097
61,100,100,1303867916,171572785
61,100,100,1322242707,181865102
61,100,100,1302553422,176506124
61,100,100,1291859518,176887991
61,100,100,1303875555,176489826
61,100,100,1273666696,174178898
61,100,100,1292837896,191270372
65,100,100,1309966835,182527238
65,100,100,1303856850,174776003
65,100,100,1301954611,175548181
65,100,100,1292524313,175665099
65,100,100,1286575643,176774796
65,100,100,1300895946,177623840
65,100,100,1332543361,177917697
65,100,100,1294959415,175652191
65,100,100,1291746168,174342709
65,100,100,1311967060,174810573
65,100,100,1323831001,180950246
65,100,100,1310044580,179037473
65,100,100,1314669234,182403562
65,100,100,1306487026,177638106
65,100,100,1318609407,178548693
65,100,100,1306265776,175251701
65,100,100,1335764918,176973354
65,100,100,1343792886,183505916
65,100,100,1332309288,174107309
65,100,100,1307671332,177152504
69,100,100,1318021122,174980485
69,100,100,1307416241,178098993
69,100,100,1331123477,193814810
69,100,100,1347814201,177529158
69,100,100,1341266306,178860371
69,100,100,1356187063,180411206
69,100,100,1343844605,175628395
69,100,100,1337143662,177015491
69,100,100,1352271905,180831839
69,100,100,1306627870,174104883
69,100,100,1299663072,173624205
69,100,100,1319207882,174286089
69,100,100,1343379188,177202971
69,100,100,1301811107,176977858
69,100,100,1315699759,178386538
69,100,100,1326315687,176347804
69,100,100,1327668845,175191979
69,100,100,1305186828,173983993
69,100,100,1308002415,176932463
69,100,100,1348198039,176778256
73,100,100,1318780490,180778568
73,100,100,1367410796,178779445
73,100,100,1338984145,177489440
73,100,100,1343744795,176080969
73,100,100,1336893862,176539291
73,100,100,1337256619,175969747
73,100,100,1330195924,177523534
73,100,100,1313698934,176167764
73,100,100,1334128610,175102529
73,100,100,1303701400,175404802
73,100,100,1336812383,178304652
73,100,100,1340475137,183879217
73,100,100,1361963316,177531262
73,100,100,1367974263,173952358
73,100,100,1315710568,177502738
73,100,100,1385823546,196151271
73,100,100,1421957863,182382262
73,100,100,1372869235,182601882
73,100,100,1359283327,177533082
73,100,100,1348955611,183215726
77,100,100,1331730956,178421274
77,100,100,1366134369,181551700
77,100,100,1362122984,181463586
77,100,100,1350239918,178895723
77,100,100,1334270897,180512095
77,100,100,1348482593,176821834
77,100,100,1346428749,178171510
77,100,100,1349622103,181979351
77,100,100,1353097198,178227137
77,100,100,1352276508,177083157
77,100,100,1347808845,181560396
77,100,100,1315284217,176443586
77,100,100,1331753711,184213586
77,100,100,1383678283,180798806
77,100,100,1362184106,182451995
77,100,100,1337308673,177374355
77,100,100,1328174490,176582781
77,100,100,1345368434,175329398
77,100,100,1347649770,180180767
77,100,100,1386979189,183148815
81,100,100,1372385559,184173804
81,100,100,1357721869,179663859
81,100,100,1348954417,180127877
81,100,100,1343502554,179881750
81,100,100,1358291910,179982582
81,100,100,1346431252,178140772
81,100,100,1363621199,178054185
81,100,100,1388258238,182787133
81,100,100,1371648891,181760365
81,100,100,1370129057,177715491
81,100,100,1346314379,177829901
81,100,100,1345068559,177429944
81,100,100,1357428727,179564044
81,100,100,1384756239,176315095
81,100,100,1371687195,181027264
81,100,100,1355410157,180286143
81,100,100,1359599992,191886663
81,100,100,1336918250,177307703
81,100,100,1353597996,179810372
81,100,100,1352872282,180147253
85,100,100,1371643138,194161850
85,100,100,1373299439,182130459
85,100,100,1334855519,177740132
85,100,100,1364258078,179771130
85,100,100,1391490901,179838456
85,100,100,1407332299,181730159
85,100,100,1362162970,181305489
85,100,100,1363283494,177661057
85,100,100,1339000835,177621521
85,100,100,1358321216,176876359
85,100,100,1367728702,180440647
85,100,100,1367339935,180602691
85,100,100,1376496263,180627141
85,100,100,1352174572,176498534
85,100,100,1368672476,176862880
85,100,100,1347655476,178185147
85,100,100,1382171742,181646968
85,100,100,1337783632,184631505
85,100,100,1368494885,181578094
85,100,100,1335992983,177693774
89,100,100,1373408343,178117669
89,100,100,1387823869,183450830
89,100,100,1375002354,183437030
89,100,100,1358123100,181450466
89,100,100,1375749079,182801226
89,100,100,1358990532,179924008
89,100,100,1393693254,180235723
89,100,100,1377949276,177760760
89,100,100,1385768871,192900308
89,100,100,1369546052,183016292
89,100,100,1377128021,181182951
89,100,100,1362259288,183495700
89,100,100,1384715683,180811164
89,100,100,1373839349,181436994
89,100,100,1371717523,181474191
89,100,100,1370770004,181530466
89,100,100,1370894986,176957630
89,100,100,1419107006,180589811
89,100,100,1353892435,176204809
89,100,100,1340805817,176106171
93,100,100,1395798174,184682512
93,100,100,1424387415,183212570
93,100,100,1351383886,179003419
93,100,100,1350513290,177940588
93,100,100,1387006678,184487331
93,100,100,1396643174,176366058
93,100,100,1397404950,181505782
93,100,100,1400907510,182030672
93,100,100,1358548529,179902013
93,100,100,1356515166,179830462
93,100,100,1358833322,179164328
93,100,100,1376809433,179066400
93,100,100,1340860013,176457150
93,100,100,1372732942,180459748
93,100,100,1360768544,181994838
93,100,100,1359967789,180028906
93,100,100,1363147531,180969725
93,100,100,1383001372,182267770
93,100,100,1377385828,178772883
93,100,100,1357291151,180540729
97,100,100,1377092022,180348737
97,100,100,1360871847,177798962
97,100,100,1385707619,184907775
97,100,100,1374595543,180128461
97,100,100,1386309704,177350426
97,100,100,1360492104,175790160
97,100,100,1381193857,174848597
97,100,100,1381521013,175359183
97,100,100,1377284896,180229998
97,100,100,1353927709,189352995
97,100,100,1372510956,181798203
97,100,100,1384185448,179161381
97,100,100,1360114030,178866586
97,100,100,1359885370,181470210
97,100,100,1371244328,178482427
97,100,100,1385238421,176835478
97,100,100,1379288419,177148627
97,100,100,1382339337,180477692
97,100,100,1387909068,179215925
97,100,100,1368032947,180125080
100,1,100,644721,171982
100,1,100,543185,163200
100,1,100,533447,158615
100,1,100,520279,157469
100,1,100,496420,157316
100,1,100,509761,158383
100,1,100,611047,160130
100,1,100,551389,159182
100,1,100,514199,157592
100,1,100,567213,166650
100,1,100,514280,156939
100,1,100,529681,160656
100,1,100,532647,151793
100,1,100,499603,153451
100,1,100,508098,176138
100,1,100,522207,174583
100,1,100,524716,160902
100,1,100,512960,160403
100,1,100,530059,161236
100,1,100,527060,159765
100,5,100,35339313,5816650
100,5,100,36095968,5568523
100,5,100,35577746,5937172
100,5,100,35487570,5919636
100,5,100,35584320,6002001
100,5,100,35938440,5959523
100,5,100,33908086,5812445
100,5,100,35529773,5772444
100,5,100,35221596,6211553
100,5,100,37687910,6065281
100,5,100,36358876,6250990
100,5,100,34616117,5827789
100,5,100,35932003,6017556
100,5,100,38927269,5920801
100,5,100,34945780,6029300
100,5,100,34106480,5848042
100,5,100,34795260,5805760
100,5,100,34658469,5910440
100,5,100,34840477,5729009
100,5,100,36652509,5902769
100,9,100,70733968,12115630
100,9,100,72837154,11948153
100,9,100,74050936,12668105
100,9,100,71785905,12158874
100,9,100,73974950,12206881
100,9,100,72605298,11890683
100,9,100,71080915,12006711
100,9,100,72915563,11850603
100,9,100,72000911,11716285
100,9,100,70436686,11780868
100,9,100,71575817,12388184
100,9,100,72813875,11924569
100,9,100,72206916,11934800
100,9,100,72049258,11862945
100,9,100,70111788,11577478
100,9,100,71426939,12305370
100,9,100,70693657,12254916
100,9,100,72463512,12423732
100,9,100,71565345,12496349
100,9,100,71274201,11784644
100,13,100,109375404,18519887
100,13,100,111665128,19432420
100,13,100,112031393,18797734
100,13,100,113460849,19094204
100,13,100,115365437,18506625
100,13,100,113447454,18240497
100,13,100,112682268,18911544
100,13,100,112388725,19055630
100,13,100,112344350,18480365
100,13,100,112648959,18540564
100,13,100,114400909,18878398
100,13,100,117922319,18304797
100,13,100,111220500,18725807
100,13,100,115009977,18186168
100,13,100,114269096,18519007
100,13,100,117955265,18772388
100,13,100,115061072,19057786
100,13,100,112929632,18708906
100,13,100,115560701,18189249
100,13,100,116124024,18862463
100,17,100,152888223,25146279
100,17,100,156598486,23899959
100,17,100,156326435,24559059
100,17,100,150338250,24562409
100,17,100,153764979,24569185
100,17,100,156043069,24704707
100,17,100,151387262,24277401
100,17,100,157002809,24771298
100,17,100,156816052,24436499
100,17,100,154329907,24349041
100,17,100,155132201,24194337
100,17,100,154203416,24837265
100,17,100,153401423,24872006
100,17,100,148972420,23883808
100,17,100,152902394,24328862
100,17,100,151355486,24791659
100,17,100,149561388,24226715
100,17,100,150300331,24071658
100,17,100,151525588,24060485
100,17,100,154985863,23570021
100,21,100,197596112,30758065
100,21,100,196830928,31936666
100,21,100,196345060,31516257
100,21,100,195830663,31803511
100,21,100,197614621,31116609
100,21,100,203837118,32322840
100,21,100,197934110,32764689
100,21,100,204724850,31777416
100,21,100,197412436,33005255
100,21,100,200811600,32176185
100,21,100,202213130,31973259
100,21,100,199371465,32660679
100,21,100,203069887,32903525
100,21,100,203783215,32274453
100,21,100,198609293,32017815
100,21,100,199414857,32175581
100,21,100,192253169,32435744
100,21,100,195401429,32013109
100,21,100,199352982,31741128
100,21,100,201010540,32034510
100,25,100,253500837,39438425
100,25,100,240677560,38914957
100,25,100,237287707,39002142
100,25,100,243292451,37874929
100,25,100,240870648,38500337
100,25,100,236563243,39553597
100,25,100,236657832,39175848
100,25,100,241844051,40334473
100,25,100,242920216,39148371
100,25,100,244828091,39903937
100,25,100,241674761,38994580
100,25,100,245117185,66266508
100,25,100,243042812,40110997
100,25,100,234576364,38747355
100,25,100,239991079,39532705
100,25,100,237754995,38067589
100,25,100,240575673,39503332
100,25,100,242566171,37914307
100,25,100,240337928,38895981
100,25,100,241793118,37573067
100,29,100,291725458,43991116
100,29,100,287368706,45911252
100,29,100,282540157,46409965
100,29,100,290685647,44714203
100,29,100,282803596,45132067
100,29,100,282043889,45679750
100,29,100,284050464,43949910
100,29,100,289961618,44663177
100,29,100,290101363,46053417
100,29,100,286099043,44329626
100,29,100,301397584,43917436
100,29,100,290568367,45633929
100,29,100,286124685,45308955
100,29,100,283273850,43978813
100,29,100,288403541,43904387
100,29,100,286129150,44874908
100,29,100,286470800,44901697
100,29,100,284175730,45028010
100,29,100,281269273,46170952
100,29,100,283293734,46226669
100,33,100,340185949,51523856
100,33,100,340813568,50952932
100,33,100,343548521,51428132
100,33,100,338502477,52305579
100,33,100,345971349,52755264
100,33,100,355132698,54207682
100,33,100,342524441,51034033
100,33,100,330907304,50636253
100,33,100,326599546,51604929
100,33,100,334002532,51175049
100,33,100,330954574,50388004
100,33,100,335596853,51379872
100,33,100,328679130,51860600
100,33,100,326321211,51839496
100,33,100,323391333,50891398
100,33,100,329928387,51623897
100,33,100,328407865,52011972
100,33,100,330133369,50632344
100,33,100,333282172,50968002
100,33,100,330730288,51299210
100,37,100,383362542,60941914
100,37,100,378537738,61383780
100,37,100,381757334,60586694
100,37,100,390060123,61113285
100,37,100,387485654,61852582
100,37,100,383410561,62051114
100,37,100,393664619,61487187
100,37,100,379625270,61981164
100,37,100,371187957,61934874
100,37,100,380365864,60939498
100,37,100,374673037,59668931
100,37,100,378443416,59215649
100,37,100,379314997,61601693
100,37,100,379047934,59980738
100,37,100,370634291,60961692
100,37,100,379591083,59798168
100,37,100,374117360,59546035
100,37,100,376965205,59235682
100,37,100,374414789,58985738
100,37,100,383529152,62031404
100,41,100,430300533,68273599
100,41,100,426305162,67260536
100,41,100,420271208,69899589
100,41,100,428976726,67529740
100,41,100,421457212,69518716
100,41,100,435079808,67477138
100,41,100,424311048,68309499
100,41,100,431770810,67614841
100,41,100,427806900,68375664
100,41,100,432075677,67050802
100,41,100,443163924,67905327
100,41,100,421242256,67904918
100,41,100,428582198,66867918
100,41,100,452821217,68605369
100,41,100,419832857,66620467
100,41,100,432946514,67660689
100,41,100,436683054,68012099
100,41,100,441434076,68637658
100,41,100,432837648,69550570
100,41,100,433755484,67395049
100,45,100,486321890,75202454
100,45,100,485090243,76100132
100,45,100,498743142,74874393
100,45,100,497523495,76075012
100,45,100,481825231,78411891
100,45,100,475478393,76799934
100,45,100,505076192,73921279
100,45,100,492569134,74779954
100,45,100,495543658,75493564
100,45,100,477967345,75428541
100,45,100,486160048,73817849
100,45,100,492100880,76213718
100,45,100,490844436,81020069
100,45,100,483079093,73202022
100,45,100,478976173,75565762
100,45,100,476975811,77015397
100,45,100,481298026,73604933
100,45,100,491096930,74828902
100,45,100,480027743,73303778
100,45,100,484413803,73850396
100,49,100,538394653,88594870
100,49,100,531725370,81662815
100,49,100,530638296,86078999
100,49,100,541276733,80550478
100,49,100,537363672,82875900
100,49,100,529849325,81253900
100,49,100,548816655,80902967
100,49,100,543341777,80127905
100,49,100,530026500,81547891
100,49,100,539116373,80368548
100,49,100,553306425,81117025
100,49,100,545543756,83021542
100,49,100,533505956,80569140
100,49,100,526222426,81546794
100,49,100,539261120,85953218
100,49,100,548986792,87366484
100,49,100,542172414,80951147
100,49,100,544967647,81421014
100,49,100,539664400,80520818
100,49,100,534047151,82585014
100,53,100,589769547,88117537
100,53,100,589021961,87446271
100,53,100,611008766,88474073
100,53,100,619523530,92989728
100,53,100,634186238,91724088
100,53,100,597768995,88402018
100,53,100,583338906,88574116
100,53,100,600565737,101531108
100,53,100,601587209,87151073
100,53,100,602409786,88506393
100,53,100,602203474,88151499
100,53,100,594137328,90066952
100,53,100,701325186,90127465
100,53,100,597906688,88970762
100,53,100,596964945,89568196
100,53,100,601268088,88570222
100,53,100,594277183,88380344
100,53,100,592918639,87959000
100,53,100,607088004,88671615
100,53,100,598245197,90950407
100,57,100,653389442,92510743
100,57,100,651621402,95116964
100,57,100,668254381,94660284
100,57,100,646754691,95995361
100,57,100,672256533,95380656
100,57,100,661617675,96381487
100,57,100,657625716,96662428
100,57,100,667491316,93694207
100,57,100,639963412,95394557
100,57,100,652047032,94561750
100,57,100,661010818,93970644
100,57,100,663667274,94102363
100,57,100,648299970,97275166
100,57,100,652638479,94403512
100,57,100,651678381,96351766
100,57,100,645072509,96059716
100,57,100,654861834,96864934
100,57,100,644009980,99117793
100,57,100,643413497,96281583
100,57,100,636257273,95394899
100,61,100,727518790,102439867
100,61,100,698983192,102648874
100,61,100,705248032,101294649
100,61,100,693516716,99733862
100,61,100,745554339,101445344
100,61,100,703212502,100570951
100,61,100,708273572,101537399
100,61,100,720041541,101531068
100,61,100,710104674,100168334
100,61,100,716779386,101627543
100,61,100,701697375,102075735
100,61,100,701831687,101307742
100,61,100,709476189,102688376
100,61,100,700147121,102696859
100,61,100,704315116,101748976
100,61,100,711235965,100947441
100,61,100,709036367,103016693
