2020-05-03 16:14:55.329 main TRACE benchmark  Start Benchmark: r 1
2020-05-03 16:14:55.329 main TRACE state  8024: Get f2794c22e353e9a839f12faab03a911be470c6afbbbc027eb288ade7595953c25f1e6ce46e7e7a706630b5766f1ff2beb986d1db7c9e23013fcce61203502efdc84a8f8661f9526e=Some(00040000000000816400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000)
2020-05-03 16:14:55.329 main TRACE state  8024: Get 26aa394eea5630e07c48ae0c9558cef702a5c1b19ab7a04f536c519aca4983ac=Some(01000000)
2020-05-03 16:14:55.329 main TRACE state  8024: Put f2794c22e353e9a839f12faab03a911be470c6afbbbc027eb288ade7595953c25f1e6ce46e7e7a706630b5766f1ff2beb986d1db7c9e23013fcce61203502efdc84a8f8661f9526e=Some(00040000000000816400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000)
2020-05-03 16:14:55.329 main TRACE state  8024: Get c2261276cc9d1f8598ea4b6a74b15c2f218f26c73add634897550b4003b26bc6611886b39d9f832b71c5b591321529ad6630b5766f1ff2beb986d1db7c9e23013fcce61203502efdc84a8f8661f9526e=Some(0464656d6f63726163e803000000000000000000000000000001)
2020-05-03 16:14:55.329 main TRACE state  8024: Get 26aa394eea5630e07c48ae0c9558cef7b99d880ec681799c0cf30e8886371da9611886b39d9f832b71c5b591321529ad6630b5766f1ff2beb986d1db7c9e23013fcce61203502efdc84a8f8661f9526e=Some(0000000001ffffffffffffffffffffffffffffffff00000000000000000000000000000000e803000000000000000000000000000000000000000000000000000000000000)
2020-05-03 16:14:55.329 main TRACE state  8024: Put 26aa394eea5630e07c48ae0c9558cef7b99d880ec681799c0cf30e8886371da9611886b39d9f832b71c5b591321529ad6630b5766f1ff2beb986d1db7c9e23013fcce61203502efdc84a8f8661f9526e=Some(0000000001ffffffffffffffffffffffffffffffff000000000000000000000000000000006400000000000000000000000000000000000000000000000000000000000000)
2020-05-03 16:14:55.329 main TRACE state  8024: Get c2261276cc9d1f8598ea4b6a74b15c2f218f26c73add634897550b4003b26bc6611886b39d9f832b71c5b591321529ad6630b5766f1ff2beb986d1db7c9e23013fcce61203502efdc84a8f8661f9526e=Some(0464656d6f63726163e803000000000000000000000000000001)
2020-05-03 16:14:55.329 main TRACE state  8024: Put c2261276cc9d1f8598ea4b6a74b15c2f218f26c73add634897550b4003b26bc6611886b39d9f832b71c5b591321529ad6630b5766f1ff2beb986d1db7c9e23013fcce61203502efdc84a8f8661f9526e=Some(0464656d6f637261636400000000000000000000000000000001)
2020-05-03 16:14:55.330 main TRACE benchmark  End Benchmark: 74968 ns
2020-05-03 16:14:55.337 main TRACE benchmark  Start Benchmark: r 20
2020-05-03 16:14:55.337 main TRACE state  8024: Get f2794c22e353e9a839f12faab03a911be470c6afbbbc027eb288ade7595953c25f1e6ce46e7e7a706630b5766f1ff2beb986d1db7c9e23013fcce61203502efdc84a8f8661f9526e=Some(0050000000000081640000000000000000000000000000000100000000816400000000000000000000000000000002000000008164000000000000000000000000000000030000000081640000000000000000000000000000000400000000816400000000000000000000000000000005000000008164000000000000000000000000000000060000000081640000000000000000000000000000000700000000816400000000000000000000000000000008000000008164000000000000000000000000000000090000000081640000000000000000000000000000000a0000000081640000000000000000000000000000000b0000000081640000000000000000000000000000000c0000000081640000000000000000000000000000000d0000000081640000000000000000000000000000000e0000000081640000000000000000000000000000000f0000000081640000000000000000000000000000001000000000816400000000000000000000000000000011000000008164000000000000000000000000000000120000000081640000000000000000000000000000001300000000816400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000)
2020-05-03 16:14:55.337 main TRACE state  8024: Get 26aa394eea5630e07c48ae0c9558cef702a5c1b19ab7a04f536c519aca4983ac=Some(01000000)
2020-05-03 16:14:55.337 main TRACE state  8024: Put f2794c22e353e9a839f12faab03a911be470c6afbbbc027eb288ade7595953c25f1e6ce46e7e7a706630b5766f1ff2beb986d1db7c9e23013fcce61203502efdc84a8f8661f9526e=Some(0050000000000081640000000000000000000000000000000100000000816400000000000000000000000000000002000000008164000000000000000000000000000000030000000081640000000000000000000000000000000400000000816400000000000000000000000000000005000000008164000000000000000000000000000000060000000081640000000000000000000000000000000700000000816400000000000000000000000000000008000000008164000000000000000000000000000000090000000081640000000000000000000000000000000a0000000081640000000000000000000000000000000b0000000081640000000000000000000000000000000c0000000081640000000000000000000000000000000d0000000081640000000000000000000000000000000e0000000081640000000000000000000000000000000f0000000081640000000000000000000000000000001000000000816400000000000000000000000000000011000000008164000000000000000000000000000000120000000081640000000000000000000000000000001300000000816400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000)
2020-05-03 16:14:55.337 main TRACE state  8024: Get c2261276cc9d1f8598ea4b6a74b15c2f218f26c73add634897550b4003b26bc6611886b39d9f832b71c5b591321529ad6630b5766f1ff2beb986d1db7c9e23013fcce61203502efdc84a8f8661f9526e=Some(0464656d6f63726163e803000000000000000000000000000001)
2020-05-03 16:14:55.337 main TRACE state  8024: Get 26aa394eea5630e07c48ae0c9558cef7b99d880ec681799c0cf30e8886371da9611886b39d9f832b71c5b591321529ad6630b5766f1ff2beb986d1db7c9e23013fcce61203502efdc84a8f8661f9526e=Some(0000000001ffffffffffffffffffffffffffffffff00000000000000000000000000000000e803000000000000000000000000000000000000000000000000000000000000)
2020-05-03 16:14:55.337 main TRACE state  8024: Put 26aa394eea5630e07c48ae0c9558cef7b99d880ec681799c0cf30e8886371da9611886b39d9f832b71c5b591321529ad6630b5766f1ff2beb986d1db7c9e23013fcce61203502efdc84a8f8661f9526e=Some(0000000001ffffffffffffffffffffffffffffffff000000000000000000000000000000006400000000000000000000000000000000000000000000000000000000000000)
2020-05-03 16:14:55.337 main TRACE state  8024: Get c2261276cc9d1f8598ea4b6a74b15c2f218f26c73add634897550b4003b26bc6611886b39d9f832b71c5b591321529ad6630b5766f1ff2beb986d1db7c9e23013fcce61203502efdc84a8f8661f9526e=Some(0464656d6f63726163e803000000000000000000000000000001)
2020-05-03 16:14:55.337 main TRACE state  8024: Put c2261276cc9d1f8598ea4b6a74b15c2f218f26c73add634897550b4003b26bc6611886b39d9f832b71c5b591321529ad6630b5766f1ff2beb986d1db7c9e23013fcce61203502efdc84a8f8661f9526e=Some(0464656d6f637261636400000000000000000000000000000001)
2020-05-03 16:14:55.337 main TRACE benchmark  End Benchmark: 104335 ns
2020-05-03 16:14:55.355 main TRACE benchmark  Start Benchmark: r 39
2020-05-03 16:14:55.355 main TRACE state  8024: Get f2794c22e353e9a839f12faab03a911be470c6afbbbc027eb288ade7595953c25f1e6ce46e7e7a706630b5766f1ff2beb986d1db7c9e23013fcce61203502efdc84a8f8661f9526e=Some(009c000000000081640000000000000000000000000000000100000000816400000000000000000000000000000002000000008164000000000000000000000000000000030000000081640000000000000000000000000000000400000000816400000000000000000000000000000005000000008164000000000000000000000000000000060000000081640000000000000000000000000000000700000000816400000000000000000000000000000008000000008164000000000000000000000000000000090000000081640000000000000000000000000000000a0000000081640000000000000000000000000000000b0000000081640000000000000000000000000000000c0000000081640000000000000000000000000000000d0000000081640000000000000000000000000000000e0000000081640000000000000000000000000000000f000000008164000000000000000000000000000000100000000081640000000000000000000000000000001100000000816400000000000000000000000000000012000000008164000000000000000000000000000000130000000081640000000000000000000000000000001400000000816400000000000000000000000000000015000000008164000000000000000000000000000000160000000081640000000000000000000000000000001700000000816400000000000000000000000000000018000000008164000000000000000000000000000000190000000081640000000000000000000000000000001a0000000081640000000000000000000000000000001b0000000081640000000000000000000000000000001c0000000081640000000000000000000000000000001d0000000081640000000000000000000000000000001e0000000081640000000000000000000000000000001f0000000081640000000000000000000000000000002000000000816400000000000000000000000000000021000000008164000000000000000000000000000000220000000081640000000000000000000000000000002300000000816400000000000000000000000000000024000000008164000000000000000000000000000000250000000081640000000000000000000000000000002600000000816400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000)
2020-05-03 16:14:55.355 main TRACE state  8024: Get 26aa394eea5630e07c48ae0c9558cef702a5c1b19ab7a04f536c519aca4983ac=Some(01000000)
