Pallet: "treasury", Extrinsic: "retract_tip", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
r,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
2943,43537,2195,1,7,2,3
2943,43610,2093,1,7,2,3
2943,43750,2176,1,7,2,3
2943,43096,2116,1,7,2,3
2943,43754,2165,1,7,2,3
2943,43473,2201,1,7,2,3
2943,43567,2136,1,7,2,3
2943,43515,2097,1,7,2,3
2943,43630,2164,1,7,2,3
2943,43475,2085,1,7,2,3
2943,43261,2227,1,7,2,3
2943,43326,2104,1,7,2,3
2943,43750,2135,1,7,2,3
3270,43965,2210,1,7,2,3
3270,44020,2261,1,7,2,3
3270,43958,2161,1,7,2,3
3270,44039,2114,1,7,2,3
3270,43771,2230,1,7,2,3
3270,43943,2149,1,7,2,3
3270,43710,2174,1,7,2,3
3270,43593,2211,1,7,2,3
3270,43475,2264,1,7,2,3
3270,43570,2171,1,7,2,3
3270,43281,2174,1,7,2,3
3270,43754,2245,1,7,2,3
3270,43642,2258,1,7,2,3
3270,43839,2226,1,7,2,3
3270,43471,2223,1,7,2,3
3270,43401,2223,1,7,2,3
3270,43217,2216,1,7,2,3
3270,43567,2222,1,7,2,3
3270,43430,2116,1,7,2,3
3270,43297,2158,1,7,2,3
3597,43686,2135,1,7,2,3
3597,43866,2265,1,7,2,3
3597,43525,2205,1,7,2,3
3597,43950,2221,1,7,2,3
3597,43527,2215,1,7,2,3
3597,43471,2271,1,7,2,3
3597,43627,2201,1,7,2,3
3597,43661,2275,1,7,2,3
3597,43456,2170,1,7,2,3
3597,43886,2224,1,7,2,3
3597,43656,2197,1,7,2,3
3597,44255,2159,1,7,2,3
3597,43969,2143,1,7,2,3
3597,43837,2315,1,7,2,3
3597,43503,2239,1,7,2,3
3597,43550,2282,1,7,2,3
3597,44184,2226,1,7,2,3
3597,43765,2175,1,7,2,3
3597,44006,2249,1,7,2,3
3597,43799,2231,1,7,2,3
3924,43423,2106,1,7,2,3
3924,43344,2137,1,7,2,3
3924,43587,2067,1,7,2,3
3924,43396,2241,1,7,2,3
3924,43891,2187,1,7,2,3
3924,43517,2116,1,7,2,3
3924,44162,2173,1,7,2,3
3924,43551,2112,1,7,2,3
3924,44180,2111,1,7,2,3
3924,43260,2126,1,7,2,3
3924,43367,2164,1,7,2,3
3924,43233,2154,1,7,2,3
3924,43487,2179,1,7,2,3
3924,43801,2185,1,7,2,3
3924,43679,2125,1,7,2,3
3924,43630,2206,1,7,2,3
3924,43469,2155,1,7,2,3
3924,43781,2198,1,7,2,3
3924,43646,2005,1,7,2,3
3924,43915,2106,1,7,2,3
4251,43665,2132,1,7,2,3
4251,43476,2115,1,7,2,3
4251,43446,2082,1,7,2,3
4251,43942,2087,1,7,2,3
4251,47087,2260,1,7,2,3
4251,43972,2072,1,7,2,3
4251,43887,2065,1,7,2,3
4251,43416,2091,1,7,2,3
4251,43673,2084,1,7,2,3
4251,43755,2142,1,7,2,3
4251,43560,2141,1,7,2,3
4251,43655,2135,1,7,2,3
4251,43831,2172,1,7,2,3
4251,43462,2205,1,7,2,3
4251,43584,2110,1,7,2,3
4251,43818,2155,1,7,2,3
