Pallet: "multisig", Extrinsic: "approve_as_multi_complete", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
s,z,extrinsic_time,storage_root_time
16,10000,126808,33895
16,10000,129127,34059
16,10000,126479,33969
16,10000,127272,34088
16,10000,127111,33898
16,10000,127496,33667
16,10000,127369,34108
16,10000,127247,33341
16,10000,125799,33778
16,10000,127421,33833
16,10000,127528,33854
16,10000,126301,33582
16,10000,126834,33947
16,10000,126977,34001
16,10000,127252,34154
16,10000,126724,33687
16,10000,126481,36572
17,10000,128462,33649
17,10000,128091,33983
17,10000,126861,33621
17,10000,127178,33753
17,10000,126650,34164
17,10000,127065,33626
17,10000,127177,34117
17,10000,127009,33903
17,10000,126774,34402
17,10000,126435,33922
17,10000,127553,33821
17,10000,126527,34125
17,10000,126505,34163
17,10000,126761,33787
17,10000,127310,34078
17,10000,127065,33628
17,10000,127216,33292
17,10000,127072,33638
17,10000,126322,33692
17,10000,126688,33869
18,10000,126804,33766
18,10000,127345,33906
18,10000,126735,34139
18,10000,127195,33564
18,10000,127588,33216
18,10000,127148,34293
18,10000,127181,33706
18,10000,127321,33730
18,10000,127491,33819
18,10000,127559,33843
18,10000,127559,34012
18,10000,130654,33943
18,10000,128869,33300
18,10000,127119,33880
18,10000,126985,34010
18,10000,127917,33998
18,10000,127670,34133
18,10000,127244,33940
18,10000,126678,34388
18,10000,126749,33882
19,10000,127679,34150
19,10000,128253,34451
19,10000,127904,33789
19,10000,128076,33975
19,10000,127592,34153
19,10000,128635,34732
19,10000,127954,34081
19,10000,127284,34003
19,10000,128176,34743
19,10000,128048,33991
19,10000,127589,34065
19,10000,127662,37643
19,10000,126895,33961
19,10000,127693,33899
19,10000,127675,34219
19,10000,128159,34375
19,10000,127653,34492
19,10000,127889,33998
19,10000,127559,34210
19,10000,128178,34162
20,10000,127846,34727
20,10000,128511,33900
20,10000,128095,34077
20,10000,127912,34098
20,10000,131720,34866
20,10000,128213,34165
20,10000,127919,33711
20,10000,128510,34411
20,10000,127255,33878
20,10000,128295,33896
20,10000,127264,34214
20,10000,128310,34189
20,10000,128250,34039
20,10000,127914,33984
20,10000,128374,34551
20,10000,127730,33721
20,10000,127773,34266
20,10000,127057,34276
20,10000,127550,33991
20,10000,128037,33973
21,10000,128041,34439
21,10000,127578,34097
21,10000,127190,34304
21,10000,127655,34242
21,10000,127980,34021
21,10000,127979,34271
21,10000,127832,34364
21,10000,128518,34481
21,10000,127527,34157
21,10000,128307,34263
21,10000,127709,34227
21,10000,127932,34350
21,10000,128288,34057
21,10000,126926,34580
21,10000,127836,34059
21,10000,161790,62576
21,10000,128427,34659
21,10000,128200,34336
21,10000,127690,34256
21,10000,127743,34041
22,10000,128938,34442
22,10000,130818,34498
22,10000,129073,34335
22,10000,128743,34114
22,10000,129142,34173
22,10000,128342,33957
22,10000,128285,34357
22,10000,128431,34166
22,10000,128193,34047
22,10000,127601,33633
22,10000,128954,34629
22,10000,128755,34497
22,10000,128856,34430
22,10000,129248,33924
22,10000,129003,34627
22,10000,129048,33969
22,10000,128421,34549
22,10000,128559,34237
22,10000,128940,34104
22,10000,128060,34445
23,10000,128685,34320
23,10000,128564,33882
23,10000,129090,34232
23,10000,128478,34548
23,10000,129119,34402
23,10000,128402,34688
23,10000,128493,34283
23,10000,128987,34172
23,10000,128617,34403
23,10000,128628,34201
23,10000,128702,34102
23,10000,128907,34411
23,10000,128775,34203
23,10000,128424,34090
23,10000,128808,34137
23,10000,128838,34193
23,10000,128932,34084
23,10000,130175,33799
23,10000,128600,34261
23,10000,128798,33949
24,10000,128984,34241
24,10000,129708,34562
