Pallet: "claims", Extrinsic: "eth_recover", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
i,extrinsic_time,storage_root_time
340,53023666,3412
340,52864399,3580
340,52927733,3552
340,53167674,3652
340,53133490,3655
340,53025126,3517
340,52975424,3545
340,52971434,3345
360,56262119,3469
360,56057126,3458
360,55964426,3519
360,56028739,3348
360,56009260,3454
360,55949175,3549
360,55991407,3352
360,55893364,3492
360,56007636,3295
360,56031200,3498
360,55999886,3410
360,55962697,3358
360,55909202,3524
360,56056384,3637
360,56133599,3719
360,55913013,3388
360,55968496,3576
360,56007751,3482
360,56047135,3659
360,55916304,3550
380,59522270,3453
380,59170463,3396
380,59349977,3488
380,59144871,3472
380,59126171,3388
380,59171377,3379
380,59138253,3419
380,59330702,3354
380,59069243,3460
380,59029914,3439
380,59029802,3449
380,59227477,3529
380,59148511,3451
380,59157637,4046
380,59051444,3336
380,58969258,3423
380,59095948,3388
380,59052383,3404
380,59140050,3378
380,59126874,3482
400,62918555,3481
400,62666678,3406
400,62549515,3473
400,62534933,3571
400,62499900,3500
400,62391049,3529
400,62448124,3443
400,62662915,105544
400,62769925,3808
400,62643210,3542
400,62631862,3441
400,62506083,3549
400,62480474,3494
400,62439015,3325
400,62669679,3649
400,62593343,3433
400,62436038,3541
400,62500686,3324
400,62450404,3495
400,62415382,3387
420,66125787,3497
420,65709137,3434
420,65711478,3740
420,65651686,3686
420,65579717,3435
420,65613533,3418
420,65634923,3478
420,65685085,3382
420,65648196,3535
420,65560447,3467
420,65566081,3480
420,65616946,3441
420,65569854,3522
420,65603724,3378
420,65561534,3473
420,65634839,3409
420,65531732,3496
420,65533759,3402
420,65766800,3837
420,65563986,3609
440,68951124,3599
440,68629236,3650
440,68467419,3700
440,68370674,3516
440,68333209,3459
440,68370408,3524
440,68369661,3330
440,68341162,3532
440,68180064,3402
440,68242401,4217
440,68234869,3443
440,68271165,3513
440,68177538,3521
440,68382269,3710
440,68411249,3577
440,68323911,3402
440,68311694,3501
440,68457068,3600
440,68369677,3573
440,68341582,3559
460,72547508,3669
460,72292626,3467
460,72201878,3551
460,72070578,3571
460,71995667,3646
460,72022531,3570
460,72048946,3586
460,72249416,3761
460,72082207,3628
460,72144626,3657
460,72019210,3579
460,72059563,3498
460,72028405,3634
460,71981828,3507
460,72125327,3685
460,72010351,3609
460,72038830,3595
460,72115973,3867
460,72155999,3648
460,72090555,3642
480,75396607,3442
480,75043856,3792
480,75006551,3456
480,74970980,3457
480,75105498,3501
480,75008648,3460
480,74922697,3539
480,74939979,3586
480,74890454,3591
480,74976525,3500
480,74960060,3587
480,75023697,3533
480,75019524,3602
480,74867718,3519
480,75065337,3808
480,74874119,3454
480,74968311,3489
480,74996225,3737
480,75013235,3447
480,74908205,3390
500,78935320,3622
500,78584725,3461
500,78585480,3535
500,78384999,3534
500,78460538,3520
500,78299193,3585
500,78290883,3436
500,78275853,3700
500,78254822,3522
500,78292675,3467
500,78549970,3753
500,78391191,3489
500,78358196,3537
500,78492151,3600
500,78365935,3531
500,78355174,3449
500,78299210,3487
500,78268103,3567
500,78239342,3573
500,78526705,3781
520,81891197,3677
520,81559105,3617
520,81498704,3472
520,81458308,3420
520,81392326,3586
520,81384586,3599
520,81392624,3521
520,81421618,3506
520,81574321,3446
520,81448837,3494
520,81421355,3542
520,81354713,3464
520,81633521,3764
520,81388511,3568
520,81478762,3451
520,81422317,3465
520,81353815,3460
520,81416875,3571
520,81427574,3533
520,81545324,3518
540,85031993,3569
540,84149218,3613
540,84130987,3492
540,83989843,3465
540,84215711,3892
540,84038899,3540
540,84140151,3455
540,84717886,3790
540,84291786,3438
540,84396385,3472
540,84235319,3428
540,84121087,3543
540,84144144,3526
540,83998897,3434
540,84329224,3491
540,84048606,3420
540,84117109,3728
540,83953369,3379
540,83954525,3508
540,84036106,3617
560,87788732,3462
560,87533641,3571
560,87404269,3592
560,87242807,3407
560,87628550,4846
560,88339672,5180
560,87752581,3626
560,87761359,3689
560,87427604,3614
560,87304292,3537
560,87372538,3503
560,87175856,3544
560,87216365,3628
560,87199256,3497
560,87170600,3447
560,87235577,3635
560,87214874,3468
560,87376901,3580
560,87283517,3546
560,87436862,3747
580,91998928,3512
580,91459305,3527
580,91428117,3520
580,91436160,3528
580,91411969,3592
580,91171096,3535
580,91483553,3431
580,91411133,3620
580,91361387,3480
580,91298605,3415
580,91440750,3682
580,91270297,3591
580,91303901,3784
580,91264957,3517
580,91269820,3485
580,91236820,3563
580,91130142,3453
580,91239199,3579
580,91164918,3526
580,91253530,3575
600,94378531,3471
600,94010024,3739
600,93872652,3540
600,93721488,3463
600,93883824,3575
600,93714821,3507
600,93797911,3466
600,93670055,3443
600,93633702,3562
600,93779391,3777
600,93682509,3620
600,93895220,3746
600,93710676,3586
600,93829025,3564
600,94375808,6496
600,94072873,4787
600,93876797,3832
600,93908808,3587
600,93850524,3506
600,94132217,3532
620,96801015,3641
620,96584023,3616
620,96451878,3759
620,96611133,3521
620,96303857,3563
620,96420026,3503
620,96154244,3543
620,96296519,3575
620,96346863,3518
620,96350583,3547
620,96260564,3557
620,96154392,3634
620,96391998,4250
620,96100582,3664
620,96265678,3626
620,96250769,3797
