Pallet: "timestamp", Extrinsic: "set", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
t,extrinsic_time,storage_root_time
20,8478,11446
20,8491,11288
20,8586,11410
20,8551,11407
20,8596,11456
20,8483,11345
20,8465,11495
20,8731,11306
20,8560,11296
21,8660,11390
21,8543,11468
21,8536,11332
21,8606,11340
21,8678,11421
21,8659,11265
21,8611,11655
21,8581,11389
21,8532,11357
21,8618,11470
21,8474,11449
21,8511,11375
21,8483,11524
21,8655,11425
21,8489,11257
21,8569,11368
21,8601,11329
21,8542,11311
21,8508,11490
21,8650,11491
22,8619,11328
22,8544,11414
22,8664,11578
22,8668,11403
22,8678,11454
22,8670,11424
22,8577,13861
22,8573,11308
22,8483,11409
22,8511,11347
22,8395,11371
22,8590,11349
22,8550,11321
22,8617,11490
22,8532,11404
22,8498,11369
22,8483,11415
22,8457,11505
22,8585,11357
22,8459,11514
23,8713,11574
23,8581,11329
23,8772,11498
23,8615,11443
23,8659,11524
23,8587,11526
23,8667,11436
23,8521,11348
23,8540,11493
23,8586,11380
23,8485,11335
23,8599,11400
23,8599,11497
23,8619,11407
23,8599,11445
23,8602,11454
23,8527,11444
23,8576,11473
23,8676,11443
23,8610,11447
24,8669,11503
24,8556,11634
24,8584,11294
24,8572,11385
24,8572,11455
24,8505,11400
24,8745,11501
24,8701,11402
24,8649,11480
24,8630,11357
24,8533,11412
24,8594,11556
24,8517,11436
24,8616,11328
24,8571,11277
24,8586,11405
24,8687,11537
24,8495,11530
24,8565,11321
24,8561,11435
25,8588,11422
25,8517,11379
25,8568,11418
25,8592,11272
25,8565,11564
25,8604,11322
25,8598,11543
25,8592,11487
25,8577,11435
25,8599,11404
25,8494,11364
25,8570,11426
25,8625,11463
25,8463,11435
25,8576,11411
25,8499,11371
25,8360,11376
25,8577,11378
25,8511,11376
25,8461,11402
26,8636,11408
26,8455,11377
26,8422,11440
26,8651,11455
26,8571,11442
26,8487,11388
26,8523,11391
26,8619,11387
26,8439,11451
26,8651,11394
26,8521,11228
26,8604,11395
26,8562,11339
26,8775,11444
26,8509,11510
26,8527,11567
26,8402,11346
26,8386,11545
26,8647,11523
26,8689,11495
27,8559,11450
27,8652,11493
27,8629,11504
27,8576,11304
27,8531,14047
27,8677,11523
27,8502,11237
27,8646,11514
27,8372,11337
27,8534,11398
27,8557,11396
27,8760,11329
27,8641,11555
27,8556,11483
27,8599,11451
27,8670,11693
27,8727,11644
27,8533,11386
27,8602,11548
27,8613,11433
28,8601,11542
28,8585,11457
28,8586,11439
28,8526,11361
28,8567,11547
28,8557,11323
28,8457,11530
28,8678,11486
28,8550,11477
28,8473,11320
28,8582,11529
28,8634,11601
28,8549,11402
28,8378,11525
28,8631,11456
28,8518,11415
28,8562,11468
28,8571,11398
28,8658,11432
28,8573,11357
29,8489,11253
29,8584,11275
29,8507,11383
29,8625,11405
29,8761,11526
29,8602,11491
29,8491,11424
29,8696,11349
29,8480,11348
29,8481,11333
29,8539,11360
29,8510,11427
29,8520,11514
29,8476,11442
29,8588,11337
29,8541,11477
29,8633,11418
29,8548,11509
29,8485,11463
29,8626,11321
30,8572,11551
30,8522,11384
30,8534,11301
30,8474,11384
30,8508,11469
30,8556,11491
30,8556,11345
30,8590,11452
30,8500,11389
30,8424,11556
30,8415,11459
30,8393,11321
30,8389,11333
30,8376,11365
30,8483,11372
30,8404,11515
30,8503,11383
30,8467,11253
30,8593,11486
30,8618,11694
31,8465,11601
31,8528,11447
31,8460,11427
31,8451,11551
31,8479,11391
31,8572,11402
31,8326,11560
31,8492,11394
31,8529,11329
31,8570,11388
31,8396,11452
31,8470,11439
31,8570,11363
31,8493,11491
31,8492,11410
31,8551,11569
31,8616,11595
31,8647,11353
31,8643,11461
31,8645,11521
32,8543,11520
32,8493,11302
32,8509,11417
32,11371,26569
32,8581,11446
32,8622,11475
32,8536,11536
32,8540,11399
32,8564,11266
32,8633,11388
32,8437,11348
32,8607,11474
32,8627,11451
32,8628,11436
32,8498,11501
32,8505,11341
32,8508,11361
32,8426,11502
32,8521,11371
32,8551,11297
