Pallet: "elections", Extrinsic: "vote", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
x,l,extrinsic_time,storage_root_time
16,20,52158,45379
16,20,51585,45611
16,20,52319,45608
16,20,51734,46267
16,20,51901,45464
16,20,52215,45471
16,20,52104,45858
16,1,46933,44798
16,1,47026,44618
16,1,46956,44621
16,1,46806,44710
16,1,47317,44711
16,1,47293,44793
16,1,46863,44568
16,1,47294,44669
16,1,47234,45246
16,1,46845,45171
16,1,47020,45128
16,1,46697,44876
16,1,46974,44762
16,1,47144,45001
16,1,47365,44584
16,1,47276,44865
16,1,46974,44476
16,1,47208,44661
16,1,46776,44884
16,1,47466,44621
16,2,47702,45180
16,2,47859,44598
16,2,48021,44904
16,2,48058,45265
16,2,47597,44910
16,2,47599,44809
16,2,48410,44647
16,2,48116,44925
16,2,48016,44814
16,2,48067,44798
16,2,48016,44614
16,2,47835,44751
16,2,47750,44738
16,2,47886,45258
16,2,48431,44952
16,2,47587,44883
16,2,47575,44494
16,2,48050,44987
16,2,47985,45226
16,2,47889,45014
16,3,48024,44569
16,3,48095,45002
16,3,47869,44905
16,3,48192,44844
16,3,48062,45199
16,3,47933,44725
16,3,47978,44746
16,3,47980,44888
16,3,47495,44924
16,3,48452,44594
16,3,47908,44722
16,3,47777,44622
16,3,47622,44094
16,3,47838,44558
16,3,47867,45211
16,3,47999,44336
16,3,47465,44962
16,3,47990,44789
16,3,48001,44714
16,3,48354,45018
16,4,48027,44998
16,4,48636,45509
16,4,48133,44755
16,4,48688,45712
16,4,48672,44782
16,4,48330,44650
16,4,48466,45194
16,4,48674,45134
16,4,48414,45034
16,4,48269,45081
16,4,48717,44772
16,4,48849,45414
16,4,48611,44852
16,4,49037,45374
16,4,48438,45370
16,4,48710,45135
16,4,48437,44442
16,4,48643,45044
16,4,48983,45147
16,4,48487,44954
16,5,48702,45062
16,5,48868,44997
16,5,48546,44758
16,5,48964,45400
16,5,48854,45244
16,5,48718,44805
16,5,48703,44905
16,5,49125,45073
16,5,48544,44763
16,5,49012,45146
16,5,48618,44905
16,5,48827,44992
16,5,48896,45204
16,5,48742,44893
16,5,48842,44979
16,5,48689,44750
16,5,48651,44992
16,5,48798,45339
16,5,48563,44872
16,5,48890,44395
16,6,48871,44691
16,6,49159,45820
16,6,49064,44882
16,6,48558,45017
16,6,49075,44786
16,6,48969,44740
16,6,49281,45223
16,6,49551,45015
16,6,49201,45660
16,6,48845,45006
16,6,49090,45053
16,6,48991,45355
16,6,48771,45285
16,6,48848,44781
16,6,49261,45179
16,6,49985,45280
16,6,49201,45562
16,6,48997,44991
16,6,48456,44719
16,6,49131,44970
16,7,49099,45130
16,7,49224,44761
16,7,48889,45330
16,7,49112,44965
16,7,49165,45101
16,7,49024,45114
16,7,48948,45292
16,7,48820,45490
16,7,48811,45201
16,7,48973,45086
16,7,48775,45012
16,7,49179,45037
16,7,48985,45023
16,7,48542,44910
16,7,48843,45089
16,7,49302,45144
16,7,48784,44613
16,7,48989,44706
16,7,49412,44981
16,7,48700,44791
16,8,49722,45252
16,8,49369,44881
16,8,49418,44845
16,8,49658,45266
16,8,49354,45114
16,8,48965,45669
16,8,49498,45300
16,8,49979,45180
16,8,49630,45374
16,8,49660,45059
