Pallet: "democracy", Extrinsic: "note_imminent_preimage", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
b,extrinsic_time,storage_root_time
5559,49487,30794
5559,49509,31086
5559,49194,30984
5559,49594,31238
5886,50955,31582
5886,50272,31529
5886,50863,31484
5886,50378,31420
5886,50641,31756
5886,51123,31164
5886,50839,31447
5886,50395,31365
5886,50404,31624
5886,50736,31211
5886,50666,31344
5886,50412,31409
5886,50565,31246
5886,50289,31333
5886,50465,31866
5886,50601,31609
5886,50366,31434
5886,50697,31202
5886,50406,31346
5886,50744,31616
6213,53264,36328
6213,52645,35673
6213,52214,35696
6213,52547,35865
6213,52803,35751
6213,52614,35858
6213,52296,36123
6213,52397,35597
6213,55830,36247
6213,52657,35500
6213,52478,35490
6213,52710,35409
6213,52524,35786
6213,52143,35683
6213,52536,35688
6213,52356,35424
6213,52150,35741
6213,52921,36110
6213,52055,35728
6213,52523,35950
6540,52573,31901
6540,52642,32294
6540,52927,32780
6540,52972,32156
6540,52546,31910
6540,52457,31972
6540,52660,32105
6540,52620,32048
6540,53143,35344
6540,52408,32132
6540,52458,31897
6540,53279,32338
6540,52372,31740
6540,52231,32149
6540,52427,31971
6540,52437,32054
6540,52694,32607
6540,52765,32342
6540,52624,32042
6540,52096,31842
6867,54406,34739
6867,54101,34206
6867,54066,34481
6867,53972,34297
6867,54019,34235
6867,54076,34272
6867,54183,34559
6867,54304,34187
6867,54325,34083
6867,55408,34465
6867,54728,34776
6867,54344,34456
6867,54258,34408
6867,53948,34045
6867,54485,34095
6867,54228,34399
6867,54234,34493
6867,54079,34163
6867,53995,34159
6867,54111,34140
7194,56156,34156
7194,54839,33056
7194,54476,32705
7194,54753,32560
7194,54685,33285
7194,54829,33061
7194,55002,32696
7194,55868,32899
7194,55238,32724
7194,54978,33113
7194,54746,32973
7194,54734,32804
7194,54965,32533
7194,54522,32664
7194,54802,32887
7194,54644,32949
7194,54564,32485
7194,54084,32704
7194,54389,32957
7194,54716,32910
7521,56223,33279
7521,56132,33205
7521,55894,33489
7521,55804,33484
7521,55800,33492
7521,56055,33297
7521,55805,33132
7521,55876,33173
7521,56180,33605
7521,56808,33633
7521,55736,33289
7521,55433,33058
7521,55482,33016
7521,56020,33141
7521,55878,33221
7521,55776,32938
7521,55750,33176
7521,56231,33308
7521,56161,33609
7521,55854,33279
7848,58213,36608
7848,58443,35709
7848,57796,35421
7848,58200,35791
7848,57901,35697
7848,58152,35553
7848,57567,35409
7848,58172,35911
7848,58064,35958
7848,57780,35438
7848,57957,35682
7848,57914,35325
7848,58363,36361
7848,57457,35610
7848,57729,35314
7848,57722,35321
7848,57600,35764
7848,58161,35829
7848,58276,35734
7848,57839,35494
8175,60319,40054
8175,58711,35892
8175,58706,35942
8175,58684,35574
8175,58750,35597
8175,58888,35547
8175,58958,36070
8175,58927,35626
8175,59056,35864
8175,59259,35838
8175,58386,35581
8175,59122,35764
8175,58515,35870
8175,58959,35785
8175,60228,35813
8175,59097,35765
8175,58683,35963
8175,58771,35823
8175,59025,35607
8175,58614,35635
8502,62939,34909
8502,59787,34471
8502,58707,34016
8502,58999,34173
8502,58912,33997
8502,59295,34536
8502,59037,34403
8502,59107,34300
8502,59765,34197
8502,58876,34116
8502,59048,34341
8502,59236,33990
8502,59361,34506
8502,59061,34061
8502,59062,34085
8502,59268,34277
8502,59326,34362
8502,59023,34249
8502,59215,33898
8502,59282,34305
8829,61001,36970
8829,60922,36363
8829,60762,36253
8829,61311,36185
8829,60974,36693
8829,60478,36627
8829,61335,36840
8829,61306,36434
8829,60690,35973
8829,60674,36429
8829,60599,36150
8829,60935,36039
8829,60731,36211
8829,60907,36662
8829,61010,36711
8829,60595,36334
8829,60704,36073
8829,60881,36185
8829,60932,36571
8829,60730,36648
9156,67798,35525
9156,61620,35094
9156,61443,35045
9156,61710,35138
9156,61582,35469
9156,61594,34841
9156,61443,34972
9156,61603,34541
9156,61834,35344
9156,61275,34764
9156,61450,34708
9156,61683,34962
9156,61395,35007
9156,61673,34709
9156,61415,34821
9156,61153,34779
9156,61235,34919
9156,61498,35088
