Pallet: "democracy", Extrinsic: "note_preimage", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
b,extrinsic_time,storage_root_time
5559,63344,46055
5559,63198,46497
5559,63031,46587
5559,63388,46651
5886,64260,46525
5886,64212,46398
5886,63915,46622
5886,64161,46443
5886,64412,46613
5886,64543,46468
5886,64408,47004
5886,64089,46298
5886,64585,46844
5886,64440,46580
5886,64033,46287
5886,64227,46831
5886,64128,46770
5886,64248,46385
5886,64163,46569
5886,64171,46737
5886,64525,46783
5886,64190,46695
5886,64273,46425
5886,64082,46407
6213,68265,57143
6213,66469,53157
6213,66284,52745
6213,66378,52565
6213,66687,53017
6213,66149,52585
6213,66004,52704
6213,67001,52762
6213,69766,53114
6213,66650,52778
6213,66371,52912
6213,66528,52583
6213,66411,52473
6213,66588,52944
6213,66608,52558
6213,66151,52729
6213,66259,52791
6213,66651,53050
6213,65928,52852
6213,66116,52868
6540,66573,47575
6540,66352,47797
6540,66820,47290
6540,66112,47691
6540,66390,48114
6540,66678,47330
6540,66789,47710
6540,66747,47745
6540,70425,48180
6540,66538,47337
6540,66739,47042
6540,66461,47748
6540,66500,47128
6540,66122,47236
6540,66689,47255
6540,66953,47528
6540,66522,47219
6540,66248,47211
6540,66265,47165
6540,66328,47381
6867,67989,52961
6867,67887,51709
6867,67554,51449
6867,68128,51323
6867,67982,51982
6867,67768,51616
6867,67979,51224
6867,67960,51236
6867,70837,51669
6867,68089,51955
6867,68099,51430
6867,68169,51378
6867,68018,51261
6867,68025,51781
6867,67876,51403
6867,68364,51403
6867,68029,51448
6867,67764,51826
6867,68320,51504
6867,67884,51576
7194,70090,48993
7194,68761,47984
7194,68921,48193
7194,68529,48221
7194,68697,48424
7194,69009,47718
7194,68952,48590
7194,68794,48309
7194,72455,48475
7194,69087,47936
7194,68641,48144
7194,68836,48392
7194,68640,48057
7194,68765,47858
7194,68649,47739
7194,68885,48219
7194,68731,47638
7194,68639,48231
7194,68920,47820
7194,68739,47992
7521,69888,48722
7521,69619,48180
7521,69510,48197
7521,69533,48509
7521,69832,49449
7521,70172,48276
7521,69697,48430
7521,69907,48098
7521,73186,48577
7521,69874,48469
7521,69838,48331
7521,69541,47978
7521,69818,48072
7521,69947,48606
7521,69847,48276
7521,70344,48558
7521,70072,48214
7521,69912,48245
7521,70088,48482
7521,69704,48229
7848,71420,54073
7848,71395,52413
7848,71688,52873
7848,71361,52593
7848,71555,52844
7848,71240,52304
7848,71068,52681
7848,70850,52979
7848,71839,52601
7848,71105,52548
7848,71516,52728
7848,71148,53268
7848,71921,52904
7848,71113,52679
7848,71117,52413
7848,71398,52683
7848,71512,52742
7848,71071,52669
7848,71231,52432
7848,71117,52403
8175,74060,54478
8175,72442,52814
8175,72575,53009
8175,72513,52523
8175,72347,53191
8175,72438,52440
8175,72189,52493
8175,73164,54397
8175,72799,52511
8175,72687,53283
8175,72608,52975
8175,72570,52646
8175,73043,52305
8175,72594,53437
8175,72563,53147
8175,72182,52691
8175,72283,52717
8175,72682,52303
8175,72433,53317
8175,72522,52654
8502,78765,49500
8502,73953,49381
8502,73245,49658
8502,73197,49853
8502,73412,49199
8502,73866,49208
8502,104862,50452
8502,73033,49495
8502,73313,49256
8502,73357,49362
8502,73301,49339
8502,73675,50035
8502,73221,49216
8502,72732,49214
8502,73358,49316
8502,73640,49518
8502,73242,1476409
8502,75415,50276
8502,77353,50142
8502,73042,49482
8829,75449,55870
8829,75059,54184
8829,75117,53402
8829,74571,53342
8829,74832,54025
8829,74980,53488
8829,74776,53521
8829,74641,53252
8829,74525,53562
8829,74529,53631
8829,74438,53369
8829,74813,53259
8829,75121,53443
8829,74784,53798
8829,74486,53606
8829,74794,53368
8829,74537,53562
8829,77396,53950
8829,75015,53704
8829,74511,53359
9156,78747,50095
9156,75495,49852
9156,75511,50374
9156,75577,49977
9156,75501,50311
9156,75740,49881
9156,75657,50823
9156,75501,50224
9156,75384,50011
9156,75134,50005
9156,75416,49971
9156,75504,50757
9156,75333,49926
9156,74975,50148
9156,74944,50068
9156,75358,50287
9156,78457,51136
9156,75438,50014
9156,75246,50185
9156,75277,49923
9483,77435,55914
9483,77276,54654
9483,77155,54116
9483,77105,53862
9483,77264,54679
9483,77036,54087
9483,76966,54096
9483,77153,53776
9483,76878,53608
9483,77147,54414
9483,76981,53996
9483,76918,54147
9483,76692,53868
9483,77177,54501
9483,77222,54354
9483,77946,54444
9483,77254,53935
9483,77090,53894
9483,77083,54075
9483,76828,54442
9810,77786,50506
9810,77728,50616
9810,77811,51403
9810,77274,51028
9810,77368,50640
9810,77905,51063
9810,77249,50898
9810,77744,51311
9810,78204,50696
9810,77789,50697
9810,77860,50576
9810,77727,50921
9810,77673,50658
9810,77723,51068
9810,78328,50514
9810,77878,50512
9810,77815,50705
9810,77597,50789
9810,77344,50902
9810,77948,50684
10137,79361,56768
10137,79630,54961
10137,78861,54739
10137,79037,54822
10137,79439,55246
10137,78880,55058
10137,79521,54874
10137,79361,54610
10137,78832,54579
10137,79236,55344
10137,79228,55012
10137,79175,54870
10137,82391,55000
10137,79251,55181
10137,79593,54878
10137,79242,54884
10137,79238,54454
10137,79113,54822
10137,79803,54968
10137,79165,55104
10464,81909,61071
10464,80805,57201
10464,80872,57761
10464,80806,57161
10464,80816,57380
10464,81732,56843
10464,81059,57241
10464,80635,57339
10464,80728,57283
10464,80370,57220
10464,83715,57972
10464,80923,57538
10464,81096,57208
10464,80777,56959
10464,80790,56895
10464,80773,57418
10464,80751,57689
10464,81112,56906
10464,81039,57260
10464,81123,56846
10791,81851,52453
10791,80936,51705
10791,80879,51539
10791,81376,52059
10791,81694,52209
10791,81095,52176
10791,81243,51831
10791,80889,51913
10791,84243,71096
10791,81466,52193
10791,81151,51928
10791,81067,52009
10791,81125,51997
10791,81291,52231
10791,80895,52003
10791,81308,51830
10791,80984,51532
10791,81607,53300
10791,81357,52473
10791,80979,52149
11118,82479,51788
11118,82568,52015
11118,82255,52314
11118,81751,52104
11118,82134,52160
11118,82147,52109
11118,82123,55458
11118,82502,52089
11118,82298,52195
11118,82033,52369
11118,82273,52296
