Pallet: "identity", Extrinsic: "clear_identity", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
r,s,x,extrinsic_time,storage_root_time
25,100,100,852211,638906
27,100,100,855800,630535
27,100,100,853364,645728
27,100,100,867611,624536
27,100,100,901585,619276
27,100,100,847065,637434
27,100,100,942243,658036
27,100,100,856251,619433
27,100,100,867963,629183
27,100,100,868889,641953
27,100,100,847175,607183
27,100,100,851846,655925
27,100,100,974480,651192
27,100,100,874988,620425
27,100,100,882869,629498
27,100,100,850894,621844
27,100,100,857536,676261
27,100,100,851915,645634
27,100,100,856566,636072
27,100,100,865975,658376
27,100,100,855424,617102
29,100,100,850821,609208
29,100,100,845738,608542
29,100,100,925195,660837
29,100,100,857376,653757
29,100,100,850638,629360
29,100,100,949638,638438
29,100,100,852981,644505
29,100,100,855850,686237
29,100,100,881273,638850
29,100,100,850895,630335
29,100,100,864503,633280
29,100,100,889819,696302
29,100,100,891681,635484
29,100,100,865061,638058
29,100,100,865431,610158
29,100,100,873029,640381
29,100,100,847364,661789
29,100,100,876091,646791
29,100,100,923897,619423
29,100,100,845650,612931
31,100,100,848508,626725
31,100,100,939296,638443
31,100,100,910708,626604
31,100,100,903248,663469
31,100,100,864035,738797
31,100,100,880691,668697
31,100,100,876987,647640
31,100,100,905334,619704
31,100,100,863968,638250
31,100,100,849657,651146
31,100,100,880886,633370
31,100,100,875797,609273
31,100,100,859197,673097
31,100,100,873690,650418
31,100,100,889917,663208
31,100,100,896477,638862
31,100,100,925736,633790
31,100,100,916778,685462
31,100,100,856681,624244
31,100,100,875634,674710
33,100,100,872255,676133
33,100,100,847173,644143
33,100,100,873118,614345
33,100,100,867967,648428
33,100,100,849916,622462
33,100,100,892426,627686
33,100,100,938499,684684
33,100,100,873215,616864
33,100,100,883788,660470
33,100,100,882145,614037
33,100,100,850728,641792
33,100,100,853256,614747
33,100,100,867402,631026
33,100,100,944246,624204
33,100,100,851024,644386
33,100,100,853879,631029
33,100,100,885722,632538
33,100,100,856170,623616
33,100,100,869330,611594
33,100,100,919783,631911
35,100,100,871756,632579
35,100,100,862595,620648
35,100,100,850429,614053
35,100,100,874543,630096
35,100,100,866334,619954
35,100,100,870696,628689
35,100,100,877122,618545
35,100,100,921523,609315
35,100,100,860222,676645
35,100,100,857804,648168
35,100,100,941287,644575
35,100,100,893382,626208
35,100,100,875709,609176
35,100,100,855377,624751
35,100,100,851870,639429
35,100,100,878147,605988
35,100,100,848330,624704
35,100,100,855889,624701
35,100,100,880646,637704
35,100,100,875371,639944
37,100,100,839088,640064
37,100,100,864730,626706
37,100,100,898811,634597
37,100,100,893062,632605
37,100,100,850877,653434
37,100,100,876577,627064
37,100,100,865562,629212
37,100,100,871242,622422
37,100,100,892094,641576
37,100,100,885537,629396
37,100,100,849877,644478
