Pallet: "staking", Extrinsic: "withdraw_unbonded_kill", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
s,extrinsic_time,storage_root_time
38,172296,149975
38,171082,151244
38,171293,153475
38,170704,150501
38,170027,150310
38,170528,150131
38,168839,150491
38,170180,150729
38,169972,150081
38,169599,149694
40,175323,154043
40,176691,153979
40,175760,152366
40,175617,153161
40,173592,152590
40,175263,152869
40,176911,153719
40,174149,156026
40,176447,153193
40,175952,153998
40,174839,155935
40,174183,154111
40,174399,155767
40,176358,152989
40,175810,153840
40,174851,153214
40,175157,154069
40,175802,151712
40,175652,153559
40,175024,153776
42,178961,157804
42,180573,157597
42,178851,158636
42,180722,157823
42,179926,157090
42,181439,157642
42,180145,157986
42,179381,160820
42,181826,158259
42,180075,158220
42,181677,157600
42,179493,156950
42,179126,158133
42,179844,156901
42,178196,157623
42,178194,158785
42,178619,157666
42,179946,157560
42,179966,158214
42,179548,157269
44,182550,161160
44,183922,161206
44,184182,162416
44,185080,160470
44,184337,160188
44,184956,161219
44,184193,159531
44,184859,164245
44,184338,163592
44,183883,162217
44,186672,159874
44,183949,160750
44,187556,160469
44,183584,160417
44,183546,159920
44,184879,161338
44,183793,162216
44,214795,161138
44,185463,160220
44,183697,162132
46,188864,171439
46,189804,172920
46,188851,173721
46,190039,173690
46,191394,171095
46,189974,170803
46,189373,171472
46,189725,170705
46,189093,171243
46,189510,170715
46,188566,171041
46,193414,171145
46,190088,170829
46,190230,171569
46,188175,171069
46,192363,171828
46,191702,171046
46,190884,173793
46,188751,174438
46,188849,171221
48,193423,177779
48,193774,176274
48,192199,175308
48,192839,177836
48,193652,174673
48,206381,175875
48,192463,175726
48,194521,176397
48,193996,177552
48,195011,175378
48,194385,175114
48,195108,175765
48,194459,178038
48,192295,175552
48,195925,176177
48,192170,175036
48,192880,175243
48,195415,177137
48,193955,174727
48,193697,174767
50,199479,177968
50,197178,180715
50,197696,181568
50,200919,179383
50,197997,177796
50,196748,177938
50,199311,181050
50,198576,180293
50,198990,178553
50,197686,181152
50,199327,180665
50,197249,180906
50,199941,178485
50,199322,178609
50,196908,181833
50,197631,177714
50,200604,181522
50,197925,181124
50,197428,178965
50,198166,178170
52,204425,181793
52,205199,181900
52,203501,183542
52,202368,183391
52,202931,182744
52,234986,181822
52,203135,182224
52,202959,181628
52,202602,181681
52,203364,185259
52,203006,183209
52,202840,180989
52,202293,184196
52,203381,180736
52,202905,181420
52,201562,182065
52,203222,181838
52,203607,183990
52,206082,183351
52,204176,181551
54,207064,184912
54,207343,185645
54,208411,188323
54,208760,188279
54,207111,188325
54,207734,185910
54,207319,188565
54,208547,188584
54,206139,184841
54,208125,184777
54,208766,185499
54,207221,185258
54,206670,186353
54,208841,186013
54,207194,188239
54,211689,186636
54,207182,188118
54,208478,187627
54,207443,187807
54,208674,189373
56,212198,190018
56,211188,189927
56,211559,191936
56,211738,189564
56,211898,189254
56,213113,188735
56,213529,189395
56,211417,189615
56,211486,191985
56,211170,189902
56,212317,190048
56,213723,189985
56,213633,189747
56,211906,191883
56,212965,189981
56,213018,192043
56,212591,189393
56,212247,189929
56,213166,192960
56,213281,193660
58,219569,192341
58,219723,195425
58,216565,191915
58,218214,195181
58,215425,195977
58,216468,192872
58,216362,191918
58,217796,192554
58,217705,198025
58,217114,192005
58,215687,195736
58,218653,192964
58,216141,197083
58,219604,194670
58,217612,194242
58,217213,195390
58,218523,192907
58,217072,193189
58,217757,191764
58,217334,191973
60,221680,195880
60,223395,196141
60,221696,198430
60,221779,198226
60,222758,199698
60,220892,196234
60,222408,198878
60,221838,195687
60,220273,195353
60,221308,194911
60,221081,195197
60,219946,195988
60,222203,194941
60,222404,195540
60,221823,194892
60,222023,195922
60,224503,195635
60,222968,198643
60,221699,196162
60,224756,195084
62,226785,198947
62,227725,200347
62,225859,198531
62,226510,197679
62,227259,201516
62,226682,201598
62,226780,201286
62,227003,201261
62,225386,199325
62,226664,197758
62,227515,199060
62,227241,201090
62,227811,204182
62,226965,202067
62,227019,201838
62,226371,198667
62,226850,230094
62,226375,199532
62,225999,202628
62,228588,201898
64,261725,205854
64,231457,206703
64,229439,207921
64,231179,206049
64,231692,204620
64,231718,204691
64,229887,204797
64,229698,204081
64,232192,205551
64,230639,209576
64,232825,203428
64,233348,205501
64,231789,205577
64,232537,207261
64,232019,208133
64,231481,207715
64,231033,203378
64,230668,207595
64,230733,208148
64,230540,210363
66,239018,210153
66,238762,210684
66,235213,211406
66,240446,212167
66,237098,207459
66,236922,207833
66,237328,207568
66,236970,211623
66,236741,210943
66,235796,210265
66,236010,206973
66,235771,207574
66,236932,209479
66,235912,210268
66,237158,209582
66,239157,207736
66,235200,210794
66,237570,210361
66,238620,210894
66,234712,210013
68,241989,212855
68,243447,213886
68,242966,213297
68,240095,213621
68,240384,212850
68,240481,213955
68,241988,210780
68,242284,208746
68,243453,210247
68,240616,212742
68,242199,213562
68,239940,210050
68,243397,210063
68,249336,213896
68,242901,212883
68,241015,210592
68,239892,213378
68,242006,213921
68,241020,209422
68,243903,210590
70,245630,216010
70,245088,216889
70,246777,216331
70,244267,216304
70,247648,213536
70,249243,212249
70,246028,217234
70,248375,216528
70,246877,215524
70,246141,216172
70,246346,216908
70,245597,212892
70,246147,215726
70,246299,215983
70,247830,216938
70,248263,217874
70,246081,215984
70,244743,215793
70,246205,215945
70,245535,213908
72,251137,217430
72,249535,220198
72,252199,247291
72,250141,216546
72,251883,217041
72,249196,218188
72,251225,217886
72,249741,221175
72,248922,216972
72,249062,220709
72,248848,220082
72,251559,216602
72,250076,221087
72,252510,217196
72,249691,219958
72,248771,220679
72,250704,220781
72,249959,217548
72,249807,217271
72,250438,216912
74,260566,225122
74,253880,220980
74,256734,225452
74,253915,221436
74,255114,224277
74,252592,222115
74,256079,224980
74,258786,225272
74,255960,224211
74,254243,220713
74,254671,224100
74,254806,223536
74,256665,221420
74,254381,221683
74,259272,222341
74,256370,220179
74,257176,224377
74,255751,223556
74,253483,225261
74,254948,221432
76,258631,224721
76,264242,225594
76,258609,224582
76,257517,224539
76,259746,223432
76,259528,228306
76,260772,226015
76,258041,224286
76,263273,224848
76,258538,224594
76,259776,224857
76,259508,223515
76,259909,225303
76,263475,225177
76,263134,224835
76,262743,222278
76,257574,224407
76,259838,224789
76,257604,227165
76,262505,227250
78,263523,232993
78,262862,232013
78,265995,231620
78,265141,230154
78,262566,232028
78,262612,235011
78,261511,233561
78,262881,233401
78,262241,234069
